frameNo,left,top,w,h,conf,lat,long,alt
1635,6,958,180,85,0.0,23.055988,72.506015,133.302
1636,8,956,187,87,0.0,23.055988,72.506015,133.302
1637,11,954,194,89,0.0,23.055988,72.506015,133.302
1638,19,953,196,87,0.0,23.055988,72.506015,133.302
1639,30,953,198,88,0.0,23.055988,72.506015,133.302
1640,40,952,199,90,0.0,23.055988,72.506015,133.302
1641,49,952,200,91,0.0,23.055988,72.506015,133.283
1642,61,952,199,91,0.0,23.055988,72.506015,133.283
1643,69,952,199,91,0.0,23.055988,72.506015,133.283
1644,79,953,199,91,0.0,23.055988,72.506015,133.283
1645,88,954,198,90,0.0,23.055988,72.506015,133.283
1646,96,954,196,90,0.0,23.055988,72.506015,133.283
1647,104,954,196,89,0.0,23.055988,72.506015,133.267
1648,115,954,195,88,0.0,23.055988,72.506015,133.267
1649,123,954,196,86,0.0,23.055988,72.506015,133.267
1650,132,954,194,86,0.0,23.055988,72.506015,133.267
1651,142,954,195,85,0.0,23.055988,72.506015,133.267
1652,151,955,193,85,0.0,23.055988,72.506015,133.267
1653,159,955,194,84,0.0,23.055988,72.506015,133.253
1654,169,955,193,83,0.0,23.055988,72.506015,133.253
1655,178,955,193,84,0.0,23.055988,72.506015,133.253
1656,186,956,192,84,0.0,23.055988,72.506015,133.253
1657,195,955,191,85,0.0,23.055988,72.506015,133.253
1658,202,954,192,85,0.0,23.055988,72.506015,133.253
1659,210,954,191,85,0.0,23.055988,72.506015,133.236
1660,217,954,192,84,0.0,23.055988,72.506015,133.236
1661,224,954,193,83,0.0,23.055988,72.506015,133.236
1662,233,954,192,82,0.0,23.055988,72.506015,133.236
1663,242,955,192,81,0.0,23.055988,72.506015,133.236
1664,251,955,191,81,0.0,23.055988,72.506015,133.236
1665,259,954,190,82,0.0,23.055988,72.506015,133.215
1666,267,954,189,82,0.0,23.055988,72.506015,133.215
1667,274,954,190,81,0.0,23.055988,72.506015,133.215
1668,280,954,191,81,0.0,23.055988,72.506015,133.215
1669,286,954,192,81,0.0,23.055988,72.506015,133.215
1670,290,954,194,81,0.0,23.055988,72.506015,133.215
1671,296,953,193,81,0.0,23.055988,72.506015,133.192
1678,346,956,192,77,0.0,23.055988,72.506015,133.175
1679,352,955,192,77,0.0,23.055988,72.506015,133.175
1680,358,955,193,77,0.0,23.055988,72.506015,133.175
1681,363,955,194,78,0.0,23.055988,72.506015,133.175
1682,370,955,192,78,0.0,23.055988,72.506015,133.175
1683,376,955,191,78,0.0,23.055987,72.506014,133.157
1684,382,956,190,79,0.0,23.055987,72.506014,133.157
1685,388,957,189,78,0.0,23.055987,72.506014,133.157
1686,393,955,188,80,0.0,23.055987,72.506014,133.157
1687,399,955,188,80,0.0,23.055987,72.506014,133.157
1688,403,956,188,79,0.0,23.055987,72.506014,133.157
1689,409,956,188,78,0.0,23.055987,72.506014,133.149
1690,416,956,187,77,0.0,23.055987,72.506014,133.149
1691,422,955,187,78,0.0,23.055987,72.506014,133.149
1692,427,955,187,77,0.0,23.055987,72.506014,133.149
1693,433,955,189,80,0.0,23.055987,72.506014,133.149
1694,436,955,189,80,0.0,23.055987,72.506014,133.149
1695,440,955,189,80,0.0,23.055987,72.506015,133.134
1696,445,956,188,79,0.0,23.055987,72.506015,133.134
1697,450,956,187,80,0.0,23.055987,72.506015,133.134
1701,469,952,185,82,0.0,23.055987,72.506014,133.125
1702,475,953,184,82,0.0,23.055987,72.506014,133.125
1703,480,953,185,82,0.0,23.055987,72.506014,133.125
1704,485,954,185,81,0.0,23.055987,72.506014,133.125
1705,490,953,184,82,0.0,23.055987,72.506014,133.125
1706,494,954,184,81,0.0,23.055987,72.506014,133.125
1707,499,954,183,80,0.0,23.055987,72.506014,133.115
1708,503,956,184,78,0.0,23.055987,72.506014,133.115
1709,508,956,184,78,0.0,23.055987,72.506014,133.115
1710,512,955,184,78,0.0,23.055987,72.506014,133.115
1711,516,955,185,77,0.0,23.055987,72.506014,133.115
1712,521,955,185,77,0.0,23.055987,72.506014,133.115
1713,524,955,187,78,0.0,23.055987,72.506015,133.109
1714,528,955,187,78,0.0,23.055987,72.506015,133.109
1718,545,954,189,81,0.0,23.055987,72.506015,133.109
1719,551,953,187,82,0.0,23.055987,72.506015,133.103
1720,555,954,187,81,0.0,23.055987,72.506015,133.103
1721,560,953,186,81,0.0,23.055987,72.506015,133.103
1722,566,953,186,81,0.0,23.055987,72.506015,133.103
