frameNo,left,top,w,h,conf,lat,long,alt
617,1824,327,101,161,0.0,23.055987,72.506014,133.247
618,1825,328,102,164,0.0,23.055987,72.506014,133.247
619,1825,333,105,166,0.0,23.055987,72.506014,133.247
620,1826,336,106,167,0.0,23.055987,72.506014,133.247
621,1828,340,106,168,0.0,23.055987,72.506014,133.247
622,1830,345,106,167,0.0,23.055987,72.506014,133.249
623,1829,348,108,169,0.0,23.055987,72.506014,133.249
624,1830,351,110,172,0.0,23.055987,72.506014,133.249
625,1830,357,112,174,0.0,23.055987,72.506014,133.249
725,1953,693,115,172,0.0,23.055987,72.506014,133.222
751,1976,767,112,165,0.0,23.055987,72.506014,133.199
752,1976,769,113,167,0.0,23.055987,72.506014,133.199
761,1986,798,114,162,0.0,23.055987,72.506014,133.175
762,1987,803,114,161,0.0,23.055987,72.506014,133.175
763,1988,806,114,160,0.0,23.055987,72.506014,133.175
764,1987,809,116,162,0.0,23.055987,72.506014,133.175
765,1989,813,115,163,0.0,23.055987,72.506014,133.175
766,1990,815,115,165,0.0,23.055987,72.506014,133.167
771,1998,829,113,165,0.0,23.055987,72.506013,133.167
772,1999,834,113,163,0.0,23.055987,72.506014,133.159
773,2000,835,113,164,0.0,23.055987,72.506014,133.159
774,2001,838,113,163,0.0,23.055987,72.506014,133.159
775,2003,841,112,162,0.0,23.055987,72.506014,133.159
776,2005,844,111,161,0.0,23.055987,72.506014,133.159
777,2008,847,110,160,0.0,23.055987,72.506014,133.159
778,2009,851,109,161,0.0,23.055987,72.506014,133.15
779,2010,855,109,160,0.0,23.055987,72.506014,133.15
780,2010,860,111,162,0.0,23.055987,72.506014,133.15
781,2011,863,111,162,0.0,23.055987,72.506014,133.15
782,2011,865,112,164,0.0,23.055987,72.506014,133.15
786,2015,874,112,163,0.0,23.055987,72.506013,133.147
787,2017,877,112,163,0.0,23.055987,72.506013,133.147
792,2024,889,112,162,0.0,23.055987,72.506013,133.141
793,2027,892,111,161,0.0,23.055987,72.506013,133.141
794,2028,895,112,162,0.0,23.055987,72.506013,133.141
801,2029,914,115,165,0.0,23.055987,72.506013,133.138
802,2030,916,116,166,0.0,23.055986,72.506014,133.131
803,2030,919,116,165,0.0,23.055986,72.506014,133.131
804,2030,923,116,162,0.0,23.055986,72.506014,133.131
805,2032,928,116,159,0.0,23.055986,72.506014,133.131
806,2034,932,116,157,0.0,23.055986,72.506014,133.131
814,2045,950,114,154,0.0,23.055986,72.506014,133.136
815,2046,953,114,154,0.0,23.055986,72.506014,133.136
816,2047,953,113,155,0.0,23.055986,72.506014,133.136
817,2046,954,114,155,0.0,23.055986,72.506014,133.136
821,2051,960,114,155,0.0,23.055986,72.506014,133.131
830,2056,983,115,158,0.0,23.055986,72.506014,133.132
831,2058,984,115,157,0.0,23.055986,72.506014,133.132
832,2060,985,113,157,0.0,23.055986,72.506014,133.131
833,2059,985,114,158,0.0,23.055986,72.506014,133.131
834,2060,986,115,158,0.0,23.055986,72.506014,133.131
835,2062,988,114,158,0.0,23.055986,72.506014,133.131
840,2072,997,108,157,0.0,23.055986,72.506014,133.127
841,2074,997,106,158,0.0,23.055986,72.506014,133.127
842,2075,1000,106,157,0.0,23.055986,72.506014,133.127
843,2072,1002,107,158,0.0,23.055986,72.506014,133.127
853,2080,1017,105,158,0.0,23.055986,72.506014,133.114
854,2080,1019,106,158,0.0,23.055986,72.506014,133.114
855,2080,1022,106,158,0.0,23.055986,72.506014,133.114
856,2081,1025,106,157,0.0,23.055986,72.506014,133.109
857,2078,1027,108,158,0.0,23.055986,72.506014,133.109
858,2079,1029,109,158,0.0,23.055986,72.506014,133.109
859,2078,1031,110,158,0.0,23.055986,72.506014,133.109
860,2079,1032,109,158,0.0,23.055986,72.506014,133.109
861,2079,1033,111,157,0.0,23.055986,72.506014,133.109
862,2077,1035,112,157,0.0,23.055986,72.506014,133.104
863,2081,1034,111,158,0.0,23.055986,72.506014,133.104
864,2083,1037,110,158,0.0,23.055986,72.506014,133.104
865,2081,1038,112,159,0.0,23.055986,72.506014,133.104
866,2082,1040,112,159,0.0,23.055986,72.506014,133.104
867,2087,1040,109,160,0.0,23.055986,72.506014,133.104
868,2089,1041,108,160,0.0,23.055986,72.506014,133.097
869,2089,1043,108,161,0.0,23.055986,72.506014,133.097
870,2087,1044,108,161,0.0,23.055986,72.506014,133.097
871,2089,1045,108,161,0.0,23.055986,72.506014,133.097
872,2090,1045,107,161,0.0,23.055986,72.506014,133.097
873,2089,1047,109,161,0.0,23.055986,72.506014,133.097
874,2088,1049,109,161,0.0,23.055986,72.506014,133.089
875,2089,1051,109,162,0.0,23.055986,72.506014,133.089
876,2090,1052,108,162,0.0,23.055986,72.506014,133.089
877,2090,1052,109,164,0.0,23.055986,72.506014,133.089
878,2090,1054,109,165,0.0,23.055986,72.506014,133.089
879,2092,1056,108,164,0.0,23.055986,72.506014,133.089
880,2093,1057,108,164,0.0,23.055986,72.506014,133.083
881,2093,1058,108,165,0.0,23.055986,72.506014,133.083
882,2093,1058,108,166,0.0,23.055986,72.506014,133.083
883,2094,1060,109,165,0.0,23.055986,72.506014,133.083
884,2094,1061,110,164,0.0,23.055986,72.506014,133.083
885,2094,1063,111,164,0.0,23.055986,72.506014,133.083
886,2093,1065,112,163,0.0,23.055986,72.506014,133.082
887,2093,1068,112,163,0.0,23.055986,72.506014,133.082
888,2093,1069,113,164,0.0,23.055986,72.506014,133.082
889,2093,1069,114,165,0.0,23.055986,72.506014,133.082
890,2093,1070,114,165,0.0,23.055986,72.506014,133.082
891,2091,1072,116,165,0.0,23.055986,72.506014,133.082
892,2092,1073,116,165,0.0,23.055986,72.506014,133.08
893,2092,1075,115,165,0.0,23.055986,72.506014,133.08
894,2092,1076,116,165,0.0,23.055986,72.506014,133.08
895,2093,1077,115,164,0.0,23.055986,72.506014,133.08
896,2094,1079,115,163,0.0,23.055986,72.506014,133.08
897,2094,1080,116,163,0.0,23.055986,72.506014,133.08
898,2094,1083,116,160,0.0,23.055986,72.506014,133.077
899,2095,1085,115,158,0.0,23.055986,72.506014,133.077
900,2096,1088,114,155,0.0,23.055986,72.506014,133.077
901,2098,1090,113,154,0.0,23.055986,72.506014,133.077
902,2099,1092,112,153,0.0,23.055986,72.506014,133.077
903,2099,1095,112,153,0.0,23.055986,72.506014,133.077
904,2099,1096,112,154,0.0,23.055986,72.506014,133.078
905,2099,1097,112,155,0.0,23.055986,72.506014,133.078
