frameNo,left,top,w,h,conf,lat,long,alt
1,1734,1198,105,139,0.0,23.055988,72.506015,133.088
2,1732,1193,105,143,0.0,23.055988,72.506015,133.088
3,1731,1192,105,142,0.0,23.055988,72.506015,133.088
4,1731,1189,103,142,0.0,23.055988,72.506015,133.088
5,1730,1186,103,142,0.0,23.055988,72.506015,133.079
6,1729,1182,102,141,0.0,23.055988,72.506015,133.079
7,1727,1180,102,140,0.0,23.055988,72.506015,133.079
8,1727,1177,102,140,0.0,23.055988,72.506015,133.079
9,1726,1175,102,140,0.0,23.055988,72.506015,133.079
10,1724,1172,104,141,0.0,23.055988,72.506015,133.079
11,1722,1170,105,141,0.0,23.055988,72.506015,133.075
12,1721,1168,106,141,0.0,23.055988,72.506015,133.075
13,1720,1165,106,141,0.0,23.055988,72.506015,133.075
14,1719,1163,106,140,0.0,23.055988,72.506015,133.075
15,1717,1158,107,140,0.0,23.055988,72.506015,133.075
16,1715,1155,107,140,0.0,23.055988,72.506015,133.075
17,1715,1153,105,139,0.0,23.055988,72.506015,133.067
18,1713,1152,105,137,0.0,23.055988,72.506015,133.067
19,1713,1148,104,138,0.0,23.055988,72.506015,133.067
20,1712,1146,104,138,0.0,23.055988,72.506015,133.067
21,1710,1142,105,139,0.0,23.055988,72.506015,133.067
22,1708,1140,104,139,0.0,23.055988,72.506015,133.067
23,1708,1136,104,139,0.0,23.055988,72.506015,133.06
24,1708,1134,102,139,0.0,23.055988,72.506015,133.06
25,1706,1131,103,138,0.0,23.055988,72.506015,133.06
26,1705,1127,102,139,0.0,23.055988,72.506015,133.06
27,1704,1124,103,137,0.0,23.055988,72.506015,133.06
28,1703,1122,103,136,0.0,23.055988,72.506015,133.06
29,1702,1119,103,136,0.0,23.055988,72.506015,133.058
30,1700,1116,104,135,0.0,23.055988,72.506015,133.058
31,1699,1112,104,135,0.0,23.055988,72.506015,133.058
32,1698,1110,104,135,0.0,23.055988,72.506015,133.058
33,1697,1106,105,136,0.0,23.055988,72.506015,133.058
34,1696,1105,105,135,0.0,23.055988,72.506015,133.058
35,1694,1101,105,136,0.0,23.055988,72.506015,133.051
36,1693,1099,105,137,0.0,23.055988,72.506015,133.051
37,1692,1095,104,137,0.0,23.055988,72.506015,133.051
38,1692,1094,102,136,0.0,23.055988,72.506015,133.051
39,1692,1091,101,136,0.0,23.055988,72.506015,133.051
40,1690,1087,100,136,0.0,23.055988,72.506015,133.051
41,1687,1083,102,135,0.0,23.055988,72.506015,133.047
42,1687,1080,101,135,0.0,23.055988,72.506015,133.047
43,1688,1077,100,134,0.0,23.055988,72.506015,133.047
44,1688,1074,100,134,0.0,23.055988,72.506015,133.047
45,1685,1070,98,133,0.0,23.055988,72.506015,133.047
46,1683,1066,98,134,0.0,23.055988,72.506015,133.047
47,1681,1063,99,134,0.0,23.055988,72.506015,133.035
48,1680,1060,99,134,0.0,23.055988,72.506015,133.035
52,1675,1045,100,139,0.0,23.055988,72.506015,133.035
53,1675,1042,98,139,0.0,23.055988,72.506015,133.026
54,1673,1038,98,139,0.0,23.055988,72.506015,133.026
55,1672,1034,97,139,0.0,23.055988,72.506015,133.026
56,1670,1030,98,138,0.0,23.055988,72.506015,133.026
57,1668,1026,99,139,0.0,23.055988,72.506015,133.026
58,1668,1021,99,139,0.0,23.055988,72.506015,133.026
59,1666,1018,99,138,0.0,23.055988,72.506015,133.011
60,1666,1013,98,138,0.0,23.055988,72.506015,133.011
61,1661,1009,100,139,0.0,23.055988,72.506015,133.011
62,1660,1006,102,138,0.0,23.055988,72.506015,133.011
63,1659,1002,102,139,0.0,23.055988,72.506015,133.011
64,1659,999,101,138,0.0,23.055988,72.506015,133.011
65,1657,994,101,140,0.0,23.055988,72.506015,132.994
66,1655,991,100,139,0.0,23.055988,72.506015,132.994
67,1653,985,100,140,0.0,23.055988,72.506015,132.994
68,1650,981,101,140,0.0,23.055988,72.506015,132.994
69,1650,977,101,141,0.0,23.055988,72.506015,132.994
70,1650,974,99,139,0.0,23.055988,72.506015,132.994
71,1648,970,99,139,0.0,23.055988,72.506015,132.973
72,1647,965,99,138,0.0,23.055988,72.506015,132.973
73,1646,962,99,137,0.0,23.055988,72.506015,132.973
74,1646,958,98,137,0.0,23.055988,72.506015,132.973
75,1645,953,97,138,0.0,23.055988,72.506015,132.973
76,1645,946,95,139,0.0,23.055988,72.506015,132.973
77,1645,942,94,138,0.0,23.055988,72.506015,132.949
78,1643,937,94,139,0.0,23.055988,72.506015,132.949
79,1642,932,93,138,0.0,23.055988,72.506015,132.949
80,1642,925,92,139,0.0,23.055988,72.506015,132.949
81,1642,920,91,139,0.0,23.055988,72.506015,132.949
82,1642,915,91,138,0.0,23.055988,72.506015,132.949
83,1641,910,90,138,0.0,23.055988,72.506015,132.934
84,1639,906,89,139,0.0,23.055988,72.506015,132.934
85,1637,902,89,139,0.0,23.055988,72.506015,132.934
86,1637,896,89,140,0.0,23.055988,72.506015,132.934
