frameNo,left,top,w,h,conf,lat,long,alt
1171,3433,1477,87,35,0.0,23.055952,72.506035,133.292
1175,3390,1480,94,35,0.0,23.055952,72.506035,133.292
1176,3383,1481,92,34,0.0,23.055952,72.506035,133.277
1177,3377,1483,92,34,0.0,23.055952,72.506035,133.277
1178,3368,1484,90,35,0.0,23.055952,72.506035,133.277
1179,3361,1486,89,35,0.0,23.055952,72.506035,133.277
1180,3352,1486,88,35,0.0,23.055952,72.506035,133.277
1181,3345,1485,87,35,0.0,23.055952,72.506035,133.277
1182,3336,1485,84,34,0.0,23.055952,72.506035,133.263
1186,3298,1482,84,33,0.0,23.055952,72.506035,133.263
1187,3290,1483,82,32,0.0,23.055952,72.506035,133.263
1188,3287,1486,76,32,0.0,23.055952,72.506035,133.252
1189,3287,1488,71,31,0.0,23.055952,72.506035,133.252
1190,3278,1489,68,27,0.0,23.055952,72.506035,133.252
1192,3248,1482,93,35,0.0,23.055952,72.506035,133.252
1193,3236,1484,91,33,0.0,23.055952,72.506035,133.252
1194,3226,1485,92,33,0.0,23.055952,72.506035,133.241
1195,3217,1486,93,32,0.0,23.055952,72.506035,133.241
1196,3206,1488,93,32,0.0,23.055952,72.506035,133.241
1197,3199,1488,93,32,0.0,23.055952,72.506035,133.241
1198,3193,1486,91,33,0.0,23.055952,72.506035,133.241
1199,3185,1487,92,33,0.0,23.055952,72.506035,133.241
1200,3180,1487,90,33,0.0,23.055952,72.506035,133.233
1201,3171,1487,89,33,0.0,23.055952,72.506035,133.233
1202,3162,1488,89,33,0.0,23.055952,72.506035,133.233
1203,3156,1487,88,34,0.0,23.055952,72.506035,133.233
1204,3150,1487,85,33,0.0,23.055952,72.506035,133.233
1205,3145,1487,82,32,0.0,23.055952,72.506035,133.233
1206,3140,1486,80,32,0.0,23.055952,72.506035,133.225
1207,3135,1483,79,33,0.0,23.055952,72.506035,133.225
1208,3128,1482,78,33,0.0,23.055952,72.506035,133.225
1209,3118,1481,77,33,0.0,23.055952,72.506035,133.225
1210,3108,1482,81,34,0.0,23.055952,72.506035,133.225
1211,3098,1483,85,35,0.0,23.055952,72.506035,133.225
1212,3093,1484,84,35,0.0,23.055952,72.506035,133.22
1213,3086,1485,86,35,0.0,23.055952,72.506035,133.22
1214,3078,1485,89,36,0.0,23.055952,72.506035,133.22
1215,3072,1486,88,37,0.0,23.055952,72.506035,133.22
1216,3067,1486,88,37,0.0,23.055952,72.506035,133.22
1217,3061,1486,86,36,0.0,23.055952,72.506035,133.22
1218,3052,1487,86,36,0.0,23.055952,72.506035,133.215
1219,3043,1488,85,35,0.0,23.055952,72.506035,133.215
1220,3035,1487,86,36,0.0,23.055952,72.506035,133.215
1221,3024,1487,88,35,0.0,23.055952,72.506035,133.215
1222,3015,1487,87,35,0.0,23.055952,72.506035,133.215
1223,3008,1487,85,35,0.0,23.055952,72.506035,133.215
1224,3001,1488,85,35,0.0,23.055952,72.506035,133.203
1225,2994,1489,84,34,0.0,23.055952,72.506035,133.203
1226,2989,1489,84,33,0.0,23.055952,72.506035,133.203
1227,2980,1489,83,34,0.0,23.055952,72.506035,133.203
1228,2972,1489,82,34,0.0,23.055952,72.506035,133.203
1229,2966,1489,79,33,0.0,23.055952,72.506035,133.203
1230,2962,1490,77,34,0.0,23.055952,72.506035,133.203
1231,2950,1487,80,34,0.0,23.055952,72.506035,133.203
1232,2941,1486,81,35,0.0,23.055952,72.506035,133.203
1233,2934,1485,84,35,0.0,23.055952,72.506035,133.203
1234,2928,1485,84,34,0.0,23.055952,72.506035,133.203
1235,2916,1485,88,35,0.0,23.055952,72.506035,133.203
1236,2909,1485,89,35,0.0,23.055952,72.506035,133.194
1237,2901,1487,90,35,0.0,23.055952,72.506035,133.194
1238,2897,1487,89,36,0.0,23.055952,72.506035,133.194
1239,2892,1488,89,36,0.0,23.055952,72.506035,133.194
1240,2881,1490,91,36,0.0,23.055952,72.506035,133.194
1241,2875,1490,90,36,0.0,23.055952,72.506035,133.194
1242,2870,1491,91,36,0.0,23.055951,72.506035,133.186
1243,2865,1494,88,35,0.0,23.055951,72.506035,133.186
1244,2859,1493,87,36,0.0,23.055951,72.506035,133.186
1245,2849,1492,86,35,0.0,23.055951,72.506035,133.186
1246,2839,1493,86,35,0.0,23.055951,72.506035,133.186
1247,2832,1495,86,35,0.0,23.055951,72.506035,133.186
1248,2824,1496,86,34,0.0,23.055952,72.506035,133.181
1249,2818,1496,85,35,0.0,23.055952,72.506035,133.181
1250,2808,1493,84,33,0.0,23.055952,72.506035,133.181
1251,2799,1492,84,33,0.0,23.055952,72.506035,133.181
1252,2797,1494,82,33,0.0,23.055952,72.506035,133.181
1253,2790,1494,82,32,0.0,23.055952,72.506035,133.181
1254,2779,1494,86,34,0.0,23.055951,72.506035,133.179
1255,2774,1496,82,34,0.0,23.055951,72.506035,133.179
1256,2768,1498,78,33,0.0,23.055951,72.506035,133.179
1257,2760,1498,80,34,0.0,23.055951,72.506035,133.179
1258,2754,1496,79,34,0.0,23.055951,72.506035,133.179
1259,2748,1496,80,34,0.0,23.055951,72.506035,133.179
1260,2739,1495,80,33,0.0,23.055951,72.506035,133.178
1261,2732,1495,79,33,0.0,23.055951,72.506035,133.178
1262,2724,1496,80,32,0.0,23.055951,72.506035,133.178
1263,2714,1497,79,31,0.0,23.055951,72.506035,133.178
1264,2706,1498,85,34,0.0,23.055951,72.506035,133.178
1265,2699,1500,89,36,0.0,23.055951,72.506035,133.178
1266,2690,1503,91,37,0.0,23.055951,72.506035,133.173
1267,2684,1504,90,37,0.0,23.055951,72.506035,133.173
1268,2679,1504,89,38,0.0,23.055951,72.506035,133.173
1269,2672,1505,88,37,0.0,23.055951,72.506035,133.173
1270,2665,1506,86,37,0.0,23.055951,72.506035,133.173
1271,2656,1505,87,37,0.0,23.055951,72.506035,133.173
1272,2645,1505,87,36,0.0,23.055951,72.506035,133.173
1273,2642,1506,85,35,0.0,23.055951,72.506035,133.173
1274,2635,1507,83,34,0.0,23.055951,72.506035,133.173
1275,2625,1508,82,34,0.0,23.055951,72.506035,133.173
1276,2619,1508,81,33,0.0,23.055951,72.506035,133.173
1277,2609,1508,80,34,0.0,23.055951,72.506035,133.173
1278,2600,1508,78,34,0.0,23.055951,72.506035,133.172
1279,2594,1508,77,35,0.0,23.055951,72.506035,133.172
1280,2588,1509,75,35,0.0,23.055951,72.506035,133.172
1281,2581,1510,74,35,0.0,23.055951,72.506035,133.172
1282,2573,1512,72,34,0.0,23.055951,72.506035,133.172
1283,2570,1511,69,32,0.0,23.055951,72.506035,133.172
1284,2567,1511,67,30,0.0,23.055952,72.506035,133.171
1285,2553,1512,70,30,0.0,23.055952,72.506035,133.171
1286,2542,1512,75,32,0.0,23.055952,72.506035,133.171
1287,2536,1512,77,33,0.0,23.055952,72.506035,133.171
1288,2527,1512,79,35,0.0,23.055952,72.506035,133.171
1289,2518,1513,80,35,0.0,23.055952,72.506035,133.171
1290,2510,1514,81,36,0.0,23.055952,72.506036,133.165
1291,2499,1515,83,36,0.0,23.055952,72.506036,133.165
1292,2491,1517,84,36,0.0,23.055952,72.506036,133.165
1293,2486,1519,82,36,0.0,23.055952,72.506036,133.165
1294,2480,1521,82,35,0.0,23.055952,72.506036,133.165
1295,2472,1521,80,36,0.0,23.055952,72.506036,133.165
1296,2468,1522,78,35,0.0,23.055952,72.506036,133.164
1297,2459,1522,77,35,0.0,23.055952,72.506036,133.164
1298,2449,1522,77,34,0.0,23.055952,72.506036,133.164
1299,2442,1522,75,35,0.0,23.055952,72.506036,133.164
1300,2432,1523,74,34,0.0,23.055952,72.506036,133.164
1301,2427,1523,73,34,0.0,23.055952,72.506036,133.164
1302,2417,1524,73,32,0.0,23.055952,72.506036,133.159
1303,2404,1526,73,32,0.0,23.055952,72.506036,133.159
