frameNo,left,top,w,h,conf,lat,long,alt
1176,3519,736,24,28,0.0,23.055952,72.506035,133.277
1177,3519,736,24,29,0.0,23.055952,72.506035,133.277
1261,3519,734,22,27,0.0,23.055951,72.506035,133.178
1262,3519,733,23,27,0.0,23.055951,72.506035,133.178
1263,3519,735,23,27,0.0,23.055951,72.506035,133.178
1264,3519,735,23,27,0.0,23.055951,72.506035,133.178
1272,3519,735,23,27,0.0,23.055951,72.506035,133.173
1273,3518,735,24,27,0.0,23.055951,72.506035,133.173
1274,3518,734,23,28,0.0,23.055951,72.506035,133.173
1306,3518,736,25,27,0.0,23.055952,72.506036,133.159
1601,3517,735,23,28,0.0,23.055951,72.506035,133.092
1602,3516,735,22,28,0.0,23.055951,72.506035,133.087
1603,3517,735,22,28,0.0,23.055951,72.506035,133.087
1604,3517,734,22,28,0.0,23.055951,72.506035,133.087
1605,3517,735,22,27,0.0,23.055951,72.506035,133.087
1610,3517,735,22,29,0.0,23.055951,72.506035,133.078
1611,3517,735,22,29,0.0,23.055951,72.506035,133.078
1612,3517,735,22,29,0.0,23.055951,72.506035,133.078
1613,3517,735,23,29,0.0,23.055951,72.506035,133.078
1614,3517,736,22,29,0.0,23.055951,72.506034,133.07
1615,3516,736,23,30,0.0,23.055951,72.506034,133.07
1616,3516,736,22,30,0.0,23.055951,72.506034,133.07
1617,3516,736,22,30,0.0,23.055951,72.506034,133.07
1618,3516,735,22,30,0.0,23.055951,72.506034,133.07
1619,3516,736,22,30,0.0,23.055951,72.506034,133.07
1620,3516,736,21,30,0.0,23.055951,72.506034,133.067
1621,3516,736,22,30,0.0,23.055951,72.506034,133.067
1622,3516,736,21,30,0.0,23.055951,72.506034,133.067
1623,3516,736,22,30,0.0,23.055951,72.506034,133.067
1624,3517,736,21,29,0.0,23.055951,72.506034,133.067
1625,3516,735,22,30,0.0,23.055951,72.506034,133.067
1626,3516,735,21,30,0.0,23.055951,72.506034,133.06
1627,3516,735,21,30,0.0,23.055951,72.506034,133.06
1628,3517,735,21,31,0.0,23.055951,72.506034,133.06
1632,3517,734,22,31,0.0,23.055951,72.506034,133.053
1633,3518,735,22,31,0.0,23.055951,72.506034,133.053
