frameNo,left,top,w,h,conf,lat,long,alt
2392,3567,572,144,71,0.0,23.055988,72.506014,132.774
2393,3567,571,145,72,0.0,23.055988,72.506014,132.774
2394,3567,571,147,73,0.0,23.055988,72.506014,132.774
2395,3567,570,145,74,0.0,23.055988,72.506014,132.78
2396,3566,570,145,74,0.0,23.055988,72.506014,132.78
2397,3567,569,145,75,0.0,23.055988,72.506014,132.78
2410,3567,570,138,75,0.0,23.055988,72.506014,132.788
2411,3568,570,137,75,0.0,23.055988,72.506014,132.788
2412,3568,570,136,75,0.0,23.055988,72.506014,132.788
2417,3567,570,138,73,0.0,23.055988,72.506014,132.793
2418,3567,570,138,73,0.0,23.055988,72.506014,132.793
2419,3567,570,140,74,0.0,23.055988,72.506014,132.795
2420,3567,570,141,74,0.0,23.055988,72.506014,132.795
2440,3566,571,138,72,0.0,23.055988,72.506014,132.793
2441,3566,571,136,71,0.0,23.055988,72.506014,132.793
2445,3566,572,134,70,0.0,23.055988,72.506015,132.794
2479,3567,572,134,72,0.0,23.055988,72.506015,132.782
2480,3567,573,133,70,0.0,23.055988,72.506015,132.782
2481,3567,574,133,69,0.0,23.055988,72.506015,132.782
2482,3567,573,134,70,0.0,23.055988,72.506015,132.782
2483,3567,571,136,71,0.0,23.055988,72.506015,132.782
2484,3567,571,139,72,0.0,23.055988,72.506015,132.782
2485,3567,570,139,72,0.0,23.055988,72.506015,132.783
2486,3567,571,140,70,0.0,23.055988,72.506015,132.783
2487,3567,572,141,69,0.0,23.055988,72.506015,132.783
2488,3568,572,141,68,0.0,23.055988,72.506015,132.783
2489,3569,573,140,68,0.0,23.055988,72.506015,132.783
2490,3569,573,140,67,0.0,23.055988,72.506015,132.783
2491,3568,573,138,67,0.0,23.055988,72.506014,132.782
2492,3568,574,136,67,0.0,23.055988,72.506014,132.782
2493,3567,576,134,65,0.0,23.055988,72.506014,132.782
2494,3567,576,131,65,0.0,23.055988,72.506014,132.782
2495,3567,577,130,64,0.0,23.055988,72.506014,132.782
2496,3568,576,130,65,0.0,23.055988,72.506014,132.782
2497,3566,577,131,65,0.0,23.055988,72.506014,132.787
2498,3567,575,132,67,0.0,23.055988,72.506014,132.787
