frameNo,left,top,w,h,conf,lat,long,alt
227,2104,2044,51,66,0.0,23.055987,72.506015,132.994
228,2098,2037,49,65,0.0,23.055987,72.506015,132.994
229,2099,2029,47,65,0.0,23.055987,72.506015,132.994
230,2088,2018,52,71,0.0,23.055987,72.506015,132.994
231,2080,2011,54,69,0.0,23.055987,72.506015,132.998
232,2081,2004,51,68,0.0,23.055987,72.506015,132.998
233,2074,1997,51,66,0.0,23.055987,72.506015,132.998
234,2072,1988,51,66,0.0,23.055987,72.506015,132.998
235,2074,1985,48,64,0.0,23.055987,72.506015,132.998
236,2069,1978,46,61,0.0,23.055987,72.506015,132.998
237,2067,1969,45,63,0.0,23.055987,72.506014,133.006
238,2066,1962,43,63,0.0,23.055987,72.506014,133.006
256,1987,1821,47,65,0.0,23.055987,72.506014,133.025
257,1982,1814,48,66,0.0,23.055987,72.506014,133.025
261,1969,1787,51,62,0.0,23.055987,72.506014,133.034
265,1952,1759,50,61,0.0,23.055987,72.506014,133.034
266,1952,1752,47,62,0.0,23.055987,72.506014,133.034
270,1935,1720,49,63,0.0,23.055987,72.506014,133.034
271,1932,1714,50,64,0.0,23.055987,72.506014,133.034
272,1933,1720,50,58,0.0,23.055987,72.506014,133.034
273,1929,1709,49,59,0.0,23.055987,72.506014,133.03
277,1913,1675,45,62,0.0,23.055987,72.506014,133.03
277,1919,1676,33,47,0.0,23.055987,72.506014,133.03
278,1909,1669,45,61,0.0,23.055987,72.506014,133.03
279,1908,1662,44,60,0.0,23.055987,72.506014,133.031
280,1906,1656,44,60,0.0,23.055987,72.506014,133.031
281,1904,1651,45,60,0.0,23.055987,72.506014,133.031
282,1902,1649,45,59,0.0,23.055987,72.506014,133.031
283,1902,1644,44,59,0.0,23.055987,72.506014,133.031
284,1902,1641,42,58,0.0,23.055987,72.506014,133.031
285,1893,1629,46,60,0.0,23.055987,72.506014,133.038
289,1877,1603,50,60,0.0,23.055987,72.506014,133.038
290,1877,1596,50,61,0.0,23.055987,72.506014,133.038
291,1876,1590,48,61,0.0,23.055987,72.506014,133.033
292,1872,1586,50,63,0.0,23.055987,72.506014,133.033
293,1873,1581,50,64,0.0,23.055987,72.506014,133.033
293,1879,1582,33,45,0.0,23.055987,72.506014,133.033
297,1864,1561,46,63,0.0,23.055987,72.506014,133.032
298,1863,1556,45,64,0.0,23.055987,72.506014,133.032
299,1861,1554,46,63,0.0,23.055987,72.506014,133.032
300,1860,1549,45,62,0.0,23.055987,72.506014,133.032
301,1858,1543,44,62,0.0,23.055987,72.506014,133.032
302,1856,1542,44,61,0.0,23.055987,72.506014,133.032
303,1855,1539,44,61,0.0,23.055987,72.506014,133.026
304,1849,1530,48,61,0.0,23.055987,72.506014,133.026
305,1848,1526,47,62,0.0,23.055987,72.506014,133.026
309,1842,1512,48,63,0.0,23.055987,72.506014,133.024
310,1837,1508,48,61,0.0,23.055987,72.506014,133.024
311,1838,1508,48,61,0.0,23.055987,72.506014,133.024
312,1837,1506,48,59,0.0,23.055987,72.506014,133.024
316,1833,1491,46,57,0.0,23.055987,72.506014,133.02
317,1834,1491,46,56,0.0,23.055987,72.506014,133.02
323,1826,1468,47,57,0.0,23.055987,72.506014,133.021
324,1823,1465,45,58,0.0,23.055987,72.506014,133.021
325,1824,1464,45,59,0.0,23.055987,72.506014,133.021
326,1824,1459,44,61,0.0,23.055987,72.506014,133.021
327,1825,1457,42,61,0.0,23.055987,72.506014,133.014
328,1827,1454,41,61,0.0,23.055987,72.506014,133.014
329,1825,1457,40,60,0.0,23.055987,72.506014,133.014
330,1827,1454,39,61,0.0,23.055987,72.506014,133.014
334,1819,1441,41,59,0.0,23.055987,72.506014,133.013
335,1819,1433,41,62,0.0,23.055987,72.506014,133.013
336,1818,1430,41,61,0.0,23.055987,72.506014,133.013
337,1820,1428,39,61,0.0,23.055987,72.506014,133.013
341,1817,1434,42,51,0.0,23.055987,72.506014,133.005
342,1816,1425,42,54,0.0,23.055987,72.506014,133.005
343,1816,1420,42,55,0.0,23.055987,72.506014,133.005
344,1818,1417,40,56,0.0,23.055987,72.506014,133.005
348,1808,1415,47,48,0.0,23.055987,72.506014,133.003
349,1809,1414,46,47,0.0,23.055987,72.506014,133.003
350,1801,1404,49,45,0.0,23.055987,72.506014,133.003
351,1802,1405,49,47,0.0,23.055987,72.506014,132.991
352,1803,1404,47,47,0.0,23.055987,72.506014,132.991
353,1804,1404,48,47,0.0,23.055987,72.506014,132.991
353,1814,1391,32,42,0.0,23.055987,72.506014,132.991
354,1802,1396,48,48,0.0,23.055987,72.506014,132.991
361,1799,1377,48,51,0.0,23.055987,72.506014,132.985
362,1800,1366,48,55,0.0,23.055987,72.506014,132.985
363,1800,1362,47,56,0.0,23.055987,72.506014,132.975
364,1801,1360,45,57,0.0,23.055987,72.506014,132.975
