frameNo,left,top,w,h,conf,lat,long,alt
457,52,851,49,31,0.0,23.055987,72.506014,132.834
458,61,851,49,30,0.0,23.055987,72.506014,132.834
462,97,852,52,32,0.0,23.055987,72.506014,132.824
463,104,851,53,32,0.0,23.055987,72.506014,132.824
464,111,851,52,30,0.0,23.055987,72.506014,132.824
465,123,851,50,30,0.0,23.055987,72.506014,132.821
466,133,851,49,30,0.0,23.055987,72.506014,132.821
467,140,851,49,31,0.0,23.055987,72.506014,132.821
468,150,852,49,31,0.0,23.055987,72.506014,132.821
469,157,852,49,31,0.0,23.055987,72.506014,132.821
470,168,853,49,30,0.0,23.055987,72.506014,132.821
471,178,853,49,31,0.0,23.055987,72.506014,132.819
472,188,852,49,31,0.0,23.055987,72.506014,132.819
473,197,851,50,32,0.0,23.055987,72.506014,132.819
474,203,852,50,30,0.0,23.055987,72.506014,132.819
475,210,852,51,30,0.0,23.055987,72.506014,132.819
476,219,851,50,31,0.0,23.055987,72.506014,132.819
477,229,852,49,31,0.0,23.055987,72.506014,132.811
478,236,852,49,31,0.0,23.055987,72.506014,132.811
479,246,851,50,32,0.0,23.055987,72.506014,132.811
480,253,851,50,32,0.0,23.055987,72.506014,132.811
481,260,852,49,30,0.0,23.055987,72.506014,132.811
482,268,853,50,31,0.0,23.055987,72.506014,132.811
483,279,854,49,31,0.0,23.055987,72.506014,132.812
487,312,852,52,32,0.0,23.055987,72.506014,132.812
488,321,852,53,32,0.0,23.055987,72.506014,132.812
489,329,852,52,32,0.0,23.055987,72.506014,132.811
490,337,851,52,33,0.0,23.055987,72.506014,132.811
491,345,850,51,33,0.0,23.055987,72.506014,132.811
492,350,850,51,33,0.0,23.055987,72.506014,132.811
493,358,850,50,32,0.0,23.055987,72.506014,132.811
494,367,851,48,31,0.0,23.055987,72.506014,132.811
508,471,851,51,32,0.0,23.055987,72.506014,132.834
513,508,847,48,32,0.0,23.055987,72.506014,132.843
514,514,848,48,33,0.0,23.055987,72.506014,132.843
