frameNo,left,top,w,h,conf,lat,long,alt
619,2752,1517,42,40,0.0,23.055987,72.506014,132.778
620,2752,1517,42,41,0.0,23.055987,72.506014,132.778
626,2757,1511,43,43,0.0,23.055987,72.506014,132.76
627,2757,1511,42,43,0.0,23.055987,72.506014,132.76
628,2759,1510,40,44,0.0,23.055987,72.506014,132.76
632,2759,1506,42,44,0.0,23.055987,72.506014,132.75
633,2759,1505,40,45,0.0,23.055987,72.506014,132.75
650,2752,1487,47,46,0.0,23.055987,72.506014,132.736
651,2753,1488,46,45,0.0,23.055987,72.506014,132.73
674,2755,1471,36,41,0.0,23.055987,72.506014,132.702
675,2754,1471,37,40,0.0,23.055987,72.506014,132.697
676,2753,1471,38,40,0.0,23.055987,72.506014,132.697
677,2752,1470,39,40,0.0,23.055987,72.506014,132.697
685,2749,1466,43,36,0.0,23.055987,72.506014,132.69
686,2749,1464,41,36,0.0,23.055987,72.506014,132.69
687,2748,1461,40,37,0.0,23.055987,72.506014,132.69
688,2748,1461,41,37,0.0,23.055987,72.506014,132.69
720,2740,1443,52,34,0.0,23.055988,72.506014,132.696
721,2739,1441,55,36,0.0,23.055988,72.506014,132.696
722,2738,1441,57,36,0.0,23.055988,72.506014,132.696
723,2738,1441,58,36,0.0,23.055988,72.506014,132.698
724,2737,1442,58,36,0.0,23.055988,72.506014,132.698
725,2737,1442,57,36,0.0,23.055988,72.506014,132.698
726,2736,1441,58,35,0.0,23.055988,72.506014,132.698
727,2736,1440,59,35,0.0,23.055988,72.506014,132.698
728,2738,1440,59,35,0.0,23.055988,72.506014,132.697
752,2740,1417,61,33,0.0,23.055988,72.506014,132.706
768,2745,1407,53,31,0.0,23.055988,72.506014,132.715
769,2745,1406,55,31,0.0,23.055988,72.506014,132.715
770,2746,1406,57,31,0.0,23.055988,72.506014,132.715
771,2747,1406,59,31,0.0,23.055988,72.506014,132.717
772,2747,1406,60,32,0.0,23.055988,72.506014,132.717
773,2749,1405,60,32,0.0,23.055988,72.506014,132.717
774,2748,1405,60,31,0.0,23.055988,72.506014,132.717
779,2753,1400,65,32,0.0,23.055988,72.506014,132.721
780,2749,1400,64,32,0.0,23.055988,72.506014,132.721
781,2746,1399,64,32,0.0,23.055988,72.506014,132.721
782,2744,1398,65,32,0.0,23.055988,72.506014,132.721
783,2744,1397,65,31,0.0,23.055988,72.506014,132.717
784,2745,1396,63,31,0.0,23.055988,72.506014,132.717
