frameNo,left,top,w,h,conf,lat,long,alt
18,2194,385,64,44,0.0,23.055986,72.506015,133.068
19,2194,384,65,46,0.0,23.055986,72.506015,133.068
20,2194,384,65,46,0.0,23.055986,72.506015,133.068
28,2200,389,58,40,0.0,23.055986,72.506015,133.073
29,2201,390,56,39,0.0,23.055986,72.506015,133.073
30,2202,390,56,39,0.0,23.055986,72.506015,133.073
31,2202,390,56,39,0.0,23.055986,72.506015,133.073
32,2202,390,55,38,0.0,23.055986,72.506015,133.073
38,2201,390,57,38,0.0,23.055987,72.506015,133.075
39,2202,391,56,37,0.0,23.055987,72.506015,133.073
40,2202,391,56,38,0.0,23.055987,72.506015,133.073
41,2202,390,56,38,0.0,23.055987,72.506015,133.073
42,2203,391,56,37,0.0,23.055987,72.506015,133.073
43,2203,390,56,38,0.0,23.055987,72.506015,133.073
44,2203,391,56,37,0.0,23.055987,72.506015,133.073
45,2203,390,56,38,0.0,23.055987,72.506015,133.074
46,2204,391,56,37,0.0,23.055987,72.506015,133.074
47,2205,391,55,37,0.0,23.055987,72.506015,133.074
48,2208,394,57,38,0.0,23.055987,72.506015,133.074
49,2206,391,56,38,0.0,23.055987,72.506015,133.074
50,2209,394,58,38,0.0,23.055987,72.506015,133.074
51,2209,394,58,38,0.0,23.055987,72.506015,133.068
52,2210,395,59,38,0.0,23.055987,72.506015,133.068
53,2210,395,59,38,0.0,23.055987,72.506015,133.068
54,2210,396,60,38,0.0,23.055987,72.506015,133.068
55,2207,393,59,38,0.0,23.055987,72.506015,133.068
56,2210,395,59,38,0.0,23.055987,72.506015,133.068
57,2207,391,58,38,0.0,23.055987,72.506015,133.071
58,2209,393,58,39,0.0,23.055987,72.506015,133.071
59,2210,395,59,38,0.0,23.055987,72.506015,133.071
60,2209,393,60,39,0.0,23.055987,72.506015,133.071
61,2208,393,61,40,0.0,23.055987,72.506015,133.071
62,2209,393,60,39,0.0,23.055987,72.506015,133.071
63,2209,394,61,39,0.0,23.055987,72.506015,133.07
64,2209,393,62,40,0.0,23.055987,72.506015,133.07
65,2209,394,62,40,0.0,23.055987,72.506015,133.07
66,2209,394,62,40,0.0,23.055987,72.506015,133.07
67,2207,391,61,39,0.0,23.055987,72.506015,133.07
68,2206,390,62,39,0.0,23.055987,72.506015,133.07
69,2206,390,61,39,0.0,23.055987,72.506015,133.075
70,2206,389,60,39,0.0,23.055987,72.506015,133.075
71,2206,390,60,38,0.0,23.055987,72.506015,133.075
72,2206,389,60,39,0.0,23.055987,72.506015,133.075
73,2206,390,60,39,0.0,23.055987,72.506015,133.075
74,2206,390,59,39,0.0,23.055987,72.506015,133.075
75,2206,390,60,39,0.0,23.055987,72.506015,133.077
76,2206,390,60,39,0.0,23.055987,72.506015,133.077
77,2205,389,62,39,0.0,23.055987,72.506015,133.077
78,2208,392,62,40,0.0,23.055987,72.506015,133.077
79,2206,389,62,40,0.0,23.055987,72.506015,133.077
80,2204,388,64,40,0.0,23.055987,72.506015,133.077
81,2204,387,64,41,0.0,23.055987,72.506015,133.087
82,2204,388,63,40,0.0,23.055987,72.506015,133.087
83,2204,387,64,41,0.0,23.055987,72.506015,133.087
158,2206,385,60,41,0.0,23.055987,72.506015,133.075
159,2203,385,61,42,0.0,23.055987,72.506015,133.062
160,2202,385,61,42,0.0,23.055987,72.506015,133.062
161,2201,385,62,43,0.0,23.055987,72.506015,133.062
162,2202,384,62,43,0.0,23.055987,72.506015,133.062
163,2201,385,62,43,0.0,23.055987,72.506015,133.062
164,2201,385,62,43,0.0,23.055987,72.506015,133.062
