frameNo,left,top,w,h,conf,lat,long,alt
1264,2263,423,68,44,0.0,23.055988,72.506014,132.63
1265,2263,424,68,44,0.0,23.055988,72.506014,132.63
1266,2263,423,68,44,0.0,23.055988,72.506014,132.63
1267,2264,415,68,43,0.0,23.055988,72.506014,132.63
1268,2263,419,68,43,0.0,23.055988,72.506014,132.637
1269,2263,413,69,42,0.0,23.055988,72.506014,132.637
1270,2264,418,67,43,0.0,23.055988,72.506014,132.637
1271,2264,413,67,43,0.0,23.055988,72.506014,132.637
1272,2264,412,67,42,0.0,23.055988,72.506014,132.637
1293,2262,422,70,44,0.0,23.055988,72.506015,132.633
1294,2263,424,69,43,0.0,23.055988,72.506015,132.633
1295,2263,424,69,44,0.0,23.055988,72.506015,132.633
1296,2264,426,68,43,0.0,23.055988,72.506015,132.633
1297,2264,425,68,44,0.0,23.055988,72.506015,132.633
1298,2264,425,68,43,0.0,23.055988,72.506014,132.628
1299,2264,425,67,43,0.0,23.055988,72.506014,132.628
1300,2265,420,67,43,0.0,23.055988,72.506014,132.628
1301,2265,424,68,42,0.0,23.055988,72.506015,132.628
1305,2264,420,69,42,0.0,23.055988,72.506015,132.622
1306,2263,417,69,43,0.0,23.055988,72.506015,132.622
1307,2263,421,70,44,0.0,23.055988,72.506015,132.622
1308,2263,416,70,44,0.0,23.055988,72.506015,132.622
1309,2263,415,71,44,0.0,23.055988,72.506015,132.622
1310,2263,416,71,44,0.0,23.055988,72.506015,132.614
1311,2263,416,71,43,0.0,23.055988,72.506015,132.614
1312,2263,416,71,43,0.0,23.055988,72.506015,132.614
1313,2264,417,71,43,0.0,23.055988,72.506015,132.614
1314,2264,416,71,43,0.0,23.055988,72.506015,132.614
1315,2263,416,72,43,0.0,23.055988,72.506015,132.614
1316,2263,416,71,42,0.0,23.055988,72.506015,132.605
1317,2264,415,70,42,0.0,23.055988,72.506015,132.605
1318,2264,422,70,43,0.0,23.055988,72.506015,132.605
1339,2266,424,69,40,0.0,23.055988,72.506014,132.583
1340,2266,424,69,40,0.0,23.055988,72.506014,132.581
1344,2266,424,69,39,0.0,23.055988,72.506014,132.581
1345,2266,419,69,39,0.0,23.055988,72.506014,132.581
1346,2266,417,69,39,0.0,23.055988,72.506014,132.582
1347,2266,418,69,38,0.0,23.055988,72.506014,132.582
1348,2266,425,68,39,0.0,23.055988,72.506014,132.582
1377,2275,405,70,40,0.0,23.055988,72.506014,132.586
1378,2275,404,71,40,0.0,23.055988,72.506014,132.586
1379,2276,403,71,41,0.0,23.055988,72.506014,132.586
1380,2276,411,69,40,0.0,23.055988,72.506014,132.586
1381,2276,414,69,40,0.0,23.055988,72.506014,132.586
1382,2275,415,68,40,0.0,23.055988,72.506014,132.585
1383,2275,416,68,40,0.0,23.055988,72.506014,132.585
1384,2276,415,68,40,0.0,23.055988,72.506014,132.585
1385,2275,415,68,40,0.0,23.055988,72.506014,132.585
1386,2275,416,68,40,0.0,23.055988,72.506014,132.585
