frameNo,left,top,w,h,conf,lat,long,alt
593,1935,1702,95,112,0.0,23.055987,72.506015,133.247
594,1934,1698,94,112,0.0,23.055987,72.506015,133.247
595,1933,1695,93,111,0.0,23.055987,72.506015,133.247
626,1885,1605,96,113,0.0,23.055987,72.506014,133.249
627,1886,1602,95,111,0.0,23.055987,72.506014,133.249
644,1869,1567,95,110,0.0,23.055987,72.506014,133.246
648,1864,1561,92,109,0.0,23.055987,72.506014,133.247
649,1863,1559,92,107,0.0,23.055987,72.506014,133.247
654,1860,1552,87,108,0.0,23.055987,72.506014,133.243
655,1861,1549,87,111,0.0,23.055987,72.506014,133.243
682,1840,1516,91,105,0.0,23.055987,72.506014,133.239
683,1841,1515,88,105,0.0,23.055987,72.506014,133.239
684,1838,1510,90,109,0.0,23.055987,72.506014,133.239
685,1837,1508,91,111,0.0,23.055987,72.506014,133.239
686,1840,1508,90,110,0.0,23.055987,72.506014,133.239
686,1838,1506,92,111,0.0,23.055987,72.506014,133.239
687,1842,1508,88,110,0.0,23.055987,72.506014,133.239
687,1840,1505,90,112,0.0,23.055987,72.506014,133.239
688,1840,1505,89,112,0.0,23.055987,72.506014,133.244
689,1838,1503,90,113,0.0,23.055987,72.506014,133.244
690,1837,1502,92,112,0.0,23.055987,72.506014,133.244
691,1836,1501,93,112,0.0,23.055987,72.506014,133.244
692,1837,1500,93,112,0.0,23.055987,72.506014,133.244
693,1837,1499,91,112,0.0,23.055987,72.506014,133.244
694,1836,1499,91,111,0.0,23.055987,72.506014,133.239
745,1820,1466,86,102,0.0,23.055987,72.506014,133.209
746,1820,1466,85,100,0.0,23.055987,72.506014,133.209
747,1821,1466,82,98,0.0,23.055987,72.506014,133.209
748,1819,1465,83,99,0.0,23.055987,72.506014,133.199
750,1818,1459,87,108,0.0,23.055987,72.506014,133.199
751,1818,1458,87,109,0.0,23.055987,72.506014,133.199
752,1820,1455,85,109,0.0,23.055987,72.506014,133.199
753,1822,1455,82,107,0.0,23.055987,72.506014,133.199
754,1821,1455,83,109,0.0,23.055987,72.506014,133.187
755,1823,1457,80,108,0.0,23.055987,72.506014,133.187
756,1823,1458,80,108,0.0,23.055987,72.506014,133.187
757,1823,1458,80,107,0.0,23.055987,72.506014,133.187
758,1822,1459,79,108,0.0,23.055987,72.506014,133.187
759,1819,1458,81,109,0.0,23.055987,72.506014,133.187
767,1810,1450,90,111,0.0,23.055987,72.506014,133.167
768,1805,1450,93,111,0.0,23.055987,72.506014,133.167
792,1795,1407,84,112,0.0,23.055987,72.506013,133.141
793,1797,1404,83,112,0.0,23.055987,72.506013,133.141
794,1797,1402,82,112,0.0,23.055987,72.506013,133.141
795,1793,1397,84,115,0.0,23.055987,72.506013,133.141
796,1795,1396,83,114,0.0,23.055987,72.506013,133.138
797,1791,1395,84,114,0.0,23.055987,72.506013,133.138
798,1789,1391,85,114,0.0,23.055987,72.506013,133.138
799,1786,1385,87,116,0.0,23.055987,72.506013,133.138
800,1785,1383,87,114,0.0,23.055987,72.506013,133.138
801,1783,1379,90,114,0.0,23.055987,72.506013,133.138
802,1783,1377,90,115,0.0,23.055986,72.506014,133.131
803,1782,1375,90,116,0.0,23.055986,72.506014,133.131
804,1781,1373,88,117,0.0,23.055986,72.506014,133.131
804,1782,1375,82,114,0.0,23.055986,72.506014,133.131
805,1781,1368,87,117,0.0,23.055986,72.506014,133.131
805,1782,1371,81,112,0.0,23.055986,72.506014,133.131
806,1780,1366,87,117,0.0,23.055986,72.506014,133.131
806,1781,1368,83,113,0.0,23.055986,72.506014,133.131
807,1779,1364,88,117,0.0,23.055986,72.506014,133.131
807,1780,1366,84,114,0.0,23.055986,72.506014,133.131
808,1775,1359,89,119,0.0,23.055986,72.506014,133.135
809,1773,1355,88,120,0.0,23.055986,72.506014,133.135
819,1764,1328,83,112,0.0,23.055986,72.506014,133.136
820,1764,1326,83,113,0.0,23.055986,72.506014,133.131
821,1764,1323,81,112,0.0,23.055986,72.506014,133.131
828,1755,1305,81,110,0.0,23.055986,72.506014,133.132
829,1756,1302,80,110,0.0,23.055986,72.506014,133.132
830,1755,1299,80,108,0.0,23.055986,72.506014,133.132
831,1754,1296,81,107,0.0,23.055986,72.506014,133.132
832,1752,1294,82,108,0.0,23.055986,72.506014,133.131
833,1750,1292,82,106,0.0,23.055986,72.506014,133.131
834,1751,1289,80,106,0.0,23.055986,72.506014,133.131
835,1748,1284,81,106,0.0,23.055986,72.506014,133.131
836,1747,1281,81,107,0.0,23.055986,72.506014,133.131
837,1744,1279,82,107,0.0,23.055986,72.506014,133.131
838,1744,1273,82,109,0.0,23.055986,72.506014,133.127
