frameNo,left,top,w,h,conf,lat,long,alt
3,2230,467,56,36,0.0,23.055988,72.506015,133.088
19,2226,468,52,33,0.0,23.055988,72.506015,133.067
20,2226,468,52,33,0.0,23.055988,72.506015,133.067
21,2226,468,52,33,0.0,23.055988,72.506015,133.067
22,2226,469,51,33,0.0,23.055988,72.506015,133.067
23,2226,468,52,33,0.0,23.055988,72.506015,133.06
24,2226,468,53,33,0.0,23.055988,72.506015,133.06
25,2226,468,53,34,0.0,23.055988,72.506015,133.06
26,2226,468,53,34,0.0,23.055988,72.506015,133.06
27,2226,468,53,34,0.0,23.055988,72.506015,133.06
28,2227,467,53,34,0.0,23.055988,72.506015,133.06
29,2227,467,52,34,0.0,23.055988,72.506015,133.058
30,2227,467,53,34,0.0,23.055988,72.506015,133.058
50,2238,473,65,36,0.0,23.055988,72.506015,133.035
51,2238,473,65,37,0.0,23.055988,72.506015,133.035
52,2238,473,65,36,0.0,23.055988,72.506015,133.035
53,2238,473,66,37,0.0,23.055988,72.506015,133.026
54,2239,473,65,37,0.0,23.055988,72.506015,133.026
55,2238,472,65,37,0.0,23.055988,72.506015,133.026
56,2237,477,65,37,0.0,23.055988,72.506015,133.026
57,2237,479,65,36,0.0,23.055988,72.506015,133.026
58,2238,474,65,37,0.0,23.055988,72.506015,133.026
59,2237,478,65,37,0.0,23.055988,72.506015,133.011
60,2236,479,67,37,0.0,23.055988,72.506015,133.011
61,2237,475,66,37,0.0,23.055988,72.506015,133.011
62,2238,474,66,37,0.0,23.055988,72.506015,133.011
63,2239,473,66,37,0.0,23.055988,72.506015,133.011
64,2239,473,66,37,0.0,23.055988,72.506015,133.011
65,2239,473,66,37,0.0,23.055988,72.506015,132.994
66,2238,473,66,37,0.0,23.055988,72.506015,132.994
67,2239,473,66,37,0.0,23.055988,72.506015,132.994
68,2238,473,67,37,0.0,23.055988,72.506015,132.994
69,2238,473,67,37,0.0,23.055988,72.506015,132.994
70,2238,473,67,37,0.0,23.055988,72.506015,132.994
71,2238,473,67,37,0.0,23.055988,72.506015,132.973
72,2238,473,67,36,0.0,23.055988,72.506015,132.973
73,2238,473,67,37,0.0,23.055988,72.506015,132.973
74,2238,473,67,37,0.0,23.055988,72.506015,132.973
75,2238,473,67,37,0.0,23.055988,72.506015,132.973
76,2238,473,68,37,0.0,23.055988,72.506015,132.973
77,2237,472,68,37,0.0,23.055988,72.506015,132.949
78,2237,473,68,37,0.0,23.055988,72.506015,132.949
79,2238,472,67,37,0.0,23.055988,72.506015,132.949
80,2238,473,67,36,0.0,23.055988,72.506015,132.949
81,2238,472,66,37,0.0,23.055988,72.506015,132.949
82,2238,472,67,37,0.0,23.055988,72.506015,132.949
83,2238,472,67,37,0.0,23.055988,72.506015,132.934
84,2238,473,67,37,0.0,23.055988,72.506015,132.934
85,2238,473,66,37,0.0,23.055988,72.506015,132.934
86,2237,473,67,37,0.0,23.055988,72.506015,132.934
87,2238,473,66,37,0.0,23.055988,72.506015,132.934
88,2238,473,67,37,0.0,23.055988,72.506015,132.934
89,2239,472,66,37,0.0,23.055988,72.506015,132.918
90,2238,472,67,38,0.0,23.055988,72.506015,132.918
91,2239,473,67,37,0.0,23.055988,72.506015,132.918
92,2238,473,68,37,0.0,23.055988,72.506015,132.918
93,2239,472,68,38,0.0,23.055988,72.506015,132.918
