frameNo,left,top,w,h,conf,lat,long,alt
1463,619,882,135,67,0.0,23.055987,72.506014,133.268
1469,644,879,141,67,0.0,23.055987,72.506014,133.272
1470,647,879,141,67,0.0,23.055987,72.506014,133.272
1471,652,880,141,67,0.0,23.055987,72.506014,133.272
1472,658,881,140,66,0.0,23.055987,72.506014,133.272
1473,666,881,138,66,0.0,23.055987,72.506014,133.275
1474,672,881,137,67,0.0,23.055987,72.506014,133.275
1475,678,881,135,67,0.0,23.055987,72.506014,133.275
1476,682,881,135,67,0.0,23.055987,72.506014,133.275
1477,687,881,135,67,0.0,23.055987,72.506014,133.275
1478,692,881,134,66,0.0,23.055987,72.506014,133.275
1479,696,881,134,65,0.0,23.055987,72.506014,133.274
1480,702,881,134,64,0.0,23.055987,72.506014,133.274
1481,710,882,133,64,0.0,23.055987,72.506014,133.274
1482,715,882,131,63,0.0,23.055987,72.506014,133.274
1545,1090,875,126,64,0.0,23.055987,72.506014,133.326
1546,1096,875,125,64,0.0,23.055987,72.506014,133.326
1547,1103,874,124,64,0.0,23.055987,72.506014,133.326
1548,1110,873,124,65,0.0,23.055987,72.506014,133.326
1549,1116,873,127,66,0.0,23.055987,72.506014,133.326
1550,1122,874,128,65,0.0,23.055987,72.506014,133.326
1551,1128,874,129,64,0.0,23.055987,72.506014,133.334
1552,1135,872,127,66,0.0,23.055987,72.506014,133.334
1560,1193,871,125,65,0.0,23.055987,72.506014,133.339
1561,1198,870,125,66,0.0,23.055987,72.506014,133.339
1562,1205,870,124,65,0.0,23.055987,72.506014,133.339
1570,1260,870,121,63,0.0,23.055988,72.506014,133.341
1574,1287,868,122,62,0.0,23.055988,72.506014,133.341
1575,1293,867,123,63,0.0,23.055988,72.506014,133.345
1576,1299,866,123,64,0.0,23.055988,72.506014,133.345
1577,1306,866,121,64,0.0,23.055988,72.506014,133.345
1578,1314,867,121,63,0.0,23.055988,72.506014,133.345
1579,1320,868,120,61,0.0,23.055988,72.506014,133.345
1580,1326,867,121,61,0.0,23.055988,72.506014,133.345
1581,1330,867,123,61,0.0,23.055988,72.506014,133.347
1582,1335,866,124,63,0.0,23.055988,72.506014,133.347
1583,1341,865,124,64,0.0,23.055988,72.506014,133.347
1584,1346,864,125,65,0.0,23.055988,72.506014,133.347
1585,1352,864,124,65,0.0,23.055988,72.506014,133.347
1586,1359,865,123,65,0.0,23.055988,72.506014,133.347
1587,1365,867,122,63,0.0,23.055988,72.506014,133.347
1588,1371,865,122,64,0.0,23.055988,72.506014,133.347
1592,1393,863,119,65,0.0,23.055988,72.506014,133.347
1593,1397,863,119,65,0.0,23.055988,72.506014,133.346
1594,1403,862,117,66,0.0,23.055988,72.506014,133.346
1595,1410,862,119,66,0.0,23.055988,72.506014,133.346
1596,1415,864,121,63,0.0,23.055988,72.506014,133.346
1597,1420,864,121,62,0.0,23.055988,72.506014,133.346
1598,1425,863,121,62,0.0,23.055988,72.506014,133.346
1599,1430,862,121,62,0.0,23.055988,72.506014,133.344
1600,1434,862,121,62,0.0,23.055988,72.506014,133.344
1601,1438,863,122,64,0.0,23.055988,72.506014,133.344
1602,1444,861,122,65,0.0,23.055988,72.506014,133.344
1603,1450,859,122,66,0.0,23.055988,72.506014,133.344
1604,1455,860,121,66,0.0,23.055988,72.506014,133.344
1605,1461,859,119,66,0.0,23.055988,72.506015,133.348
1606,1465,858,118,65,0.0,23.055988,72.506015,133.348
1607,1471,858,120,67,0.0,23.055988,72.506015,133.348
1608,1476,858,122,67,0.0,23.055988,72.506015,133.348
1609,1480,858,123,67,0.0,23.055988,72.506015,133.348
1610,1484,858,120,66,0.0,23.055988,72.506015,133.348
1611,1489,858,119,66,0.0,23.055988,72.506015,133.341
1612,1494,859,119,65,0.0,23.055988,72.506015,133.341
1616,1516,859,117,64,0.0,23.055988,72.506015,133.341
1621,1535,858,119,64,0.0,23.055988,72.506015,133.332
1622,1539,858,118,64,0.0,23.055988,72.506015,133.332
1623,1544,857,117,64,0.0,23.055988,72.506015,133.33
1624,1549,858,116,62,0.0,23.055988,72.506015,133.33
1625,1553,858,115,62,0.0,23.055988,72.506015,133.33
1626,1558,859,116,61,0.0,23.055988,72.506015,133.33
1627,1560,859,119,62,0.0,23.055988,72.506015,133.33
1628,1565,858,119,61,0.0,23.055988,72.506015,133.33
1629,1570,858,119,60,0.0,23.055988,72.506015,133.313
1630,1573,856,120,61,0.0,23.055988,72.506015,133.313
1631,1576,856,119,61,0.0,23.055988,72.506015,133.313
1632,1580,855,118,62,0.0,23.055988,72.506015,133.313
1636,1599,854,116,63,0.0,23.055988,72.506015,133.302
1637,1603,854,116,63,0.0,23.055988,72.506015,133.302
1642,1622,852,119,65,0.0,23.055988,72.506015,133.283
