frameNo,left,top,w,h,conf,lat,long,alt
3,2319,551,66,44,0.0,23.05595,72.506036,133.565
42,2318,551,68,46,0.0,23.05595,72.506036,133.628
43,2318,551,68,45,0.0,23.05595,72.506036,133.639
44,2319,551,68,45,0.0,23.05595,72.506036,133.639
45,2318,550,68,46,0.0,23.05595,72.506036,133.639
46,2318,550,69,45,0.0,23.05595,72.506036,133.639
47,2318,550,69,46,0.0,23.05595,72.506036,133.639
48,2318,549,69,46,0.0,23.05595,72.506036,133.639
49,2319,549,68,46,0.0,23.05595,72.506036,133.643
73,2316,546,74,43,0.0,23.05595,72.506036,133.677
74,2316,546,73,43,0.0,23.05595,72.506036,133.677
75,2315,547,73,43,0.0,23.05595,72.506036,133.677
87,2316,547,73,39,0.0,23.05595,72.506036,133.701
88,2316,547,72,39,0.0,23.05595,72.506036,133.701
89,2317,547,72,39,0.0,23.05595,72.506036,133.701
90,2317,548,72,38,0.0,23.05595,72.506036,133.701
91,2317,548,72,37,0.0,23.05595,72.506036,133.714
92,2317,549,70,37,0.0,23.05595,72.506036,133.714
93,2317,550,69,37,0.0,23.05595,72.506036,133.714
94,2317,550,68,37,0.0,23.05595,72.506036,133.714
95,2316,550,68,37,0.0,23.05595,72.506036,133.714
96,2316,550,68,38,0.0,23.05595,72.506036,133.714
97,2317,551,67,36,0.0,23.05595,72.506036,133.723
98,2316,551,68,37,0.0,23.05595,72.506036,133.723
99,2316,550,68,37,0.0,23.05595,72.506036,133.723
100,2316,550,69,37,0.0,23.05595,72.506036,133.723
101,2317,549,69,37,0.0,23.05595,72.506036,133.723
102,2317,549,70,38,0.0,23.05595,72.506036,133.723
103,2317,549,69,37,0.0,23.05595,72.506036,133.739
104,2317,550,69,37,0.0,23.05595,72.506036,133.739
105,2317,549,69,37,0.0,23.05595,72.506036,133.739
106,2317,549,69,37,0.0,23.05595,72.506036,133.739
107,2316,549,70,37,0.0,23.05595,72.506036,133.739
108,2317,549,70,37,0.0,23.05595,72.506036,133.739
109,2316,549,70,38,0.0,23.05595,72.506036,133.746
110,2316,550,70,37,0.0,23.05595,72.506036,133.746
111,2316,551,69,37,0.0,23.05595,72.506036,133.746
112,2317,550,69,38,0.0,23.05595,72.506036,133.746
113,2316,551,69,37,0.0,23.05595,72.506036,133.746
114,2316,551,69,37,0.0,23.05595,72.506036,133.746
115,2316,551,68,37,0.0,23.05595,72.506036,133.761
116,2316,550,68,38,0.0,23.05595,72.506036,133.761
117,2316,550,69,38,0.0,23.05595,72.506036,133.761
118,2316,549,69,38,0.0,23.05595,72.506036,133.761
119,2317,550,69,37,0.0,23.05595,72.506036,133.761
120,2317,550,69,37,0.0,23.05595,72.506036,133.761
121,2318,550,68,37,0.0,23.05595,72.506036,133.772
122,2317,551,69,36,0.0,23.05595,72.506036,133.772
123,2317,552,67,36,0.0,23.05595,72.506036,133.772
124,2317,552,67,36,0.0,23.05595,72.506036,133.772
125,2317,552,67,36,0.0,23.05595,72.506036,133.772
126,2318,552,66,36,0.0,23.05595,72.506036,133.772
127,2318,553,65,36,0.0,23.05595,72.506036,133.779
128,2318,553,65,36,0.0,23.05595,72.506036,133.779
129,2318,553,65,36,0.0,23.05595,72.506036,133.779
130,2318,553,65,36,0.0,23.05595,72.506036,133.779
131,2317,553,65,37,0.0,23.05595,72.506036,133.779
132,2317,553,65,37,0.0,23.05595,72.506036,133.779
133,2317,553,66,36,0.0,23.05595,72.506036,133.791
134,2317,554,65,36,0.0,23.05595,72.506036,133.791
135,2317,554,65,36,0.0,23.05595,72.506036,133.791
136,2318,555,63,36,0.0,23.05595,72.506036,133.791
137,2317,555,64,36,0.0,23.05595,72.506036,133.791
138,2316,556,64,36,0.0,23.05595,72.506036,133.791
139,2316,556,64,36,0.0,23.055951,72.506036,133.795
140,2316,556,63,37,0.0,23.055951,72.506036,133.795
141,2316,556,64,37,0.0,23.055951,72.506036,133.795
142,2315,556,65,37,0.0,23.055951,72.506036,133.795
143,2314,556,65,37,0.0,23.055951,72.506036,133.795
144,2315,556,64,37,0.0,23.055951,72.506036,133.795
145,2315,556,64,37,0.0,23.055951,72.506036,133.804
146,2315,556,65,37,0.0,23.055951,72.506036,133.804
147,2315,555,65,38,0.0,23.055951,72.506036,133.804
148,2314,556,65,37,0.0,23.055951,72.506036,133.804
149,2315,555,65,38,0.0,23.055951,72.506036,133.804
150,2315,555,65,38,0.0,23.055951,72.506036,133.804
151,2315,555,65,38,0.0,23.055951,72.506036,133.819
152,2315,555,65,38,0.0,23.055951,72.506036,133.819
153,2314,555,66,38,0.0,23.055951,72.506036,133.819
154,2315,555,65,38,0.0,23.055951,72.506036,133.819
155,2315,555,65,38,0.0,23.055951,72.506036,133.819
156,2315,555,65,38,0.0,23.055951,72.506036,133.819
157,2315,555,66,38,0.0,23.05595,72.506036,133.825
158,2316,555,64,38,0.0,23.05595,72.506036,133.825
159,2316,555,65,37,0.0,23.05595,72.506036,133.825
160,2316,555,64,37,0.0,23.05595,72.506036,133.825
161,2317,555,64,37,0.0,23.05595,72.506036,133.825
162,2316,555,64,37,0.0,23.05595,72.506036,133.825
163,2315,556,64,37,0.0,23.05595,72.506036,133.834
164,2315,557,63,37,0.0,23.05595,72.506036,133.834
165,2315,556,63,38,0.0,23.05595,72.506036,133.834
166,2314,557,64,38,0.0,23.05595,72.506036,133.834
167,2313,558,64,37,0.0,23.05595,72.506036,133.834
168,2313,558,64,38,0.0,23.05595,72.506036,133.834
169,2314,557,64,38,0.0,23.05595,72.506036,133.844
170,2314,557,64,38,0.0,23.05595,72.506036,133.844
171,2314,556,64,39,0.0,23.05595,72.506036,133.844
172,2314,557,64,39,0.0,23.05595,72.506036,133.844
173,2314,557,63,39,0.0,23.05595,72.506036,133.844
174,2314,558,63,38,0.0,23.05595,72.506036,133.844
175,2313,558,64,38,0.0,23.05595,72.506036,133.849
176,2313,558,63,38,0.0,23.05595,72.506036,133.849
177,2313,557,64,38,0.0,23.05595,72.506036,133.849
178,2314,558,63,38,0.0,23.05595,72.506036,133.849
179,2313,558,64,38,0.0,23.05595,72.506036,133.849
183,2313,558,63,38,0.0,23.05595,72.506036,133.854
184,2313,558,63,38,0.0,23.05595,72.506036,133.854
185,2312,558,64,38,0.0,23.05595,72.506036,133.854
186,2312,558,64,38,0.0,23.05595,72.506036,133.854
187,2312,558,64,39,0.0,23.05595,72.506036,133.864
188,2312,558,64,38,0.0,23.05595,72.506036,133.864
189,2311,558,65,38,0.0,23.05595,72.506036,133.864
190,2311,559,65,38,0.0,23.05595,72.506037,133.864
191,2312,558,65,39,0.0,23.05595,72.506037,133.864
192,2313,558,64,38,0.0,23.05595,72.506037,133.864
193,2313,558,65,38,0.0,23.05595,72.506036,133.867
194,2312,558,65,38,0.0,23.05595,72.506036,133.867
195,2312,559,64,37,0.0,23.05595,72.506036,133.867
199,2311,558,65,38,0.0,23.05595,72.506036,133.869
200,2311,558,65,39,0.0,23.05595,72.506036,133.869
201,2311,558,66,38,0.0,23.05595,72.506036,133.869
202,2311,557,66,38,0.0,23.05595,72.506036,133.869
203,2311,558,66,38,0.0,23.05595,72.506036,133.869
204,2311,558,66,38,0.0,23.05595,72.506036,133.869
319,2317,552,66,39,0.0,23.055951,72.506036,133.962
320,2316,553,67,39,0.0,23.055951,72.506036,133.962
321,2317,553,66,39,0.0,23.055951,72.506036,133.962
322,2316,553,67,40,0.0,23.055951,72.506036,133.962
323,2316,553,66,40,0.0,23.055951,72.506036,133.962
324,2316,553,66,40,0.0,23.055951,72.506036,133.962
325,2317,553,66,40,0.0,23.055951,72.506036,133.959
326,2317,553,66,40,0.0,23.055951,72.506036,133.959
327,2317,553,66,40,0.0,23.055951,72.506036,133.959
328,2317,553,66,40,0.0,23.055951,72.506036,133.959
329,2317,552,67,41,0.0,23.055951,72.506036,133.959
330,2316,552,67,41,0.0,23.055951,72.506036,133.959
331,2316,552,68,41,0.0,23.055951,72.506036,133.955
332,2315,552,68,41,0.0,23.055951,72.506036,133.955
333,2316,552,67,41,0.0,23.055951,72.506036,133.955
334,2316,552,67,41,0.0,23.055951,72.506036,133.955
335,2316,553,66,40,0.0,23.055951,72.506036,133.955
336,2316,553,67,40,0.0,23.055951,72.506036,133.955
337,2316,552,68,40,0.0,23.055951,72.506036,133.955
338,2316,551,68,41,0.0,23.055951,72.506036,133.955
339,2317,552,67,40,0.0,23.055951,72.506036,133.955
340,2316,551,68,41,0.0,23.055951,72.506036,133.955
341,2316,551,68,42,0.0,23.055951,72.506036,133.955
361,2315,549,71,45,0.0,23.055951,72.506036,133.941
365,2304,546,69,43,0.0,23.055951,72.506036,133.941
366,2304,546,69,43,0.0,23.055951,72.506036,133.941
367,2304,547,69,42,0.0,23.055951,72.506036,133.942
368,2304,547,68,41,0.0,23.055951,72.506036,133.942
369,2305,547,67,41,0.0,23.055951,72.506036,133.942
370,2305,547,68,41,0.0,23.055951,72.506036,133.942
418,2303,547,71,41,0.0,23.055951,72.506036,133.963
419,2303,547,71,41,0.0,23.055951,72.506036,133.963
420,2303,547,69,41,0.0,23.055951,72.506036,133.963
421,2304,546,69,42,0.0,23.055951,72.506036,133.966
422,2305,546,68,41,0.0,23.055951,72.506036,133.966
423,2304,546,69,41,0.0,23.055951,72.506036,133.966
424,2304,546,69,42,0.0,23.055951,72.506036,133.966
425,2304,546,68,42,0.0,23.055951,72.506036,133.966
426,2302,546,70,42,0.0,23.055951,72.506036,133.966
427,2302,547,71,41,0.0,23.055951,72.506036,133.962
428,2301,547,72,42,0.0,23.055951,72.506036,133.962
429,2301,547,72,42,0.0,23.055951,72.506036,133.962
430,2300,547,73,42,0.0,23.055951,72.506036,133.962
431,2300,547,74,42,0.0,23.055951,72.506036,133.962
432,2300,547,74,42,0.0,23.055951,72.506036,133.962
433,2300,547,74,42,0.0,23.05595,72.506036,133.958
434,2300,547,74,42,0.0,23.05595,72.506036,133.958
435,2300,547,74,42,0.0,23.05595,72.506036,133.958
436,2300,547,74,42,0.0,23.05595,72.506036,133.958
440,2309,549,73,42,0.0,23.055951,72.506036,133.952
441,2303,547,74,43,0.0,23.055951,72.506036,133.952
442,2301,547,74,42,0.0,23.055951,72.506036,133.952
443,2301,547,73,42,0.0,23.055951,72.506036,133.952
444,2301,547,73,42,0.0,23.055951,72.506036,133.952
445,2301,547,72,42,0.0,23.055951,72.506036,133.939
446,2301,547,72,42,0.0,23.055951,72.506036,133.939
447,2301,547,72,42,0.0,23.055951,72.506036,133.939
448,2301,547,73,42,0.0,23.055951,72.506036,133.939
449,2310,548,72,42,0.0,23.055951,72.506036,133.939
450,2313,549,72,42,0.0,23.055951,72.506036,133.939
451,2304,547,73,43,0.0,23.055951,72.506036,133.933
452,2311,549,72,42,0.0,23.055951,72.506036,133.933
453,2304,547,73,43,0.0,23.055951,72.506036,133.933
465,2304,548,68,41,0.0,23.055951,72.506036,133.918
473,2306,548,68,41,0.0,23.055951,72.506036,133.908
479,2301,548,71,41,0.0,23.055951,72.506036,133.9
668,2310,555,78,43,0.0,23.055951,72.506034,133.946
671,2297,561,72,49,0.0,23.055951,72.506034,133.946
672,2296,561,73,49,0.0,23.055951,72.506034,133.946
679,2297,563,71,43,0.0,23.055951,72.506034,133.95
680,2297,563,71,44,0.0,23.055951,72.506034,133.95
681,2305,558,75,42,0.0,23.055951,72.506034,133.95
689,2308,554,85,42,0.0,23.05595,72.506034,133.947
704,2291,560,83,47,0.0,23.05595,72.506034,133.946
705,2304,555,85,44,0.0,23.05595,72.506034,133.946
710,2306,555,84,40,0.0,23.05595,72.506034,133.953
711,2305,556,83,40,0.0,23.05595,72.506034,133.953
712,2305,556,83,39,0.0,23.055951,72.506034,133.953
713,2305,556,82,39,0.0,23.055951,72.506034,133.953
715,2292,564,75,43,0.0,23.05595,72.506034,133.959
716,2291,564,75,43,0.0,23.05595,72.506034,133.959
717,2291,564,75,43,0.0,23.05595,72.506034,133.959
718,2292,565,74,42,0.0,23.055951,72.506034,133.959
719,2292,565,75,41,0.0,23.055951,72.506034,133.959
720,2292,565,74,41,0.0,23.055951,72.506034,133.959
721,2292,566,74,41,0.0,23.05595,72.506034,133.968
722,2293,565,74,42,0.0,23.05595,72.506034,133.968
723,2293,566,73,41,0.0,23.05595,72.506034,133.968
724,2293,566,73,42,0.0,23.05595,72.506034,133.968
725,2294,566,72,42,0.0,23.05595,72.506034,133.968
729,2296,566,69,43,0.0,23.055951,72.506034,133.976
730,2296,567,69,42,0.0,23.055951,72.506034,133.976
731,2295,566,69,44,0.0,23.055951,72.506034,133.976
732,2295,565,69,45,0.0,23.055951,72.506034,133.976
733,2296,564,68,45,0.0,23.055951,72.506034,133.985
734,2294,558,67,45,0.0,23.055951,72.506034,133.985
735,2296,560,67,47,0.0,23.055951,72.506034,133.985
736,2294,556,66,47,0.0,23.055951,72.506034,133.985
737,2294,555,64,47,0.0,23.055951,72.506034,133.985
738,2295,555,63,46,0.0,23.055951,72.506034,133.985
739,2296,555,62,46,0.0,23.055951,72.506034,133.992
740,2297,555,59,46,0.0,23.055951,72.506034,133.992
741,2298,556,58,45,0.0,23.055951,72.506034,133.992
763,2298,562,69,48,0.0,23.055951,72.506034,134.017
764,2298,562,69,47,0.0,23.055951,72.506034,134.017
765,2298,561,68,48,0.0,23.055951,72.506034,134.017
766,2297,561,69,48,0.0,23.055951,72.506034,134.017
767,2297,561,69,48,0.0,23.055951,72.506034,134.017
768,2297,561,68,48,0.0,23.055951,72.506034,134.017
769,2297,562,68,47,0.0,23.055951,72.506034,134.022
770,2297,562,68,47,0.0,23.055951,72.506034,134.022
771,2297,563,68,46,0.0,23.055951,72.506034,134.022
772,2297,563,68,46,0.0,23.055951,72.506034,134.022
773,2297,563,68,46,0.0,23.055951,72.506034,134.022
774,2296,563,69,46,0.0,23.055951,72.506034,134.022
775,2296,563,70,46,0.0,23.055951,72.506034,134.023
776,2296,564,70,45,0.0,23.055951,72.506034,134.023
777,2295,564,71,45,0.0,23.055951,72.506034,134.023
778,2296,564,71,45,0.0,23.055951,72.506034,134.023
779,2296,564,71,44,0.0,23.055951,72.506034,134.023
780,2296,565,71,43,0.0,23.055951,72.506034,134.024
781,2295,564,72,44,0.0,23.055951,72.506034,134.024
782,2295,564,72,44,0.0,23.055951,72.506034,134.024
783,2295,564,72,44,0.0,23.055951,72.506034,134.024
784,2294,564,74,44,0.0,23.055951,72.506034,134.024
785,2293,564,75,44,0.0,23.055951,72.506034,134.024
786,2293,564,75,44,0.0,23.055951,72.506035,134.021
787,2292,564,76,44,0.0,23.055951,72.506035,134.021
788,2291,564,77,44,0.0,23.055951,72.506035,134.021
789,2291,563,77,46,0.0,23.055951,72.506035,134.021
790,2290,564,77,45,0.0,23.055951,72.506035,134.021
849,2302,556,72,53,0.0,23.055951,72.506035,133.972
850,2303,556,72,53,0.0,23.055951,72.506035,133.972
851,2302,556,72,54,0.0,23.055951,72.506035,133.972
852,2303,557,71,53,0.0,23.055951,72.506035,133.967
853,2297,556,68,49,0.0,23.055951,72.506035,133.967
854,2296,556,66,47,0.0,23.055951,72.506035,133.967
855,2296,555,66,46,0.0,23.055951,72.506035,133.967
856,2301,558,68,47,0.0,23.055951,72.506035,133.967
857,2303,558,68,49,0.0,23.055951,72.506035,133.967
858,2298,556,68,48,0.0,23.055951,72.506035,133.956
859,2297,556,66,47,0.0,23.055951,72.506035,133.956
860,2297,555,66,47,0.0,23.055951,72.506035,133.956
861,2298,556,64,46,0.0,23.055951,72.506035,133.956
862,2302,558,66,47,0.0,23.055951,72.506035,133.956
863,2300,555,65,47,0.0,23.055951,72.506035,133.956
864,2297,556,66,46,0.0,23.055951,72.506035,133.952
865,2302,558,66,48,0.0,23.055951,72.506035,133.952
866,2303,559,68,48,0.0,23.055951,72.506035,133.952
867,2299,555,67,47,0.0,23.055952,72.506035,133.952
868,2297,554,67,47,0.0,23.055952,72.506035,133.952
869,2296,554,66,46,0.0,23.055952,72.506035,133.952
870,2296,554,66,46,0.0,23.055951,72.506035,133.943
871,2296,554,66,46,0.0,23.055951,72.506035,133.943
872,2296,554,66,46,0.0,23.055951,72.506035,133.943
873,2295,555,68,45,0.0,23.055951,72.506035,133.943
874,2295,555,67,45,0.0,23.055951,72.506035,133.943
875,2294,556,67,46,0.0,23.055951,72.506035,133.943
876,2294,556,67,46,0.0,23.055952,72.506035,133.94
884,2297,555,68,46,0.0,23.055952,72.506035,133.933
885,2297,555,68,46,0.0,23.055952,72.506035,133.933
886,2297,556,68,46,0.0,23.055952,72.506035,133.933
887,2296,557,68,46,0.0,23.055952,72.506035,133.933
888,2296,558,68,46,0.0,23.055952,72.506035,133.926
889,2296,558,68,46,0.0,23.055952,72.506035,133.926
890,2296,558,68,47,0.0,23.055952,72.506035,133.926
891,2296,558,68,47,0.0,23.055952,72.506035,133.926
892,2295,558,68,47,0.0,23.055952,72.506035,133.926
893,2296,558,68,47,0.0,23.055952,72.506035,133.926
894,2300,560,68,47,0.0,23.055952,72.506035,133.923
895,2298,558,68,47,0.0,23.055952,72.506035,133.923
896,2301,559,68,48,0.0,23.055952,72.506035,133.923
897,2302,560,68,49,0.0,23.055952,72.506035,133.923
898,2302,560,69,49,0.0,23.055952,72.506035,133.923
899,2302,560,68,49,0.0,23.055952,72.506035,133.923
900,2302,560,69,49,0.0,23.055952,72.506035,133.92
901,2303,560,68,50,0.0,23.055952,72.506035,133.92
