frameNo,left,top,w,h,conf,lat,long,alt
1305,4,1656,81,45,0.0,23.055952,72.506036,133.159
1306,3,1655,84,46,0.0,23.055952,72.506036,133.159
1307,4,1655,83,45,0.0,23.055952,72.506036,133.159
1308,5,1655,86,44,0.0,23.055952,72.506036,133.156
1309,7,1656,87,44,0.0,23.055952,72.506036,133.156
1310,7,1655,90,44,0.0,23.055952,72.506036,133.156
1311,11,1655,92,43,0.0,23.055952,72.506036,133.156
1312,15,1654,95,43,0.0,23.055952,72.506036,133.156
1313,18,1655,96,42,0.0,23.055952,72.506036,133.156
1314,21,1655,96,42,0.0,23.055952,72.506036,133.147
1315,27,1656,93,37,0.0,23.055952,72.506036,133.147
1324,82,1652,71,26,0.0,23.055952,72.506036,133.138
1325,87,1650,68,27,0.0,23.055952,72.506036,133.138
1326,91,1649,68,27,0.0,23.055952,72.506036,133.125
1327,97,1648,66,27,0.0,23.055952,72.506036,133.125
1328,100,1647,65,27,0.0,23.055952,72.506036,133.125
1329,103,1647,65,27,0.0,23.055952,72.506036,133.125
1333,120,1645,65,27,0.0,23.055952,72.506036,133.111
1334,125,1644,64,27,0.0,23.055952,72.506036,133.111
1335,128,1643,64,27,0.0,23.055952,72.506036,133.111
1336,132,1641,63,28,0.0,23.055952,72.506036,133.111
1337,133,1640,64,29,0.0,23.055952,72.506036,133.111
1338,138,1639,63,30,0.0,23.055952,72.506036,133.101
1339,142,1637,62,32,0.0,23.055952,72.506036,133.101
1340,143,1637,61,32,0.0,23.055952,72.506036,133.101
1341,146,1636,62,32,0.0,23.055952,72.506036,133.101
1342,148,1636,59,32,0.0,23.055952,72.506036,133.101
1374,278,1632,61,27,0.0,23.055951,72.506035,133.062
1375,281,1630,63,28,0.0,23.055951,72.506035,133.062
1376,283,1631,62,27,0.0,23.055951,72.506035,133.062
1380,299,1635,61,27,0.0,23.055952,72.506035,133.064
1384,320,1640,48,23,0.0,23.055952,72.506035,133.064
1389,336,1644,55,22,0.0,23.055952,72.506035,133.069
1390,339,1644,55,23,0.0,23.055952,72.506035,133.069
1391,345,1646,53,22,0.0,23.055952,72.506035,133.069
1392,351,1647,50,23,0.0,23.055952,72.506035,133.076
1397,365,1651,63,29,0.0,23.055952,72.506035,133.076
1398,371,1652,60,28,0.0,23.055952,72.506035,133.077
1399,374,1654,59,27,0.0,23.055952,72.506035,133.077
1400,373,1655,61,28,0.0,23.055952,72.506035,133.077
1401,375,1655,62,28,0.0,23.055952,72.506035,133.077
1402,380,1654,60,29,0.0,23.055952,72.506035,133.077
1403,384,1656,59,28,0.0,23.055952,72.506035,133.077
1404,388,1656,57,27,0.0,23.055952,72.506035,133.082
1405,398,1657,56,27,0.0,23.055952,72.506035,133.082
1416,424,1669,64,32,0.0,23.055952,72.506035,133.086
1417,425,1670,64,33,0.0,23.055952,72.506035,133.086
1424,445,1674,68,37,0.0,23.055952,72.506035,133.08
1425,451,1677,67,35,0.0,23.055952,72.506035,133.08
1426,454,1678,68,35,0.0,23.055952,72.506035,133.08
1427,460,1677,66,35,0.0,23.055952,72.506035,133.08
1428,461,1679,65,35,0.0,23.055952,72.506035,133.079
1429,464,1679,64,35,0.0,23.055952,72.506035,133.079
1430,468,1680,64,35,0.0,23.055952,72.506035,133.079
1431,474,1684,63,33,0.0,23.055952,72.506035,133.079
1432,477,1685,65,33,0.0,23.055952,72.506035,133.079
1433,478,1686,66,34,0.0,23.055952,72.506035,133.079
1434,478,1688,66,34,0.0,23.055952,72.506035,133.081
1435,479,1689,67,35,0.0,23.055952,72.506035,133.081
1436,483,1691,69,35,0.0,23.055952,72.506035,133.081
1437,489,1692,70,36,0.0,23.055952,72.506035,133.081
1438,491,1692,72,37,0.0,23.055952,72.506035,133.081
1439,494,1693,72,36,0.0,23.055952,72.506035,133.081
1440,492,1692,75,38,0.0,23.055952,72.506035,133.08
1441,497,1693,74,38,0.0,23.055952,72.506035,133.08
1442,504,1695,74,37,0.0,23.055952,72.506035,133.08
