frameNo,left,top,w,h,conf,lat,long,alt
103,4,1105,51,112,0.0,23.05595,72.506036,133.739
104,5,1106,59,107,0.0,23.05595,72.506036,133.739
105,5,1111,68,104,0.0,23.05595,72.506036,133.739
106,6,1113,78,102,0.0,23.05595,72.506036,133.739
107,7,1116,88,99,0.0,23.05595,72.506036,133.739
108,7,1117,99,97,0.0,23.05595,72.506036,133.739
109,8,1117,110,95,0.0,23.05595,72.506036,133.746
110,8,1117,123,95,0.0,23.05595,72.506036,133.746
111,9,1117,134,94,0.0,23.05595,72.506036,133.746
112,8,1118,146,90,0.0,23.05595,72.506036,133.746
113,13,1120,154,87,0.0,23.05595,72.506036,133.746
114,25,1123,158,84,0.0,23.05595,72.506036,133.746
115,37,1124,160,82,0.0,23.05595,72.506036,133.761
116,48,1124,161,80,0.0,23.05595,72.506036,133.761
117,62,1123,160,79,0.0,23.05595,72.506036,133.761
118,76,1123,160,79,0.0,23.05595,72.506036,133.761
119,85,1124,162,78,0.0,23.05595,72.506036,133.761
120,95,1123,160,79,0.0,23.05595,72.506036,133.761
121,107,1123,160,78,0.0,23.05595,72.506036,133.772
122,122,1125,157,76,0.0,23.05595,72.506036,133.772
123,135,1124,157,76,0.0,23.05595,72.506036,133.772
124,143,1124,160,77,0.0,23.05595,72.506036,133.772
125,153,1123,159,76,0.0,23.05595,72.506036,133.772
126,164,1122,159,76,0.0,23.05595,72.506036,133.772
127,176,1123,159,76,0.0,23.05595,72.506036,133.779
128,187,1123,157,77,0.0,23.05595,72.506036,133.779
129,195,1122,157,77,0.0,23.05595,72.506036,133.779
130,206,1122,158,77,0.0,23.05595,72.506036,133.779
131,219,1122,156,76,0.0,23.05595,72.506036,133.779
132,229,1121,157,76,0.0,23.05595,72.506036,133.779
133,240,1120,158,77,0.0,23.05595,72.506036,133.791
134,250,1121,157,77,0.0,23.05595,72.506036,133.791
135,260,1121,155,78,0.0,23.05595,72.506036,133.791
136,270,1121,156,78,0.0,23.05595,72.506036,133.791
137,278,1121,157,78,0.0,23.05595,72.506036,133.791
138,289,1122,156,77,0.0,23.05595,72.506036,133.791
139,298,1120,155,77,0.0,23.055951,72.506036,133.795
140,306,1120,156,77,0.0,23.055951,72.506036,133.795
141,316,1121,157,77,0.0,23.055951,72.506036,133.795
142,322,1120,161,77,0.0,23.055951,72.506036,133.795
143,331,1121,161,76,0.0,23.055951,72.506036,133.795
144,342,1120,162,76,0.0,23.055951,72.506036,133.795
145,353,1119,161,75,0.0,23.055951,72.506036,133.804
146,364,1120,159,76,0.0,23.055951,72.506036,133.804
147,373,1122,157,75,0.0,23.055951,72.506036,133.804
148,381,1122,159,75,0.0,23.055951,72.506036,133.804
149,388,1122,156,74,0.0,23.055951,72.506036,133.804
150,399,1119,155,75,0.0,23.055951,72.506036,133.804
151,411,1119,153,75,0.0,23.055951,72.506036,133.819
152,420,1120,155,74,0.0,23.055951,72.506036,133.819
153,427,1119,156,76,0.0,23.055951,72.506036,133.819
154,433,1119,157,77,0.0,23.055951,72.506036,133.819
155,444,1121,155,74,0.0,23.055951,72.506036,133.819
156,451,1120,156,76,0.0,23.055951,72.506036,133.819
157,459,1120,157,77,0.0,23.05595,72.506036,133.825
158,470,1120,156,76,0.0,23.05595,72.506036,133.825
159,479,1121,155,74,0.0,23.05595,72.506036,133.825
160,486,1121,154,74,0.0,23.05595,72.506036,133.825
161,496,1120,152,73,0.0,23.05595,72.506036,133.825
162,504,1120,152,74,0.0,23.05595,72.506036,133.825
163,510,1119,152,75,0.0,23.05595,72.506036,133.834
164,518,1119,151,74,0.0,23.05595,72.506036,133.834
165,524,1118,152,73,0.0,23.05595,72.506036,133.834
166,533,1118,150,73,0.0,23.05595,72.506036,133.834
167,543,1116,150,74,0.0,23.05595,72.506036,133.834
168,553,1114,150,76,0.0,23.05595,72.506036,133.834
169,563,1114,149,76,0.0,23.05595,72.506036,133.844
170,570,1115,149,75,0.0,23.05595,72.506036,133.844
171,578,1115,149,74,0.0,23.05595,72.506036,133.844
172,584,1115,149,75,0.0,23.05595,72.506036,133.844
173,593,1115,151,75,0.0,23.05595,72.506036,133.844
174,601,1113,153,76,0.0,23.05595,72.506036,133.844
175,609,1114,153,76,0.0,23.05595,72.506036,133.849
176,614,1115,156,75,0.0,23.05595,72.506036,133.849
177,620,1114,158,75,0.0,23.05595,72.506036,133.849
178,632,1114,152,75,0.0,23.05595,72.506036,133.849
179,638,1114,153,75,0.0,23.05595,72.506036,133.849
180,651,1112,153,76,0.0,23.05595,72.506036,133.849
181,656,1114,155,76,0.0,23.05595,72.506036,133.854
182,663,1114,156,77,0.0,23.05595,72.506036,133.854
183,670,1113,158,77,0.0,23.05595,72.506036,133.854
184,678,1111,157,77,0.0,23.05595,72.506036,133.854
185,689,1109,155,78,0.0,23.05595,72.506036,133.854
186,697,1110,155,78,0.0,23.05595,72.506036,133.854
187,705,1109,154,79,0.0,23.05595,72.506036,133.864
188,714,1109,154,79,0.0,23.05595,72.506036,133.864
189,720,1110,156,78,0.0,23.05595,72.506036,133.864
190,729,1110,153,80,0.0,23.05595,72.506037,133.864
191,739,1108,153,80,0.0,23.05595,72.506037,133.864
192,746,1107,156,81,0.0,23.05595,72.506037,133.864
193,755,1108,155,81,0.0,23.05595,72.506036,133.867
194,764,1107,152,80,0.0,23.05595,72.506036,133.867
195,772,1105,150,80,0.0,23.05595,72.506036,133.867
196,782,1106,148,81,0.0,23.05595,72.506036,133.867
197,790,1106,148,79,0.0,23.05595,72.506036,133.867
198,800,1106,150,80,0.0,23.05595,72.506036,133.867
199,808,1106,150,79,0.0,23.05595,72.506036,133.869
200,814,1105,151,79,0.0,23.05595,72.506036,133.869
201,825,1106,148,80,0.0,23.05595,72.506036,133.869
202,833,1105,147,80,0.0,23.05595,72.506036,133.869
203,842,1105,148,80,0.0,23.05595,72.506036,133.869
204,850,1106,149,80,0.0,23.05595,72.506036,133.869
205,859,1106,150,79,0.0,23.05595,72.506036,133.874
206,868,1106,150,78,0.0,23.05595,72.506036,133.874
207,879,1104,148,79,0.0,23.05595,72.506036,133.874
208,886,1103,149,79,0.0,23.05595,72.506036,133.874
209,895,1102,151,80,0.0,23.05595,72.506036,133.874
210,904,1101,150,79,0.0,23.05595,72.506036,133.874
211,913,1101,148,78,0.0,23.05595,72.506036,133.877
212,923,1103,147,79,0.0,23.05595,72.506036,133.877
213,932,1101,146,79,0.0,23.05595,72.506036,133.877
214,942,1100,147,80,0.0,23.05595,72.506036,133.877
215,951,1101,149,80,0.0,23.05595,72.506036,133.877
216,960,1099,149,79,0.0,23.05595,72.506036,133.877
217,970,1100,146,80,0.0,23.05595,72.506036,133.882
218,978,1098,146,82,0.0,23.05595,72.506036,133.882
219,990,1097,145,82,0.0,23.05595,72.506036,133.882
220,997,1096,148,81,0.0,23.05595,72.506036,133.882
221,1008,1096,149,80,0.0,23.05595,72.506036,133.882
222,1015,1095,147,81,0.0,23.05595,72.506036,133.882
223,1025,1096,147,79,0.0,23.05595,72.506036,133.891
224,1035,1095,149,80,0.0,23.05595,72.506036,133.891
225,1043,1094,150,80,0.0,23.05595,72.506036,133.891
226,1053,1093,151,79,0.0,23.05595,72.506036,133.891
227,1063,1093,151,78,0.0,23.05595,72.506036,133.891
228,1074,1092,150,79,0.0,23.05595,72.506036,133.891
229,1085,1091,148,79,0.0,23.05595,72.506036,133.904
230,1094,1090,148,79,0.0,23.05595,72.506036,133.904
231,1103,1088,150,80,0.0,23.05595,72.506036,133.904
232,1114,1088,149,79,0.0,23.05595,72.506036,133.904
233,1121,1088,148,79,0.0,23.05595,72.506036,133.904
234,1132,1086,148,80,0.0,23.05595,72.506036,133.904
235,1141,1085,148,80,0.0,23.05595,72.506036,133.911
236,1149,1084,150,80,0.0,23.05595,72.506036,133.911
237,1160,1083,152,78,0.0,23.05595,72.506036,133.911
238,1169,1082,149,78,0.0,23.05595,72.506036,133.911
239,1182,1081,148,78,0.0,23.05595,72.506036,133.911
240,1191,1079,150,80,0.0,23.05595,72.506036,133.911
241,1202,1081,151,78,0.0,23.05595,72.506036,133.918
242,1214,1081,150,78,0.0,23.05595,72.506036,133.918
243,1223,1081,150,79,0.0,23.05595,72.506036,133.918
244,1234,1080,150,79,0.0,23.05595,72.506036,133.918
245,1243,1080,150,77,0.0,23.05595,72.506036,133.918
246,1251,1082,150,76,0.0,23.05595,72.506036,133.918
247,1262,1080,149,77,0.0,23.055951,72.506036,133.927
248,1273,1079,149,77,0.0,23.055951,72.506036,133.927
249,1286,1078,149,76,0.0,23.055951,72.506036,133.927
250,1295,1078,151,75,0.0,23.055951,72.506036,133.927
251,1307,1077,151,75,0.0,23.055951,72.506036,133.927
252,1317,1074,151,77,0.0,23.055951,72.506036,133.927
253,1328,1074,150,76,0.0,23.055951,72.506036,133.944
254,1338,1074,152,76,0.0,23.055951,72.506036,133.944
255,1350,1073,150,75,0.0,23.055951,72.506036,133.944
256,1361,1073,150,76,0.0,23.055951,72.506036,133.944
257,1373,1071,151,77,0.0,23.055951,72.506036,133.944
258,1386,1071,147,78,0.0,23.055951,72.506036,133.944
259,1398,1072,145,76,0.0,23.055951,72.506036,133.951
260,1414,1072,142,76,0.0,23.055951,72.506036,133.951
261,1424,1067,142,77,0.0,23.055951,72.506036,133.951
262,1438,1067,140,78,0.0,23.055951,72.506036,133.951
263,1446,1065,140,78,0.0,23.055951,72.506036,133.951
264,1456,1065,140,79,0.0,23.055951,72.506036,133.951
265,1465,1064,143,80,0.0,23.055951,72.506036,133.954
266,1476,1062,144,80,0.0,23.055951,72.506036,133.954
267,1486,1060,144,79,0.0,23.055951,72.506036,133.954
268,1498,1060,144,77,0.0,23.055951,72.506036,133.954
269,1510,1062,143,75,0.0,23.055951,72.506036,133.954
270,1523,1062,142,76,0.0,23.055951,72.506036,133.954
271,1534,1062,143,76,0.0,23.055951,72.506036,133.959
272,1547,1060,142,76,0.0,23.055951,72.506036,133.959
273,1559,1060,141,75,0.0,23.055951,72.506036,133.959
274,1568,1059,141,76,0.0,23.055951,72.506036,133.959
275,1579,1058,141,76,0.0,23.055951,72.506036,133.959
276,1591,1057,142,77,0.0,23.055951,72.506036,133.959
277,1604,1056,141,76,0.0,23.055951,72.506036,133.962
278,1616,1056,140,77,0.0,23.055951,72.506036,133.962
279,1628,1055,139,78,0.0,23.055951,72.506036,133.962
280,1640,1054,139,78,0.0,23.055951,72.506036,133.962
281,1651,1053,139,80,0.0,23.055951,72.506036,133.962
282,1662,1053,141,79,0.0,23.055951,72.506036,133.962
283,1676,1051,140,78,0.0,23.055951,72.506036,133.963
284,1687,1050,140,77,0.0,23.055951,72.506036,133.963
285,1699,1050,139,75,0.0,23.055951,72.506036,133.963
286,1710,1049,142,78,0.0,23.055951,72.506036,133.963
287,1722,1046,145,79,0.0,23.055951,72.506036,133.963
288,1733,1044,144,80,0.0,23.055951,72.506036,133.963
289,1745,1044,143,80,0.0,23.055951,72.506036,133.963
290,1757,1043,143,79,0.0,23.055951,72.506036,133.963
291,1769,1042,145,78,0.0,23.055951,72.506036,133.963
292,1782,1042,146,75,0.0,23.055951,72.506036,133.963
293,1795,1043,143,74,0.0,23.055951,72.506036,133.963
294,1806,1041,144,75,0.0,23.055951,72.506036,133.963
295,1819,1039,144,76,0.0,23.055951,72.506036,133.967
296,1834,1040,143,74,0.0,23.055951,72.506036,133.967
297,1846,1040,142,73,0.0,23.055951,72.506036,133.967
298,1859,1038,140,73,0.0,23.055951,72.506036,133.967
299,1870,1038,142,73,0.0,23.055951,72.506036,133.967
300,1879,1038,143,73,0.0,23.055951,72.506036,133.967
301,1891,1035,142,72,0.0,23.055951,72.506036,133.967
302,1904,1035,142,73,0.0,23.055951,72.506036,133.967
303,1915,1034,146,74,0.0,23.055951,72.506036,133.967
304,1928,1030,145,73,0.0,23.055951,72.506036,133.967
305,1943,1031,146,72,0.0,23.055951,72.506036,133.967
306,1954,1031,145,73,0.0,23.055951,72.506036,133.967
307,1965,1032,148,72,0.0,23.055951,72.506036,133.965
308,1978,1028,147,73,0.0,23.055951,72.506036,133.965
309,1989,1027,150,76,0.0,23.055951,72.506036,133.965
310,2002,1027,149,75,0.0,23.055951,72.506036,133.965
311,2015,1028,149,74,0.0,23.055951,72.506036,133.965
312,2030,1028,147,74,0.0,23.055951,72.506036,133.965
313,2043,1027,146,75,0.0,23.055951,72.506036,133.966
314,2056,1027,143,73,0.0,23.055951,72.506036,133.966
315,2068,1028,146,73,0.0,23.055951,72.506036,133.966
316,2081,1026,144,73,0.0,23.055951,72.506036,133.966
317,2094,1024,147,76,0.0,23.055951,72.506036,133.966
318,2106,1021,147,74,0.0,23.055951,72.506036,133.966
319,2117,1022,147,74,0.0,23.055951,72.506036,133.962
320,2131,1022,144,76,0.0,23.055951,72.506036,133.962
321,2145,1021,144,76,0.0,23.055951,72.506036,133.962
322,2157,1020,146,75,0.0,23.055951,72.506036,133.962
323,2172,1019,143,77,0.0,23.055951,72.506036,133.962
324,2184,1018,142,76,0.0,23.055951,72.506036,133.962
325,2197,1019,142,76,0.0,23.055951,72.506036,133.959
326,2208,1018,145,76,0.0,23.055951,72.506036,133.959
327,2223,1016,145,75,0.0,23.055951,72.506036,133.959
328,2233,1016,146,74,0.0,23.055951,72.506036,133.959
329,2245,1014,146,75,0.0,23.055951,72.506036,133.959
330,2259,1012,144,75,0.0,23.055951,72.506036,133.959
331,2271,1012,142,73,0.0,23.055951,72.506036,133.955
332,2285,1012,142,75,0.0,23.055951,72.506036,133.955
333,2297,1010,143,74,0.0,23.055951,72.506036,133.955
334,2306,1008,144,73,0.0,23.055951,72.506036,133.955
335,2322,1010,142,76,0.0,23.055951,72.506036,133.955
336,2334,1009,143,77,0.0,23.055951,72.506036,133.955
337,2348,1008,144,77,0.0,23.055951,72.506036,133.955
338,2360,1008,143,77,0.0,23.055951,72.506036,133.955
339,2373,1008,141,78,0.0,23.055951,72.506036,133.955
340,2386,1008,142,78,0.0,23.055951,72.506036,133.955
341,2398,1007,142,77,0.0,23.055951,72.506036,133.955
342,2410,1007,141,78,0.0,23.055951,72.506036,133.955
343,2421,1006,142,80,0.0,23.055951,72.506036,133.946
344,2435,1005,142,81,0.0,23.055951,72.506036,133.946
345,2447,1004,144,80,0.0,23.055951,72.506036,133.946
346,2459,1001,143,79,0.0,23.055951,72.506036,133.946
347,2472,1001,142,80,0.0,23.055951,72.506036,133.946
348,2482,1001,144,78,0.0,23.055951,72.506036,133.946
349,2495,999,146,78,0.0,23.055951,72.506036,133.946
350,2507,1001,144,76,0.0,23.055951,72.506036,133.946
351,2519,1001,146,76,0.0,23.055951,72.506036,133.946
352,2531,1000,146,77,0.0,23.055951,72.506036,133.946
353,2544,1000,145,77,0.0,23.055951,72.506036,133.946
354,2555,1000,145,78,0.0,23.055951,72.506036,133.946
355,2565,999,146,78,0.0,23.055951,72.506036,133.944
356,2578,998,146,79,0.0,23.055951,72.506036,133.944
357,2590,998,146,79,0.0,23.055951,72.506036,133.944
358,2603,997,144,78,0.0,23.055951,72.506036,133.944
359,2615,997,144,79,0.0,23.055951,72.506036,133.944
360,2630,995,143,78,0.0,23.055951,72.506036,133.944
361,2643,993,142,77,0.0,23.055951,72.506036,133.941
362,2655,992,142,77,0.0,23.055951,72.506036,133.941
363,2668,990,141,77,0.0,23.055951,72.506036,133.941
364,2681,990,142,76,0.0,23.055951,72.506036,133.941
365,2691,990,144,75,0.0,23.055951,72.506036,133.941
366,2703,991,144,73,0.0,23.055951,72.506036,133.941
367,2715,990,144,74,0.0,23.055951,72.506036,133.942
368,2729,990,145,73,0.0,23.055951,72.506036,133.942
369,2740,990,146,73,0.0,23.055951,72.506036,133.942
370,2753,990,145,73,0.0,23.055951,72.506036,133.942
371,2763,989,147,73,0.0,23.055951,72.506036,133.942
372,2777,990,148,74,0.0,23.055951,72.506036,133.942
373,2785,989,150,74,0.0,23.055951,72.506036,133.946
374,2800,990,147,75,0.0,23.055951,72.506036,133.946
375,2811,989,148,77,0.0,23.055951,72.506036,133.946
376,2824,988,147,78,0.0,23.055951,72.506036,133.946
377,2835,988,149,77,0.0,23.055951,72.506036,133.946
378,2849,987,149,77,0.0,23.055951,72.506036,133.946
379,2861,985,150,77,0.0,23.055951,72.506036,133.947
380,2872,985,151,76,0.0,23.055951,72.506036,133.947
381,2883,986,152,74,0.0,23.055951,72.506036,133.947
382,2895,985,153,75,0.0,23.055951,72.506036,133.947
383,2909,984,151,75,0.0,23.055951,72.506036,133.947
384,2921,984,152,73,0.0,23.055951,72.506036,133.947
385,2935,984,152,73,0.0,23.055951,72.506036,133.949
386,2946,984,151,72,0.0,23.055951,72.506036,133.949
387,2959,984,151,73,0.0,23.055951,72.506036,133.949
388,2970,983,151,73,0.0,23.055951,72.506036,133.949
389,2984,983,151,73,0.0,23.055951,72.506036,133.949
390,2996,981,151,73,0.0,23.055951,72.506036,133.949
391,3011,982,149,74,0.0,23.055951,72.506036,133.95
392,3022,982,150,73,0.0,23.055951,72.506036,133.95
393,3036,982,150,72,0.0,23.055951,72.506036,133.95
394,3045,982,151,72,0.0,23.055951,72.506036,133.95
395,3057,982,151,71,0.0,23.055951,72.506036,133.95
396,3069,981,152,71,0.0,23.055951,72.506036,133.95
397,3081,980,153,72,0.0,23.055951,72.506036,133.955
398,3091,980,153,73,0.0,23.055951,72.506036,133.955
399,3104,978,153,74,0.0,23.055951,72.506036,133.955
400,3116,978,156,73,0.0,23.055951,72.506036,133.955
401,3129,976,157,74,0.0,23.055951,72.506036,133.955
402,3140,976,156,73,0.0,23.055951,72.506036,133.955
403,3152,974,155,74,0.0,23.055951,72.506036,133.956
404,3164,972,154,75,0.0,23.055951,72.506036,133.956
405,3178,971,151,77,0.0,23.055951,72.506036,133.956
406,3189,971,150,76,0.0,23.055951,72.506036,133.956
407,3203,970,150,76,0.0,23.055951,72.506036,133.956
408,3215,967,151,77,0.0,23.055951,72.506036,133.956
409,3227,968,150,78,0.0,23.055951,72.506036,133.96
410,3237,968,151,78,0.0,23.055951,72.506036,133.96
411,3251,966,151,79,0.0,23.055951,72.506036,133.96
412,3263,963,152,80,0.0,23.055951,72.506036,133.96
413,3275,964,151,81,0.0,23.055951,72.506036,133.96
414,3287,964,151,79,0.0,23.055951,72.506036,133.96
415,3301,963,151,79,0.0,23.055951,72.506036,133.963
416,3314,963,150,77,0.0,23.055951,72.506036,133.963
417,3327,963,149,76,0.0,23.055951,72.506036,133.963
418,3339,962,148,76,0.0,23.055951,72.506036,133.963
419,3353,961,146,75,0.0,23.055951,72.506036,133.963
420,3367,960,144,75,0.0,23.055951,72.506036,133.963
421,3379,961,143,74,0.0,23.055951,72.506036,133.966
422,3390,961,147,72,0.0,23.055951,72.506036,133.966
423,3400,961,146,72,0.0,23.055951,72.506036,133.966
424,3413,961,145,73,0.0,23.055951,72.506036,133.966
425,3425,959,146,73,0.0,23.055951,72.506036,133.966
426,3434,958,147,73,0.0,23.055951,72.506036,133.966
427,3447,956,147,74,0.0,23.055951,72.506036,133.962
428,3459,955,148,74,0.0,23.055951,72.506036,133.962
429,3472,954,149,75,0.0,23.055951,72.506036,133.962
430,3485,954,148,75,0.0,23.055951,72.506036,133.962
431,3497,955,148,74,0.0,23.055951,72.506036,133.962
432,3508,954,148,74,0.0,23.055951,72.506036,133.962
433,3520,954,148,75,0.0,23.05595,72.506036,133.958
434,3532,953,148,74,0.0,23.05595,72.506036,133.958
435,3545,951,151,75,0.0,23.05595,72.506036,133.958
436,3556,949,154,76,0.0,23.05595,72.506036,133.958
437,3567,946,153,75,0.0,23.05595,72.506036,133.958
438,3578,945,153,76,0.0,23.05595,72.506036,133.958
