frameNo,left,top,w,h,conf,lat,long,alt
798,1674,34,34,60,0.0,23.055988,72.506014,132.725
799,1676,42,34,60,0.0,23.055988,72.506014,132.725
800,1678,50,33,58,0.0,23.055988,72.506014,132.725
801,1681,59,32,54,0.0,23.055988,72.506014,132.723
808,1690,116,29,52,0.0,23.055988,72.506014,132.729
809,1692,125,30,53,0.0,23.055988,72.506014,132.729
810,1693,132,29,53,0.0,23.055988,72.506014,132.729
811,1694,142,30,52,0.0,23.055988,72.506014,132.729
821,1702,215,31,55,0.0,23.055988,72.506014,132.728
822,1702,224,31,54,0.0,23.055988,72.506014,132.728
852,1693,423,33,63,0.0,23.055988,72.506014,132.711
853,1692,429,34,63,0.0,23.055988,72.506014,132.711
854,1693,437,31,60,0.0,23.055988,72.506014,132.711
855,1693,445,30,55,0.0,23.055988,72.506014,132.708
856,1693,453,29,51,0.0,23.055988,72.506014,132.708
857,1691,459,30,50,0.0,23.055988,72.506014,132.708
858,1689,468,29,50,0.0,23.055988,72.506014,132.708
859,1687,476,30,49,0.0,23.055988,72.506014,132.708
860,1686,481,32,51,0.0,23.055988,72.506014,132.708
861,1685,486,31,53,0.0,23.055988,72.506014,132.701
862,1684,492,32,52,0.0,23.055988,72.506014,132.701
863,1683,498,31,51,0.0,23.055988,72.506014,132.701
864,1679,505,33,50,0.0,23.055988,72.506014,132.701
865,1677,512,34,53,0.0,23.055988,72.506014,132.701
866,1676,516,33,54,0.0,23.055988,72.506014,132.696
867,1676,521,33,54,0.0,23.055988,72.506014,132.696
868,1673,527,33,54,0.0,23.055988,72.506014,132.696
869,1672,534,32,53,0.0,23.055988,72.506014,132.696
870,1671,540,31,52,0.0,23.055988,72.506014,132.696
871,1669,546,31,51,0.0,23.055988,72.506014,132.696
872,1665,552,32,54,0.0,23.055988,72.506014,132.691
873,1662,557,32,54,0.0,23.055988,72.506014,132.691
874,1660,563,33,54,0.0,23.055988,72.506014,132.691
875,1660,569,34,52,0.0,23.055988,72.506014,132.691
879,1651,596,34,53,0.0,23.055988,72.506014,132.68
880,1650,601,35,51,0.0,23.055988,72.506014,132.68
881,1648,608,34,51,0.0,23.055988,72.506014,132.68
882,1646,613,34,49,0.0,23.055988,72.506014,132.68
883,1643,620,34,50,0.0,23.055988,72.506014,132.68
884,1641,626,34,51,0.0,23.055988,72.506015,132.668
885,1639,631,34,51,0.0,23.055988,72.506015,132.668
898,1606,710,36,46,0.0,23.055988,72.506015,132.652
899,1603,715,35,44,0.0,23.055988,72.506015,132.652
900,1599,721,35,45,0.0,23.055988,72.506015,132.652
901,1595,728,35,45,0.0,23.055988,72.506015,132.652
902,1590,737,34,45,0.0,23.055988,72.506015,132.646
903,1589,743,33,43,0.0,23.055988,72.506015,132.646
904,1585,749,34,43,0.0,23.055988,72.506015,132.646
905,1583,756,34,42,0.0,23.055988,72.506015,132.646
906,1578,762,34,45,0.0,23.055988,72.506015,132.646
907,1573,767,36,46,0.0,23.055988,72.506015,132.646
908,1571,772,35,46,0.0,23.055988,72.506015,132.635
909,1565,780,36,44,0.0,23.055988,72.506015,132.635
910,1561,786,36,44,0.0,23.055988,72.506015,132.635
911,1559,793,35,43,0.0,23.055988,72.506015,132.635
912,1554,798,37,45,0.0,23.055988,72.506015,132.635
913,1549,802,38,45,0.0,23.055988,72.506015,132.635
914,1546,808,37,44,0.0,23.055988,72.506015,132.627
915,1541,816,37,45,0.0,23.055988,72.506015,132.627
916,1537,820,38,45,0.0,23.055988,72.506015,132.627
917,1531,826,38,45,0.0,23.055988,72.506015,132.627
918,1529,832,38,45,0.0,23.055988,72.506015,132.627
919,1525,838,36,44,0.0,23.055988,72.506015,132.627
920,1518,844,37,44,0.0,23.055988,72.506015,132.621
921,1513,849,37,44,0.0,23.055988,72.506015,132.621
922,1511,854,37,43,0.0,23.055988,72.506015,132.621
923,1507,859,39,42,0.0,23.055988,72.506015,132.621
924,1501,865,37,41,0.0,23.055988,72.506015,132.621
932,1460,907,36,38,0.0,23.055988,72.506015,132.609
941,1401,952,36,35,0.0,23.055988,72.506015,132.605
942,1396,957,35,35,0.0,23.055988,72.506015,132.605
943,1391,960,35,35,0.0,23.055988,72.506015,132.605
944,1383,964,38,36,0.0,23.055988,72.506015,132.604
945,1374,970,38,35,0.0,23.055988,72.506015,132.604
946,1368,973,38,34,0.0,23.055988,72.506015,132.604
947,1361,977,39,34,0.0,23.055988,72.506015,132.604
948,1356,982,38,34,0.0,23.055988,72.506015,132.604
949,1348,987,39,33,0.0,23.055988,72.506015,132.604
950,1342,988,37,33,0.0,23.055988,72.506015,132.594
951,1334,993,38,32,0.0,23.055988,72.506015,132.594
952,1327,998,37,31,0.0,23.055988,72.506015,132.594
953,1321,1002,37,31,0.0,23.055988,72.506015,132.594
954,1318,1006,36,30,0.0,23.055988,72.506015,132.594
955,1310,1008,36,30,0.0,23.055988,72.506015,132.594
956,1300,1012,36,31,0.0,23.055988,72.506015,132.593
957,1288,1016,39,30,0.0,23.055988,72.506015,132.593
958,1278,1019,40,30,0.0,23.055988,72.506015,132.593
959,1271,1023,41,29,0.0,23.055988,72.506015,132.593
960,1265,1024,42,29,0.0,23.055988,72.506015,132.593
961,1258,1031,42,29,0.0,23.055988,72.506015,132.593
962,1251,1036,41,29,0.0,23.055988,72.506015,132.583
963,1243,1038,41,29,0.0,23.055988,72.506015,132.583
967,1209,1051,41,29,0.0,23.055988,72.506015,132.583
968,1203,1053,40,30,0.0,23.055988,72.506015,132.58
969,1196,1055,40,30,0.0,23.055988,72.506015,132.58
970,1189,1057,39,30,0.0,23.055988,72.506015,132.58
971,1181,1060,39,30,0.0,23.055988,72.506015,132.58
972,1171,1063,39,30,0.0,23.055988,72.506015,132.58
973,1164,1066,39,31,0.0,23.055988,72.506015,132.58
974,1155,1067,39,30,0.0,23.055988,72.506015,132.574
978,1120,1076,45,29,0.0,23.055988,72.506015,132.574
979,1110,1080,47,31,0.0,23.055988,72.506015,132.574
980,1103,1082,48,31,0.0,23.055988,72.506015,132.572
981,1094,1083,48,32,0.0,23.055988,72.506015,132.572
982,1085,1084,47,31,0.0,23.055988,72.506015,132.572
983,1077,1087,46,30,0.0,23.055988,72.506015,132.572
984,1067,1090,48,30,0.0,23.055988,72.506015,132.572
985,1059,1093,46,30,0.0,23.055988,72.506015,132.572
986,1051,1096,45,30,0.0,23.055988,72.506015,132.564
987,1046,1099,43,29,0.0,23.055988,72.506015,132.564
