frameNo,left,top,w,h,conf,lat,long,alt
1543,3721,685,74,35,0.0,23.055988,72.506014,132.588
1544,3712,684,81,37,0.0,23.055988,72.506014,132.586
1545,3705,685,85,37,0.0,23.055988,72.506014,132.586
1546,3694,685,88,38,0.0,23.055988,72.506014,132.586
1547,3695,687,90,38,0.0,23.055988,72.506014,132.586
1548,3691,687,91,37,0.0,23.055988,72.506014,132.586
1549,3689,687,90,36,0.0,23.055988,72.506014,132.586
1550,3688,686,91,36,0.0,23.055988,72.506014,132.584
1551,3688,686,88,36,0.0,23.055988,72.506014,132.584
1552,3688,686,86,36,0.0,23.055988,72.506014,132.584
1553,3687,687,86,36,0.0,23.055988,72.506014,132.584
1554,3692,687,80,35,0.0,23.055988,72.506014,132.584
1555,3697,689,74,35,0.0,23.055988,72.506014,132.584
1556,3697,690,70,35,0.0,23.055988,72.506014,132.579
1557,3698,692,66,35,0.0,23.055988,72.506014,132.579
1558,3692,691,67,35,0.0,23.055988,72.506014,132.579
1559,3692,694,64,35,0.0,23.055988,72.506014,132.579
1560,3687,694,65,35,0.0,23.055988,72.506014,132.579
1561,3684,695,64,34,0.0,23.055988,72.506014,132.579
1562,3676,695,67,34,0.0,23.055988,72.506014,132.576
1563,3674,694,68,34,0.0,23.055988,72.506014,132.576
1564,3667,695,70,33,0.0,23.055988,72.506014,132.576
1565,3667,695,70,33,0.0,23.055988,72.506014,132.576
1566,3665,696,69,32,0.0,23.055988,72.506014,132.576
1567,3662,696,69,32,0.0,23.055988,72.506014,132.576
1568,3662,697,67,31,0.0,23.055988,72.506014,132.571
1569,3660,697,66,30,0.0,23.055988,72.506014,132.571
1570,3662,698,62,30,0.0,23.055988,72.506014,132.571
1571,3657,697,63,30,0.0,23.055988,72.506014,132.571
1572,3657,699,62,29,0.0,23.055988,72.506014,132.571
1573,3653,699,63,29,0.0,23.055988,72.506014,132.571
1574,3650,698,65,29,0.0,23.055988,72.506014,132.572
1575,3642,697,68,29,0.0,23.055988,72.506014,132.572
1576,3641,697,67,29,0.0,23.055988,72.506014,132.572
1577,3637,697,68,30,0.0,23.055988,72.506014,132.572
1578,3635,698,67,29,0.0,23.055988,72.506014,132.572
1579,3635,698,66,29,0.0,23.055988,72.506014,132.572
1580,3632,698,65,29,0.0,23.055988,72.506014,132.568
1581,3634,699,62,29,0.0,23.055988,72.506014,132.568
1582,3625,698,64,29,0.0,23.055988,72.506014,132.568
1583,3622,697,65,30,0.0,23.055988,72.506014,132.568
1584,3616,697,66,29,0.0,23.055988,72.506014,132.568
1585,3616,698,64,29,0.0,23.055988,72.506014,132.568
1586,3612,697,64,29,0.0,23.055988,72.506014,132.561
