frameNo,left,top,w,h,conf,lat,long,alt
2520,1894,27,29,48,0.0,23.055988,72.506014,132.785
2521,1894,34,31,50,0.0,23.055988,72.506014,132.783
2522,1896,40,32,50,0.0,23.055988,72.506014,132.783
2531,1915,102,33,57,0.0,23.055988,72.506015,132.783
2542,1941,178,31,52,0.0,23.055988,72.506015,132.78
2543,1942,182,30,52,0.0,23.055988,72.506015,132.78
2553,1964,244,31,52,0.0,23.055988,72.506015,132.768
2581,2013,400,32,50,0.0,23.055989,72.506015,132.731
2582,2017,407,30,46,0.0,23.055989,72.506015,132.731
2588,2025,435,36,54,0.0,23.055988,72.506015,132.724
2596,2041,473,33,50,0.0,23.055988,72.506015,132.714
2597,2044,477,33,48,0.0,23.055988,72.506015,132.714
2609,2062,526,33,50,0.0,23.055989,72.506015,132.705
2610,2063,529,33,49,0.0,23.055989,72.506015,132.705
2611,2064,531,33,49,0.0,23.055988,72.506014,132.697
2612,2066,534,33,47,0.0,23.055988,72.506014,132.697
2613,2068,537,33,47,0.0,23.055988,72.506014,132.697
2614,2069,544,33,46,0.0,23.055989,72.506014,132.697
2615,2072,549,32,44,0.0,23.055989,72.506014,132.697
2616,2075,551,31,44,0.0,23.055989,72.506014,132.697
2617,2077,557,32,45,0.0,23.055988,72.506014,132.687
2618,2080,561,32,45,0.0,23.055988,72.506014,132.687
2619,2082,565,32,45,0.0,23.055988,72.506014,132.687
2620,2083,568,32,44,0.0,23.055988,72.506014,132.687
2621,2082,571,31,44,0.0,23.055988,72.506014,132.687
2626,2089,587,34,44,0.0,23.055989,72.506015,132.68
2627,2091,592,34,44,0.0,23.055989,72.506015,132.68
2628,2093,596,34,44,0.0,23.055989,72.506015,132.68
2629,2094,599,35,44,0.0,23.055988,72.506015,132.666
2630,2095,602,34,44,0.0,23.055988,72.506015,132.666
2631,2097,604,34,43,0.0,23.055988,72.506015,132.666
2632,2099,605,34,44,0.0,23.055988,72.506015,132.666
2633,2099,608,35,44,0.0,23.055988,72.506015,132.666
2634,2099,610,36,45,0.0,23.055988,72.506015,132.666
2635,2101,612,36,46,0.0,23.055988,72.506015,132.662
2636,2101,613,37,47,0.0,23.055988,72.506015,132.662
2637,2102,614,37,49,0.0,23.055988,72.506015,132.662
2638,2104,618,37,49,0.0,23.055988,72.506015,132.662
2639,2106,621,38,50,0.0,23.055988,72.506015,132.662
2640,2109,625,37,50,0.0,23.055988,72.506015,132.662
2641,2113,629,37,50,0.0,23.055988,72.506015,132.653
2642,2116,633,37,49,0.0,23.055988,72.506015,132.653
2643,2119,636,38,48,0.0,23.055988,72.506015,132.653
2644,2123,640,37,47,0.0,23.055988,72.506015,132.653
2645,2126,644,38,46,0.0,23.055988,72.506015,132.653
2646,2130,647,37,45,0.0,23.055988,72.506015,132.653
2647,2133,650,37,44,0.0,23.055988,72.506015,132.648
2648,2135,653,36,44,0.0,23.055988,72.506015,132.648
2649,2136,656,36,43,0.0,23.055988,72.506015,132.648
2650,2137,658,37,43,0.0,23.055988,72.506015,132.648
2651,2139,660,37,43,0.0,23.055988,72.506015,132.648
2652,2142,662,37,42,0.0,23.055988,72.506015,132.648
2653,2144,665,38,42,0.0,23.055988,72.506015,132.644
2654,2146,668,38,41,0.0,23.055988,72.506015,132.644
2655,2150,670,38,41,0.0,23.055988,72.506015,132.644
2656,2153,673,38,41,0.0,23.055988,72.506015,132.644
2657,2156,676,39,40,0.0,23.055988,72.506015,132.644
2658,2158,679,39,40,0.0,23.055988,72.506015,132.644
2659,2160,681,39,40,0.0,23.055988,72.506015,132.64
2660,2163,683,39,41,0.0,23.055988,72.506015,132.64
2661,2165,685,38,39,0.0,23.055988,72.506015,132.64
2662,2168,687,38,39,0.0,23.055988,72.506015,132.64
2663,2171,689,39,38,0.0,23.055988,72.506015,132.64
2664,2174,691,39,38,0.0,23.055988,72.506015,132.64
2665,2176,693,39,37,0.0,23.055988,72.506015,132.635
2666,2177,694,39,37,0.0,23.055988,72.506015,132.635
2667,2182,697,38,36,0.0,23.055988,72.506015,132.635
2668,2185,698,38,36,0.0,23.055988,72.506015,132.635
2669,2189,699,37,37,0.0,23.055988,72.506015,132.635
2670,2191,700,37,37,0.0,23.055988,72.506015,132.635
2671,2193,702,37,36,0.0,23.055988,72.506015,132.628
2672,2194,702,38,37,0.0,23.055988,72.506015,132.628
2673,2194,705,41,38,0.0,23.055988,72.506015,132.628
2674,2198,706,40,38,0.0,23.055988,72.506015,132.628
2675,2200,708,41,37,0.0,23.055988,72.506015,132.628
2676,2202,710,41,37,0.0,23.055988,72.506015,132.628
2677,2204,713,42,37,0.0,23.055988,72.506015,132.627
2678,2208,715,41,36,0.0,23.055988,72.506015,132.627
2679,2211,716,41,36,0.0,23.055988,72.506015,132.627
2680,2213,717,39,36,0.0,23.055988,72.506015,132.627
2681,2215,719,40,35,0.0,23.055988,72.506015,132.627
2682,2218,721,39,35,0.0,23.055988,72.506015,132.627
2683,2221,722,39,35,0.0,23.055988,72.506015,132.628
2684,2223,722,38,36,0.0,23.055988,72.506015,132.628
2685,2226,724,38,36,0.0,23.055988,72.506015,132.628
2686,2228,726,39,36,0.0,23.055988,72.506015,132.628
2687,2229,728,41,38,0.0,23.055988,72.506015,132.628
2688,2234,730,41,38,0.0,23.055988,72.506015,132.628
2689,2238,734,41,36,0.0,23.055988,72.506015,132.625
2690,2241,736,42,37,0.0,23.055988,72.506015,132.625
2691,2245,739,40,38,0.0,23.055988,72.506015,132.625
2692,2248,741,41,40,0.0,23.055988,72.506015,132.625
2693,2250,742,41,39,0.0,23.055988,72.506015,132.625
2694,2254,745,41,40,0.0,23.055988,72.506015,132.625
2695,2257,746,40,40,0.0,23.055988,72.506015,132.631
2696,2259,748,42,42,0.0,23.055988,72.506015,132.631
2697,2264,753,40,40,0.0,23.055988,72.506015,132.631
2698,2266,756,40,40,0.0,23.055988,72.506015,132.631
2699,2268,758,41,41,0.0,23.055988,72.506015,132.631
2700,2271,760,41,42,0.0,23.055988,72.506015,132.631
2701,2275,763,41,42,0.0,23.055988,72.506015,132.638
2702,2279,765,41,42,0.0,23.055988,72.506015,132.638
2703,2284,767,40,43,0.0,23.055988,72.506015,132.638
2707,2295,783,40,45,0.0,23.055988,72.506015,132.643
2708,2299,786,40,45,0.0,23.055988,72.506015,132.643
2709,2302,789,39,45,0.0,23.055988,72.506015,132.643
