frameNo,left,top,w,h,conf,lat,long,alt
1410,3766,1243,70,74,0.0,23.055988,72.506014,132.59
1411,3751,1241,82,76,0.0,23.055988,72.506014,132.59
1412,3739,1240,93,76,0.0,23.055988,72.506014,132.592
1413,3729,1238,103,76,0.0,23.055988,72.506014,132.592
1416,3690,1245,138,65,0.0,23.055988,72.506014,132.592
1417,3674,1245,144,66,0.0,23.055988,72.506014,132.592
1418,3662,1246,145,66,0.0,23.055988,72.506014,132.596
1419,3647,1245,147,66,0.0,23.055988,72.506014,132.596
1420,3634,1246,146,66,0.0,23.055988,72.506014,132.596
1421,3621,1245,147,68,0.0,23.055988,72.506014,132.596
1422,3609,1245,147,67,0.0,23.055988,72.506014,132.596
1423,3597,1245,147,66,0.0,23.055988,72.506014,132.596
1424,3584,1245,147,65,0.0,23.055988,72.506014,132.596
1425,3571,1245,149,66,0.0,23.055988,72.506014,132.596
1426,3561,1246,147,65,0.0,23.055988,72.506014,132.596
1427,3548,1245,148,66,0.0,23.055988,72.506014,132.596
1428,3534,1246,147,65,0.0,23.055988,72.506014,132.596
1429,3520,1246,149,67,0.0,23.055988,72.506014,132.596
1430,3508,1245,150,67,0.0,23.055988,72.506014,132.602
1431,3495,1244,150,67,0.0,23.055988,72.506014,132.602
1432,3482,1245,151,67,0.0,23.055988,72.506014,132.602
1433,3470,1245,151,67,0.0,23.055988,72.506014,132.602
1434,3459,1245,151,66,0.0,23.055988,72.506014,132.602
1435,3445,1244,151,66,0.0,23.055988,72.506014,132.602
1436,3434,1245,149,68,0.0,23.055988,72.506014,132.61
1437,3423,1246,148,67,0.0,23.055988,72.506014,132.61
1438,3412,1246,146,66,0.0,23.055988,72.506014,132.61
1439,3399,1247,144,65,0.0,23.055988,72.506014,132.61
1440,3388,1247,144,65,0.0,23.055988,72.506014,132.61
1441,3375,1246,144,65,0.0,23.055988,72.506014,132.61
1442,3363,1246,144,65,0.0,23.055988,72.506014,132.611
1443,3349,1246,145,65,0.0,23.055988,72.506014,132.611
1444,3337,1246,145,65,0.0,23.055988,72.506014,132.611
1445,3325,1247,145,64,0.0,23.055988,72.506014,132.611
1446,3311,1246,147,64,0.0,23.055988,72.506014,132.611
1447,3297,1246,148,64,0.0,23.055988,72.506014,132.611
1448,3285,1247,147,64,0.0,23.055988,72.506014,132.612
1449,3273,1247,146,64,0.0,23.055988,72.506014,132.612
1450,3260,1246,146,64,0.0,23.055988,72.506014,132.612
1451,3247,1246,147,65,0.0,23.055988,72.506014,132.612
1452,3235,1247,146,65,0.0,23.055988,72.506014,132.612
1457,3177,1247,140,65,0.0,23.055988,72.506014,132.61
1458,3163,1247,140,65,0.0,23.055988,72.506014,132.61
1459,3149,1248,140,64,0.0,23.055988,72.506014,132.61
1460,3135,1247,141,64,0.0,23.055988,72.506014,132.612
1461,3125,1246,139,63,0.0,23.055988,72.506014,132.612
1462,3111,1246,140,63,0.0,23.055988,72.506014,132.612
1463,3098,1246,141,64,0.0,23.055988,72.506014,132.612
1464,3087,1246,140,65,0.0,23.055988,72.506014,132.612
1468,3037,1245,141,66,0.0,23.055988,72.506014,132.608
1469,3027,1245,139,65,0.0,23.055988,72.506014,132.608
1473,2974,1243,136,66,0.0,23.055988,72.506014,132.611
1474,2961,1243,137,67,0.0,23.055988,72.506014,132.611
1475,2947,1245,138,66,0.0,23.055988,72.506014,132.611
1476,2936,1245,137,66,0.0,23.055988,72.506014,132.611
1477,2922,1245,137,65,0.0,23.055988,72.506014,132.611
1478,2909,1245,139,65,0.0,23.055988,72.506014,132.61
1479,2896,1246,140,64,0.0,23.055988,72.506014,132.61
1480,2885,1245,138,64,0.0,23.055988,72.506014,132.61
1481,2871,1246,138,64,0.0,23.055988,72.506014,132.61
1482,2858,1245,139,65,0.0,23.055988,72.506014,132.61
1483,2846,1246,138,65,0.0,23.055988,72.506014,132.61
1484,2835,1245,137,65,0.0,23.055988,72.506014,132.608
1485,2821,1243,137,65,0.0,23.055988,72.506014,132.608
1486,2809,1244,137,64,0.0,23.055988,72.506014,132.608
1487,2798,1244,135,63,0.0,23.055988,72.506014,132.608
1488,2784,1242,135,64,0.0,23.055988,72.506014,132.608
1489,2771,1242,134,65,0.0,23.055988,72.506014,132.608
1490,2757,1242,135,66,0.0,23.055988,72.506014,132.606
1491,2745,1240,136,66,0.0,23.055988,72.506014,132.606
1492,2732,1241,135,66,0.0,23.055988,72.506014,132.606
1493,2720,1242,136,66,0.0,23.055988,72.506014,132.606
1494,2708,1244,135,66,0.0,23.055988,72.506014,132.606
1495,2696,1244,132,65,0.0,23.055988,72.506014,132.606
1496,2682,1244,131,64,0.0,23.055988,72.506014,132.611
1497,2669,1245,131,65,0.0,23.055988,72.506014,132.611
1498,2657,1246,131,65,0.0,23.055988,72.506014,132.611
1503,2594,1247,130,64,0.0,23.055988,72.506014,132.603
1504,2580,1246,131,67,0.0,23.055988,72.506014,132.603
1505,2566,1247,132,66,0.0,23.055988,72.506014,132.603
1506,2555,1247,132,67,0.0,23.055988,72.506014,132.603
1507,2541,1247,132,66,0.0,23.055988,72.506014,132.603
1508,2526,1246,135,68,0.0,23.055988,72.506014,132.601
1509,2513,1247,135,68,0.0,23.055988,72.506014,132.601
1510,2501,1248,135,67,0.0,23.055988,72.506014,132.601
