frameNo,left,top,w,h,conf,lat,long,alt
1538,3663,1120,164,71,0.0,23.055988,72.506014,132.588
1539,3657,1119,169,72,0.0,23.055988,72.506014,132.588
1540,3652,1118,171,73,0.0,23.055988,72.506014,132.588
1541,3645,1119,173,73,0.0,23.055988,72.506014,132.588
1542,3636,1119,175,75,0.0,23.055988,72.506014,132.588
1543,3624,1119,179,75,0.0,23.055988,72.506014,132.588
1544,3616,1120,179,75,0.0,23.055988,72.506014,132.586
1545,3612,1120,177,75,0.0,23.055988,72.506014,132.586
1546,3606,1120,175,75,0.0,23.055988,72.506014,132.586
1547,3599,1121,174,74,0.0,23.055988,72.506014,132.586
1548,3588,1120,177,74,0.0,23.055988,72.506014,132.586
1549,3581,1120,178,74,0.0,23.055988,72.506014,132.586
1550,3573,1121,179,74,0.0,23.055988,72.506014,132.584
1551,3567,1121,177,73,0.0,23.055988,72.506014,132.584
1552,3562,1120,175,73,0.0,23.055988,72.506014,132.584
1553,3555,1121,175,72,0.0,23.055988,72.506014,132.584
1554,3547,1120,175,74,0.0,23.055988,72.506014,132.584
1555,3540,1120,175,74,0.0,23.055988,72.506014,132.584
1556,3528,1122,178,73,0.0,23.055988,72.506014,132.579
1557,3521,1123,179,73,0.0,23.055988,72.506014,132.579
1558,3513,1122,180,73,0.0,23.055988,72.506014,132.579
1559,3508,1121,179,75,0.0,23.055988,72.506014,132.579
1560,3502,1123,178,74,0.0,23.055988,72.506014,132.579
1561,3497,1124,176,74,0.0,23.055988,72.506014,132.579
1562,3491,1124,175,74,0.0,23.055988,72.506014,132.576
1563,3485,1125,174,73,0.0,23.055988,72.506014,132.576
1564,3478,1126,173,72,0.0,23.055988,72.506014,132.576
1565,3470,1127,171,71,0.0,23.055988,72.506014,132.576
1566,3464,1127,173,72,0.0,23.055988,72.506014,132.576
1567,3457,1127,173,71,0.0,23.055988,72.506014,132.576
1568,3450,1126,173,72,0.0,23.055988,72.506014,132.571
1572,3423,1129,173,72,0.0,23.055988,72.506014,132.571
1573,3415,1129,174,73,0.0,23.055988,72.506014,132.571
1574,3407,1128,173,74,0.0,23.055988,72.506014,132.572
1579,3373,1132,175,76,0.0,23.055988,72.506014,132.572
1580,3368,1132,172,76,0.0,23.055988,72.506014,132.568
1581,3360,1132,172,75,0.0,23.055988,72.506014,132.568
1582,3354,1131,171,76,0.0,23.055988,72.506014,132.568
