frameNo,left,top,w,h,conf,lat,long,alt
1,3541,565,142,73,0.0,23.055988,72.506015,133.088
2,3541,565,142,73,0.0,23.055988,72.506015,133.088
3,3541,565,141,73,0.0,23.055988,72.506015,133.088
4,3541,565,143,74,0.0,23.055988,72.506015,133.088
5,3540,564,142,74,0.0,23.055988,72.506015,133.079
6,3541,564,142,73,0.0,23.055988,72.506015,133.079
7,3541,563,142,74,0.0,23.055988,72.506015,133.079
8,3542,562,142,74,0.0,23.055988,72.506015,133.079
9,3543,562,144,75,0.0,23.055988,72.506015,133.079
10,3543,561,146,75,0.0,23.055988,72.506015,133.079
11,3543,559,146,76,0.0,23.055988,72.506015,133.075
12,3542,558,148,77,0.0,23.055988,72.506015,133.075
13,3541,557,146,78,0.0,23.055988,72.506015,133.075
14,3540,557,145,78,0.0,23.055988,72.506015,133.075
15,3539,557,142,78,0.0,23.055988,72.506015,133.075
16,3539,557,139,78,0.0,23.055988,72.506015,133.075
17,3538,557,138,78,0.0,23.055988,72.506015,133.067
18,3539,558,136,77,0.0,23.055988,72.506015,133.067
19,3539,558,135,77,0.0,23.055988,72.506015,133.067
20,3539,559,136,77,0.0,23.055988,72.506015,133.067
21,3539,559,136,77,0.0,23.055988,72.506015,133.067
22,3539,559,136,77,0.0,23.055988,72.506015,133.067
23,3539,559,134,76,0.0,23.055988,72.506015,133.06
24,3539,559,134,76,0.0,23.055988,72.506015,133.06
25,3539,558,131,76,0.0,23.055988,72.506015,133.06
26,3539,558,129,75,0.0,23.055988,72.506015,133.06
27,3539,558,128,76,0.0,23.055988,72.506015,133.06
28,3539,557,127,76,0.0,23.055988,72.506015,133.06
29,3539,558,126,75,0.0,23.055988,72.506015,133.058
30,3539,558,127,75,0.0,23.055988,72.506015,133.058
31,3538,559,127,75,0.0,23.055988,72.506015,133.058
32,3538,558,127,76,0.0,23.055988,72.506015,133.058
33,3538,559,127,75,0.0,23.055988,72.506015,133.058
34,3537,559,128,76,0.0,23.055988,72.506015,133.058
35,3538,560,127,75,0.0,23.055988,72.506015,133.051
36,3538,560,128,75,0.0,23.055988,72.506015,133.051
37,3538,561,128,74,0.0,23.055988,72.506015,133.051
38,3539,561,127,75,0.0,23.055988,72.506015,133.051
39,3538,561,128,75,0.0,23.055988,72.506015,133.051
40,3539,561,128,75,0.0,23.055988,72.506015,133.051
41,3540,562,130,74,0.0,23.055988,72.506015,133.047
42,3542,562,134,74,0.0,23.055988,72.506015,133.047
43,3543,563,136,73,0.0,23.055988,72.506015,133.047
44,3543,561,141,74,0.0,23.055988,72.506015,133.047
45,3542,561,143,74,0.0,23.055988,72.506015,133.047
46,3541,561,143,74,0.0,23.055988,72.506015,133.047
47,3541,560,143,75,0.0,23.055988,72.506015,133.035
48,3541,561,144,74,0.0,23.055988,72.506015,133.035
49,3542,560,144,75,0.0,23.055988,72.506015,133.035
50,3542,560,144,75,0.0,23.055988,72.506015,133.035
51,3543,561,143,73,0.0,23.055988,72.506015,133.035
52,3542,561,143,74,0.0,23.055988,72.506015,133.035
53,3544,561,144,74,0.0,23.055988,72.506015,133.026
54,3545,561,143,74,0.0,23.055988,72.506015,133.026
55,3545,561,144,73,0.0,23.055988,72.506015,133.026
56,3545,560,144,74,0.0,23.055988,72.506015,133.026
57,3544,559,145,75,0.0,23.055988,72.506015,133.026
58,3545,558,146,76,0.0,23.055988,72.506015,133.026
59,3544,559,147,75,0.0,23.055988,72.506015,133.011
60,3544,559,147,75,0.0,23.055988,72.506015,133.011
61,3543,558,145,76,0.0,23.055988,72.506015,133.011
62,3543,558,144,76,0.0,23.055988,72.506015,133.011
63,3543,558,144,76,0.0,23.055988,72.506015,133.011
64,3544,558,144,77,0.0,23.055988,72.506015,133.011
65,3544,558,143,77,0.0,23.055988,72.506015,132.994
66,3544,558,143,77,0.0,23.055988,72.506015,132.994
67,3543,558,143,76,0.0,23.055988,72.506015,132.994
68,3544,558,143,77,0.0,23.055988,72.506015,132.994
69,3544,558,142,76,0.0,23.055988,72.506015,132.994
70,3545,559,143,76,0.0,23.055988,72.506015,132.994
71,3545,558,143,76,0.0,23.055988,72.506015,132.973
72,3544,557,142,77,0.0,23.055988,72.506015,132.973
73,3545,558,142,77,0.0,23.055988,72.506015,132.973
74,3544,557,142,77,0.0,23.055988,72.506015,132.973
75,3544,557,141,77,0.0,23.055988,72.506015,132.973
