frameNo,left,top,w,h,conf,lat,long,alt
639,2073,2069,50,71,0.0,23.055987,72.506014,133.248
640,2068,2064,50,70,0.0,23.055987,72.506014,133.246
641,2065,2059,49,68,0.0,23.055987,72.506014,133.246
642,2062,2055,47,66,0.0,23.055987,72.506014,133.246
643,2059,2047,46,65,0.0,23.055987,72.506014,133.246
644,2055,2041,46,65,0.0,23.055987,72.506014,133.246
645,2052,2032,47,68,0.0,23.055987,72.506014,133.246
646,2049,2025,46,69,0.0,23.055987,72.506014,133.247
647,2046,2020,46,68,0.0,23.055987,72.506014,133.247
648,2042,2012,46,68,0.0,23.055987,72.506014,133.247
649,2036,2004,48,70,0.0,23.055987,72.506014,133.247
656,2014,1962,46,66,0.0,23.055987,72.506014,133.243
675,1949,1854,45,64,0.0,23.055987,72.506014,133.241
676,1943,1844,48,69,0.0,23.055987,72.506014,133.243
677,1941,1837,48,71,0.0,23.055987,72.506014,133.243
678,1939,1831,48,72,0.0,23.055987,72.506014,133.243
679,1937,1826,50,74,0.0,23.055987,72.506014,133.243
680,1934,1822,50,70,0.0,23.055987,72.506014,133.243
681,1930,1818,48,67,0.0,23.055987,72.506014,133.243
682,1925,1812,50,66,0.0,23.055987,72.506014,133.239
683,1923,1807,49,65,0.0,23.055987,72.506014,133.239
684,1920,1801,49,66,0.0,23.055987,72.506014,133.239
685,1918,1796,48,66,0.0,23.055987,72.506014,133.239
686,1915,1790,48,67,0.0,23.055987,72.506014,133.239
687,1914,1787,46,67,0.0,23.055987,72.506014,133.239
688,1911,1784,45,66,0.0,23.055987,72.506014,133.244
689,1909,1780,44,64,0.0,23.055987,72.506014,133.244
690,1904,1773,46,65,0.0,23.055987,72.506014,133.244
691,1901,1765,47,66,0.0,23.055987,72.506014,133.244
692,1897,1756,49,68,0.0,23.055987,72.506014,133.244
693,1894,1752,49,68,0.0,23.055987,72.506014,133.244
694,1893,1750,48,67,0.0,23.055987,72.506014,133.239
695,1890,1747,49,66,0.0,23.055987,72.506014,133.239
695,1897,1755,36,49,0.0,23.055987,72.506014,133.239
696,1886,1742,50,67,0.0,23.055987,72.506014,133.239
697,1883,1736,50,68,0.0,23.055987,72.506014,133.239
698,1882,1733,49,66,0.0,23.055987,72.506014,133.239
699,1879,1729,49,65,0.0,23.055987,72.506014,133.239
700,1875,1724,49,63,0.0,23.055987,72.506014,133.239
701,1871,1718,49,63,0.0,23.055987,72.506014,133.239
702,1869,1714,48,63,0.0,23.055987,72.506014,133.239
703,1866,1710,48,63,0.0,23.055987,72.506014,133.239
704,1864,1707,48,61,0.0,23.055987,72.506014,133.239
705,1862,1703,49,61,0.0,23.055987,72.506014,133.239
706,1860,1700,48,61,0.0,23.055987,72.506014,133.24
707,1859,1698,46,59,0.0,23.055987,72.506014,133.24
708,1854,1691,49,62,0.0,23.055987,72.506014,133.24
709,1852,1687,48,62,0.0,23.055987,72.506014,133.24
710,1850,1683,47,62,0.0,23.055987,72.506014,133.24
711,1847,1677,47,63,0.0,23.055987,72.506014,133.24
712,1845,1671,48,64,0.0,23.055987,72.506014,133.236
713,1843,1667,48,65,0.0,23.055987,72.506014,133.236
714,1840,1663,48,64,0.0,23.055987,72.506014,133.236
715,1838,1660,49,65,0.0,23.055987,72.506014,133.236
716,1835,1657,49,65,0.0,23.055987,72.506014,133.236
716,1846,1664,31,43,0.0,23.055987,72.506014,133.236
717,1833,1654,48,64,0.0,23.055987,72.506014,133.236
718,1832,1649,49,66,0.0,23.055987,72.506014,133.228
719,1830,1645,48,67,0.0,23.055987,72.506014,133.228
720,1827,1641,48,66,0.0,23.055987,72.506014,133.228
721,1826,1636,47,67,0.0,23.055987,72.506014,133.228
722,1824,1633,46,67,0.0,23.055987,72.506014,133.228
722,1829,1635,35,51,0.0,23.055987,72.506014,133.228
723,1823,1630,45,66,0.0,23.055987,72.506014,133.228
723,1828,1633,35,51,0.0,23.055987,72.506014,133.228
724,1821,1628,45,66,0.0,23.055987,72.506014,133.222
724,1826,1631,35,51,0.0,23.055987,72.506014,133.222
725,1818,1624,45,65,0.0,23.055987,72.506014,133.222
725,1823,1626,34,50,0.0,23.055987,72.506014,133.222
726,1818,1621,44,65,0.0,23.055987,72.506014,133.222
