frameNo,left,top,w,h,conf,lat,long,alt
1318,3775,1197,58,33,0.0,23.055987,72.506015,133.238
1319,3766,1198,64,33,0.0,23.055987,72.506015,133.238
1320,3757,1197,72,34,0.0,23.055987,72.506015,133.238
1321,3752,1197,75,33,0.0,23.055987,72.506015,133.238
1322,3742,1197,83,33,0.0,23.055987,72.506015,133.238
1323,3733,1199,88,31,0.0,23.055987,72.506015,133.238
1324,3718,1198,93,32,0.0,23.055987,72.506015,133.242
1325,3707,1199,95,32,0.0,23.055987,72.506015,133.242
1326,3698,1199,95,31,0.0,23.055987,72.506015,133.242
1327,3693,1199,97,32,0.0,23.055987,72.506015,133.242
1328,3683,1199,97,31,0.0,23.055987,72.506015,133.242
1329,3671,1198,99,31,0.0,23.055987,72.506015,133.24
1330,3657,1196,100,33,0.0,23.055987,72.506015,133.24
1331,3650,1197,100,32,0.0,23.055987,72.506015,133.24
1332,3642,1197,100,32,0.0,23.055987,72.506015,133.24
1333,3637,1196,98,32,0.0,23.055987,72.506015,133.24
1334,3625,1196,99,32,0.0,23.055987,72.506015,133.24
1335,3614,1194,99,33,0.0,23.055987,72.506015,133.24
1336,3607,1196,97,33,0.0,23.055987,72.506014,133.242
1337,3599,1197,97,32,0.0,23.055987,72.506014,133.242
1338,3590,1197,97,31,0.0,23.055987,72.506014,133.242
1339,3580,1197,95,31,0.0,23.055987,72.506014,133.242
1340,3570,1198,95,30,0.0,23.055987,72.506014,133.242
1341,3561,1195,94,32,0.0,23.055987,72.506014,133.242
1342,3555,1197,93,31,0.0,23.055987,72.506014,133.24
1343,3547,1196,93,31,0.0,23.055987,72.506014,133.24
1344,3539,1197,91,30,0.0,23.055987,72.506014,133.24
1345,3528,1196,92,31,0.0,23.055987,72.506014,133.24
1346,3517,1194,93,32,0.0,23.055987,72.506014,133.24
1347,3510,1193,93,34,0.0,23.055987,72.506014,133.24
1348,3503,1195,93,33,0.0,23.055987,72.506014,133.245
1349,3496,1196,91,32,0.0,23.055987,72.506014,133.245
1350,3486,1197,91,31,0.0,23.055987,72.506014,133.245
1351,3475,1197,91,30,0.0,23.055987,72.506014,133.245
1352,3466,1195,91,31,0.0,23.055987,72.506014,133.245
1353,3459,1193,91,32,0.0,23.055987,72.506014,133.249
1354,3449,1192,91,33,0.0,23.055987,72.506015,133.249
1355,3441,1191,91,34,0.0,23.055987,72.506015,133.249
1356,3431,1191,93,35,0.0,23.055987,72.506015,133.249
1357,3421,1192,95,35,0.0,23.055987,72.506014,133.249
1358,3413,1195,95,33,0.0,23.055987,72.506014,133.249
1359,3406,1194,94,33,0.0,23.055987,72.506014,133.249
1360,3399,1196,91,33,0.0,23.055987,72.506015,133.249
1361,3393,1195,91,34,0.0,23.055987,72.506015,133.249
1362,3382,1197,90,32,0.0,23.055987,72.506015,133.249
1363,3373,1199,91,32,0.0,23.055987,72.506015,133.249
1364,3367,1200,91,31,0.0,23.055987,72.506015,133.249
1365,3358,1199,90,31,0.0,23.055987,72.506015,133.249
1366,3350,1198,90,31,0.0,23.055987,72.506015,133.249
1367,3343,1198,88,31,0.0,23.055987,72.506015,133.249
1368,3332,1196,91,32,0.0,23.055987,72.506015,133.249
1369,3322,1195,92,33,0.0,23.055987,72.506015,133.249
1370,3312,1195,93,34,0.0,23.055987,72.506015,133.249
1371,3305,1195,92,34,0.0,23.055987,72.506015,133.249
1372,3296,1196,91,34,0.0,23.055987,72.506014,133.249
1373,3287,1197,92,33,0.0,23.055987,72.506014,133.249
1374,3278,1200,89,31,0.0,23.055987,72.506014,133.249
1375,3270,1197,91,33,0.0,23.055987,72.506014,133.249
1376,3261,1196,90,34,0.0,23.055987,72.506014,133.249
1377,3252,1198,89,35,0.0,23.055987,72.506014,133.249
1378,3243,1197,89,35,0.0,23.055987,72.506014,133.252
1379,3236,1199,87,34,0.0,23.055987,72.506014,133.252
1380,3229,1201,86,33,0.0,23.055987,72.506014,133.252
1381,3221,1199,87,35,0.0,23.055987,72.506014,133.252
1382,3214,1199,87,35,0.0,23.055987,72.506014,133.252
1383,3203,1200,86,33,0.0,23.055987,72.506014,133.248
1384,3196,1200,85,33,0.0,23.055987,72.506014,133.248
1385,3187,1201,83,32,0.0,23.055987,72.506014,133.248
1386,3180,1202,83,31,0.0,23.055987,72.506014,133.248
1387,3171,1200,83,32,0.0,23.055987,72.506014,133.248
1388,3159,1200,84,33,0.0,23.055987,72.506014,133.248
1389,3149,1199,85,34,0.0,23.055987,72.506014,133.247
1390,3140,1201,83,33,0.0,23.055987,72.506014,133.247
1391,3135,1202,82,33,0.0,23.055987,72.506014,133.247
1392,3126,1201,83,34,0.0,23.055987,72.506014,133.247
1393,3118,1202,83,34,0.0,23.055987,72.506014,133.247
1394,3105,1202,86,35,0.0,23.055987,72.506014,133.247
1395,3098,1203,85,34,0.0,23.055987,72.506014,133.244
