frameNo,left,top,w,h,conf,lat,long,alt
629,1729,11,34,59,0.0,23.055951,72.506035,133.929
630,1730,16,34,64,0.0,23.055951,72.506035,133.936
631,1731,24,34,65,0.0,23.055951,72.506035,133.936
632,1735,32,32,65,0.0,23.055951,72.506035,133.936
633,1737,43,33,67,0.0,23.055951,72.506035,133.936
634,1739,51,31,66,0.0,23.055951,72.506035,133.936
635,1740,59,31,64,0.0,23.055951,72.506035,133.936
636,1740,69,30,64,0.0,23.055951,72.506035,133.936
637,1741,76,29,65,0.0,23.055951,72.506035,133.936
638,1743,81,30,64,0.0,23.055951,72.506035,133.936
639,1745,88,29,65,0.0,23.055951,72.506035,133.936
640,1747,99,30,65,0.0,23.055951,72.506035,133.936
641,1747,105,29,64,0.0,23.055951,72.506035,133.936
642,1749,115,29,65,0.0,23.055951,72.506035,133.936
643,1750,123,30,65,0.0,23.055951,72.506035,133.941
644,1750,127,29,64,0.0,23.055951,72.506035,133.941
645,1752,139,30,63,0.0,23.055951,72.506035,133.941
646,1754,147,29,63,0.0,23.055951,72.506035,133.941
647,1756,154,30,63,0.0,23.055951,72.506035,133.941
648,1758,161,29,63,0.0,23.055951,72.506035,133.941
649,1759,170,29,63,0.0,23.055951,72.506035,133.943
650,1762,177,28,64,0.0,23.055951,72.506035,133.943
651,1763,183,29,65,0.0,23.055951,72.506035,133.943
652,1765,189,28,66,0.0,23.055951,72.506035,133.943
653,1765,195,28,67,0.0,23.055951,72.506035,133.943
654,1767,204,27,66,0.0,23.055951,72.506035,133.943
655,1769,212,26,66,0.0,23.055951,72.506034,133.944
656,1770,217,26,65,0.0,23.055951,72.506034,133.944
657,1770,225,26,64,0.0,23.055951,72.506034,133.944
658,1771,237,27,63,0.0,23.055951,72.506034,133.944
659,1770,246,27,61,0.0,23.055951,72.506034,133.944
660,1771,253,28,59,0.0,23.055951,72.506034,133.944
661,1772,258,28,60,0.0,23.055951,72.506034,133.945
662,1771,265,28,62,0.0,23.055951,72.506034,133.945
663,1772,271,27,61,0.0,23.055951,72.506034,133.945
664,1771,278,28,58,0.0,23.055951,72.506034,133.945
665,1771,288,28,60,0.0,23.055951,72.506034,133.945
666,1772,294,27,60,0.0,23.055951,72.506034,133.945
667,1773,297,28,61,0.0,23.055951,72.506034,133.946
668,1773,302,29,58,0.0,23.055951,72.506034,133.946
669,1775,310,29,59,0.0,23.055951,72.506034,133.946
670,1774,318,30,59,0.0,23.055951,72.506034,133.946
671,1774,325,30,56,0.0,23.055951,72.506034,133.946
672,1776,331,29,51,0.0,23.055951,72.506034,133.946
673,1776,341,30,54,0.0,23.055951,72.506034,133.947
674,1776,348,30,55,0.0,23.055951,72.506034,133.947
675,1777,351,29,54,0.0,23.055951,72.506034,133.947
676,1779,359,29,56,0.0,23.05595,72.506034,133.947
677,1780,366,29,57,0.0,23.05595,72.506034,133.947
678,1781,373,28,57,0.0,23.05595,72.506034,133.947
679,1780,375,29,56,0.0,23.055951,72.506034,133.95
680,1781,383,28,57,0.0,23.055951,72.506034,133.95
681,1781,390,28,57,0.0,23.055951,72.506034,133.95
682,1781,395,28,58,0.0,23.055951,72.506034,133.95
683,1781,398,28,55,0.0,23.055951,72.506034,133.95
684,1781,405,28,54,0.0,23.055951,72.506034,133.95
685,1781,412,27,54,0.0,23.05595,72.506034,133.947
686,1782,419,26,52,0.0,23.05595,72.506034,133.947
687,1782,424,27,51,0.0,23.05595,72.506034,133.947
691,1780,452,28,54,0.0,23.05595,72.506034,133.947
714,1776,566,30,55,0.0,23.055951,72.506034,133.953
715,1773,565,31,55,0.0,23.05595,72.506034,133.959
716,1771,568,31,51,0.0,23.05595,72.506034,133.959
717,1772,577,31,53,0.0,23.05595,72.506034,133.959
718,1774,580,31,57,0.0,23.055951,72.506034,133.959
719,1773,581,32,61,0.0,23.055951,72.506034,133.959
720,1772,584,31,61,0.0,23.055951,72.506034,133.959
721,1775,587,30,62,0.0,23.05595,72.506034,133.968
722,1775,589,30,64,0.0,23.05595,72.506034,133.968
723,1775,593,30,65,0.0,23.05595,72.506034,133.968
724,1775,597,29,66,0.0,23.05595,72.506034,133.968
725,1774,602,29,65,0.0,23.05595,72.506034,133.968
726,1773,606,29,64,0.0,23.05595,72.506034,133.968
727,1772,611,27,61,0.0,23.055951,72.506034,133.976
728,1771,620,27,60,0.0,23.055951,72.506034,133.976
729,1771,627,28,59,0.0,23.055951,72.506034,133.976
730,1771,630,29,58,0.0,23.055951,72.506034,133.976
731,1771,631,30,58,0.0,23.055951,72.506034,133.976
732,1771,635,30,60,0.0,23.055951,72.506034,133.976
733,1771,636,30,59,0.0,23.055951,72.506034,133.985
734,1769,642,31,61,0.0,23.055951,72.506034,133.985
735,1767,645,31,62,0.0,23.055951,72.506034,133.985
736,1766,650,31,63,0.0,23.055951,72.506034,133.985
737,1766,653,29,63,0.0,23.055951,72.506034,133.985
738,1766,657,29,62,0.0,23.055951,72.506034,133.985
739,1767,660,29,61,0.0,23.055951,72.506034,133.992
740,1765,662,29,61,0.0,23.055951,72.506034,133.992
741,1763,665,30,61,0.0,23.055951,72.506034,133.992
742,1764,671,30,62,0.0,23.055951,72.506034,133.992
743,1764,677,29,63,0.0,23.055951,72.506034,133.992
744,1762,681,30,63,0.0,23.055951,72.506034,133.992
745,1761,682,30,63,0.0,23.055951,72.506034,133.998
746,1760,684,30,63,0.0,23.055951,72.506034,133.998
747,1758,685,29,60,0.0,23.055951,72.506034,133.998
748,1755,695,31,60,0.0,23.055951,72.506034,133.998
749,1753,699,30,60,0.0,23.055951,72.506034,133.998
750,1752,703,31,61,0.0,23.055951,72.506034,134.004
751,1751,707,31,60,0.0,23.055951,72.506034,134.004
752,1751,708,31,63,0.0,23.055951,72.506034,134.004
753,1750,711,32,63,0.0,23.055951,72.506034,134.004
754,1747,715,33,64,0.0,23.055951,72.506034,134.004
755,1746,721,31,62,0.0,23.055951,72.506034,134.004
756,1744,723,31,63,0.0,23.055951,72.506034,134.006
757,1744,727,31,63,0.0,23.055951,72.506034,134.006
758,1744,731,30,63,0.0,23.055951,72.506034,134.006
759,1742,736,29,61,0.0,23.055951,72.506034,134.006
760,1741,742,28,60,0.0,23.055951,72.506034,134.006
761,1739,742,30,61,0.0,23.055951,72.506034,134.006
762,1736,748,31,60,0.0,23.055951,72.506034,134.017
763,1735,752,31,60,0.0,23.055951,72.506034,134.017
764,1732,755,33,60,0.0,23.055951,72.506034,134.017
765,1729,759,36,60,0.0,23.055951,72.506034,134.017
766,1727,762,36,60,0.0,23.055951,72.506034,134.017
767,1725,766,35,60,0.0,23.055951,72.506034,134.017
768,1723,769,35,61,0.0,23.055951,72.506034,134.017
769,1723,773,35,61,0.0,23.055951,72.506034,134.022
770,1721,776,34,61,0.0,23.055951,72.506034,134.022
771,1720,780,34,62,0.0,23.055951,72.506034,134.022
772,1718,783,34,61,0.0,23.055951,72.506034,134.022
776,1705,803,33,61,0.0,23.055951,72.506034,134.023
777,1707,804,34,56,0.0,23.055951,72.506034,134.023
778,1703,808,35,58,0.0,23.055951,72.506034,134.023
779,1703,808,34,54,0.0,23.055951,72.506034,134.023
783,1688,831,38,53,0.0,23.055951,72.506034,134.024
784,1686,833,40,49,0.0,23.055951,72.506034,134.024
785,1683,835,39,47,0.0,23.055951,72.506034,134.024
789,1668,854,38,49,0.0,23.055951,72.506035,134.021
790,1668,859,38,48,0.0,23.055951,72.506035,134.021
791,1663,862,39,48,0.0,23.055951,72.506035,134.021
792,1657,869,40,48,0.0,23.055951,72.506035,134.019
793,1656,873,39,48,0.0,23.055951,72.506035,134.019
794,1652,875,40,48,0.0,23.055951,72.506035,134.019
795,1649,880,39,47,0.0,23.055951,72.506035,134.019
796,1648,884,45,47,0.0,23.055951,72.506035,134.019
797,1643,889,49,45,0.0,23.055951,72.506035,134.019
798,1639,891,52,45,0.0,23.055951,72.506035,134.019
799,1630,895,51,47,0.0,23.055951,72.506035,134.016
800,1627,897,49,49,0.0,23.055951,72.506035,134.016
801,1624,900,49,50,0.0,23.055951,72.506035,134.016
802,1620,903,48,50,0.0,23.055951,72.506035,134.016
803,1616,906,47,50,0.0,23.055951,72.506035,134.016
804,1611,911,49,51,0.0,23.055951,72.506035,134.015
805,1607,916,48,51,0.0,23.055951,72.506035,134.015
806,1605,922,46,50,0.0,23.055951,72.506035,134.015
807,1601,927,45,48,0.0,23.055951,72.506035,134.015
808,1598,933,45,46,0.0,23.055951,72.506035,134.015
809,1592,938,49,47,0.0,23.055951,72.506035,134.015
810,1589,942,51,47,0.0,23.055951,72.506035,134.009
811,1581,946,54,48,0.0,23.055951,72.506035,134.009
812,1576,949,54,49,0.0,23.055951,72.506035,134.009
813,1571,951,55,49,0.0,23.055951,72.506035,134.009
814,1566,955,56,49,0.0,23.055951,72.506035,134.009
815,1559,960,57,49,0.0,23.055951,72.506035,134.009
816,1556,963,57,50,0.0,23.055951,72.506035,134.006
817,1553,966,57,50,0.0,23.055951,72.506035,134.006
818,1549,970,57,50,0.0,23.055951,72.506035,134.006
819,1544,975,58,48,0.0,23.055951,72.506035,134.006
820,1542,977,59,49,0.0,23.055951,72.506035,134.006
821,1537,981,61,49,0.0,23.055951,72.506035,134.006
822,1533,987,60,49,0.0,23.055951,72.506035,134.005
823,1530,991,60,48,0.0,23.055951,72.506035,134.005
824,1527,995,60,49,0.0,23.055951,72.506035,134.005
825,1520,1000,59,49,0.0,23.055951,72.506035,134.005
826,1513,1003,61,49,0.0,23.055951,72.506035,134.005
827,1510,1006,61,47,0.0,23.055951,72.506035,134.005
828,1507,1009,61,49,0.0,23.055951,72.506035,133.996
829,1503,1013,61,49,0.0,23.055951,72.506035,133.996
830,1498,1017,61,49,0.0,23.055951,72.506035,133.996
831,1487,1023,65,48,0.0,23.055951,72.506035,133.996
832,1485,1029,64,46,0.0,23.055951,72.506035,133.996
833,1478,1033,64,45,0.0,23.055951,72.506035,133.996
842,1428,1075,65,46,0.0,23.055951,72.506035,133.982
843,1426,1078,64,45,0.0,23.055951,72.506035,133.982
844,1420,1081,66,46,0.0,23.055951,72.506035,133.982
845,1416,1083,65,44,0.0,23.055951,72.506035,133.982
846,1405,1086,68,43,0.0,23.055951,72.506035,133.972
847,1401,1090,68,44,0.0,23.055951,72.506035,133.972
848,1386,1095,75,44,0.0,23.055951,72.506035,133.972
849,1384,1098,72,43,0.0,23.055951,72.506035,133.972
850,1382,1102,69,42,0.0,23.055951,72.506035,133.972
851,1377,1105,67,43,0.0,23.055951,72.506035,133.972
852,1367,1110,70,43,0.0,23.055951,72.506035,133.967
853,1354,1118,75,43,0.0,23.055951,72.506035,133.967
854,1347,1122,76,42,0.0,23.055951,72.506035,133.967
855,1312,1126,95,45,0.0,23.055951,72.506035,133.967
856,1319,1130,93,44,0.0,23.055951,72.506035,133.967
857,1318,1133,91,44,0.0,23.055951,72.506035,133.967
861,1298,1143,72,39,0.0,23.055951,72.506035,133.956
862,1289,1145,73,39,0.0,23.055951,72.506035,133.956
863,1282,1147,74,39,0.0,23.055951,72.506035,133.956
864,1276,1150,73,39,0.0,23.055951,72.506035,133.952
865,1269,1153,73,38,0.0,23.055951,72.506035,133.952
866,1266,1156,71,39,0.0,23.055951,72.506035,133.952
867,1257,1160,72,39,0.0,23.055952,72.506035,133.952
868,1251,1165,72,38,0.0,23.055952,72.506035,133.952
869,1245,1170,72,38,0.0,23.055952,72.506035,133.952
870,1242,1173,74,37,0.0,23.055951,72.506035,133.943
871,1235,1174,77,37,0.0,23.055951,72.506035,133.943
872,1225,1175,80,38,0.0,23.055951,72.506035,133.943
873,1217,1176,81,39,0.0,23.055951,72.506035,133.943
874,1206,1179,84,39,0.0,23.055951,72.506035,133.943
875,1198,1183,84,39,0.0,23.055951,72.506035,133.943
876,1187,1188,82,38,0.0,23.055952,72.506035,133.94
877,1174,1192,79,38,0.0,23.055952,72.506035,133.94
878,1169,1194,77,38,0.0,23.055952,72.506035,133.94
879,1163,1196,76,38,0.0,23.055952,72.506035,133.94
880,1158,1197,77,39,0.0,23.055952,72.506035,133.94
881,1152,1198,76,38,0.0,23.055952,72.506035,133.94
882,1146,1199,76,39,0.0,23.055952,72.506035,133.933
883,1139,1202,75,38,0.0,23.055952,72.506035,133.933
884,1131,1204,76,39,0.0,23.055952,72.506035,133.933
885,1124,1206,76,39,0.0,23.055952,72.506035,133.933
886,1111,1211,75,38,0.0,23.055952,72.506035,133.933
887,1103,1215,74,37,0.0,23.055952,72.506035,133.933
888,1094,1218,74,36,0.0,23.055952,72.506035,133.926
889,1089,1222,72,35,0.0,23.055952,72.506035,133.926
890,1080,1223,73,36,0.0,23.055952,72.506035,133.926
891,1069,1226,75,36,0.0,23.055952,72.506035,133.926
892,1059,1229,76,36,0.0,23.055952,72.506035,133.926
893,1051,1233,77,37,0.0,23.055952,72.506035,133.926
894,1044,1234,76,37,0.0,23.055952,72.506035,133.923
895,1036,1237,75,36,0.0,23.055952,72.506035,133.923
896,1028,1239,75,36,0.0,23.055952,72.506035,133.923
897,1024,1241,74,35,0.0,23.055952,72.506035,133.923
898,1015,1244,73,35,0.0,23.055952,72.506035,133.923
899,1004,1248,72,35,0.0,23.055952,72.506035,133.923
900,995,1254,72,35,0.0,23.055952,72.506035,133.92
901,985,1257,72,35,0.0,23.055952,72.506035,133.92
902,978,1260,73,35,0.0,23.055952,72.506035,133.92
903,970,1265,72,35,0.0,23.055952,72.506035,133.92
904,967,1270,71,35,0.0,23.055952,72.506035,133.92
905,962,1272,72,34,0.0,23.055952,72.506035,133.92
906,943,1275,78,35,0.0,23.055952,72.506035,133.913
907,934,1277,81,35,0.0,23.055952,72.506035,133.913
969,299,1396,72,35,0.0,23.055952,72.506035,133.88
970,285,1395,78,36,0.0,23.055952,72.506035,133.88
971,277,1394,78,38,0.0,23.055952,72.506035,133.88
972,270,1393,77,39,0.0,23.055952,72.506035,133.879
973,261,1393,76,40,0.0,23.055952,72.506035,133.879
974,251,1392,76,40,0.0,23.055952,72.506035,133.879
975,241,1392,79,41,0.0,23.055952,72.506035,133.879
976,232,1392,83,43,0.0,23.055952,72.506035,133.879
977,223,1391,86,44,0.0,23.055952,72.506035,133.879
978,212,1392,89,43,0.0,23.055952,72.506035,133.874
979,194,1399,85,39,0.0,23.055952,72.506035,133.874
980,182,1399,85,38,0.0,23.055952,72.506035,133.874
981,171,1401,85,38,0.0,23.055952,72.506035,133.874
983,157,1413,70,30,0.0,23.055952,72.506035,133.874
984,145,1412,66,29,0.0,23.055952,72.506035,133.876
985,135,1413,65,28,0.0,23.055952,72.506035,133.876
986,123,1413,70,32,0.0,23.055952,72.506035,133.876
987,109,1414,73,33,0.0,23.055952,72.506035,133.876
988,103,1413,68,32,0.0,23.055952,72.506035,133.876
989,91,1413,66,31,0.0,23.055952,72.506035,133.876
990,79,1414,67,32,0.0,23.055952,72.506035,133.873
991,70,1414,63,33,0.0,23.055952,72.506035,133.873
992,56,1414,65,33,0.0,23.055952,72.506035,133.873
993,40,1414,70,34,0.0,23.055952,72.506035,133.873
994,23,1414,75,35,0.0,23.055952,72.506035,133.873
995,8,1415,76,35,0.0,23.055952,72.506035,133.873
996,0,1416,73,36,0.0,23.055952,72.506035,133.87
997,0,1417,64,37,0.0,23.055952,72.506035,133.87
