frameNo,left,top,w,h,conf,lat,long,alt
154,2,907,60,109,0.0,23.055951,72.506036,133.819
155,3,909,68,109,0.0,23.055951,72.506036,133.819
156,4,911,76,109,0.0,23.055951,72.506036,133.819
157,6,910,84,110,0.0,23.05595,72.506036,133.825
158,8,914,92,105,0.0,23.05595,72.506036,133.825
159,8,914,102,98,0.0,23.05595,72.506036,133.825
160,7,915,112,97,0.0,23.05595,72.506036,133.825
161,9,919,120,95,0.0,23.05595,72.506036,133.825
162,9,922,131,93,0.0,23.05595,72.506036,133.825
163,10,924,142,90,0.0,23.05595,72.506036,133.834
164,9,925,152,87,0.0,23.05595,72.506036,133.834
165,9,925,164,85,0.0,23.05595,72.506036,133.834
166,15,927,170,82,0.0,23.05595,72.506036,133.834
167,23,929,175,80,0.0,23.05595,72.506036,133.834
168,29,929,178,80,0.0,23.05595,72.506036,133.834
169,39,929,177,78,0.0,23.05595,72.506036,133.844
170,48,930,176,77,0.0,23.05595,72.506036,133.844
171,62,929,177,78,0.0,23.05595,72.506036,133.844
172,74,929,178,77,0.0,23.05595,72.506036,133.844
173,82,930,178,77,0.0,23.05595,72.506036,133.844
174,90,929,177,76,0.0,23.05595,72.506036,133.844
175,98,930,180,76,0.0,23.05595,72.506036,133.849
176,108,929,179,75,0.0,23.05595,72.506036,133.849
177,119,928,179,75,0.0,23.05595,72.506036,133.849
178,131,930,177,71,0.0,23.05595,72.506036,133.849
179,134,927,180,75,0.0,23.05595,72.506036,133.849
180,143,929,177,74,0.0,23.05595,72.506036,133.849
181,152,930,176,75,0.0,23.05595,72.506036,133.854
182,162,929,176,76,0.0,23.05595,72.506036,133.854
183,171,928,175,77,0.0,23.05595,72.506036,133.854
184,178,929,174,77,0.0,23.05595,72.506036,133.854
185,184,928,174,76,0.0,23.05595,72.506036,133.854
186,190,928,177,74,0.0,23.05595,72.506036,133.854
187,198,926,177,75,0.0,23.05595,72.506036,133.864
188,210,925,175,76,0.0,23.05595,72.506036,133.864
189,218,925,176,77,0.0,23.05595,72.506036,133.864
190,227,927,175,76,0.0,23.05595,72.506037,133.864
191,233,926,174,75,0.0,23.05595,72.506037,133.864
192,238,926,175,75,0.0,23.05595,72.506037,133.864
193,247,928,176,75,0.0,23.05595,72.506036,133.867
194,257,925,176,78,0.0,23.05595,72.506036,133.867
195,265,924,175,79,0.0,23.05595,72.506036,133.867
196,274,924,173,80,0.0,23.05595,72.506036,133.867
197,280,925,174,79,0.0,23.05595,72.506036,133.867
198,283,924,175,79,0.0,23.05595,72.506036,133.867
199,287,924,176,79,0.0,23.05595,72.506036,133.869
200,297,927,177,78,0.0,23.05595,72.506036,133.869
201,305,924,177,80,0.0,23.05595,72.506036,133.869
202,312,924,176,80,0.0,23.05595,72.506036,133.869
203,320,923,175,81,0.0,23.05595,72.506036,133.869
204,326,924,175,80,0.0,23.05595,72.506036,133.869
205,329,924,175,80,0.0,23.05595,72.506036,133.874
206,334,924,176,79,0.0,23.05595,72.506036,133.874
207,341,925,176,79,0.0,23.05595,72.506036,133.874
208,347,925,176,79,0.0,23.05595,72.506036,133.874
209,354,924,176,80,0.0,23.05595,72.506036,133.874
210,360,923,177,81,0.0,23.05595,72.506036,133.874
211,366,923,178,81,0.0,23.05595,72.506036,133.877
212,372,922,178,81,0.0,23.05595,72.506036,133.877
213,377,921,180,82,0.0,23.05595,72.506036,133.877
214,383,924,178,80,0.0,23.05595,72.506036,133.877
215,390,926,176,78,0.0,23.05595,72.506036,133.877
216,396,925,172,77,0.0,23.05595,72.506036,133.877
217,401,923,169,79,0.0,23.05595,72.506036,133.882
218,406,924,166,78,0.0,23.05595,72.506036,133.882
219,411,925,164,79,0.0,23.05595,72.506036,133.882
220,415,925,163,79,0.0,23.05595,72.506036,133.882
221,423,924,164,80,0.0,23.05595,72.506036,133.882
222,430,923,166,81,0.0,23.05595,72.506036,133.882
223,437,923,165,81,0.0,23.05595,72.506036,133.891
224,443,924,165,80,0.0,23.05595,72.506036,133.891
225,450,925,163,79,0.0,23.05595,72.506036,133.891
226,457,926,163,78,0.0,23.05595,72.506036,133.891
227,460,925,163,80,0.0,23.05595,72.506036,133.891
228,464,925,161,79,0.0,23.05595,72.506036,133.891
229,467,925,163,80,0.0,23.05595,72.506036,133.904
230,471,925,163,79,0.0,23.05595,72.506036,133.904
231,479,924,161,79,0.0,23.05595,72.506036,133.904
232,479,925,164,78,0.0,23.05595,72.506036,133.904
233,481,927,166,77,0.0,23.05595,72.506036,133.904
234,489,925,170,77,0.0,23.05595,72.506036,133.904
235,494,929,173,77,0.0,23.05595,72.506036,133.911
236,499,928,175,79,0.0,23.05595,72.506036,133.911
237,507,927,177,82,0.0,23.05595,72.506036,133.911
238,511,925,179,84,0.0,23.05595,72.506036,133.911
239,513,925,180,85,0.0,23.05595,72.506036,133.911
240,512,924,177,85,0.0,23.05595,72.506036,133.911
241,519,926,176,82,0.0,23.05595,72.506036,133.918
242,528,920,179,85,0.0,23.05595,72.506036,133.918
243,534,917,181,87,0.0,23.05595,72.506036,133.918
244,541,917,182,89,0.0,23.05595,72.506036,133.918
245,547,919,183,89,0.0,23.05595,72.506036,133.918
246,548,919,185,90,0.0,23.05595,72.506036,133.918
247,551,919,184,90,0.0,23.055951,72.506036,133.927
248,559,915,182,92,0.0,23.055951,72.506036,133.927
249,560,918,184,89,0.0,23.055951,72.506036,133.927
250,560,919,186,86,0.0,23.055951,72.506036,133.927
251,561,919,189,86,0.0,23.055951,72.506036,133.927
252,564,917,192,86,0.0,23.055951,72.506036,133.927
253,568,916,194,86,0.0,23.055951,72.506036,133.944
254,573,915,194,86,0.0,23.055951,72.506036,133.944
255,580,919,189,83,0.0,23.055951,72.506036,133.944
256,588,917,188,84,0.0,23.055951,72.506036,133.944
257,593,917,187,84,0.0,23.055951,72.506036,133.944
258,602,919,184,83,0.0,23.055951,72.506036,133.944
259,609,921,182,81,0.0,23.055951,72.506036,133.951
260,614,923,178,80,0.0,23.055951,72.506036,133.951
261,619,923,176,80,0.0,23.055951,72.506036,133.951
262,623,922,177,80,0.0,23.055951,72.506036,133.951
263,628,923,177,80,0.0,23.055951,72.506036,133.951
264,633,922,177,79,0.0,23.055951,72.506036,133.951
265,637,922,177,79,0.0,23.055951,72.506036,133.954
266,641,922,179,80,0.0,23.055951,72.506036,133.954
267,645,922,181,81,0.0,23.055951,72.506036,133.954
268,651,921,183,82,0.0,23.055951,72.506036,133.954
269,656,919,184,83,0.0,23.055951,72.506036,133.954
270,660,919,186,83,0.0,23.055951,72.506036,133.954
271,663,918,189,84,0.0,23.055951,72.506036,133.959
272,667,920,192,82,0.0,23.055951,72.506036,133.959
273,670,922,189,81,0.0,23.055951,72.506036,133.959
274,676,920,187,81,0.0,23.055951,72.506036,133.959
275,685,919,184,82,0.0,23.055951,72.506036,133.959
276,693,919,182,82,0.0,23.055951,72.506036,133.959
277,698,918,182,83,0.0,23.055951,72.506036,133.962
278,705,919,179,82,0.0,23.055951,72.506036,133.962
279,712,918,176,82,0.0,23.055951,72.506036,133.962
280,718,917,174,82,0.0,23.055951,72.506036,133.962
281,722,918,175,83,0.0,23.055951,72.506036,133.962
282,728,919,175,82,0.0,23.055951,72.506036,133.962
283,738,919,173,82,0.0,23.055951,72.506036,133.963
284,744,919,172,82,0.0,23.055951,72.506036,133.963
285,749,919,174,83,0.0,23.055951,72.506036,133.963
286,753,918,176,84,0.0,23.055951,72.506036,133.963
287,757,918,177,84,0.0,23.055951,72.506036,133.963
288,761,916,178,85,0.0,23.055951,72.506036,133.963
289,763,915,182,84,0.0,23.055951,72.506036,133.963
290,768,916,183,83,0.0,23.055951,72.506036,133.963
291,774,916,180,82,0.0,23.055951,72.506036,133.963
292,783,916,177,84,0.0,23.055951,72.506036,133.963
293,792,915,175,87,0.0,23.055951,72.506036,133.963
294,800,913,174,89,0.0,23.055951,72.506036,133.963
295,808,915,172,87,0.0,23.055951,72.506036,133.967
296,812,916,170,89,0.0,23.055951,72.506036,133.967
297,818,915,173,88,0.0,23.055951,72.506036,133.967
298,825,916,174,88,0.0,23.055951,72.506036,133.967
299,833,915,174,89,0.0,23.055951,72.506036,133.967
300,838,914,175,90,0.0,23.055951,72.506036,133.967
301,843,914,175,88,0.0,23.055951,72.506036,133.967
302,849,913,174,88,0.0,23.055951,72.506036,133.967
303,855,912,173,88,0.0,23.055951,72.506036,133.967
304,861,911,171,87,0.0,23.055951,72.506036,133.967
305,867,911,170,87,0.0,23.055951,72.506036,133.967
306,873,911,169,86,0.0,23.055951,72.506036,133.967
307,880,912,168,86,0.0,23.055951,72.506036,133.965
308,886,912,168,88,0.0,23.055951,72.506036,133.965
309,894,912,168,89,0.0,23.055951,72.506036,133.965
310,900,912,169,87,0.0,23.055951,72.506036,133.965
311,909,912,167,87,0.0,23.055951,72.506036,133.965
312,915,912,166,88,0.0,23.055951,72.506036,133.965
313,923,912,166,86,0.0,23.055951,72.506036,133.966
314,930,910,167,85,0.0,23.055951,72.506036,133.966
315,933,909,169,85,0.0,23.055951,72.506036,133.966
316,940,909,170,84,0.0,23.055951,72.506036,133.966
317,946,911,172,83,0.0,23.055951,72.506036,133.966
318,952,911,173,82,0.0,23.055951,72.506036,133.966
319,956,911,174,81,0.0,23.055951,72.506036,133.962
320,962,912,174,80,0.0,23.055951,72.506036,133.962
321,966,911,175,81,0.0,23.055951,72.506036,133.962
322,969,911,174,81,0.0,23.055951,72.506036,133.962
323,982,912,172,82,0.0,23.055951,72.506036,133.962
324,991,913,170,81,0.0,23.055951,72.506036,133.962
325,1001,913,169,81,0.0,23.055951,72.506036,133.959
326,1008,913,165,82,0.0,23.055951,72.506036,133.959
327,1014,911,163,84,0.0,23.055951,72.506036,133.959
328,1020,909,161,86,0.0,23.055951,72.506036,133.959
329,1027,908,161,85,0.0,23.055951,72.506036,133.959
330,1033,907,162,85,0.0,23.055951,72.506036,133.959
331,1041,906,164,83,0.0,23.055951,72.506036,133.955
332,1047,907,163,82,0.0,23.055951,72.506036,133.955
333,1052,907,164,82,0.0,23.055951,72.506036,133.955
334,1057,907,163,82,0.0,23.055951,72.506036,133.955
335,1063,907,163,82,0.0,23.055951,72.506036,133.955
336,1069,907,165,82,0.0,23.055951,72.506036,133.955
337,1075,905,166,84,0.0,23.055951,72.506036,133.955
338,1080,904,169,86,0.0,23.055951,72.506036,133.955
339,1086,901,171,89,0.0,23.055951,72.506036,133.955
340,1092,899,170,89,0.0,23.055951,72.506036,133.955
341,1098,897,170,90,0.0,23.055951,72.506036,133.955
342,1104,898,170,89,0.0,23.055951,72.506036,133.955
343,1111,899,170,89,0.0,23.055951,72.506036,133.946
344,1118,898,171,88,0.0,23.055951,72.506036,133.946
345,1124,896,171,88,0.0,23.055951,72.506036,133.946
346,1128,894,174,88,0.0,23.055951,72.506036,133.946
347,1134,894,175,87,0.0,23.055951,72.506036,133.946
348,1139,893,176,86,0.0,23.055951,72.506036,133.946
349,1144,893,176,85,0.0,23.055951,72.506036,133.946
350,1149,894,175,84,0.0,23.055951,72.506036,133.946
351,1157,893,173,84,0.0,23.055951,72.506036,133.946
352,1167,890,169,84,0.0,23.055951,72.506036,133.946
353,1173,889,168,85,0.0,23.055951,72.506036,133.946
354,1178,887,167,87,0.0,23.055951,72.506036,133.946
355,1180,885,166,86,0.0,23.055951,72.506036,133.944
356,1189,883,165,85,0.0,23.055951,72.506036,133.944
357,1198,882,163,84,0.0,23.055951,72.506036,133.944
358,1205,882,162,85,0.0,23.055951,72.506036,133.944
359,1210,880,162,87,0.0,23.055951,72.506036,133.944
360,1213,877,164,89,0.0,23.055951,72.506036,133.944
361,1225,875,162,90,0.0,23.055951,72.506036,133.941
362,1233,874,161,90,0.0,23.055951,72.506036,133.941
363,1238,870,161,91,0.0,23.055951,72.506036,133.941
364,1236,871,164,91,0.0,23.055951,72.506036,133.941
365,1244,867,164,92,0.0,23.055951,72.506036,133.941
366,1240,867,168,93,0.0,23.055951,72.506036,133.941
367,1241,865,170,92,0.0,23.055951,72.506036,133.942
368,1245,865,171,91,0.0,23.055951,72.506036,133.942
369,1251,866,168,91,0.0,23.055951,72.506036,133.942
370,1256,862,167,92,0.0,23.055951,72.506036,133.942
371,1268,857,165,94,0.0,23.055951,72.506036,133.942
372,1276,855,165,95,0.0,23.055951,72.506036,133.942
373,1283,851,164,96,0.0,23.055951,72.506036,133.946
374,1291,848,163,97,0.0,23.055951,72.506036,133.946
375,1296,846,161,97,0.0,23.055951,72.506036,133.946
376,1300,843,160,99,0.0,23.055951,72.506036,133.946
377,1303,839,162,101,0.0,23.055951,72.506036,133.946
378,1307,835,163,104,0.0,23.055951,72.506036,133.946
379,1310,832,163,105,0.0,23.055951,72.506036,133.947
380,1313,830,165,105,0.0,23.055951,72.506036,133.947
381,1317,828,166,105,0.0,23.055951,72.506036,133.947
382,1318,827,168,104,0.0,23.055951,72.506036,133.947
383,1319,824,172,104,0.0,23.055951,72.506036,133.947
384,1326,821,170,106,0.0,23.055951,72.506036,133.947
385,1333,818,168,107,0.0,23.055951,72.506036,133.949
386,1348,815,165,111,0.0,23.055951,72.506036,133.949
387,1352,811,165,113,0.0,23.055951,72.506036,133.949
388,1354,807,161,114,0.0,23.055951,72.506036,133.949
389,1357,805,159,113,0.0,23.055951,72.506036,133.949
390,1356,800,160,112,0.0,23.055951,72.506036,133.949
391,1357,796,161,113,0.0,23.055951,72.506036,133.95
392,1367,791,162,116,0.0,23.055951,72.506036,133.95
393,1373,790,158,117,0.0,23.055951,72.506036,133.95
394,1377,785,157,119,0.0,23.055951,72.506036,133.95
395,1383,781,153,121,0.0,23.055951,72.506036,133.95
396,1388,774,153,123,0.0,23.055951,72.506036,133.95
397,1391,769,154,125,0.0,23.055951,72.506036,133.955
398,1392,765,155,127,0.0,23.055951,72.506036,133.955
399,1394,761,152,127,0.0,23.055951,72.506036,133.955
400,1398,755,151,128,0.0,23.055951,72.506036,133.955
401,1404,753,150,128,0.0,23.055951,72.506036,133.955
402,1409,747,146,130,0.0,23.055951,72.506036,133.955
403,1413,742,145,131,0.0,23.055951,72.506036,133.956
404,1418,737,142,131,0.0,23.055951,72.506036,133.956
405,1420,732,140,132,0.0,23.055951,72.506036,133.956
406,1424,729,138,133,0.0,23.055951,72.506036,133.956
407,1425,725,138,134,0.0,23.055951,72.506036,133.956
408,1428,720,140,136,0.0,23.055951,72.506036,133.956
409,1431,715,141,137,0.0,23.055951,72.506036,133.96
410,1437,709,140,138,0.0,23.055951,72.506036,133.96
411,1441,705,138,138,0.0,23.055951,72.506036,133.96
