frameNo,left,top,w,h,conf,lat,long,alt
146,2272,430,68,39,0.0,23.055987,72.506015,133.088
147,2271,426,69,40,0.0,23.055987,72.506015,133.087
156,2269,425,71,39,0.0,23.055987,72.506015,133.075
157,2269,424,72,39,0.0,23.055987,72.506015,133.075
158,2270,424,71,38,0.0,23.055987,72.506015,133.075
159,2270,423,71,39,0.0,23.055987,72.506015,133.062
160,2270,423,71,39,0.0,23.055987,72.506015,133.062
161,2270,424,71,38,0.0,23.055987,72.506015,133.062
162,2270,423,72,39,0.0,23.055987,72.506015,133.062
163,2271,423,71,38,0.0,23.055987,72.506015,133.062
164,2271,423,71,39,0.0,23.055987,72.506015,133.062
165,2270,423,71,39,0.0,23.055987,72.506015,133.046
166,2270,422,71,39,0.0,23.055987,72.506015,133.046
167,2270,422,71,39,0.0,23.055987,72.506015,133.046
168,2271,422,70,39,0.0,23.055987,72.506015,133.046
169,2271,423,70,38,0.0,23.055987,72.506015,133.046
170,2271,423,70,39,0.0,23.055987,72.506015,133.046
171,2272,423,69,38,0.0,23.055987,72.506015,133.031
172,2272,423,69,39,0.0,23.055987,72.506015,133.031
173,2272,424,69,38,0.0,23.055987,72.506015,133.031
174,2271,424,69,39,0.0,23.055987,72.506015,133.031
175,2271,424,69,39,0.0,23.055987,72.506015,133.031
179,2270,425,67,39,0.0,23.055987,72.506015,133.016
195,2270,422,68,40,0.0,23.055987,72.506015,132.99
196,2269,423,69,40,0.0,23.055987,72.506015,132.99
197,2270,424,68,39,0.0,23.055987,72.506015,132.99
198,2270,423,68,41,0.0,23.055987,72.506015,132.99
199,2270,424,68,39,0.0,23.055987,72.506015,132.99
200,2270,422,69,40,0.0,23.055987,72.506015,132.99
201,2271,423,68,39,0.0,23.055987,72.506015,132.983
202,2271,423,68,39,0.0,23.055987,72.506015,132.983
203,2271,423,69,39,0.0,23.055987,72.506015,132.983
204,2271,422,69,40,0.0,23.055987,72.506015,132.983
205,2271,422,69,40,0.0,23.055987,72.506015,132.983
206,2272,422,68,39,0.0,23.055987,72.506015,132.983
207,2272,422,69,39,0.0,23.055987,72.506015,132.977
208,2272,422,69,39,0.0,23.055987,72.506015,132.977
209,2272,422,69,39,0.0,23.055987,72.506015,132.977
210,2272,422,70,39,0.0,23.055987,72.506015,132.977
211,2272,423,69,38,0.0,23.055987,72.506015,132.977
212,2272,424,70,37,0.0,23.055987,72.506015,132.977
213,2272,424,70,37,0.0,23.055987,72.506015,132.983
214,2272,424,70,38,0.0,23.055987,72.506015,132.983
215,2271,424,70,37,0.0,23.055987,72.506015,132.983
216,2270,425,70,37,0.0,23.055987,72.506015,132.983
217,2270,425,71,37,0.0,23.055987,72.506015,132.983
218,2270,425,71,38,0.0,23.055987,72.506015,132.983
219,2270,425,70,37,0.0,23.055987,72.506015,132.986
220,2269,424,71,38,0.0,23.055987,72.506015,132.986
221,2270,425,70,37,0.0,23.055987,72.506015,132.986
222,2270,425,70,38,0.0,23.055987,72.506015,132.986
223,2271,425,70,38,0.0,23.055987,72.506015,132.986
224,2271,425,69,37,0.0,23.055987,72.506015,132.986
225,2271,425,69,37,0.0,23.055987,72.506015,132.994
226,2270,426,69,37,0.0,23.055987,72.506015,132.994
227,2270,426,69,37,0.0,23.055987,72.506015,132.994
233,2270,424,71,38,0.0,23.055987,72.506015,132.998
234,2270,424,70,38,0.0,23.055987,72.506015,132.998
235,2269,424,71,38,0.0,23.055987,72.506015,132.998
236,2269,424,71,38,0.0,23.055987,72.506015,132.998
237,2269,424,72,39,0.0,23.055987,72.506014,133.006
238,2270,424,71,38,0.0,23.055987,72.506014,133.006
239,2270,424,72,38,0.0,23.055987,72.506014,133.006
240,2270,423,73,39,0.0,23.055987,72.506014,133.006
241,2269,423,73,39,0.0,23.055987,72.506014,133.006
242,2268,423,74,40,0.0,23.055987,72.506014,133.006
