frameNo,left,top,w,h,conf,lat,long,alt
2436,1175,573,158,89,0.0,23.055988,72.506014,132.797
2440,1167,573,167,90,0.0,23.055988,72.506014,132.793
2449,1141,574,193,96,0.0,23.055988,72.506015,132.792
2542,1163,575,166,82,0.0,23.055988,72.506015,132.78
2543,1165,575,165,82,0.0,23.055988,72.506015,132.78
2566,1162,570,168,87,0.0,23.055988,72.506015,132.752
2567,1164,571,166,86,0.0,23.055988,72.506015,132.752
2568,1165,572,165,86,0.0,23.055988,72.506015,132.752
2569,1164,573,165,85,0.0,23.055988,72.506015,132.744
2570,1162,573,166,85,0.0,23.055988,72.506015,132.744
2571,1161,573,166,85,0.0,23.055988,72.506015,132.744
2572,1162,574,165,85,0.0,23.055988,72.506015,132.744
2573,1160,574,166,84,0.0,23.055988,72.506015,132.744
2574,1159,574,167,85,0.0,23.055988,72.506015,132.744
2575,1157,576,168,84,0.0,23.055988,72.506015,132.734
2576,1158,576,168,85,0.0,23.055988,72.506015,132.734
2577,1157,576,169,85,0.0,23.055988,72.506015,132.734
