frameNo,left,top,w,h,conf,lat,long,alt
1,2273,401,65,43,0.0,23.055988,72.506015,133.088
2,2273,401,64,44,0.0,23.055988,72.506015,133.088
3,2273,400,65,44,0.0,23.055988,72.506015,133.088
4,2274,400,64,43,0.0,23.055988,72.506015,133.088
5,2274,400,64,43,0.0,23.055988,72.506015,133.079
6,2274,400,63,43,0.0,23.055988,72.506015,133.079
7,2274,401,63,42,0.0,23.055988,72.506015,133.079
8,2274,402,63,42,0.0,23.055988,72.506015,133.079
180,2272,391,59,38,0.0,23.055988,72.506015,132.924
181,2272,391,60,38,0.0,23.055988,72.506015,132.924
182,2271,391,61,38,0.0,23.055988,72.506015,132.924
183,2271,391,61,39,0.0,23.055988,72.506015,132.924
184,2271,391,61,38,0.0,23.055988,72.506015,132.924
185,2271,391,62,38,0.0,23.055988,72.506015,132.933
186,2274,393,63,40,0.0,23.055988,72.506015,132.933
187,2272,391,63,40,0.0,23.055988,72.506015,132.933
188,2271,391,62,39,0.0,23.055988,72.506015,132.933
189,2271,391,62,39,0.0,23.055988,72.506015,132.933
190,2271,391,62,39,0.0,23.055988,72.506015,132.933
191,2271,391,63,39,0.0,23.055988,72.506015,132.946
192,2271,390,63,40,0.0,23.055988,72.506015,132.946
193,2276,388,64,40,0.0,23.055988,72.506015,132.946
194,2279,386,65,40,0.0,23.055988,72.506015,132.946
195,2280,386,66,40,0.0,23.055988,72.506015,132.946
196,2277,390,66,41,0.0,23.055988,72.506015,132.946
197,2275,392,66,41,0.0,23.055988,72.506015,132.955
198,2275,392,65,42,0.0,23.055988,72.506015,132.955
199,2271,391,66,41,0.0,23.055988,72.506015,132.955
200,2271,390,64,41,0.0,23.055988,72.506015,132.955
201,2278,387,66,41,0.0,23.055988,72.506015,132.955
202,2280,385,66,42,0.0,23.055988,72.506015,132.955
203,2280,385,67,41,0.0,23.055988,72.506015,132.967
204,2278,386,69,41,0.0,23.055988,72.506015,132.967
205,2278,386,69,41,0.0,23.055988,72.506015,132.967
206,2273,389,68,40,0.0,23.055988,72.506015,132.967
207,2273,391,68,41,0.0,23.055988,72.506015,132.967
208,2274,392,67,41,0.0,23.055988,72.506015,132.967
209,2277,388,68,42,0.0,23.055988,72.506015,132.976
210,2275,391,68,42,0.0,23.055988,72.506015,132.976
211,2276,388,69,42,0.0,23.055988,72.506015,132.976
212,2276,386,71,43,0.0,23.055988,72.506015,132.976
213,2277,386,70,42,0.0,23.055988,72.506015,132.976
214,2276,386,72,42,0.0,23.055988,72.506015,132.976
215,2278,385,71,42,0.0,23.055988,72.506015,132.992
216,2278,385,71,42,0.0,23.055988,72.506015,132.992
217,2278,385,71,43,0.0,23.055988,72.506015,132.992
218,2278,385,71,42,0.0,23.055988,72.506015,132.992
219,2278,386,70,41,0.0,23.055988,72.506015,132.992
220,2278,385,71,42,0.0,23.055988,72.506015,133.003
221,2278,385,71,42,0.0,23.055988,72.506014,133.003
222,2280,385,70,41,0.0,23.055988,72.506014,133.003
223,2280,385,70,42,0.0,23.055988,72.506014,133.003
224,2279,386,70,41,0.0,23.055988,72.506014,133.003
225,2278,386,70,42,0.0,23.055988,72.506014,133.003
226,2278,386,70,42,0.0,23.055988,72.506014,133.011
227,2278,386,71,42,0.0,23.055988,72.506015,133.011
228,2279,385,71,42,0.0,23.055988,72.506015,133.011
229,2279,386,70,42,0.0,23.055988,72.506015,133.011
230,2278,385,71,42,0.0,23.055988,72.506015,133.011
231,2278,385,71,42,0.0,23.055988,72.506015,133.011
232,2277,386,71,42,0.0,23.055988,72.506015,133.011
233,2277,386,71,42,0.0,23.055988,72.506014,133.016
234,2277,386,71,42,0.0,23.055988,72.506014,133.016
235,2276,385,72,43,0.0,23.055988,72.506014,133.016
236,2277,386,71,42,0.0,23.055988,72.506014,133.016
237,2276,386,72,42,0.0,23.055988,72.506014,133.016
238,2276,387,71,42,0.0,23.055988,72.506014,133.016
239,2276,386,71,42,0.0,23.055988,72.506014,133.021
240,2277,385,72,42,0.0,23.055988,72.506014,133.021
241,2276,386,72,42,0.0,23.055988,72.506014,133.021
242,2276,386,72,42,0.0,23.055988,72.506014,133.021
243,2276,386,73,43,0.0,23.055988,72.506014,133.021
244,2277,386,72,42,0.0,23.055988,72.506014,133.021
245,2277,385,73,43,0.0,23.055988,72.506015,133.02
246,2278,385,73,43,0.0,23.055988,72.506015,133.02
247,2278,385,73,43,0.0,23.055988,72.506015,133.02
248,2278,385,73,43,0.0,23.055988,72.506015,133.02
249,2278,385,73,42,0.0,23.055988,72.506015,133.02
250,2277,385,74,43,0.0,23.055988,72.506015,133.018
251,2276,385,75,43,0.0,23.055988,72.506015,133.018
252,2276,386,74,43,0.0,23.055988,72.506015,133.018
253,2275,386,76,43,0.0,23.055988,72.506015,133.018
254,2275,385,75,44,0.0,23.055988,72.506015,133.018
255,2274,386,76,43,0.0,23.055988,72.506015,133.018
256,2275,386,76,43,0.0,23.055988,72.506015,133.029
257,2275,386,75,43,0.0,23.055988,72.506015,133.029
258,2275,386,75,43,0.0,23.055988,72.506015,133.029
259,2272,389,75,42,0.0,23.055988,72.506015,133.029
260,2271,390,74,42,0.0,23.055988,72.506015,133.029
261,2272,388,75,43,0.0,23.055988,72.506015,133.029
262,2273,387,75,43,0.0,23.055988,72.506015,133.033
263,2273,386,76,43,0.0,23.055988,72.506015,133.033
264,2274,386,77,43,0.0,23.055988,72.506015,133.033
265,2273,387,77,42,0.0,23.055988,72.506015,133.033
266,2274,386,77,43,0.0,23.055988,72.506015,133.033
267,2274,386,78,43,0.0,23.055988,72.506015,133.033
268,2273,386,78,43,0.0,23.055988,72.506015,133.033
269,2272,386,78,43,0.0,23.055988,72.506015,133.039
270,2273,386,78,42,0.0,23.055988,72.506015,133.039
271,2272,386,79,43,0.0,23.055988,72.506015,133.039
272,2272,386,79,43,0.0,23.055988,72.506015,133.039
273,2272,386,79,43,0.0,23.055988,72.506015,133.039
274,2271,386,79,43,0.0,23.055988,72.506015,133.045
275,2271,386,78,42,0.0,23.055988,72.506015,133.045
276,2271,387,78,41,0.0,23.055988,72.506015,133.045
277,2271,387,77,41,0.0,23.055988,72.506015,133.045
278,2271,387,77,41,0.0,23.055988,72.506015,133.045
337,2267,394,70,36,0.0,23.055987,72.506015,133.053
368,2268,393,71,36,0.0,23.055988,72.506014,133.101
369,2267,393,71,36,0.0,23.055988,72.506014,133.101
370,2267,393,71,36,0.0,23.055988,72.506014,133.112
371,2267,393,71,36,0.0,23.055987,72.506014,133.112
372,2268,393,70,36,0.0,23.055987,72.506014,133.112
373,2268,393,71,36,0.0,23.055987,72.506014,133.112
374,2273,391,72,37,0.0,23.055987,72.506014,133.112
375,2275,390,72,38,0.0,23.055987,72.506014,133.112
376,2275,389,73,38,0.0,23.055987,72.506014,133.128
385,2270,392,69,36,0.0,23.055987,72.506014,133.143
386,2273,391,70,37,0.0,23.055987,72.506014,133.143
387,2275,389,71,38,0.0,23.055987,72.506014,133.143
388,2275,389,72,38,0.0,23.055987,72.506014,133.156
389,2276,388,72,39,0.0,23.055987,72.506014,133.156
390,2276,388,72,40,0.0,23.055987,72.506014,133.156
391,2272,390,71,38,0.0,23.055987,72.506014,133.156
392,2274,390,71,39,0.0,23.055987,72.506014,133.156
393,2271,391,70,38,0.0,23.055987,72.506014,133.156
394,2271,391,69,38,0.0,23.055987,72.506014,133.171
395,2270,391,69,37,0.0,23.055987,72.506014,133.171
396,2271,392,68,36,0.0,23.055987,72.506014,133.171
397,2275,390,68,38,0.0,23.055987,72.506014,133.171
398,2276,390,70,38,0.0,23.055987,72.506014,133.171
399,2275,390,70,38,0.0,23.055987,72.506014,133.171
400,2275,389,71,39,0.0,23.055987,72.506014,133.189
401,2275,389,71,40,0.0,23.055987,72.506014,133.189
402,2274,389,72,40,0.0,23.055987,72.506014,133.189
403,2274,389,72,40,0.0,23.055987,72.506014,133.189
404,2271,390,71,39,0.0,23.055988,72.506014,133.189
405,2269,392,70,38,0.0,23.055988,72.506014,133.189
406,2269,392,69,38,0.0,23.055988,72.506014,133.204
407,2269,392,70,37,0.0,23.055987,72.506014,133.204
408,2269,392,69,37,0.0,23.055987,72.506014,133.204
409,2269,393,69,36,0.0,23.055987,72.506014,133.204
410,2269,392,69,36,0.0,23.055987,72.506014,133.204
411,2270,393,68,35,0.0,23.055987,72.506014,133.204
