frameNo,left,top,w,h,conf,lat,long,alt
943,5,960,59,92,0.0,23.055986,72.506014,133.14
944,6,958,69,93,0.0,23.055986,72.506014,133.14
945,7,957,79,94,0.0,23.055986,72.506014,133.14
946,7,957,91,95,0.0,23.055985,72.506014,133.156
947,8,958,102,95,0.0,23.055985,72.506014,133.156
948,8,959,114,94,0.0,23.055985,72.506014,133.156
949,8,959,126,94,0.0,23.055985,72.506014,133.156
950,8,959,137,94,0.0,23.055985,72.506014,133.156
951,11,960,147,92,0.0,23.055985,72.506014,133.156
952,17,961,153,90,0.0,23.055985,72.506014,133.176
953,27,960,158,89,0.0,23.055985,72.506014,133.176
954,38,961,161,88,0.0,23.055985,72.506014,133.176
955,50,962,164,87,0.0,23.055985,72.506014,133.176
956,62,962,165,87,0.0,23.055985,72.506014,133.176
957,73,962,165,87,0.0,23.055985,72.506014,133.176
958,83,961,165,86,0.0,23.055985,72.506014,133.192
959,95,962,164,85,0.0,23.055985,72.506014,133.192
960,107,963,162,85,0.0,23.055985,72.506014,133.192
961,118,963,163,85,0.0,23.055985,72.506014,133.192
962,129,964,162,83,0.0,23.055985,72.506014,133.192
963,140,964,161,83,0.0,23.055985,72.506014,133.192
964,152,965,161,82,0.0,23.055985,72.506014,133.21
965,163,965,160,82,0.0,23.055985,72.506014,133.21
966,173,964,162,83,0.0,23.055985,72.506014,133.21
967,183,963,161,83,0.0,23.055985,72.506014,133.21
968,192,963,160,83,0.0,23.055985,72.506014,133.21
969,203,964,161,82,0.0,23.055985,72.506014,133.21
970,213,964,160,83,0.0,23.055986,72.506014,133.226
971,222,964,161,81,0.0,23.055986,72.506014,133.226
972,232,964,161,81,0.0,23.055986,72.506014,133.226
973,243,966,159,80,0.0,23.055986,72.506014,133.226
974,252,966,159,81,0.0,23.055986,72.506014,133.226
975,261,966,159,81,0.0,23.055986,72.506014,133.226
976,270,965,160,82,0.0,23.055986,72.506014,133.245
977,279,965,159,81,0.0,23.055986,72.506014,133.245
978,288,965,159,80,0.0,23.055986,72.506014,133.245
979,298,965,157,80,0.0,23.055986,72.506014,133.245
980,306,965,158,80,0.0,23.055986,72.506014,133.245
981,315,963,157,80,0.0,23.055986,72.506014,133.245
982,325,963,157,80,0.0,23.055986,72.506014,133.259
983,335,964,156,78,0.0,23.055986,72.506014,133.259
984,344,964,155,78,0.0,23.055986,72.506014,133.259
985,352,965,155,77,0.0,23.055986,72.506014,133.259
986,359,965,156,78,0.0,23.055986,72.506014,133.259
987,366,965,158,77,0.0,23.055986,72.506014,133.259
988,373,964,159,77,0.0,23.055986,72.506014,133.27
989,381,965,159,77,0.0,23.055986,72.506014,133.27
990,389,965,157,78,0.0,23.055986,72.506014,133.27
991,397,965,158,78,0.0,23.055986,72.506014,133.27
992,403,965,158,78,0.0,23.055986,72.506014,133.27
993,411,964,157,80,0.0,23.055986,72.506014,133.27
994,418,964,156,80,0.0,23.055986,72.506014,133.278
995,426,965,154,80,0.0,23.055986,72.506014,133.278
996,433,965,153,80,0.0,23.055986,72.506014,133.278
997,439,965,153,80,0.0,23.055986,72.506014,133.278
998,447,964,153,80,0.0,23.055986,72.506014,133.278
999,453,964,154,79,0.0,23.055986,72.506014,133.278
1000,460,964,156,79,0.0,23.055986,72.506014,133.291
1001,466,963,157,79,0.0,23.055986,72.506014,133.291
1002,473,963,156,78,0.0,23.055986,72.506014,133.291
1003,480,964,155,77,0.0,23.055986,72.506014,133.291
1004,486,964,153,77,0.0,23.055986,72.506014,133.291
1005,493,965,151,77,0.0,23.055986,72.506014,133.291
1006,498,965,151,78,0.0,23.055986,72.506014,133.298
1007,505,964,151,78,0.0,23.055986,72.506014,133.298
1008,512,964,152,78,0.0,23.055986,72.506014,133.298
1009,518,963,154,78,0.0,23.055986,72.506014,133.298
1010,525,963,154,76,0.0,23.055986,72.506014,133.298
1011,532,963,154,76,0.0,23.055986,72.506014,133.298
1012,539,964,154,75,0.0,23.055986,72.506014,133.305
1013,544,964,155,76,0.0,23.055986,72.506014,133.305
1014,549,965,156,76,0.0,23.055986,72.506014,133.305
1015,556,965,156,75,0.0,23.055986,72.506014,133.305
1016,562,964,157,75,0.0,23.055986,72.506014,133.305
1017,569,965,155,74,0.0,23.055986,72.506014,133.305
1018,576,965,154,74,0.0,23.055986,72.506014,133.314
1019,584,966,152,73,0.0,23.055986,72.506014,133.314
1020,590,966,153,73,0.0,23.055986,72.506014,133.314
1021,594,966,153,73,0.0,23.055986,72.506014,133.314
1022,601,966,153,74,0.0,23.055986,72.506014,133.314
1023,609,965,153,74,0.0,23.055986,72.506014,133.314
1024,617,965,152,73,0.0,23.055986,72.506014,133.325
1025,624,965,152,74,0.0,23.055986,72.506014,133.325
1026,631,965,151,74,0.0,23.055986,72.506014,133.325
1027,637,965,152,74,0.0,23.055986,72.506014,133.325
1028,642,965,153,75,0.0,23.055986,72.506014,133.325
1029,647,965,154,75,0.0,23.055986,72.506014,133.325
1030,652,964,156,76,0.0,23.055986,72.506014,133.33
1031,658,963,156,76,0.0,23.055986,72.506014,133.33
1032,664,963,155,76,0.0,23.055986,72.506014,133.33
1033,671,964,155,75,0.0,23.055986,72.506014,133.33
1034,679,964,153,75,0.0,23.055986,72.506014,133.33
1035,685,965,154,75,0.0,23.055986,72.506014,133.33
1036,690,965,153,75,0.0,23.055986,72.506014,133.343
1037,696,963,153,76,0.0,23.055986,72.506014,133.343
1038,703,962,153,76,0.0,23.055986,72.506014,133.343
1039,709,963,153,75,0.0,23.055986,72.506014,133.343
1040,715,964,153,74,0.0,23.055986,72.506014,133.343
1041,722,963,153,75,0.0,23.055986,72.506014,133.343
1042,730,963,152,76,0.0,23.055986,72.506014,133.349
1043,736,963,152,76,0.0,23.055986,72.506014,133.349
1044,741,964,153,76,0.0,23.055986,72.506014,133.349
1045,748,963,153,77,0.0,23.055986,72.506014,133.349
1046,754,962,153,78,0.0,23.055986,72.506014,133.349
1047,759,962,154,78,0.0,23.055986,72.506014,133.349
1048,765,962,154,78,0.0,23.055986,72.506014,133.354
1049,773,963,153,77,0.0,23.055986,72.506014,133.354
1050,781,963,152,77,0.0,23.055986,72.506014,133.354
1051,786,963,152,77,0.0,23.055986,72.506014,133.354
1052,793,963,151,77,0.0,23.055986,72.506014,133.354
1053,799,962,151,76,0.0,23.055986,72.506014,133.354
1054,804,961,151,76,0.0,23.055986,72.506014,133.361
1055,810,962,152,75,0.0,23.055986,72.506014,133.361
1056,817,962,151,76,0.0,23.055986,72.506014,133.361
1057,824,962,151,75,0.0,23.055986,72.506014,133.361
1058,831,962,150,75,0.0,23.055986,72.506014,133.361
1059,836,962,151,76,0.0,23.055986,72.506014,133.361
1060,841,962,151,76,0.0,23.055986,72.506014,133.36
1061,847,961,152,77,0.0,23.055986,72.506014,133.36
1062,852,960,153,78,0.0,23.055986,72.506014,133.36
1063,857,960,153,78,0.0,23.055986,72.506014,133.36
1064,864,960,152,78,0.0,23.055986,72.506014,133.36
1065,870,960,152,79,0.0,23.055986,72.506014,133.36
1066,877,960,151,78,0.0,23.055986,72.506014,133.364
1067,883,960,150,79,0.0,23.055986,72.506014,133.364
1068,889,959,151,79,0.0,23.055986,72.506014,133.364
1069,895,959,151,78,0.0,23.055986,72.506014,133.364
1070,901,959,150,77,0.0,23.055986,72.506014,133.364
1071,909,959,150,78,0.0,23.055986,72.506014,133.364
1072,918,959,149,77,0.0,23.055986,72.506014,133.363
1073,926,959,149,78,0.0,23.055986,72.506014,133.363
1074,932,959,149,78,0.0,23.055986,72.506014,133.363
1075,938,959,150,79,0.0,23.055986,72.506014,133.363
1076,943,958,152,79,0.0,23.055986,72.506014,133.363
1077,948,958,153,79,0.0,23.055986,72.506014,133.363
1078,954,958,153,78,0.0,23.055986,72.506014,133.367
1079,961,958,153,78,0.0,23.055986,72.506014,133.367
1080,971,957,151,78,0.0,23.055986,72.506014,133.367
1081,979,957,150,78,0.0,23.055986,72.506014,133.367
1082,984,956,151,78,0.0,23.055986,72.506014,133.367
1083,990,955,152,78,0.0,23.055986,72.506014,133.367
1084,996,954,153,78,0.0,23.055986,72.506014,133.37
1085,1004,953,153,78,0.0,23.055986,72.506014,133.37
1086,1012,953,153,78,0.0,23.055986,72.506014,133.37
1087,1020,953,153,79,0.0,23.055986,72.506014,133.37
1088,1026,952,153,79,0.0,23.055986,72.506014,133.37
1089,1034,952,152,79,0.0,23.055986,72.506014,133.37
