frameNo,left,top,w,h,conf,lat,long,alt
1811,2,1677,82,41,0.0,23.055951,72.506035,132.87
1812,5,1679,82,38,0.0,23.055951,72.506035,132.871
1813,11,1679,83,40,0.0,23.055951,72.506035,132.871
1814,25,1680,80,38,0.0,23.055951,72.506035,132.871
1815,39,1679,76,38,0.0,23.055951,72.506035,132.871
1816,52,1676,75,38,0.0,23.055951,72.506035,132.871
1817,70,1675,72,38,0.0,23.055951,72.506035,132.871
1837,247,1663,65,29,0.0,23.055951,72.506035,132.873
1838,257,1663,66,30,0.0,23.055951,72.506035,132.873
1839,264,1663,69,31,0.0,23.055951,72.506035,132.873
1840,271,1663,71,31,0.0,23.055951,72.506035,132.873
1841,280,1661,71,32,0.0,23.055951,72.506035,132.873
1842,285,1661,77,34,0.0,23.055951,72.506035,132.871
1843,291,1660,81,35,0.0,23.055951,72.506035,132.871
1844,298,1659,84,36,0.0,23.055951,72.506035,132.871
1845,308,1659,78,34,0.0,23.055951,72.506035,132.871
1846,319,1661,74,33,0.0,23.055951,72.506035,132.871
1847,327,1662,76,34,0.0,23.055951,72.506035,132.874
1848,334,1659,73,34,0.0,23.055951,72.506035,132.874
1849,340,1660,77,34,0.0,23.055951,72.506035,132.874
1850,348,1658,81,36,0.0,23.055951,72.506035,132.874
1851,356,1657,83,36,0.0,23.055951,72.506035,132.874
1852,364,1655,85,36,0.0,23.055951,72.506035,132.874
1853,375,1655,84,38,0.0,23.055951,72.506035,132.876
1854,382,1654,86,38,0.0,23.055951,72.506035,132.876
1855,390,1654,85,38,0.0,23.055951,72.506035,132.876
1856,399,1650,83,37,0.0,23.055951,72.506035,132.876
1857,409,1649,83,35,0.0,23.055951,72.506035,132.876
1858,416,1648,83,36,0.0,23.055951,72.506035,132.876
1859,424,1649,83,36,0.0,23.055951,72.506035,132.876
1860,432,1649,80,36,0.0,23.055951,72.506035,132.876
1861,432,1652,75,35,0.0,23.055951,72.506035,132.876
1862,443,1652,76,35,0.0,23.055951,72.506035,132.876
1863,454,1649,79,37,0.0,23.055951,72.506035,132.876
1864,460,1647,82,38,0.0,23.055951,72.506035,132.876
1865,470,1647,81,38,0.0,23.055951,72.506035,132.877
1866,477,1647,80,38,0.0,23.055951,72.506035,132.877
1867,483,1646,83,38,0.0,23.055951,72.506035,132.877
1868,493,1645,84,38,0.0,23.055951,72.506035,132.877
1869,496,1645,86,38,0.0,23.055951,72.506035,132.877
1870,498,1645,86,37,0.0,23.055951,72.506035,132.877
1871,506,1646,85,37,0.0,23.055951,72.506035,132.875
1872,517,1646,86,36,0.0,23.055951,72.506035,132.875
1873,522,1645,87,37,0.0,23.055951,72.506035,132.875
1874,531,1646,87,36,0.0,23.055951,72.506035,132.875
1875,540,1644,89,36,0.0,23.055951,72.506035,132.875
1876,548,1644,85,35,0.0,23.055951,72.506035,132.875
1887,626,1647,77,31,0.0,23.055951,72.506035,132.871
1926,853,1641,71,34,0.0,23.055952,72.506036,132.832
1927,856,1641,72,35,0.0,23.055952,72.506036,132.832
1937,911,1637,82,37,0.0,23.055952,72.506036,132.822
1938,919,1633,82,38,0.0,23.055952,72.506036,132.822
1939,931,1632,80,37,0.0,23.055952,72.506036,132.822
1940,938,1632,78,37,0.0,23.055952,72.506036,132.822
1941,943,1632,80,37,0.0,23.055952,72.506036,132.822
1942,947,1631,81,38,0.0,23.055952,72.506036,132.822
1943,949,1632,82,38,0.0,23.055952,72.506036,132.809
1944,951,1630,82,38,0.0,23.055952,72.506036,132.809
1945,957,1628,82,38,0.0,23.055952,72.506036,132.809
