frameNo,left,top,w,h,conf,lat,long,alt
1821,3543,1313,37,32,0.0,23.055988,72.506013,132.355
1822,3524,1313,40,32,0.0,23.055988,72.506013,132.355
1823,3520,1313,38,31,0.0,23.055988,72.506013,132.355
1824,3515,1314,36,30,0.0,23.055988,72.506013,132.355
1825,3498,1313,40,31,0.0,23.055988,72.506013,132.355
1826,3492,1315,41,31,0.0,23.055988,72.506013,132.35
1833,3459,1324,35,26,0.0,23.055988,72.506014,132.352
1840,3401,1321,42,28,0.0,23.055988,72.506013,132.346
1841,3395,1321,41,28,0.0,23.055988,72.506013,132.346
1842,3394,1321,40,28,0.0,23.055988,72.506013,132.346
1843,3389,1322,41,28,0.0,23.055988,72.506013,132.346
1844,3388,1322,38,28,0.0,23.055988,72.506014,132.345
1845,3384,1324,36,26,0.0,23.055988,72.506014,132.345
1846,3378,1325,35,26,0.0,23.055988,72.506014,132.345
1853,3333,1328,39,27,0.0,23.055988,72.506014,132.342
1854,3321,1329,39,27,0.0,23.055988,72.506014,132.342
1855,3323,1330,36,27,0.0,23.055988,72.506014,132.342
1856,3318,1330,34,27,0.0,23.055988,72.506014,132.345
1857,3312,1330,34,27,0.0,23.055988,72.506014,132.345
1858,3305,1330,34,27,0.0,23.055988,72.506014,132.345
1859,3297,1329,35,28,0.0,23.055988,72.506014,132.345
1860,3295,1330,34,29,0.0,23.055988,72.506014,132.345
1861,3292,1331,33,28,0.0,23.055988,72.506014,132.345
1862,3288,1331,32,28,0.0,23.055988,72.506014,132.339
1863,3278,1330,32,29,0.0,23.055988,72.506014,132.339
1864,3270,1331,32,28,0.0,23.055988,72.506014,132.339
1865,3266,1331,32,28,0.0,23.055988,72.506014,132.339
1866,3264,1332,31,26,0.0,23.055988,72.506014,132.339
1867,3256,1333,33,26,0.0,23.055988,72.506014,132.339
1873,3202,1335,42,27,0.0,23.055988,72.506014,132.344
1874,3198,1334,41,27,0.0,23.055988,72.506014,132.345
1875,3189,1334,43,26,0.0,23.055988,72.506014,132.345
1876,3183,1334,44,26,0.0,23.055988,72.506014,132.345
1877,3177,1332,41,27,0.0,23.055988,72.506014,132.345
1878,3172,1332,39,27,0.0,23.055988,72.506014,132.345
1879,3165,1333,38,28,0.0,23.055988,72.506014,132.345
1880,3163,1333,37,28,0.0,23.055988,72.506014,132.35
1881,3161,1334,36,28,0.0,23.055988,72.506014,132.35
1882,3159,1334,35,29,0.0,23.055988,72.506014,132.35
1883,3153,1335,34,30,0.0,23.055988,72.506014,132.35
1884,3149,1336,33,30,0.0,23.055988,72.506014,132.35
1885,3142,1335,32,30,0.0,23.055988,72.506014,132.35
1886,3137,1336,32,29,0.0,23.055988,72.506014,132.347
1887,3127,1337,32,29,0.0,23.055988,72.506014,132.347
1888,3121,1339,32,28,0.0,23.055988,72.506014,132.347
1889,3116,1339,32,28,0.0,23.055988,72.506014,132.347
1890,3110,1340,32,28,0.0,23.055988,72.506014,132.347
1891,3105,1340,32,28,0.0,23.055988,72.506014,132.356
1892,3100,1340,32,27,0.0,23.055988,72.506014,132.356
1893,3097,1339,32,28,0.0,23.055988,72.506014,132.356
1894,3089,1340,31,27,0.0,23.055988,72.506014,132.356
1895,3079,1341,32,26,0.0,23.055988,72.506014,132.356
1896,3072,1340,32,27,0.0,23.055988,72.506014,132.356
