frameNo,left,top,w,h,conf,lat,long,alt
1897,9,906,66,34,0.0,23.055988,72.506014,132.356
1898,17,906,69,33,0.0,23.055988,72.506014,132.36
1899,25,905,82,34,0.0,23.055988,72.506014,132.36
1900,37,905,85,34,0.0,23.055988,72.506014,132.36
1901,49,905,88,34,0.0,23.055988,72.506014,132.36
1902,59,905,87,34,0.0,23.055988,72.506014,132.36
1903,70,904,91,34,0.0,23.055988,72.506014,132.36
1904,83,902,91,35,0.0,23.055988,72.506014,132.361
1905,94,903,91,34,0.0,23.055988,72.506014,132.361
1906,104,902,89,35,0.0,23.055988,72.506014,132.361
1907,116,902,89,35,0.0,23.055988,72.506014,132.361
1908,128,900,87,36,0.0,23.055988,72.506014,132.361
1909,140,899,85,37,0.0,23.055988,72.506014,132.361
1910,152,898,85,37,0.0,23.055988,72.506014,132.364
1911,164,898,85,36,0.0,23.055988,72.506014,132.364
1912,175,899,86,35,0.0,23.055988,72.506014,132.364
1913,185,899,86,35,0.0,23.055988,72.506014,132.364
1914,194,899,87,35,0.0,23.055988,72.506014,132.364
1915,203,899,88,35,0.0,23.055988,72.506014,132.364
1916,214,899,88,36,0.0,23.055988,72.506014,132.371
1917,225,898,87,36,0.0,23.055988,72.506014,132.371
1918,237,897,86,36,0.0,23.055988,72.506014,132.371
1919,248,897,87,35,0.0,23.055988,72.506014,132.371
1920,257,897,88,36,0.0,23.055988,72.506014,132.371
1921,269,897,88,36,0.0,23.055988,72.506014,132.376
1922,280,896,86,37,0.0,23.055988,72.506014,132.376
1923,289,897,86,36,0.0,23.055988,72.506014,132.376
1924,299,897,86,36,0.0,23.055988,72.506014,132.376
1925,313,897,86,36,0.0,23.055988,72.506014,132.376
1926,322,895,85,36,0.0,23.055988,72.506014,132.376
1927,336,895,84,36,0.0,23.055988,72.506014,132.376
1928,346,895,85,35,0.0,23.055988,72.506014,132.38
1929,354,895,85,36,0.0,23.055988,72.506014,132.38
1930,363,894,87,36,0.0,23.055988,72.506014,132.38
1931,372,894,86,36,0.0,23.055988,72.506014,132.38
1932,382,895,83,36,0.0,23.055988,72.506014,132.38
1933,390,894,83,36,0.0,23.055988,72.506014,132.38
1934,401,897,82,35,0.0,23.055988,72.506014,132.379
1935,408,896,84,35,0.0,23.055988,72.506014,132.379
1936,419,897,83,35,0.0,23.055988,72.506014,132.379
1937,431,896,80,35,0.0,23.055988,72.506014,132.379
1938,442,895,82,35,0.0,23.055988,72.506014,132.379
1939,454,895,84,37,0.0,23.055988,72.506014,132.379
1940,462,895,87,37,0.0,23.055988,72.506014,132.386
1941,470,895,86,38,0.0,23.055988,72.506014,132.386
1942,478,896,84,37,0.0,23.055988,72.506014,132.386
1943,486,895,83,37,0.0,23.055988,72.506014,132.386
1944,493,895,81,37,0.0,23.055988,72.506014,132.386
1945,501,895,82,37,0.0,23.055988,72.506014,132.39
1946,510,894,82,37,0.0,23.055988,72.506014,132.39
1947,517,893,82,36,0.0,23.055988,72.506014,132.39
1948,523,893,82,36,0.0,23.055988,72.506014,132.39
1949,526,893,85,36,0.0,23.055988,72.506014,132.39
1950,534,893,88,37,0.0,23.055988,72.506014,132.39
1951,536,892,94,38,0.0,23.055988,72.506014,132.394
1952,544,893,96,39,0.0,23.055988,72.506014,132.394
1953,553,894,97,38,0.0,23.055988,72.506014,132.394
1954,566,894,96,38,0.0,23.055988,72.506014,132.394
1955,575,893,97,38,0.0,23.055988,72.506014,132.394
1956,591,893,94,37,0.0,23.055988,72.506014,132.394
1957,606,893,90,37,0.0,23.055988,72.506014,132.397
1958,617,894,86,35,0.0,23.055988,72.506014,132.397
1959,628,893,85,35,0.0,23.055988,72.506014,132.397
1960,639,893,84,35,0.0,23.055988,72.506014,132.397
1961,649,892,83,36,0.0,23.055988,72.506014,132.397
1962,659,891,83,36,0.0,23.055988,72.506014,132.397
1963,668,892,80,36,0.0,23.055988,72.506014,132.397
1964,674,891,81,36,0.0,23.055988,72.506014,132.404
1965,684,892,80,35,0.0,23.055988,72.506014,132.404
1966,691,892,81,36,0.0,23.055988,72.506014,132.404
1967,700,892,83,35,0.0,23.055988,72.506014,132.404
1968,709,892,83,35,0.0,23.055988,72.506014,132.404
1969,718,891,80,35,0.0,23.055988,72.506014,132.411
1970,727,892,80,34,0.0,23.055988,72.506014,132.411
1971,736,891,81,34,0.0,23.055988,72.506014,132.411
1972,745,890,82,36,0.0,23.055988,72.506014,132.411
1973,751,891,82,35,0.0,23.055988,72.506014,132.411
1974,761,890,81,35,0.0,23.055988,72.506014,132.411
1975,770,892,81,34,0.0,23.055988,72.506014,132.419
1976,778,892,81,35,0.0,23.055988,72.506014,132.419
1977,785,892,82,35,0.0,23.055988,72.506014,132.419
1978,793,892,82,35,0.0,23.055988,72.506014,132.419
1979,801,890,82,35,0.0,23.055988,72.506014,132.419
1980,808,891,82,35,0.0,23.055988,72.506014,132.419
1981,817,890,81,34,0.0,23.055988,72.506014,132.419
1982,826,890,82,34,0.0,23.055988,72.506014,132.43
1983,833,889,82,35,0.0,23.055988,72.506014,132.43
1984,842,889,82,36,0.0,23.055988,72.506014,132.43
1985,851,889,80,35,0.0,23.055988,72.506014,132.43
1986,860,889,79,35,0.0,23.055988,72.506014,132.43
1987,866,889,80,35,0.0,23.055988,72.506014,132.436
1988,875,889,81,35,0.0,23.055988,72.506014,132.436
1989,881,889,81,35,0.0,23.055988,72.506014,132.436
1990,887,890,81,34,0.0,23.055988,72.506014,132.436
