frameNo,left,top,w,h,conf,lat,long,alt
1,2259,562,59,38,0.0,23.055986,72.506015,133.062
2,2259,562,60,37,0.0,23.055986,72.506015,133.062
3,2260,561,60,38,0.0,23.055986,72.506015,133.064
4,2259,561,60,39,0.0,23.055986,72.506015,133.064
5,2260,561,61,38,0.0,23.055986,72.506015,133.064
6,2260,561,62,38,0.0,23.055986,72.506015,133.064
7,2259,561,62,38,0.0,23.055986,72.506015,133.064
8,2260,560,64,39,0.0,23.055986,72.506015,133.064
9,2260,560,63,38,0.0,23.055986,72.506015,133.07
10,2260,560,65,38,0.0,23.055986,72.506015,133.07
11,2260,560,66,37,0.0,23.055986,72.506015,133.07
12,2261,560,65,38,0.0,23.055986,72.506015,133.07
13,2260,560,64,38,0.0,23.055986,72.506015,133.07
14,2260,560,64,38,0.0,23.055986,72.506015,133.07
15,2260,559,65,38,0.0,23.055986,72.506015,133.068
16,2260,557,66,38,0.0,23.055986,72.506015,133.068
17,2260,556,66,38,0.0,23.055986,72.506015,133.068
34,2283,552,62,42,0.0,23.055987,72.506015,133.075
35,2282,551,63,43,0.0,23.055987,72.506015,133.075
36,2282,552,63,43,0.0,23.055987,72.506015,133.075
37,2284,554,64,44,0.0,23.055987,72.506015,133.075
38,2285,554,64,44,0.0,23.055987,72.506015,133.075
39,2286,554,64,45,0.0,23.055987,72.506015,133.073
40,2287,555,64,44,0.0,23.055987,72.506015,133.073
41,2285,553,64,45,0.0,23.055987,72.506015,133.073
141,2264,549,64,37,0.0,23.055987,72.506015,133.088
142,2264,548,64,36,0.0,23.055987,72.506015,133.088
143,2264,548,65,36,0.0,23.055987,72.506015,133.088
144,2264,546,65,36,0.0,23.055987,72.506015,133.088
145,2264,549,66,35,0.0,23.055987,72.506015,133.088
146,2264,548,67,36,0.0,23.055987,72.506015,133.088
147,2263,549,67,36,0.0,23.055987,72.506015,133.087
153,2263,548,65,38,0.0,23.055987,72.506015,133.075
168,2265,553,66,42,0.0,23.055987,72.506015,133.046
173,2265,553,65,41,0.0,23.055987,72.506015,133.031
174,2265,552,65,42,0.0,23.055987,72.506015,133.031
175,2264,553,64,42,0.0,23.055987,72.506015,133.031
176,2264,552,64,43,0.0,23.055987,72.506015,133.031
177,2264,552,64,43,0.0,23.055987,72.506015,133.016
178,2264,552,62,44,0.0,23.055987,72.506015,133.016
179,2265,552,62,44,0.0,23.055987,72.506015,133.016
180,2266,551,62,43,0.0,23.055987,72.506015,133.016
202,2264,552,63,44,0.0,23.055987,72.506015,132.983
203,2264,552,63,43,0.0,23.055987,72.506015,132.983
204,2265,553,62,42,0.0,23.055987,72.506015,132.983
205,2264,553,62,43,0.0,23.055987,72.506015,132.983
206,2264,553,64,42,0.0,23.055987,72.506015,132.983
207,2265,553,63,42,0.0,23.055987,72.506015,132.977
208,2265,554,64,42,0.0,23.055987,72.506015,132.977
301,2262,553,62,44,0.0,23.055987,72.506014,133.032
302,2263,553,61,44,0.0,23.055987,72.506014,133.032
303,2262,553,61,44,0.0,23.055987,72.506014,133.026
304,2263,553,60,44,0.0,23.055987,72.506014,133.026
305,2263,553,60,44,0.0,23.055987,72.506014,133.026
306,2263,553,60,44,0.0,23.055987,72.506014,133.026
307,2263,553,59,43,0.0,23.055987,72.506014,133.026
308,2263,553,58,43,0.0,23.055987,72.506014,133.026
410,2255,556,66,44,0.0,23.055987,72.506014,132.903
411,2253,557,65,44,0.0,23.055987,72.506014,132.888
412,2253,556,66,45,0.0,23.055987,72.506014,132.888
413,2253,556,65,45,0.0,23.055987,72.506014,132.888
414,2253,556,66,45,0.0,23.055987,72.506014,132.888
415,2253,556,66,46,0.0,23.055987,72.506014,132.888
534,2265,550,59,46,0.0,23.055987,72.506014,132.857
535,2265,550,59,46,0.0,23.055987,72.506014,132.857
