frameNo,left,top,w,h,conf,lat,long,alt
1447,3806,1142,31,83,0.0,23.055988,72.506014,132.611
1448,3802,1142,34,84,0.0,23.055988,72.506014,132.612
1449,3798,1141,38,87,0.0,23.055988,72.506014,132.612
1450,3791,1143,44,85,0.0,23.055988,72.506014,132.612
1451,3785,1145,49,83,0.0,23.055988,72.506014,132.612
1452,3780,1145,54,82,0.0,23.055988,72.506014,132.612
1453,3771,1145,63,81,0.0,23.055988,72.506014,132.612
1454,3763,1146,70,79,0.0,23.055988,72.506014,132.61
1455,3757,1147,76,78,0.0,23.055988,72.506014,132.61
1456,3751,1147,82,77,0.0,23.055988,72.506014,132.61
1457,3745,1147,89,77,0.0,23.055988,72.506014,132.61
1458,3740,1148,95,76,0.0,23.055988,72.506014,132.61
1459,3734,1148,101,76,0.0,23.055988,72.506014,132.61
1460,3725,1147,109,76,0.0,23.055988,72.506014,132.612
1461,3718,1147,116,76,0.0,23.055988,72.506014,132.612
1462,3713,1148,121,76,0.0,23.055988,72.506014,132.612
1463,3706,1147,129,77,0.0,23.055988,72.506014,132.612
1464,3698,1147,136,76,0.0,23.055988,72.506014,132.612
1465,3691,1146,144,77,0.0,23.055988,72.506014,132.612
1468,3662,1148,163,75,0.0,23.055988,72.506014,132.608
1469,3656,1148,162,74,0.0,23.055988,72.506014,132.608
1470,3651,1147,161,74,0.0,23.055988,72.506014,132.608
1471,3644,1147,162,74,0.0,23.055988,72.506014,132.608
1472,3637,1146,162,75,0.0,23.055988,72.506014,132.611
1473,3631,1147,161,75,0.0,23.055988,72.506014,132.611
1474,3626,1147,160,75,0.0,23.055988,72.506014,132.611
1475,3617,1148,160,75,0.0,23.055988,72.506014,132.611
1476,3610,1148,159,75,0.0,23.055988,72.506014,132.611
1477,3603,1147,160,75,0.0,23.055988,72.506014,132.611
1478,3597,1145,162,76,0.0,23.055988,72.506014,132.61
1479,3588,1144,165,77,0.0,23.055988,72.506014,132.61
1480,3583,1142,165,79,0.0,23.055988,72.506014,132.61
1481,3577,1142,164,79,0.0,23.055988,72.506014,132.61
1482,3571,1143,163,78,0.0,23.055988,72.506014,132.61
1483,3564,1143,161,77,0.0,23.055988,72.506014,132.61
1484,3559,1144,159,76,0.0,23.055988,72.506014,132.608
1485,3552,1144,160,75,0.0,23.055988,72.506014,132.608
1486,3544,1144,162,75,0.0,23.055988,72.506014,132.608
1487,3538,1145,162,76,0.0,23.055988,72.506014,132.608
1488,3529,1145,163,75,0.0,23.055988,72.506014,132.608
1489,3521,1144,164,75,0.0,23.055988,72.506014,132.608
1490,3514,1142,162,75,0.0,23.055988,72.506014,132.606
1491,3509,1141,162,75,0.0,23.055988,72.506014,132.606
1492,3504,1141,163,74,0.0,23.055988,72.506014,132.606
1493,3497,1140,164,75,0.0,23.055988,72.506014,132.606
1494,3491,1139,162,75,0.0,23.055988,72.506014,132.606
1495,3485,1140,161,75,0.0,23.055988,72.506014,132.606
1496,3481,1141,159,74,0.0,23.055988,72.506014,132.611
1497,3473,1142,158,72,0.0,23.055988,72.506014,132.611
1498,3469,1142,157,71,0.0,23.055988,72.506014,132.611
1499,3464,1141,156,71,0.0,23.055988,72.506014,132.611
1500,3456,1140,158,71,0.0,23.055988,72.506014,132.611
1501,3449,1137,159,72,0.0,23.055988,72.506014,132.611
1502,3442,1136,160,73,0.0,23.055988,72.506014,132.603
