frameNo,left,top,w,h,conf,lat,long,alt
1,2275,415,66,38,0.0,23.055986,72.506015,133.062
2,2275,414,66,38,0.0,23.055986,72.506015,133.062
3,2275,414,66,39,0.0,23.055986,72.506015,133.064
4,2275,414,67,39,0.0,23.055986,72.506015,133.064
5,2275,413,67,39,0.0,23.055986,72.506015,133.064
6,2275,412,68,39,0.0,23.055986,72.506015,133.064
7,2276,412,67,38,0.0,23.055986,72.506015,133.064
8,2276,412,66,38,0.0,23.055986,72.506015,133.064
9,2276,412,66,37,0.0,23.055986,72.506015,133.07
10,2276,412,66,37,0.0,23.055986,72.506015,133.07
11,2276,413,65,37,0.0,23.055986,72.506015,133.07
12,2269,413,67,37,0.0,23.055986,72.506015,133.07
13,2273,414,66,37,0.0,23.055986,72.506015,133.07
14,2272,407,67,37,0.0,23.055986,72.506015,133.07
15,2273,405,67,36,0.0,23.055986,72.506015,133.068
16,2273,404,68,36,0.0,23.055986,72.506015,133.068
17,2273,403,68,37,0.0,23.055986,72.506015,133.068
18,2272,406,70,38,0.0,23.055986,72.506015,133.068
19,2272,408,70,38,0.0,23.055986,72.506015,133.068
20,2272,408,69,38,0.0,23.055986,72.506015,133.068
21,2278,405,71,39,0.0,23.055987,72.506015,133.075
22,2280,405,72,39,0.0,23.055987,72.506015,133.075
23,2276,404,72,40,0.0,23.055987,72.506015,133.075
24,2277,406,73,40,0.0,23.055987,72.506015,133.075
25,2276,408,73,41,0.0,23.055987,72.506015,133.075
26,2274,406,73,41,0.0,23.055987,72.506015,133.075
27,2274,405,73,42,0.0,23.055986,72.506015,133.073
28,2274,407,74,43,0.0,23.055986,72.506015,133.073
29,2274,408,74,43,0.0,23.055986,72.506015,133.073
30,2274,408,75,44,0.0,23.055986,72.506015,133.073
31,2274,408,75,44,0.0,23.055986,72.506015,133.073
32,2273,409,75,43,0.0,23.055986,72.506015,133.073
33,2273,408,75,44,0.0,23.055987,72.506015,133.075
34,2274,405,73,44,0.0,23.055987,72.506015,133.075
35,2273,407,74,44,0.0,23.055987,72.506015,133.075
36,2273,404,73,44,0.0,23.055987,72.506015,133.075
37,2274,407,73,44,0.0,23.055987,72.506015,133.075
38,2274,407,74,44,0.0,23.055987,72.506015,133.075
39,2274,407,75,45,0.0,23.055987,72.506015,133.073
40,2274,408,75,44,0.0,23.055987,72.506015,133.073
41,2274,408,74,44,0.0,23.055987,72.506015,133.073
42,2274,408,74,44,0.0,23.055987,72.506015,133.073
43,2274,408,74,44,0.0,23.055987,72.506015,133.073
44,2273,409,73,44,0.0,23.055987,72.506015,133.073
45,2274,405,72,44,0.0,23.055987,72.506015,133.074
46,2274,408,72,44,0.0,23.055987,72.506015,133.074
47,2275,405,71,44,0.0,23.055987,72.506015,133.074
48,2274,409,72,44,0.0,23.055987,72.506015,133.074
49,2275,410,71,44,0.0,23.055987,72.506015,133.074
50,2275,410,71,45,0.0,23.055987,72.506015,133.074
51,2274,410,72,46,0.0,23.055987,72.506015,133.068
52,2274,409,73,47,0.0,23.055987,72.506015,133.068
53,2275,408,72,48,0.0,23.055987,72.506015,133.068
54,2275,407,74,49,0.0,23.055987,72.506015,133.068
55,2275,407,74,49,0.0,23.055987,72.506015,133.068
56,2275,407,75,50,0.0,23.055987,72.506015,133.068
57,2275,407,75,50,0.0,23.055987,72.506015,133.071
58,2275,407,75,51,0.0,23.055987,72.506015,133.071
59,2274,408,75,50,0.0,23.055987,72.506015,133.071
60,2274,408,76,50,0.0,23.055987,72.506015,133.071
61,2275,407,75,51,0.0,23.055987,72.506015,133.071
62,2274,407,76,52,0.0,23.055987,72.506015,133.071
63,2274,408,75,51,0.0,23.055987,72.506015,133.07
64,2274,408,75,52,0.0,23.055987,72.506015,133.07
65,2274,407,75,52,0.0,23.055987,72.506015,133.07
66,2274,407,76,52,0.0,23.055987,72.506015,133.07
67,2274,407,75,51,0.0,23.055987,72.506015,133.07
68,2273,407,76,52,0.0,23.055987,72.506015,133.07
69,2273,408,75,51,0.0,23.055987,72.506015,133.075
70,2273,408,75,51,0.0,23.055987,72.506015,133.075
71,2273,408,75,51,0.0,23.055987,72.506015,133.075
72,2274,407,75,52,0.0,23.055987,72.506015,133.075
73,2274,407,75,52,0.0,23.055987,72.506015,133.075
74,2274,408,75,51,0.0,23.055987,72.506015,133.075
75,2274,408,75,51,0.0,23.055987,72.506015,133.077
76,2274,407,75,52,0.0,23.055987,72.506015,133.077
77,2274,407,76,52,0.0,23.055987,72.506015,133.077
78,2274,407,76,52,0.0,23.055987,72.506015,133.077
79,2274,407,75,52,0.0,23.055987,72.506015,133.077
80,2274,407,75,52,0.0,23.055987,72.506015,133.077
81,2274,407,75,51,0.0,23.055987,72.506015,133.087
82,2275,407,75,51,0.0,23.055987,72.506015,133.087
83,2275,407,75,50,0.0,23.055987,72.506015,133.087
84,2275,408,74,49,0.0,23.055987,72.506015,133.087
85,2276,407,74,49,0.0,23.055987,72.506015,133.087
86,2277,407,73,49,0.0,23.055987,72.506015,133.087
87,2277,407,73,48,0.0,23.055987,72.506015,133.096
88,2277,406,74,48,0.0,23.055987,72.506015,133.096
89,2278,406,73,48,0.0,23.055987,72.506015,133.096
90,2278,407,73,47,0.0,23.055987,72.506015,133.096
91,2277,408,73,46,0.0,23.055987,72.506015,133.096
92,2278,407,72,47,0.0,23.055987,72.506015,133.096
93,2278,408,72,46,0.0,23.055987,72.506015,133.101
94,2278,407,72,47,0.0,23.055987,72.506015,133.101
95,2278,408,72,46,0.0,23.055987,72.506015,133.101
96,2278,408,71,46,0.0,23.055987,72.506015,133.101
97,2278,409,70,45,0.0,23.055987,72.506015,133.101
98,2278,409,70,45,0.0,23.055987,72.506015,133.101
99,2277,409,70,46,0.0,23.055987,72.506015,133.107
100,2277,409,71,46,0.0,23.055987,72.506015,133.107
101,2277,409,71,47,0.0,23.055987,72.506015,133.107
102,2277,409,70,47,0.0,23.055987,72.506015,133.107
103,2277,410,70,46,0.0,23.055987,72.506015,133.107
104,2277,409,70,47,0.0,23.055987,72.506015,133.107
105,2277,409,70,46,0.0,23.055987,72.506015,133.106
106,2277,409,70,46,0.0,23.055987,72.506015,133.106
107,2277,409,70,46,0.0,23.055987,72.506015,133.106
108,2277,409,70,45,0.0,23.055987,72.506015,133.106
109,2277,409,69,46,0.0,23.055987,72.506015,133.106
110,2276,410,70,46,0.0,23.055987,72.506015,133.106
111,2277,410,69,46,0.0,23.055987,72.506015,133.107
112,2277,409,70,46,0.0,23.055987,72.506015,133.107
113,2277,409,71,47,0.0,23.055987,72.506015,133.107
114,2277,409,71,47,0.0,23.055987,72.506015,133.107
115,2276,409,71,48,0.0,23.055987,72.506015,133.107
116,2276,409,72,49,0.0,23.055987,72.506015,133.107
117,2276,408,72,49,0.0,23.055987,72.506015,133.107
118,2275,408,73,49,0.0,23.055987,72.506015,133.107
119,2276,408,73,49,0.0,23.055987,72.506015,133.107
120,2276,408,73,50,0.0,23.055987,72.506015,133.107
121,2276,408,73,49,0.0,23.055987,72.506015,133.107
