frameNo,left,top,w,h,conf,lat,long,alt
640,1860,1,33,44,0.0,23.055987,72.506014,132.74
641,1861,1,34,46,0.0,23.055987,72.506014,132.74
642,1862,4,35,49,0.0,23.055987,72.506014,132.74
643,1864,14,35,50,0.0,23.055987,72.506014,132.74
644,1866,21,35,51,0.0,23.055987,72.506014,132.74
645,1868,25,34,50,0.0,23.055987,72.506014,132.736
646,1869,33,36,55,0.0,23.055987,72.506014,132.736
647,1870,40,37,58,0.0,23.055987,72.506014,132.736
648,1873,47,35,56,0.0,23.055987,72.506014,132.736
649,1875,52,34,55,0.0,23.055987,72.506014,132.736
650,1878,62,33,53,0.0,23.055987,72.506014,132.736
651,1881,70,32,52,0.0,23.055987,72.506014,132.73
652,1883,75,31,51,0.0,23.055987,72.506014,132.73
657,1890,111,32,50,0.0,23.055987,72.506014,132.719
658,1893,118,31,48,0.0,23.055987,72.506014,132.719
659,1895,125,30,46,0.0,23.055987,72.506014,132.719
660,1896,132,30,45,0.0,23.055987,72.506014,132.719
661,1897,138,30,43,0.0,23.055987,72.506014,132.719
662,1896,145,31,47,0.0,23.055987,72.506014,132.71
663,1897,152,30,48,0.0,23.055987,72.506014,132.71
664,1901,160,30,47,0.0,23.055987,72.506014,132.71
665,1903,167,30,45,0.0,23.055987,72.506014,132.71
666,1905,172,29,44,0.0,23.055987,72.506014,132.71
667,1906,178,29,43,0.0,23.055987,72.506014,132.71
668,1906,184,30,46,0.0,23.055987,72.506014,132.71
669,1908,190,31,48,0.0,23.055987,72.506014,132.702
670,1910,195,30,49,0.0,23.055987,72.506014,132.702
671,1911,200,29,49,0.0,23.055987,72.506014,132.702
672,1911,206,29,49,0.0,23.055987,72.506014,132.702
673,1912,213,29,46,0.0,23.055987,72.506014,132.702
674,1914,218,29,43,0.0,23.055987,72.506014,132.702
675,1915,226,29,46,0.0,23.055987,72.506014,132.697
676,1917,233,30,47,0.0,23.055987,72.506014,132.697
677,1919,239,30,48,0.0,23.055987,72.506014,132.697
678,1920,244,31,48,0.0,23.055987,72.506014,132.697
679,1921,248,30,50,0.0,23.055987,72.506014,132.697
680,1922,255,31,47,0.0,23.055987,72.506014,132.697
