frameNo,left,top,w,h,conf,lat,long,alt
703,3777,1138,57,98,0.0,23.055987,72.506014,132.689
704,3765,1139,67,97,0.0,23.055987,72.506014,132.689
705,3751,1140,80,99,0.0,23.055987,72.506014,132.693
706,3740,1142,91,98,0.0,23.055987,72.506014,132.693
707,3727,1142,104,97,0.0,23.055987,72.506014,132.693
708,3714,1143,117,95,0.0,23.055987,72.506014,132.693
709,3700,1144,131,96,0.0,23.055987,72.506014,132.693
710,3687,1144,144,97,0.0,23.055987,72.506014,132.693
713,3632,1150,180,87,0.0,23.055988,72.506014,132.691
714,3618,1150,179,87,0.0,23.055988,72.506014,132.691
715,3603,1151,178,86,0.0,23.055988,72.506014,132.691
716,3587,1152,181,86,0.0,23.055988,72.506014,132.691
717,3573,1153,181,85,0.0,23.055988,72.506014,132.696
718,3561,1153,182,86,0.0,23.055988,72.506014,132.696
719,3546,1154,181,85,0.0,23.055988,72.506014,132.696
720,3532,1154,179,85,0.0,23.055988,72.506014,132.696
721,3518,1155,181,85,0.0,23.055988,72.506014,132.696
722,3504,1156,180,85,0.0,23.055988,72.506014,132.696
723,3491,1156,180,85,0.0,23.055988,72.506014,132.698
724,3476,1155,179,85,0.0,23.055988,72.506014,132.698
725,3462,1156,179,85,0.0,23.055988,72.506014,132.698
726,3447,1158,181,86,0.0,23.055988,72.506014,132.698
727,3432,1158,182,86,0.0,23.055988,72.506014,132.698
728,3419,1159,181,85,0.0,23.055988,72.506014,132.697
729,3404,1161,181,84,0.0,23.055988,72.506014,132.697
730,3391,1162,180,84,0.0,23.055988,72.506014,132.697
731,3377,1163,179,84,0.0,23.055988,72.506014,132.697
732,3362,1162,179,85,0.0,23.055988,72.506014,132.697
733,3348,1162,181,86,0.0,23.055988,72.506014,132.697
734,3335,1163,180,86,0.0,23.055988,72.506014,132.697
735,3320,1164,180,86,0.0,23.055988,72.506014,132.701
736,3307,1165,178,86,0.0,23.055988,72.506014,132.701
737,3294,1166,178,85,0.0,23.055988,72.506014,132.701
738,3281,1168,179,85,0.0,23.055988,72.506014,132.701
739,3267,1168,180,85,0.0,23.055988,72.506014,132.701
740,3252,1168,180,86,0.0,23.055988,72.506014,132.701
741,3238,1168,181,87,0.0,23.055988,72.506014,132.704
742,3224,1170,181,87,0.0,23.055988,72.506014,132.704
743,3209,1170,179,87,0.0,23.055988,72.506014,132.704
744,3195,1168,180,89,0.0,23.055988,72.506014,132.704
747,3156,1172,176,86,0.0,23.055988,72.506014,132.706
748,3143,1174,176,85,0.0,23.055988,72.506014,132.706
749,3131,1174,175,85,0.0,23.055988,72.506014,132.706
750,3117,1175,173,84,0.0,23.055988,72.506014,132.706
751,3105,1177,173,83,0.0,23.055988,72.506014,132.706
752,3092,1177,172,82,0.0,23.055988,72.506014,132.706
753,3075,1177,174,82,0.0,23.055988,72.506014,132.708
754,3062,1178,174,81,0.0,23.055988,72.506014,132.708
755,3047,1179,175,81,0.0,23.055988,72.506014,132.708
756,3031,1180,176,81,0.0,23.055988,72.506014,132.708
757,3018,1180,176,81,0.0,23.055988,72.506014,132.708
758,3004,1180,177,82,0.0,23.055988,72.506014,132.708
759,2991,1181,176,82,0.0,23.055988,72.506014,132.715
760,2976,1182,176,83,0.0,23.055988,72.506014,132.715
761,2962,1183,176,82,0.0,23.055988,72.506014,132.715
762,2948,1184,175,82,0.0,23.055988,72.506014,132.715
763,2934,1185,175,82,0.0,23.055988,72.506014,132.715
764,2920,1185,176,83,0.0,23.055988,72.506014,132.715
765,2905,1186,177,83,0.0,23.055988,72.506014,132.715
766,2892,1187,177,83,0.0,23.055988,72.506014,132.715
767,2879,1188,174,83,0.0,23.055988,72.506014,132.715
768,2865,1188,173,83,0.0,23.055988,72.506014,132.715
769,2852,1190,173,82,0.0,23.055988,72.506014,132.715
770,2839,1191,171,82,0.0,23.055988,72.506014,132.715
771,2824,1191,172,83,0.0,23.055988,72.506014,132.717
772,2809,1192,173,82,0.0,23.055988,72.506014,132.717
773,2796,1193,172,82,0.0,23.055988,72.506014,132.717
774,2783,1194,171,82,0.0,23.055988,72.506014,132.717
775,2768,1195,171,82,0.0,23.055988,72.506014,132.717
776,2754,1197,171,83,0.0,23.055988,72.506014,132.717
777,2742,1198,169,82,0.0,23.055988,72.506014,132.721
778,2728,1197,170,82,0.0,23.055988,72.506014,132.721
779,2713,1197,171,83,0.0,23.055988,72.506014,132.721
780,2701,1197,170,82,0.0,23.055988,72.506014,132.721
781,2688,1199,170,82,0.0,23.055988,72.506014,132.721
782,2674,1200,170,82,0.0,23.055988,72.506014,132.721
783,2660,1201,170,83,0.0,23.055988,72.506014,132.717
784,2646,1203,170,82,0.0,23.055988,72.506014,132.717
785,2630,1203,171,83,0.0,23.055988,72.506014,132.717
786,2616,1204,172,83,0.0,23.055988,72.506014,132.717
787,2604,1205,171,83,0.0,23.055988,72.506014,132.717
788,2589,1206,173,83,0.0,23.055988,72.506014,132.717
789,2575,1206,174,83,0.0,23.055988,72.506014,132.717
790,2562,1206,173,84,0.0,23.055988,72.506014,132.717
791,2549,1208,171,83,0.0,23.055988,72.506014,132.717
792,2535,1207,171,85,0.0,23.055988,72.506014,132.717
793,2521,1208,172,85,0.0,23.055988,72.506014,132.717
794,2507,1210,172,84,0.0,23.055988,72.506014,132.717
795,2494,1212,172,82,0.0,23.055988,72.506014,132.725
796,2481,1212,173,83,0.0,23.055988,72.506014,132.725
797,2468,1215,172,83,0.0,23.055988,72.506014,132.725
798,2453,1215,171,85,0.0,23.055988,72.506014,132.725
799,2440,1217,171,83,0.0,23.055988,72.506014,132.725
800,2428,1216,170,84,0.0,23.055988,72.506014,132.725
801,2415,1217,170,84,0.0,23.055988,72.506014,132.723
802,2402,1218,170,84,0.0,23.055988,72.506014,132.723
803,2389,1218,169,85,0.0,23.055988,72.506014,132.723
804,2375,1221,170,84,0.0,23.055988,72.506014,132.723
805,2362,1222,169,84,0.0,23.055988,72.506014,132.723
806,2350,1222,168,84,0.0,23.055988,72.506014,132.723
807,2336,1223,168,84,0.0,23.055988,72.506014,132.729
808,2323,1223,168,84,0.0,23.055988,72.506014,132.729
809,2310,1224,167,85,0.0,23.055988,72.506014,132.729
810,2298,1224,167,86,0.0,23.055988,72.506014,132.729
811,2282,1227,169,86,0.0,23.055988,72.506014,132.729
812,2269,1228,168,85,0.0,23.055988,72.506014,132.729
813,2258,1229,166,85,0.0,23.055988,72.506014,132.725
814,2244,1230,168,86,0.0,23.055988,72.506014,132.725
815,2231,1231,167,86,0.0,23.055988,72.506014,132.725
816,2218,1233,167,84,0.0,23.055988,72.506014,132.725
817,2207,1234,166,84,0.0,23.055988,72.506014,132.725
818,2193,1236,166,83,0.0,23.055988,72.506014,132.728
819,2179,1238,164,82,0.0,23.055988,72.506014,132.728
820,2166,1239,163,82,0.0,23.055988,72.506014,132.728
821,2152,1240,164,81,0.0,23.055988,72.506014,132.728
822,2138,1241,164,82,0.0,23.055988,72.506014,132.728
823,2125,1242,164,81,0.0,23.055988,72.506014,132.728
