frameNo,left,top,w,h,conf,lat,long,alt
1486,2499,532,60,36,0.0,23.055988,72.506014,132.608
1487,2500,532,58,36,0.0,23.055988,72.506014,132.608
1488,2500,531,58,36,0.0,23.055988,72.506014,132.608
1489,2500,531,58,36,0.0,23.055988,72.506014,132.608
1490,2500,532,58,36,0.0,23.055988,72.506014,132.606
1491,2499,532,58,36,0.0,23.055988,72.506014,132.606
1492,2499,532,57,36,0.0,23.055988,72.506014,132.606
1493,2499,532,57,36,0.0,23.055988,72.506014,132.606
1494,2499,532,57,36,0.0,23.055988,72.506014,132.606
1495,2499,532,57,37,0.0,23.055988,72.506014,132.606
1496,2499,532,57,37,0.0,23.055988,72.506014,132.611
1497,2500,531,57,38,0.0,23.055988,72.506014,132.611
1498,2499,532,57,37,0.0,23.055988,72.506014,132.611
1499,2499,532,56,38,0.0,23.055988,72.506014,132.611
1500,2500,532,56,38,0.0,23.055988,72.506014,132.611
1501,2501,532,56,37,0.0,23.055988,72.506014,132.611
1502,2502,531,55,38,0.0,23.055988,72.506014,132.603
1503,2501,530,56,38,0.0,23.055988,72.506014,132.603
1504,2501,531,56,37,0.0,23.055988,72.506014,132.603
1505,2501,531,55,38,0.0,23.055988,72.506014,132.603
1506,2500,532,55,37,0.0,23.055988,72.506014,132.603
1507,2501,532,55,38,0.0,23.055988,72.506014,132.603
1508,2500,532,56,38,0.0,23.055988,72.506014,132.601
1515,2501,531,60,40,0.0,23.055988,72.506014,132.604
1635,2498,528,56,41,0.0,23.055988,72.506013,132.472
1636,2498,528,56,41,0.0,23.055988,72.506013,132.472
1637,2498,527,57,41,0.0,23.055988,72.506013,132.472
1638,2498,527,57,41,0.0,23.055988,72.506013,132.472
1639,2497,528,57,41,0.0,23.055988,72.506013,132.472
1640,2497,527,57,41,0.0,23.055988,72.506013,132.465
1641,2497,528,57,40,0.0,23.055988,72.506013,132.465
1642,2496,527,58,40,0.0,23.055988,72.506013,132.465
1643,2496,527,59,40,0.0,23.055988,72.506013,132.465
1644,2495,527,60,41,0.0,23.055988,72.506013,132.465
1645,2496,528,59,40,0.0,23.055988,72.506013,132.465
1646,2495,528,59,40,0.0,23.055988,72.506013,132.458
1647,2495,529,59,40,0.0,23.055988,72.506013,132.458
1648,2496,528,58,40,0.0,23.055988,72.506013,132.458
1649,2497,528,59,40,0.0,23.055988,72.506013,132.458
1650,2498,528,59,40,0.0,23.055988,72.506013,132.458
1850,2496,527,56,41,0.0,23.055988,72.506014,132.342
1851,2496,528,55,40,0.0,23.055988,72.506014,132.342
1856,2496,528,53,40,0.0,23.055988,72.506014,132.345
1861,2500,528,45,38,0.0,23.055988,72.506014,132.345
1862,2501,528,46,38,0.0,23.055988,72.506014,132.339
1865,2505,528,35,36,0.0,23.055988,72.506014,132.339
1866,2506,528,34,36,0.0,23.055988,72.506014,132.339
1867,2506,528,34,36,0.0,23.055988,72.506014,132.339
1868,2506,528,34,36,0.0,23.055988,72.506014,132.344
1869,2506,528,34,37,0.0,23.055988,72.506014,132.344
1870,2505,529,35,37,0.0,23.055988,72.506014,132.344
1871,2505,529,35,37,0.0,23.055988,72.506014,132.344
1872,2505,529,35,37,0.0,23.055988,72.506014,132.344
1880,2499,529,50,41,0.0,23.055988,72.506014,132.35
