frameNo,left,top,w,h,conf,lat,long,alt
1,2190,385,63,40,0.0,23.055988,72.506015,133.088
2,2190,385,63,40,0.0,23.055988,72.506015,133.088
3,2189,385,64,39,0.0,23.055988,72.506015,133.088
4,2190,384,64,39,0.0,23.055988,72.506015,133.088
5,2190,385,63,39,0.0,23.055988,72.506015,133.079
6,2190,385,62,39,0.0,23.055988,72.506015,133.079
7,2191,385,61,39,0.0,23.055988,72.506015,133.079
26,2189,376,71,45,0.0,23.055988,72.506015,133.06
27,2190,376,71,44,0.0,23.055988,72.506015,133.06
28,2189,377,71,44,0.0,23.055988,72.506015,133.06
29,2190,377,70,44,0.0,23.055988,72.506015,133.058
30,2190,377,70,44,0.0,23.055988,72.506015,133.058
31,2188,377,70,44,0.0,23.055988,72.506015,133.058
32,2188,376,70,45,0.0,23.055988,72.506015,133.058
33,2188,377,69,44,0.0,23.055988,72.506015,133.058
34,2188,377,69,44,0.0,23.055988,72.506015,133.058
35,2189,377,68,44,0.0,23.055988,72.506015,133.051
36,2189,377,67,44,0.0,23.055988,72.506015,133.051
37,2189,377,66,44,0.0,23.055988,72.506015,133.051
38,2190,378,66,43,0.0,23.055988,72.506015,133.051
39,2190,377,66,44,0.0,23.055988,72.506015,133.051
163,2192,379,62,39,0.0,23.055988,72.506015,132.911
164,2192,379,62,39,0.0,23.055988,72.506015,132.911
165,2192,379,62,39,0.0,23.055988,72.506015,132.911
166,2192,380,61,38,0.0,23.055988,72.506015,132.913
167,2192,380,62,39,0.0,23.055988,72.506015,132.913
168,2191,379,62,39,0.0,23.055988,72.506015,132.913
169,2191,379,63,40,0.0,23.055988,72.506015,132.913
170,2191,379,63,40,0.0,23.055988,72.506015,132.913
171,2191,379,63,39,0.0,23.055988,72.506015,132.913
172,2191,379,63,39,0.0,23.055988,72.506015,132.913
173,2190,379,64,39,0.0,23.055988,72.506015,132.917
174,2190,379,64,40,0.0,23.055988,72.506015,132.917
175,2189,378,65,40,0.0,23.055988,72.506015,132.917
176,2190,378,64,40,0.0,23.055988,72.506015,132.917
177,2190,378,64,40,0.0,23.055988,72.506015,132.917
178,2190,379,64,40,0.0,23.055988,72.506015,132.917
179,2190,379,63,40,0.0,23.055988,72.506015,132.924
180,2190,378,64,40,0.0,23.055988,72.506015,132.924
181,2190,378,64,41,0.0,23.055988,72.506015,132.924
182,2190,378,64,41,0.0,23.055988,72.506015,132.924
183,2190,378,64,41,0.0,23.055988,72.506015,132.924
184,2190,378,64,41,0.0,23.055988,72.506015,132.924
185,2190,378,64,41,0.0,23.055988,72.506015,132.933
186,2190,378,64,41,0.0,23.055988,72.506015,132.933
187,2190,378,64,41,0.0,23.055988,72.506015,132.933
188,2190,378,64,41,0.0,23.055988,72.506015,132.933
189,2190,378,65,41,0.0,23.055988,72.506015,132.933
190,2190,378,65,42,0.0,23.055988,72.506015,132.933
191,2190,377,64,42,0.0,23.055988,72.506015,132.946
192,2190,377,64,43,0.0,23.055988,72.506015,132.946
193,2190,378,65,41,0.0,23.055988,72.506015,132.946
194,2191,378,64,42,0.0,23.055988,72.506015,132.946
195,2191,377,64,43,0.0,23.055988,72.506015,132.946
196,2191,377,64,42,0.0,23.055988,72.506015,132.946
197,2191,377,64,42,0.0,23.055988,72.506015,132.955
198,2191,377,63,42,0.0,23.055988,72.506015,132.955
199,2191,377,63,42,0.0,23.055988,72.506015,132.955
200,2191,377,63,42,0.0,23.055988,72.506015,132.955
201,2191,377,63,42,0.0,23.055988,72.506015,132.955
202,2191,377,63,42,0.0,23.055988,72.506015,132.955
203,2191,377,63,43,0.0,23.055988,72.506015,132.967
204,2191,377,63,42,0.0,23.055988,72.506015,132.967
205,2191,377,64,43,0.0,23.055988,72.506015,132.967
206,2191,376,64,44,0.0,23.055988,72.506015,132.967
207,2191,376,64,44,0.0,23.055988,72.506015,132.967
208,2192,377,63,42,0.0,23.055988,72.506015,132.967
209,2191,376,64,44,0.0,23.055988,72.506015,132.976
210,2191,376,64,44,0.0,23.055988,72.506015,132.976
211,2191,376,64,44,0.0,23.055988,72.506015,132.976
212,2191,376,64,45,0.0,23.055988,72.506015,132.976
213,2191,377,64,44,0.0,23.055988,72.506015,132.976
214,2191,376,65,45,0.0,23.055988,72.506015,132.976
215,2191,376,65,44,0.0,23.055988,72.506015,132.992
216,2190,376,65,45,0.0,23.055988,72.506015,132.992
217,2191,376,64,45,0.0,23.055988,72.506015,132.992
218,2191,376,64,45,0.0,23.055988,72.506015,132.992
219,2190,376,65,45,0.0,23.055988,72.506015,132.992
220,2190,376,65,44,0.0,23.055988,72.506015,133.003
221,2191,376,63,44,0.0,23.055988,72.506014,133.003
222,2190,376,64,44,0.0,23.055988,72.506014,133.003
223,2191,376,64,45,0.0,23.055988,72.506014,133.003
224,2191,376,64,45,0.0,23.055988,72.506014,133.003
225,2191,376,64,45,0.0,23.055988,72.506014,133.003
226,2191,376,64,45,0.0,23.055988,72.506014,133.011
227,2191,376,64,45,0.0,23.055988,72.506015,133.011
228,2191,376,64,44,0.0,23.055988,72.506015,133.011
229,2191,375,64,45,0.0,23.055988,72.506015,133.011
230,2191,376,64,45,0.0,23.055988,72.506015,133.011
231,2190,376,64,45,0.0,23.055988,72.506015,133.011
232,2191,376,64,45,0.0,23.055988,72.506015,133.011
233,2191,376,64,45,0.0,23.055988,72.506014,133.016
234,2191,375,64,46,0.0,23.055988,72.506014,133.016
235,2191,375,64,46,0.0,23.055988,72.506014,133.016
236,2191,375,64,46,0.0,23.055988,72.506014,133.016
237,2192,375,63,46,0.0,23.055988,72.506014,133.016
238,2191,375,63,45,0.0,23.055988,72.506014,133.016
239,2191,376,64,45,0.0,23.055988,72.506014,133.021
240,2191,376,64,45,0.0,23.055988,72.506014,133.021
241,2191,376,64,45,0.0,23.055988,72.506014,133.021
242,2191,376,65,45,0.0,23.055988,72.506014,133.021
243,2191,376,65,45,0.0,23.055988,72.506014,133.021
244,2191,376,64,45,0.0,23.055988,72.506014,133.021
245,2191,375,64,46,0.0,23.055988,72.506015,133.02
246,2190,375,65,46,0.0,23.055988,72.506015,133.02
247,2191,375,64,46,0.0,23.055988,72.506015,133.02
248,2191,376,64,45,0.0,23.055988,72.506015,133.02
249,2191,376,64,45,0.0,23.055988,72.506015,133.02
250,2190,375,65,46,0.0,23.055988,72.506015,133.018
251,2191,376,65,45,0.0,23.055988,72.506015,133.018
252,2191,375,65,46,0.0,23.055988,72.506015,133.018
253,2191,375,65,46,0.0,23.055988,72.506015,133.018
254,2191,375,65,46,0.0,23.055988,72.506015,133.018
255,2191,375,65,46,0.0,23.055988,72.506015,133.018
256,2191,374,65,47,0.0,23.055988,72.506015,133.029
