frameNo,left,top,w,h,conf,lat,long,alt
1063,1746,80,30,55,0.0,23.055986,72.506014,133.36
1064,1745,86,31,55,0.0,23.055986,72.506014,133.36
1109,1789,431,28,51,0.0,23.055986,72.506015,133.387
1110,1790,436,27,49,0.0,23.055986,72.506015,133.387
1111,1788,440,29,53,0.0,23.055986,72.506015,133.387
1112,1788,444,29,55,0.0,23.055986,72.506015,133.387
1113,1788,451,29,54,0.0,23.055986,72.506015,133.387
1114,1789,460,28,53,0.0,23.055986,72.506015,133.389
1115,1788,467,29,52,0.0,23.055986,72.506015,133.389
1116,1788,473,29,50,0.0,23.055986,72.506015,133.389
1117,1787,479,31,53,0.0,23.055986,72.506015,133.389
1118,1787,483,30,53,0.0,23.055986,72.506015,133.389
1119,1787,490,30,52,0.0,23.055986,72.506015,133.389
1120,1786,497,30,50,0.0,23.055986,72.506015,133.394
1121,1787,504,29,48,0.0,23.055986,72.506015,133.394
1122,1787,509,28,47,0.0,23.055986,72.506015,133.394
1123,1786,516,28,45,0.0,23.055986,72.506015,133.394
1124,1784,523,29,46,0.0,23.055986,72.506015,133.394
1128,1782,541,30,50,0.0,23.055986,72.506015,133.396
1129,1782,547,30,49,0.0,23.055986,72.506015,133.396
1130,1782,552,29,47,0.0,23.055986,72.506015,133.396
1131,1781,559,29,46,0.0,23.055986,72.506015,133.396
1132,1779,564,29,45,0.0,23.055986,72.506015,133.404
1133,1776,571,30,48,0.0,23.055986,72.506015,133.404
1134,1774,575,31,49,0.0,23.055986,72.506015,133.404
1135,1775,582,30,49,0.0,23.055986,72.506015,133.404
1136,1773,585,31,50,0.0,23.055986,72.506015,133.404
1141,1768,611,31,48,0.0,23.055986,72.506015,133.402
1142,1767,618,31,48,0.0,23.055986,72.506015,133.402
1143,1766,623,31,50,0.0,23.055986,72.506015,133.402
1144,1765,626,31,50,0.0,23.055986,72.506015,133.404
1145,1765,629,30,50,0.0,23.055986,72.506015,133.404
1149,1754,654,31,50,0.0,23.055986,72.506015,133.404
1150,1752,659,33,52,0.0,23.055986,72.506015,133.405
1151,1751,663,33,51,0.0,23.055986,72.506015,133.405
1163,1721,730,36,50,0.0,23.055986,72.506015,133.41
1164,1720,735,36,49,0.0,23.055986,72.506015,133.41
1165,1717,741,35,47,0.0,23.055986,72.506015,133.41
1166,1716,744,33,45,0.0,23.055986,72.506015,133.41
1167,1712,751,34,46,0.0,23.055986,72.506015,133.41
1168,1710,756,34,46,0.0,23.055986,72.506015,133.415
1169,1708,761,34,46,0.0,23.055986,72.506015,133.415
1170,1707,765,34,45,0.0,23.055986,72.506015,133.415
1171,1701,771,35,47,0.0,23.055986,72.506015,133.415
1172,1697,776,35,47,0.0,23.055986,72.506015,133.415
1176,1686,802,32,42,0.0,23.055986,72.506015,133.413
1177,1683,807,33,42,0.0,23.055986,72.506015,133.413
1178,1679,813,33,43,0.0,23.055986,72.506015,133.413
1184,1655,845,35,44,0.0,23.055986,72.506015,133.411
1185,1651,850,37,44,0.0,23.055986,72.506015,133.411
1186,1646,855,38,43,0.0,23.055986,72.506015,133.406
1187,1644,860,36,41,0.0,23.055986,72.506015,133.406
1191,1625,881,36,42,0.0,23.055986,72.506015,133.406
1192,1621,887,36,40,0.0,23.055987,72.506015,133.402
1193,1617,892,35,40,0.0,23.055987,72.506015,133.402
1194,1613,898,34,38,0.0,23.055987,72.506015,133.402
1195,1610,903,34,38,0.0,23.055987,72.506015,133.402
1196,1606,907,35,39,0.0,23.055987,72.506015,133.402
1197,1602,910,37,38,0.0,23.055987,72.506015,133.395
1198,1597,916,36,38,0.0,23.055987,72.506015,133.395
1199,1590,922,38,40,0.0,23.055987,72.506015,133.395
1200,1584,928,37,40,0.0,23.055987,72.506015,133.395
1201,1580,933,36,39,0.0,23.055987,72.506015,133.395
1202,1576,939,36,38,0.0,23.055987,72.506015,133.395
1203,1570,945,35,38,0.0,23.055987,72.506015,133.395
1204,1566,948,35,38,0.0,23.055986,72.506015,133.391
1205,1562,953,35,38,0.0,23.055986,72.506015,133.391
1206,1557,957,37,38,0.0,23.055986,72.506015,133.391
1207,1549,963,37,37,0.0,23.055986,72.506015,133.391
1208,1543,968,35,36,0.0,23.055986,72.506015,133.391
1209,1537,973,36,38,0.0,23.055986,72.506015,133.391
1210,1534,977,36,38,0.0,23.055986,72.506015,133.377
1211,1529,982,36,36,0.0,23.055986,72.506015,133.377
1212,1521,987,36,35,0.0,23.055986,72.506015,133.377
1213,1516,993,35,34,0.0,23.055986,72.506015,133.377
1214,1513,997,35,33,0.0,23.055986,72.506015,133.377
1215,1509,1002,34,32,0.0,23.055986,72.506015,133.377
1216,1503,1006,34,32,0.0,23.055986,72.506015,133.37
1223,1456,1038,37,32,0.0,23.055986,72.506015,133.357
1224,1448,1045,36,31,0.0,23.055986,72.506015,133.357
1225,1442,1049,35,31,0.0,23.055986,72.506015,133.357
1226,1437,1052,36,33,0.0,23.055986,72.506015,133.357
1227,1429,1056,38,33,0.0,23.055986,72.506015,133.357
1228,1425,1059,38,32,0.0,23.055986,72.506015,133.346
1229,1418,1063,38,33,0.0,23.055986,72.506015,133.346
1230,1413,1066,37,32,0.0,23.055986,72.506015,133.346
1231,1409,1069,37,32,0.0,23.055986,72.506015,133.346
1232,1400,1072,37,32,0.0,23.055986,72.506015,133.346
1233,1393,1075,39,33,0.0,23.055986,72.506015,133.346
1234,1386,1080,39,33,0.0,23.055986,72.506015,133.336
1235,1380,1083,40,34,0.0,23.055986,72.506015,133.336
1236,1373,1088,38,34,0.0,23.055986,72.506015,133.336
1237,1367,1091,39,33,0.0,23.055986,72.506015,133.336
1238,1360,1097,39,33,0.0,23.055986,72.506015,133.336
1239,1353,1101,38,33,0.0,23.055986,72.506015,133.336
1240,1348,1104,37,33,0.0,23.055986,72.506015,133.323
1241,1341,1107,38,33,0.0,23.055986,72.506015,133.323
1242,1335,1109,38,34,0.0,23.055986,72.506015,133.323
1243,1328,1113,40,34,0.0,23.055986,72.506015,133.323
1244,1320,1116,39,33,0.0,23.055986,72.506015,133.323
1245,1314,1121,38,33,0.0,23.055986,72.506015,133.323
1246,1306,1126,39,32,0.0,23.055986,72.506015,133.314
1247,1300,1128,40,32,0.0,23.055986,72.506015,133.314
1248,1291,1132,41,32,0.0,23.055986,72.506015,133.314
1249,1284,1135,41,32,0.0,23.055986,72.506015,133.314
1250,1276,1140,41,31,0.0,23.055986,72.506015,133.314
1251,1270,1142,41,32,0.0,23.055986,72.506015,133.314
1252,1263,1146,41,32,0.0,23.055986,72.506015,133.305
1253,1258,1150,41,31,0.0,23.055986,72.506015,133.305
1254,1252,1152,39,32,0.0,23.055986,72.506015,133.305
1255,1244,1155,40,32,0.0,23.055986,72.506015,133.305
1256,1233,1157,43,33,0.0,23.055986,72.506015,133.305
1257,1223,1162,42,32,0.0,23.055986,72.506015,133.305
1258,1218,1165,40,32,0.0,23.055986,72.506015,133.297
1259,1210,1168,40,33,0.0,23.055986,72.506015,133.297
1260,1203,1170,40,33,0.0,23.055986,72.506015,133.297
1261,1196,1174,42,33,0.0,23.055986,72.506015,133.297
1262,1188,1177,41,32,0.0,23.055986,72.506015,133.297
1263,1180,1180,42,33,0.0,23.055986,72.506015,133.297
1264,1170,1183,44,33,0.0,23.055986,72.506015,133.286
1265,1163,1186,44,33,0.0,23.055986,72.506015,133.286
1266,1156,1192,42,33,0.0,23.055986,72.506015,133.286
1267,1148,1194,43,34,0.0,23.055986,72.506015,133.286
1268,1143,1198,41,32,0.0,23.055986,72.506015,133.286
1269,1137,1199,41,33,0.0,23.055986,72.506015,133.286
1270,1131,1201,40,31,0.0,23.055986,72.506015,133.274
1271,1123,1204,40,32,0.0,23.055986,72.506015,133.274
1272,1113,1208,41,32,0.0,23.055986,72.506015,133.274
1273,1104,1210,41,33,0.0,23.055986,72.506015,133.274
1274,1095,1212,43,33,0.0,23.055986,72.506015,133.274
1275,1085,1214,44,32,0.0,23.055986,72.506015,133.274
1276,1078,1216,45,31,0.0,23.055986,72.506015,133.268
1277,1070,1222,43,31,0.0,23.055986,72.506015,133.268
1278,1064,1226,44,31,0.0,23.055986,72.506015,133.268
1279,1057,1228,45,32,0.0,23.055986,72.506015,133.268
1280,1047,1229,45,34,0.0,23.055986,72.506015,133.268
1281,1039,1232,45,33,0.0,23.055986,72.506015,133.26
1282,1032,1234,43,33,0.0,23.055987,72.506015,133.26
1283,1026,1237,43,33,0.0,23.055987,72.506015,133.26
1284,1016,1241,43,32,0.0,23.055987,72.506015,133.26
1285,1009,1243,43,32,0.0,23.055987,72.506015,133.26
1286,1002,1245,43,31,0.0,23.055987,72.506015,133.26
1287,992,1247,44,32,0.0,23.055987,72.506015,133.26
1288,983,1250,44,31,0.0,23.055987,72.506015,133.255
1289,974,1252,46,31,0.0,23.055987,72.506015,133.255
1290,965,1255,46,32,0.0,23.055987,72.506015,133.255
1291,954,1256,48,32,0.0,23.055987,72.506015,133.255
1292,944,1257,51,34,0.0,23.055987,72.506015,133.255
1293,934,1259,53,33,0.0,23.055987,72.506015,133.255
1294,927,1260,54,34,0.0,23.055987,72.506015,133.246
1295,919,1263,52,33,0.0,23.055987,72.506015,133.246
1296,909,1266,50,32,0.0,23.055987,72.506015,133.246
1297,904,1269,50,33,0.0,23.055987,72.506015,133.246
1298,896,1270,48,32,0.0,23.055987,72.506015,133.246
1299,887,1272,47,32,0.0,23.055987,72.506015,133.246
1300,880,1274,46,30,0.0,23.055987,72.506015,133.245
1301,872,1275,46,31,0.0,23.055987,72.506015,133.245
1302,863,1277,45,32,0.0,23.055987,72.506015,133.245
1303,853,1281,46,31,0.0,23.055987,72.506015,133.245
1304,844,1282,45,30,0.0,23.055987,72.506015,133.245
1308,809,1288,44,30,0.0,23.055987,72.506015,133.241
1309,801,1290,45,29,0.0,23.055987,72.506015,133.241
1310,793,1291,44,29,0.0,23.055987,72.506015,133.241
1311,781,1291,44,31,0.0,23.055987,72.506015,133.241
1316,736,1301,46,29,0.0,23.055987,72.506015,133.241
1317,726,1302,49,29,0.0,23.055987,72.506015,133.241
1318,717,1302,49,29,0.0,23.055987,72.506015,133.238
1319,704,1304,53,30,0.0,23.055987,72.506015,133.238
1320,693,1304,55,30,0.0,23.055987,72.506015,133.238
1321,682,1307,54,29,0.0,23.055987,72.506015,133.238
1322,676,1307,53,30,0.0,23.055987,72.506015,133.238
1323,667,1306,54,30,0.0,23.055987,72.506015,133.238
1324,656,1307,57,31,0.0,23.055987,72.506015,133.242
1325,643,1311,55,30,0.0,23.055987,72.506015,133.242
1326,635,1311,54,30,0.0,23.055987,72.506015,133.242
1327,629,1311,54,30,0.0,23.055987,72.506015,133.242
1328,622,1310,54,30,0.0,23.055987,72.506015,133.242
1329,612,1311,54,30,0.0,23.055987,72.506015,133.24
1333,574,1314,55,30,0.0,23.055987,72.506015,133.24
1334,560,1314,57,30,0.0,23.055987,72.506015,133.24
1357,323,1332,54,30,0.0,23.055987,72.506014,133.249
1358,310,1331,54,30,0.0,23.055987,72.506014,133.249
1359,300,1331,53,30,0.0,23.055987,72.506014,133.249
1360,290,1333,52,29,0.0,23.055987,72.506015,133.249
1361,282,1332,50,30,0.0,23.055987,72.506015,133.249
1362,271,1333,52,30,0.0,23.055987,72.506015,133.249
1363,260,1334,52,30,0.0,23.055987,72.506015,133.249
1364,248,1335,52,30,0.0,23.055987,72.506015,133.249
1365,239,1334,52,30,0.0,23.055987,72.506015,133.249
1366,230,1335,51,30,0.0,23.055987,72.506015,133.249
1367,217,1336,53,30,0.0,23.055987,72.506015,133.249
1368,206,1337,52,29,0.0,23.055987,72.506015,133.249
1369,194,1338,51,30,0.0,23.055987,72.506015,133.249
1370,185,1338,51,30,0.0,23.055987,72.506015,133.249
1371,176,1338,51,30,0.0,23.055987,72.506015,133.249
1372,168,1338,50,30,0.0,23.055987,72.506014,133.249
1373,155,1338,50,30,0.0,23.055987,72.506014,133.249
1374,143,1338,49,30,0.0,23.055987,72.506014,133.249
1375,131,1338,48,31,0.0,23.055987,72.506014,133.249
1376,122,1338,47,30,0.0,23.055987,72.506014,133.249
1377,110,1339,47,30,0.0,23.055987,72.506014,133.249
1378,102,1339,45,30,0.0,23.055987,72.506014,133.252
1379,90,1339,48,32,0.0,23.055987,72.506014,133.252
