frameNo,left,top,w,h,conf,lat,long,alt
3,1965,1775,89,135,0.0,23.055988,72.506015,133.088
6,1958,1759,92,137,0.0,23.055988,72.506015,133.079
7,1956,1755,92,136,0.0,23.055988,72.506015,133.079
8,1953,1752,90,132,0.0,23.055988,72.506015,133.079
9,1951,1750,86,128,0.0,23.055988,72.506015,133.079
10,1949,1747,86,129,0.0,23.055988,72.506015,133.079
11,1948,1744,83,128,0.0,23.055988,72.506015,133.075
32,1911,1667,96,134,0.0,23.055988,72.506015,133.058
39,1904,1647,89,126,0.0,23.055988,72.506015,133.051
40,1904,1642,92,127,0.0,23.055988,72.506015,133.051
41,1903,1638,92,128,0.0,23.055988,72.506015,133.047
42,1897,1635,93,129,0.0,23.055988,72.506015,133.047
43,1895,1631,92,128,0.0,23.055988,72.506015,133.047
44,1892,1627,93,130,0.0,23.055988,72.506015,133.047
45,1889,1623,94,132,0.0,23.055988,72.506015,133.047
46,1887,1619,93,132,0.0,23.055988,72.506015,133.047
47,1886,1616,93,131,0.0,23.055988,72.506015,133.035
48,1887,1612,92,131,0.0,23.055988,72.506015,133.035
49,1883,1610,91,129,0.0,23.055988,72.506015,133.035
50,1881,1605,91,130,0.0,23.055988,72.506015,133.035
54,1877,1592,90,132,0.0,23.055988,72.506015,133.026
55,1875,1586,90,132,0.0,23.055988,72.506015,133.026
56,1875,1583,88,132,0.0,23.055988,72.506015,133.026
57,1873,1579,88,132,0.0,23.055988,72.506015,133.026
58,1872,1573,90,133,0.0,23.055988,72.506015,133.026
59,1870,1570,90,134,0.0,23.055988,72.506015,133.011
60,1867,1566,90,134,0.0,23.055988,72.506015,133.011
61,1865,1561,91,133,0.0,23.055988,72.506015,133.011
62,1863,1559,92,132,0.0,23.055988,72.506015,133.011
63,1862,1553,93,132,0.0,23.055988,72.506015,133.011
64,1860,1552,92,131,0.0,23.055988,72.506015,133.011
65,1858,1547,93,132,0.0,23.055988,72.506015,132.994
66,1857,1542,93,131,0.0,23.055988,72.506015,132.994
67,1855,1540,92,130,0.0,23.055988,72.506015,132.994
68,1853,1536,93,131,0.0,23.055988,72.506015,132.994
75,1840,1515,91,130,0.0,23.055988,72.506015,132.973
76,1838,1508,92,132,0.0,23.055988,72.506015,132.973
77,1836,1503,92,133,0.0,23.055988,72.506015,132.949
78,1834,1499,91,132,0.0,23.055988,72.506015,132.949
79,1834,1496,90,132,0.0,23.055988,72.506015,132.949
80,1831,1494,90,131,0.0,23.055988,72.506015,132.949
81,1829,1490,89,130,0.0,23.055988,72.506015,132.949
91,1814,1451,92,131,0.0,23.055988,72.506015,132.918
92,1813,1447,92,130,0.0,23.055988,72.506015,132.918
93,1811,1444,93,130,0.0,23.055988,72.506015,132.918
94,1809,1442,94,128,0.0,23.055988,72.506015,132.918
95,1808,1437,92,128,0.0,23.055988,72.506014,132.9
96,1808,1434,91,127,0.0,23.055988,72.506014,132.9
97,1805,1430,91,128,0.0,23.055988,72.506014,132.9
98,1802,1424,90,129,0.0,23.055988,72.506014,132.9
99,1799,1419,91,130,0.0,23.055988,72.506014,132.9
100,1799,1418,91,130,0.0,23.055988,72.506014,132.9
101,1798,1413,91,130,0.0,23.055988,72.506014,132.895
102,1796,1407,92,132,0.0,23.055988,72.506014,132.895
103,1794,1403,93,133,0.0,23.055988,72.506014,132.895
122,1764,1326,85,131,0.0,23.055988,72.506014,132.888
140,1743,1248,79,131,0.0,23.055989,72.506014,132.905
141,1740,1244,81,131,0.0,23.055989,72.506014,132.905
142,1738,1239,82,130,0.0,23.055989,72.506014,132.905
143,1738,1235,82,131,0.0,23.055989,72.506014,132.906
144,1739,1233,82,128,0.0,23.055989,72.506014,132.906
145,1739,1229,82,128,0.0,23.055989,72.506014,132.906
146,1738,1226,82,129,0.0,23.055988,72.506014,132.906
150,1731,1204,80,128,0.0,23.055988,72.506014,132.907
151,1732,1202,80,128,0.0,23.055988,72.506014,132.907
152,1730,1197,80,128,0.0,23.055988,72.506015,132.907
152,1727,1196,81,133,0.0,23.055988,72.506015,132.907
153,1727,1193,80,131,0.0,23.055988,72.506015,132.907
154,1726,1188,79,132,0.0,23.055988,72.506015,132.907
157,1728,1177,78,129,0.0,23.055988,72.506014,132.909
173,1711,1101,77,132,0.0,23.055988,72.506015,132.917
174,1711,1096,78,132,0.0,23.055988,72.506015,132.917
175,1711,1092,79,131,0.0,23.055988,72.506015,132.917
176,1710,1087,79,131,0.0,23.055988,72.506015,132.917
177,1709,1081,78,131,0.0,23.055988,72.506015,132.917
178,1707,1075,77,131,0.0,23.055988,72.506015,132.917
179,1707,1070,75,131,0.0,23.055988,72.506015,132.924
180,1705,1063,76,132,0.0,23.055988,72.506015,132.924
184,1705,1048,73,132,0.0,23.055988,72.506015,132.924
185,1704,1042,72,132,0.0,23.055988,72.506015,132.933
186,1704,1039,72,131,0.0,23.055988,72.506015,132.933
187,1705,1034,70,131,0.0,23.055988,72.506015,132.933
188,1704,1030,71,130,0.0,23.055988,72.506015,132.933
189,1703,1023,71,131,0.0,23.055988,72.506015,132.933
190,1701,1016,71,133,0.0,23.055988,72.506015,132.933
191,1701,1011,71,134,0.0,23.055988,72.506015,132.946
192,1702,1007,71,133,0.0,23.055988,72.506015,132.946
193,1701,1003,70,132,0.0,23.055988,72.506015,132.946
194,1699,997,70,134,0.0,23.055988,72.506015,132.946
195,1699,992,69,133,0.0,23.055988,72.506015,132.946
196,1698,989,69,132,0.0,23.055988,72.506015,132.946
200,1695,967,70,133,0.0,23.055988,72.506015,132.955
201,1695,963,70,132,0.0,23.055988,72.506015,132.955
202,1694,957,69,132,0.0,23.055988,72.506015,132.955
203,1693,951,69,133,0.0,23.055988,72.506015,132.967
204,1693,948,68,132,0.0,23.055988,72.506015,132.967
205,1692,942,69,132,0.0,23.055988,72.506015,132.967
206,1691,935,70,132,0.0,23.055988,72.506015,132.967
207,1691,928,71,132,0.0,23.055988,72.506015,132.967
208,1689,923,72,133,0.0,23.055988,72.506015,132.967
217,1684,874,72,130,0.0,23.055988,72.506015,132.992
218,1683,870,73,129,0.0,23.055988,72.506015,132.992
219,1682,864,73,130,0.0,23.055988,72.506015,132.992
220,1681,860,73,131,0.0,23.055988,72.506015,133.003
221,1681,855,73,131,0.0,23.055988,72.506014,133.003
222,1680,849,73,132,0.0,23.055988,72.506014,133.003
223,1679,843,73,133,0.0,23.055988,72.506014,133.003
224,1678,837,74,132,0.0,23.055988,72.506014,133.003
225,1677,829,74,133,0.0,23.055988,72.506014,133.003
226,1677,822,73,133,0.0,23.055988,72.506014,133.011
227,1677,817,72,133,0.0,23.055988,72.506015,133.011
233,1671,782,73,133,0.0,23.055988,72.506014,133.016
234,1669,776,73,134,0.0,23.055988,72.506014,133.016
235,1668,770,74,133,0.0,23.055988,72.506014,133.016
236,1666,765,75,133,0.0,23.055988,72.506014,133.016
237,1665,759,75,134,0.0,23.055988,72.506014,133.016
249,1654,692,75,129,0.0,23.055988,72.506015,133.02
250,1651,685,77,129,0.0,23.055988,72.506015,133.018
251,1649,680,76,129,0.0,23.055988,72.506015,133.018
252,1648,674,76,129,0.0,23.055988,72.506015,133.018
253,1647,670,75,128,0.0,23.055988,72.506015,133.018
254,1646,664,75,129,0.0,23.055988,72.506015,133.018
255,1646,659,75,129,0.0,23.055988,72.506015,133.018
256,1643,649,76,130,0.0,23.055988,72.506015,133.029
257,1640,643,77,130,0.0,23.055988,72.506015,133.029
258,1639,637,78,130,0.0,23.055988,72.506015,133.029
259,1638,631,78,130,0.0,23.055988,72.506015,133.029
260,1637,625,77,130,0.0,23.055988,72.506015,133.029
261,1636,620,76,130,0.0,23.055988,72.506015,133.029
262,1636,614,75,130,0.0,23.055988,72.506015,133.033
263,1635,609,76,130,0.0,23.055988,72.506015,133.033
270,1624,566,77,132,0.0,23.055988,72.506015,133.039
271,1623,560,77,133,0.0,23.055988,72.506015,133.039
272,1621,553,77,133,0.0,23.055988,72.506015,133.039
273,1620,546,77,133,0.0,23.055988,72.506015,133.039
274,1616,540,78,134,0.0,23.055988,72.506015,133.045
278,1614,516,75,134,0.0,23.055988,72.506015,133.045
279,1613,510,75,135,0.0,23.055988,72.506015,133.045
287,1601,461,74,133,0.0,23.055988,72.506015,133.05
288,1597,454,76,134,0.0,23.055988,72.506015,133.05
289,1595,445,77,135,0.0,23.055988,72.506015,133.05
293,1589,419,79,138,0.0,23.055988,72.506015,133.049
294,1587,413,80,137,0.0,23.055988,72.506015,133.049
295,1586,407,80,136,0.0,23.055988,72.506015,133.049
296,1583,401,81,136,0.0,23.055988,72.506015,133.049
297,1581,395,82,136,0.0,23.055988,72.506015,133.049
298,1579,388,83,136,0.0,23.055988,72.506015,133.05
299,1576,383,84,136,0.0,23.055988,72.506015,133.05
300,1573,380,85,135,0.0,23.055988,72.506015,133.05
301,1570,373,87,136,0.0,23.055988,72.506015,133.05
302,1569,366,87,137,0.0,23.055988,72.506015,133.05
303,1565,359,88,137,0.0,23.055988,72.506015,133.05
304,1563,353,88,137,0.0,23.055988,72.506015,133.043
305,1561,343,89,139,0.0,23.055988,72.506015,133.043
306,1558,335,89,140,0.0,23.055988,72.506015,133.043
307,1556,327,89,142,0.0,23.055988,72.506015,133.043
308,1557,324,88,141,0.0,23.055987,72.506015,133.043
309,1555,321,88,140,0.0,23.055987,72.506015,133.043
310,1554,316,87,139,0.0,23.055987,72.506015,133.042
311,1553,314,87,136,0.0,23.055988,72.506015,133.042
312,1551,309,89,133,0.0,23.055988,72.506015,133.042
313,1550,303,89,132,0.0,23.055988,72.506015,133.042
314,1549,296,89,133,0.0,23.055987,72.506015,133.042
315,1547,292,88,133,0.0,23.055987,72.506015,133.042
316,1546,287,88,135,0.0,23.055987,72.506015,133.036
317,1545,282,86,136,0.0,23.055987,72.506015,133.036
318,1544,275,85,136,0.0,23.055987,72.506015,133.036
322,1536,249,86,136,0.0,23.055987,72.506015,133.048
323,1535,246,86,134,0.0,23.055987,72.506015,133.048
324,1535,239,86,135,0.0,23.055987,72.506015,133.048
325,1534,233,85,136,0.0,23.055987,72.506015,133.048
326,1533,226,84,135,0.0,23.055987,72.506015,133.048
327,1531,220,84,135,0.0,23.055987,72.506015,133.048
328,1529,214,85,136,0.0,23.055987,72.506015,133.051
329,1527,208,85,136,0.0,23.055987,72.506015,133.051
330,1527,201,84,137,0.0,23.055987,72.506015,133.051
331,1524,196,83,134,0.0,23.055987,72.506015,133.051
332,1522,191,83,134,0.0,23.055987,72.506014,133.051
333,1521,187,83,133,0.0,23.055987,72.506014,133.051
334,1519,180,82,133,0.0,23.055987,72.506014,133.053
335,1517,173,82,133,0.0,23.055987,72.506015,133.053
336,1515,168,83,133,0.0,23.055987,72.506015,133.053
345,1498,110,83,134,0.0,23.055987,72.506014,133.057
346,1496,105,84,133,0.0,23.055987,72.506014,133.063
347,1495,100,84,133,0.0,23.055987,72.506014,133.063
348,1492,94,84,132,0.0,23.055987,72.506014,133.063
349,1491,88,84,132,0.0,23.055987,72.506014,133.063
350,1490,83,84,132,0.0,23.055987,72.506014,133.063
351,1490,75,83,134,0.0,23.055987,72.506014,133.063
352,1488,68,83,133,0.0,23.055987,72.506014,133.071
353,1485,62,84,132,0.0,23.055987,72.506014,133.071
358,1478,32,83,133,0.0,23.055987,72.506014,133.085
359,1473,23,84,134,0.0,23.055987,72.506014,133.085
360,1471,19,84,132,0.0,23.055987,72.506014,133.085
361,1470,14,84,131,0.0,23.055987,72.506014,133.085
367,1459,0,84,111,0.0,23.055988,72.506014,133.101
368,1457,0,84,105,0.0,23.055988,72.506014,133.101
369,1457,0,83,100,0.0,23.055988,72.506014,133.101
370,1457,0,82,94,0.0,23.055988,72.506014,133.112
371,1455,0,83,89,0.0,23.055987,72.506014,133.112
372,1454,0,81,83,0.0,23.055987,72.506014,133.112
373,1455,0,80,77,0.0,23.055987,72.506014,133.112
374,1455,0,78,71,0.0,23.055987,72.506014,133.112
