frameNo,left,top,w,h,conf,lat,long,alt
1192,11,982,113,60,0.0,23.055987,72.506015,133.402
1193,16,982,119,60,0.0,23.055987,72.506015,133.402
1194,23,981,123,60,0.0,23.055987,72.506015,133.402
1195,35,983,122,59,0.0,23.055987,72.506015,133.402
1207,158,981,130,63,0.0,23.055986,72.506015,133.391
1208,165,982,126,63,0.0,23.055986,72.506015,133.391
1209,173,980,123,63,0.0,23.055986,72.506015,133.391
1210,182,979,119,62,0.0,23.055986,72.506015,133.377
1217,244,974,119,60,0.0,23.055986,72.506015,133.37
1218,253,974,117,59,0.0,23.055986,72.506015,133.37
1219,260,975,116,58,0.0,23.055986,72.506015,133.37
1220,268,975,117,59,0.0,23.055986,72.506015,133.37
1221,277,976,114,58,0.0,23.055986,72.506015,133.37
1222,283,976,114,58,0.0,23.055986,72.506015,133.357
1223,290,975,115,58,0.0,23.055986,72.506015,133.357
1224,299,975,113,58,0.0,23.055986,72.506015,133.357
1225,305,975,115,57,0.0,23.055986,72.506015,133.357
1226,312,974,115,57,0.0,23.055986,72.506015,133.357
1227,319,976,115,55,0.0,23.055986,72.506015,133.357
1228,328,976,115,55,0.0,23.055986,72.506015,133.346
1229,337,977,114,55,0.0,23.055986,72.506015,133.346
1230,345,977,112,55,0.0,23.055986,72.506015,133.346
1231,350,977,112,56,0.0,23.055986,72.506015,133.346
1239,404,975,111,56,0.0,23.055986,72.506015,133.336
