frameNo,left,top,w,h,conf,lat,long,alt
1434,533,987,49,31,0.0,23.055987,72.506014,133.248
1435,536,988,50,31,0.0,23.055987,72.506014,133.248
1436,541,988,50,31,0.0,23.055987,72.506014,133.248
1437,545,988,51,31,0.0,23.055987,72.506014,133.251
1468,755,999,46,29,0.0,23.055987,72.506014,133.272
1469,764,998,45,30,0.0,23.055987,72.506014,133.272
1470,769,998,43,29,0.0,23.055987,72.506014,133.272
1471,775,997,43,30,0.0,23.055987,72.506014,133.272
1472,780,997,45,29,0.0,23.055987,72.506014,133.272
1473,788,997,45,30,0.0,23.055987,72.506014,133.275
1474,795,998,45,30,0.0,23.055987,72.506014,133.275
1475,801,998,45,31,0.0,23.055987,72.506014,133.275
1476,808,998,45,31,0.0,23.055987,72.506014,133.275
1477,817,999,45,31,0.0,23.055987,72.506014,133.275
1478,823,998,44,31,0.0,23.055987,72.506014,133.275
1479,830,998,43,31,0.0,23.055987,72.506014,133.274
1480,838,997,43,32,0.0,23.055987,72.506014,133.274
1481,845,998,42,32,0.0,23.055987,72.506014,133.274
1482,851,999,42,31,0.0,23.055987,72.506014,133.274
1483,857,1000,43,31,0.0,23.055987,72.506014,133.274
1484,866,1001,41,30,0.0,23.055987,72.506014,133.274
1485,873,1002,42,30,0.0,23.055987,72.506014,133.281
1486,880,1002,41,31,0.0,23.055987,72.506014,133.281
1487,887,1003,43,30,0.0,23.055987,72.506014,133.281
1488,893,1003,43,29,0.0,23.055987,72.506014,133.281
1489,897,1002,43,30,0.0,23.055987,72.506014,133.281
1490,902,1001,44,30,0.0,23.055987,72.506014,133.281
1491,910,1002,44,30,0.0,23.055987,72.506014,133.282
1492,917,1002,44,29,0.0,23.055987,72.506014,133.282
1493,927,1002,44,29,0.0,23.055987,72.506014,133.282
1494,935,1002,43,29,0.0,23.055987,72.506014,133.282
1495,940,1003,44,28,0.0,23.055987,72.506014,133.282
1496,944,1003,43,29,0.0,23.055987,72.506014,133.282
1497,948,1002,44,30,0.0,23.055987,72.506014,133.282
1498,958,1001,43,30,0.0,23.055987,72.506014,133.282
1499,965,1001,42,30,0.0,23.055987,72.506014,133.282
1500,971,1000,43,30,0.0,23.055987,72.506014,133.282
1501,978,999,44,30,0.0,23.055987,72.506014,133.282
1502,984,998,43,31,0.0,23.055987,72.506014,133.282
1503,989,998,43,31,0.0,23.055987,72.506014,133.288
1504,994,997,43,31,0.0,23.055987,72.506014,133.288
1505,1004,997,42,31,0.0,23.055987,72.506014,133.288
1506,1011,996,43,31,0.0,23.055987,72.506014,133.288
1507,1017,995,44,31,0.0,23.055987,72.506014,133.288
1508,1022,995,46,31,0.0,23.055987,72.506014,133.288
1509,1032,995,44,30,0.0,23.055987,72.506014,133.291
1510,1041,994,43,31,0.0,23.055987,72.506014,133.291
1511,1047,994,44,32,0.0,23.055987,72.506014,133.291
1512,1055,993,44,32,0.0,23.055987,72.506014,133.291
1513,1059,993,45,33,0.0,23.055987,72.506014,133.291
1514,1065,992,47,33,0.0,23.055987,72.506014,133.291
1515,1070,990,48,33,0.0,23.055987,72.506014,133.293
1516,1077,989,47,33,0.0,23.055987,72.506014,133.293
1517,1085,988,47,32,0.0,23.055987,72.506014,133.293
1518,1094,989,47,31,0.0,23.055987,72.506014,133.293
1519,1102,989,47,31,0.0,23.055987,72.506014,133.293
1520,1106,989,49,31,0.0,23.055987,72.506014,133.293
1521,1110,989,50,31,0.0,23.055987,72.506014,133.295
1522,1117,988,49,31,0.0,23.055987,72.506014,133.295
1523,1126,985,49,30,0.0,23.055987,72.506014,133.295
1524,1134,984,49,30,0.0,23.055987,72.506014,133.295
1525,1145,984,48,30,0.0,23.055987,72.506014,133.295
1526,1152,984,48,30,0.0,23.055987,72.506014,133.295
1527,1155,983,49,30,0.0,23.055987,72.506014,133.298
1528,1161,982,48,30,0.0,23.055987,72.506014,133.298
