frameNo,left,top,w,h,conf,lat,long,alt
1895,1,866,62,53,0.0,23.055988,72.506015,132.993
1896,3,868,65,54,0.0,23.055988,72.506015,132.993
1898,26,884,66,37,0.0,23.055988,72.506015,132.993
1899,37,885,65,36,0.0,23.055988,72.506015,132.985
1900,48,886,65,35,0.0,23.055988,72.506015,132.985
1901,53,886,66,34,0.0,23.055988,72.506015,132.985
1902,61,886,70,35,0.0,23.055988,72.506015,132.985
1903,68,885,75,35,0.0,23.055988,72.506015,132.985
1904,77,884,77,35,0.0,23.055988,72.506015,132.985
1905,85,884,78,35,0.0,23.055988,72.506015,132.977
1906,93,885,77,34,0.0,23.055988,72.506015,132.977
1906,101,883,60,36,0.0,23.055988,72.506015,132.977
1907,102,886,77,33,0.0,23.055988,72.506015,132.977
1907,110,883,61,34,0.0,23.055988,72.506015,132.977
1908,110,885,78,33,0.0,23.055988,72.506015,132.977
1908,118,882,61,34,0.0,23.055988,72.506015,132.977
1909,115,885,79,33,0.0,23.055988,72.506015,132.977
1909,125,882,61,34,0.0,23.055988,72.506015,132.977
1910,124,884,80,33,0.0,23.055988,72.506015,132.977
1910,135,881,60,34,0.0,23.055988,72.506015,132.977
1911,130,883,79,33,0.0,23.055988,72.506014,132.966
1911,140,881,60,35,0.0,23.055988,72.506014,132.966
1912,139,884,76,34,0.0,23.055988,72.506014,132.966
1912,146,882,58,34,0.0,23.055988,72.506014,132.966
1913,145,885,76,33,0.0,23.055988,72.506014,132.966
1913,153,883,54,33,0.0,23.055988,72.506014,132.966
1914,152,886,75,32,0.0,23.055988,72.506014,132.966
1914,161,883,54,32,0.0,23.055988,72.506014,132.966
1915,160,885,77,32,0.0,23.055988,72.506014,132.966
1915,171,883,55,31,0.0,23.055988,72.506014,132.966
1916,168,885,78,32,0.0,23.055988,72.506014,132.966
1916,180,884,56,31,0.0,23.055988,72.506014,132.966
1917,176,885,76,32,0.0,23.055988,72.506014,132.962
1917,187,885,54,31,0.0,23.055988,72.506014,132.962
1918,184,884,77,32,0.0,23.055988,72.506014,132.962
1918,196,884,52,31,0.0,23.055988,72.506014,132.962
1919,190,884,76,32,0.0,23.055988,72.506014,132.962
1919,201,884,52,31,0.0,23.055988,72.506014,132.962
1920,196,884,75,32,0.0,23.055988,72.506014,132.962
1920,209,883,52,31,0.0,23.055988,72.506014,132.962
1921,203,884,74,32,0.0,23.055988,72.506014,132.962
1921,216,883,52,30,0.0,23.055988,72.506014,132.962
1922,211,884,74,32,0.0,23.055988,72.506014,132.962
1922,223,883,53,30,0.0,23.055988,72.506014,132.962
1923,219,885,73,31,0.0,23.055988,72.506014,132.95
1923,231,883,52,30,0.0,23.055988,72.506014,132.95
1924,225,885,73,31,0.0,23.055988,72.506014,132.95
1924,238,883,50,30,0.0,23.055988,72.506014,132.95
1925,231,884,74,31,0.0,23.055988,72.506014,132.95
1925,243,882,50,31,0.0,23.055988,72.506014,132.95
1926,240,884,73,32,0.0,23.055988,72.506014,132.95
1926,249,882,50,31,0.0,23.055988,72.506014,132.95
1927,244,885,72,31,0.0,23.055988,72.506014,132.95
1927,256,881,49,30,0.0,23.055988,72.506014,132.95
1928,253,884,72,32,0.0,23.055988,72.506014,132.95
1928,265,880,49,31,0.0,23.055988,72.506014,132.95
1929,260,884,72,32,0.0,23.055988,72.506014,132.939
1929,272,881,48,30,0.0,23.055988,72.506014,132.939
1930,268,885,72,31,0.0,23.055988,72.506014,132.939
1930,281,881,47,32,0.0,23.055988,72.506014,132.939
1931,274,885,71,31,0.0,23.055988,72.506014,132.939
1931,287,882,46,31,0.0,23.055988,72.506014,132.939
1932,280,884,71,31,0.0,23.055988,72.506014,132.939
1932,293,882,45,30,0.0,23.055988,72.506014,132.939
1933,288,884,70,30,0.0,23.055988,72.506014,132.939
1933,301,882,43,30,0.0,23.055988,72.506014,132.939
1934,294,884,68,30,0.0,23.055988,72.506014,132.939
1934,307,882,42,30,0.0,23.055988,72.506014,132.939
1935,300,884,68,30,0.0,23.055987,72.506014,132.931
1935,315,881,42,30,0.0,23.055987,72.506014,132.931
1936,310,884,67,31,0.0,23.055987,72.506014,132.931
1936,324,882,43,30,0.0,23.055987,72.506014,132.931
1937,319,884,69,31,0.0,23.055987,72.506014,132.931
1937,331,882,46,31,0.0,23.055987,72.506014,132.931
1938,325,884,70,31,0.0,23.055987,72.506014,132.931
1938,337,883,46,31,0.0,23.055987,72.506014,132.931
1939,332,883,70,31,0.0,23.055987,72.506014,132.931
1939,343,882,45,31,0.0,23.055987,72.506014,132.931
1940,337,883,70,30,0.0,23.055987,72.506014,132.931
1940,349,881,44,31,0.0,23.055987,72.506014,132.931
1941,340,882,68,31,0.0,23.055987,72.506014,132.921
1941,352,881,43,30,0.0,23.055987,72.506014,132.921
1942,345,883,68,31,0.0,23.055987,72.506014,132.921
1942,358,881,44,29,0.0,23.055987,72.506014,132.921
1943,350,883,70,31,0.0,23.055987,72.506014,132.921
