frameNo,left,top,w,h,conf,lat,long,alt
1292,2019,330,27,65,0.0,23.055952,72.506036,133.165
1293,2018,328,26,66,0.0,23.055952,72.506036,133.165
1294,2017,329,28,68,0.0,23.055952,72.506036,133.165
1295,2017,330,28,69,0.0,23.055952,72.506036,133.165
1296,2019,333,30,70,0.0,23.055952,72.506036,133.164
1297,2020,335,30,70,0.0,23.055952,72.506036,133.164
1298,2022,339,28,68,0.0,23.055952,72.506036,133.164
1299,2022,341,28,66,0.0,23.055952,72.506036,133.164
1300,2021,345,28,63,0.0,23.055952,72.506036,133.164
1301,2021,346,28,62,0.0,23.055952,72.506036,133.164
1302,2022,351,27,58,0.0,23.055952,72.506036,133.159
1303,2023,353,27,55,0.0,23.055952,72.506036,133.159
1304,2024,357,26,51,0.0,23.055952,72.506036,133.159
1305,2026,360,25,50,0.0,23.055952,72.506036,133.159
1306,2028,364,23,48,0.0,23.055952,72.506036,133.159
1307,2027,368,24,46,0.0,23.055952,72.506036,133.159
1308,2027,370,23,46,0.0,23.055952,72.506036,133.156
1309,2028,373,22,45,0.0,23.055952,72.506036,133.156
1310,2029,376,23,48,0.0,23.055952,72.506036,133.156
1311,2029,380,25,53,0.0,23.055952,72.506036,133.156
1312,2030,385,27,58,0.0,23.055952,72.506036,133.156
1313,2030,385,29,63,0.0,23.055952,72.506036,133.156
1314,2031,392,29,63,0.0,23.055952,72.506036,133.147
1318,2032,409,33,63,0.0,23.055952,72.506036,133.147
1319,2031,411,33,61,0.0,23.055952,72.506036,133.147
1320,2032,414,33,61,0.0,23.055952,72.506036,133.138
1321,2034,418,34,61,0.0,23.055952,72.506036,133.138
1322,2035,422,33,60,0.0,23.055952,72.506036,133.138
1323,2035,424,33,58,0.0,23.055952,72.506036,133.138
1327,2041,441,33,65,0.0,23.055952,72.506036,133.125
1328,2041,443,33,64,0.0,23.055952,72.506036,133.125
1329,2042,448,32,63,0.0,23.055952,72.506036,133.125
1330,2042,452,32,61,0.0,23.055952,72.506036,133.125
1331,2044,454,32,60,0.0,23.055952,72.506036,133.125
1332,2048,459,32,61,0.0,23.055952,72.506036,133.111
1333,2048,465,32,61,0.0,23.055952,72.506036,133.111
1334,2049,468,32,60,0.0,23.055952,72.506036,133.111
1335,2049,473,33,59,0.0,23.055952,72.506036,133.111
1336,2052,477,33,59,0.0,23.055952,72.506036,133.111
1337,2055,479,34,61,0.0,23.055952,72.506036,133.111
1338,2055,484,34,60,0.0,23.055952,72.506036,133.101
1339,2056,489,35,58,0.0,23.055952,72.506036,133.101
1340,2058,492,35,57,0.0,23.055952,72.506036,133.101
1341,2058,495,35,54,0.0,23.055952,72.506036,133.101
1342,2060,498,35,54,0.0,23.055952,72.506036,133.101
1343,2059,502,36,53,0.0,23.055952,72.506036,133.101
1344,2061,506,36,52,0.0,23.055952,72.506036,133.091
1345,2063,509,36,52,0.0,23.055952,72.506036,133.091
1346,2065,513,36,52,0.0,23.055952,72.506036,133.091
1347,2066,517,36,51,0.0,23.055952,72.506036,133.091
1348,2066,517,37,52,0.0,23.055952,72.506036,133.091
1349,2070,526,37,54,0.0,23.055952,72.506036,133.091
1350,2073,531,36,54,0.0,23.055952,72.506036,133.08
1351,2075,534,37,57,0.0,23.055952,72.506036,133.08
1352,2075,536,37,57,0.0,23.055952,72.506036,133.08
1353,2077,539,37,58,0.0,23.055952,72.506036,133.08
1354,2079,541,36,57,0.0,23.055952,72.506036,133.08
1355,2080,543,37,58,0.0,23.055952,72.506036,133.08
1356,2081,545,37,59,0.0,23.055952,72.506036,133.074
1357,2082,547,37,60,0.0,23.055952,72.506036,133.074
1358,2085,550,37,59,0.0,23.055952,72.506036,133.074
1359,2084,553,39,62,0.0,23.055952,72.506036,133.074
1360,2086,558,37,61,0.0,23.055952,72.506036,133.074
1361,2087,561,36,61,0.0,23.055952,72.506036,133.074
1362,2090,564,34,58,0.0,23.055952,72.506036,133.065
1363,2091,566,36,58,0.0,23.055952,72.506036,133.065
1364,2092,569,36,55,0.0,23.055952,72.506036,133.065
1365,2093,574,38,58,0.0,23.055952,72.506035,133.065
1366,2095,577,38,59,0.0,23.055952,72.506035,133.065
1367,2095,577,40,63,0.0,23.055952,72.506035,133.065
1368,2096,581,41,63,0.0,23.055952,72.506036,133.063
1369,2096,582,42,65,0.0,23.055952,72.506036,133.063
1370,2100,587,40,65,0.0,23.055952,72.506036,133.063
1371,2101,589,41,64,0.0,23.055952,72.506035,133.063
1372,2102,592,40,63,0.0,23.055952,72.506035,133.063
1373,2104,594,39,63,0.0,23.055952,72.506035,133.063
1374,2104,597,41,62,0.0,23.055951,72.506035,133.062
1375,2106,600,40,62,0.0,23.055951,72.506035,133.062
1376,2104,605,42,62,0.0,23.055951,72.506035,133.062
1380,2111,615,45,70,0.0,23.055952,72.506035,133.064
1381,2112,616,44,74,0.0,23.055952,72.506035,133.064
1382,2117,619,43,74,0.0,23.055952,72.506035,133.064
1383,2120,620,42,74,0.0,23.055952,72.506035,133.064
1384,2122,622,40,74,0.0,23.055952,72.506035,133.064
1385,2122,623,41,75,0.0,23.055952,72.506035,133.064
1386,2121,626,42,74,0.0,23.055952,72.506035,133.069
1387,2124,629,41,72,0.0,23.055952,72.506035,133.069
1388,2126,633,40,69,0.0,23.055952,72.506035,133.069
1389,2126,635,40,68,0.0,23.055952,72.506035,133.069
1390,2127,637,40,67,0.0,23.055952,72.506035,133.069
1391,2128,639,39,65,0.0,23.055952,72.506035,133.069
1392,2129,640,41,66,0.0,23.055952,72.506035,133.076
1393,2130,643,41,65,0.0,23.055952,72.506035,133.076
1394,2131,646,42,66,0.0,23.055952,72.506035,133.076
1395,2129,649,44,65,0.0,23.055952,72.506035,133.076
1396,2131,650,44,65,0.0,23.055952,72.506035,133.076
1397,2132,653,46,64,0.0,23.055952,72.506035,133.076
1398,2134,657,45,64,0.0,23.055952,72.506035,133.077
1399,2136,660,43,64,0.0,23.055952,72.506035,133.077
1400,2138,663,43,62,0.0,23.055952,72.506035,133.077
1401,2142,665,40,61,0.0,23.055952,72.506035,133.077
1402,2141,665,40,60,0.0,23.055952,72.506035,133.077
1403,2142,670,41,59,0.0,23.055952,72.506035,133.077
1404,2144,672,40,60,0.0,23.055952,72.506035,133.082
1405,2145,674,39,60,0.0,23.055952,72.506035,133.082
1406,2147,678,39,59,0.0,23.055952,72.506035,133.082
1407,2149,680,39,61,0.0,23.055952,72.506035,133.082
1408,2149,683,42,62,0.0,23.055952,72.506035,133.082
1409,2150,684,42,62,0.0,23.055952,72.506035,133.082
1410,2151,686,43,61,0.0,23.055952,72.506035,133.087
1411,2151,688,43,61,0.0,23.055952,72.506035,133.087
1412,2152,689,44,62,0.0,23.055952,72.506035,133.087
1413,2157,695,42,62,0.0,23.055952,72.506035,133.087
1414,2159,695,42,63,0.0,23.055952,72.506035,133.087
1415,2160,696,41,63,0.0,23.055952,72.506035,133.086
1416,2161,699,42,64,0.0,23.055952,72.506035,133.086
1417,2165,703,40,64,0.0,23.055952,72.506035,133.086
1418,2166,707,41,62,0.0,23.055952,72.506035,133.086
1419,2166,711,40,59,0.0,23.055952,72.506035,133.086
1420,2169,715,39,58,0.0,23.055952,72.506035,133.086
1421,2171,721,39,56,0.0,23.055952,72.506035,133.086
1422,2173,725,38,54,0.0,23.055952,72.506035,133.08
1423,2173,727,39,54,0.0,23.055952,72.506035,133.08
1424,2175,728,39,55,0.0,23.055952,72.506035,133.08
1425,2179,730,37,57,0.0,23.055952,72.506035,133.08
1426,2179,732,38,56,0.0,23.055952,72.506035,133.08
1427,2179,732,38,53,0.0,23.055952,72.506035,133.08
1428,2181,735,38,56,0.0,23.055952,72.506035,133.079
1429,2183,734,37,54,0.0,23.055952,72.506035,133.079
1430,2186,740,38,55,0.0,23.055952,72.506035,133.079
1431,2188,741,37,56,0.0,23.055952,72.506035,133.079
1432,2190,744,39,57,0.0,23.055952,72.506035,133.079
1433,2192,746,38,57,0.0,23.055952,72.506035,133.079
1434,2195,749,39,59,0.0,23.055952,72.506035,133.081
1435,2197,751,40,61,0.0,23.055952,72.506035,133.081
1436,2198,753,41,61,0.0,23.055952,72.506035,133.081
1437,2198,755,43,62,0.0,23.055952,72.506035,133.081
1438,2201,758,42,56,0.0,23.055952,72.506035,133.081
1439,2204,761,41,55,0.0,23.055952,72.506035,133.081
1440,2206,764,44,56,0.0,23.055952,72.506035,133.08
1441,2209,766,44,56,0.0,23.055952,72.506035,133.08
1442,2210,771,45,56,0.0,23.055952,72.506035,133.08
1443,2213,775,46,55,0.0,23.055952,72.506035,133.08
1444,2216,778,45,54,0.0,23.055952,72.506035,133.08
1445,2218,781,45,51,0.0,23.055952,72.506035,133.08
1446,2222,780,44,53,0.0,23.055951,72.506035,133.074
1447,2223,783,46,52,0.0,23.055951,72.506035,133.074
1448,2221,784,50,53,0.0,23.055951,72.506035,133.074
1449,2225,787,51,52,0.0,23.055951,72.506035,133.074
1450,2230,790,49,50,0.0,23.055951,72.506035,133.074
1451,2233,795,49,50,0.0,23.055951,72.506035,133.074
1452,2238,797,48,49,0.0,23.055951,72.506035,133.076
1453,2241,800,47,48,0.0,23.055951,72.506035,133.076
1454,2244,803,45,44,0.0,23.055951,72.506035,133.076
1455,2247,806,45,42,0.0,23.055951,72.506035,133.076
1456,2252,810,43,41,0.0,23.055951,72.506035,133.076
