frameNo,left,top,w,h,conf,lat,long,alt
159,1243,712,105,116,0.0,23.05595,72.506036,133.825
160,1240,713,108,115,0.0,23.05595,72.506036,133.825
161,1238,713,111,114,0.0,23.05595,72.506036,133.825
162,1240,711,111,115,0.0,23.05595,72.506036,133.825
163,1239,708,113,115,0.0,23.05595,72.506036,133.834
164,1239,711,113,113,0.0,23.05595,72.506036,133.834
165,1238,716,114,109,0.0,23.05595,72.506036,133.834
166,1238,717,115,108,0.0,23.05595,72.506036,133.834
167,1236,717,117,108,0.0,23.05595,72.506036,133.834
168,1235,714,118,109,0.0,23.05595,72.506036,133.834
169,1234,711,120,111,0.0,23.05595,72.506036,133.844
170,1236,709,119,112,0.0,23.05595,72.506036,133.844
171,1234,710,120,112,0.0,23.05595,72.506036,133.844
172,1233,714,120,110,0.0,23.05595,72.506036,133.844
173,1231,719,121,107,0.0,23.05595,72.506036,133.844
174,1227,725,123,102,0.0,23.05595,72.506036,133.844
175,1219,731,127,99,0.0,23.05595,72.506036,133.849
176,1216,733,129,97,0.0,23.05595,72.506036,133.849
177,1214,733,131,96,0.0,23.05595,72.506036,133.849
178,1214,734,132,95,0.0,23.05595,72.506036,133.849
179,1213,733,133,95,0.0,23.05595,72.506036,133.849
180,1213,733,134,95,0.0,23.05595,72.506036,133.849
181,1211,733,135,96,0.0,23.05595,72.506036,133.854
182,1210,734,136,95,0.0,23.05595,72.506036,133.854
183,1214,731,136,97,0.0,23.05595,72.506036,133.854
184,1209,734,138,96,0.0,23.05595,72.506036,133.854
185,1208,734,139,96,0.0,23.05595,72.506036,133.854
186,1208,735,139,96,0.0,23.05595,72.506036,133.854
187,1206,736,141,96,0.0,23.05595,72.506036,133.864
188,1205,736,142,95,0.0,23.05595,72.506036,133.864
189,1205,736,142,96,0.0,23.05595,72.506036,133.864
190,1208,736,140,96,0.0,23.05595,72.506037,133.864
191,1208,736,140,95,0.0,23.05595,72.506037,133.864
192,1206,736,141,95,0.0,23.05595,72.506037,133.864
193,1207,734,142,95,0.0,23.05595,72.506036,133.867
194,1208,734,142,95,0.0,23.05595,72.506036,133.867
195,1208,734,141,95,0.0,23.05595,72.506036,133.867
196,1209,735,141,94,0.0,23.05595,72.506036,133.867
197,1209,735,141,94,0.0,23.05595,72.506036,133.867
198,1210,735,140,94,0.0,23.05595,72.506036,133.867
199,1210,735,140,94,0.0,23.05595,72.506036,133.869
200,1209,735,141,94,0.0,23.05595,72.506036,133.869
201,1212,732,140,94,0.0,23.05595,72.506036,133.869
202,1213,730,141,95,0.0,23.05595,72.506036,133.869
203,1210,732,141,94,0.0,23.05595,72.506036,133.869
204,1215,728,139,96,0.0,23.05595,72.506036,133.869
205,1212,730,139,96,0.0,23.05595,72.506036,133.874
206,1218,726,137,98,0.0,23.05595,72.506036,133.874
207,1213,730,138,96,0.0,23.05595,72.506036,133.874
208,1210,732,140,96,0.0,23.05595,72.506036,133.874
209,1209,733,140,95,0.0,23.05595,72.506036,133.874
210,1207,733,142,96,0.0,23.05595,72.506036,133.874
211,1208,734,142,95,0.0,23.05595,72.506036,133.877
212,1210,733,141,95,0.0,23.05595,72.506036,133.877
213,1209,735,141,94,0.0,23.05595,72.506036,133.877
214,1210,736,140,92,0.0,23.05595,72.506036,133.877
215,1210,737,141,91,0.0,23.05595,72.506036,133.877
216,1212,737,140,89,0.0,23.05595,72.506036,133.877
217,1215,734,138,90,0.0,23.05595,72.506036,133.882
218,1213,735,142,92,0.0,23.05595,72.506036,133.882
219,1218,732,138,93,0.0,23.05595,72.506036,133.882
220,1221,731,135,94,0.0,23.05595,72.506036,133.882
221,1222,729,133,95,0.0,23.05595,72.506036,133.882
222,1224,728,131,97,0.0,23.05595,72.506036,133.882
223,1226,727,129,98,0.0,23.05595,72.506036,133.891
224,1225,727,131,96,0.0,23.05595,72.506036,133.891
225,1225,728,132,94,0.0,23.05595,72.506036,133.891
226,1223,728,135,94,0.0,23.05595,72.506036,133.891
227,1222,728,137,94,0.0,23.05595,72.506036,133.891
228,1219,729,140,94,0.0,23.05595,72.506036,133.891
229,1217,730,142,94,0.0,23.05595,72.506036,133.904
230,1218,731,142,93,0.0,23.05595,72.506036,133.904
231,1223,728,137,94,0.0,23.05595,72.506036,133.904
232,1228,728,133,94,0.0,23.05595,72.506036,133.904
233,1227,729,132,93,0.0,23.05595,72.506036,133.904
234,1228,729,130,93,0.0,23.05595,72.506036,133.904
235,1226,732,131,92,0.0,23.05595,72.506036,133.911
236,1223,733,133,91,0.0,23.05595,72.506036,133.911
237,1224,739,133,91,0.0,23.05595,72.506036,133.911
238,1223,739,132,91,0.0,23.05595,72.506036,133.911
239,1219,739,134,90,0.0,23.05595,72.506036,133.911
240,1219,736,140,95,0.0,23.05595,72.506036,133.911
241,1221,737,138,97,0.0,23.05595,72.506036,133.918
242,1219,733,138,98,0.0,23.05595,72.506036,133.918
243,1218,736,139,98,0.0,23.05595,72.506036,133.918
244,1212,736,142,98,0.0,23.05595,72.506036,133.918
245,1210,735,142,97,0.0,23.05595,72.506036,133.918
284,1214,729,137,102,0.0,23.055951,72.506036,133.963
285,1211,735,139,94,0.0,23.055951,72.506036,133.963
286,1210,740,140,90,0.0,23.055951,72.506036,133.963
287,1210,742,139,85,0.0,23.055951,72.506036,133.963
288,1211,743,138,83,0.0,23.055951,72.506036,133.963
289,1210,744,140,83,0.0,23.055951,72.506036,133.963
290,1212,742,139,83,0.0,23.055951,72.506036,133.963
291,1209,740,141,84,0.0,23.055951,72.506036,133.963
292,1209,739,140,83,0.0,23.055951,72.506036,133.963
293,1208,740,141,82,0.0,23.055951,72.506036,133.963
294,1208,740,140,82,0.0,23.055951,72.506036,133.963
295,1209,741,140,83,0.0,23.055951,72.506036,133.967
296,1208,740,144,87,0.0,23.055951,72.506036,133.967
297,1207,737,146,91,0.0,23.055951,72.506036,133.967
298,1208,737,144,91,0.0,23.055951,72.506036,133.967
299,1206,737,143,91,0.0,23.055951,72.506036,133.967
300,1210,736,140,91,0.0,23.055951,72.506036,133.967
301,1214,737,137,91,0.0,23.055951,72.506036,133.967
302,1214,736,137,94,0.0,23.055951,72.506036,133.967
303,1220,733,135,95,0.0,23.055951,72.506036,133.967
304,1224,731,132,97,0.0,23.055951,72.506036,133.967
345,1219,706,142,119,0.0,23.055951,72.506036,133.946
346,1209,719,147,113,0.0,23.055951,72.506036,133.946
347,1212,712,148,115,0.0,23.055951,72.506036,133.946
348,1200,704,159,122,0.0,23.055951,72.506036,133.946
349,1193,722,163,114,0.0,23.055951,72.506036,133.946
350,1190,734,162,105,0.0,23.055951,72.506036,133.946
351,1191,740,158,98,0.0,23.055951,72.506036,133.946
352,1188,743,159,96,0.0,23.055951,72.506036,133.946
353,1189,742,160,96,0.0,23.055951,72.506036,133.946
354,1190,739,162,101,0.0,23.055951,72.506036,133.946
358,1192,726,161,101,0.0,23.055951,72.506036,133.944
359,1192,732,160,97,0.0,23.055951,72.506036,133.944
360,1191,735,159,94,0.0,23.055951,72.506036,133.944
361,1190,738,160,93,0.0,23.055951,72.506036,133.941
362,1191,738,160,92,0.0,23.055951,72.506036,133.941
363,1194,733,159,94,0.0,23.055951,72.506036,133.941
364,1196,727,157,99,0.0,23.055951,72.506036,133.941
365,1201,724,153,100,0.0,23.055951,72.506036,133.941
366,1205,721,151,101,0.0,23.055951,72.506036,133.941
367,1209,718,146,101,0.0,23.055951,72.506036,133.942
368,1209,717,146,101,0.0,23.055951,72.506036,133.942
369,1209,720,146,104,0.0,23.055951,72.506036,133.942
370,1211,718,145,107,0.0,23.055951,72.506036,133.942
371,1218,709,140,109,0.0,23.055951,72.506036,133.942
372,1224,703,135,111,0.0,23.055951,72.506036,133.942
373,1228,700,132,113,0.0,23.055951,72.506036,133.946
374,1230,699,129,114,0.0,23.055951,72.506036,133.946
375,1235,699,126,116,0.0,23.055951,72.506036,133.946
376,1239,697,124,119,0.0,23.055951,72.506036,133.946
377,1240,696,124,121,0.0,23.055951,72.506036,133.946
378,1239,690,126,126,0.0,23.055951,72.506036,133.946
379,1237,687,127,131,0.0,23.055951,72.506036,133.947
380,1235,690,125,128,0.0,23.055951,72.506036,133.947
381,1235,690,124,127,0.0,23.055951,72.506036,133.947
382,1238,686,123,131,0.0,23.055951,72.506036,133.947
383,1240,684,122,134,0.0,23.055951,72.506036,133.947
384,1241,689,119,132,0.0,23.055951,72.506036,133.947
392,1242,686,120,132,0.0,23.055951,72.506036,133.95
453,1247,679,117,139,0.0,23.055951,72.506036,133.933
454,1248,677,116,139,0.0,23.055951,72.506036,133.933
455,1248,676,115,141,0.0,23.055951,72.506036,133.933
456,1249,677,114,140,0.0,23.055951,72.506036,133.933
457,1250,678,112,139,0.0,23.055951,72.506036,133.924
458,1248,680,113,139,0.0,23.055951,72.506036,133.924
459,1249,680,112,139,0.0,23.055951,72.506036,133.924
471,1251,681,108,134,0.0,23.055951,72.506036,133.908
