frameNo,left,top,w,h,conf,lat,long,alt
1574,3,863,71,38,0.0,23.055988,72.506014,132.572
1575,7,861,74,37,0.0,23.055988,72.506014,132.572
1576,12,859,82,40,0.0,23.055988,72.506014,132.572
1577,17,861,84,38,0.0,23.055988,72.506014,132.572
1578,27,863,83,35,0.0,23.055988,72.506014,132.572
1579,38,864,80,34,0.0,23.055988,72.506014,132.572
1580,49,865,80,34,0.0,23.055988,72.506014,132.568
1581,59,865,82,32,0.0,23.055988,72.506014,132.568
1582,68,866,81,33,0.0,23.055988,72.506014,132.568
1583,79,866,81,33,0.0,23.055988,72.506014,132.568
1584,89,865,78,32,0.0,23.055988,72.506014,132.568
1585,100,866,75,32,0.0,23.055988,72.506014,132.568
1586,109,866,76,31,0.0,23.055988,72.506014,132.561
1587,117,865,77,31,0.0,23.055988,72.506014,132.561
1588,125,864,75,31,0.0,23.055988,72.506014,132.561
1589,134,864,75,31,0.0,23.055988,72.506014,132.561
1590,146,864,74,30,0.0,23.055988,72.506014,132.561
1591,159,863,76,31,0.0,23.055988,72.506014,132.561
1592,168,863,79,31,0.0,23.055988,72.506014,132.551
1593,177,863,80,30,0.0,23.055988,72.506014,132.551
1594,185,863,81,30,0.0,23.055988,72.506014,132.551
1595,195,861,82,31,0.0,23.055988,72.506014,132.551
1596,207,861,80,31,0.0,23.055988,72.506014,132.551
1597,215,862,79,31,0.0,23.055988,72.506014,132.551
1598,224,862,75,30,0.0,23.055988,72.506014,132.54
1599,230,862,75,30,0.0,23.055988,72.506014,132.54
1600,241,862,74,30,0.0,23.055988,72.506014,132.54
1601,253,859,75,31,0.0,23.055988,72.506014,132.54
1602,263,859,74,31,0.0,23.055988,72.506014,132.54
1603,272,858,75,30,0.0,23.055988,72.506014,132.54
1604,280,858,78,30,0.0,23.055988,72.506014,132.529
1605,290,854,81,32,0.0,23.055988,72.506014,132.529
1606,301,854,84,32,0.0,23.055988,72.506014,132.529
1607,310,854,83,32,0.0,23.055988,72.506014,132.529
1608,316,855,81,32,0.0,23.055988,72.506014,132.529
1609,323,854,78,32,0.0,23.055988,72.506014,132.529
1610,332,854,78,32,0.0,23.055988,72.506014,132.519
1611,341,852,76,34,0.0,23.055988,72.506014,132.519
1612,350,851,79,35,0.0,23.055988,72.506014,132.519
1613,361,849,81,36,0.0,23.055988,72.506014,132.519
1614,369,848,80,36,0.0,23.055988,72.506014,132.519
1615,378,847,81,36,0.0,23.055988,72.506014,132.519
1616,384,845,79,35,0.0,23.055988,72.506014,132.502
1617,388,845,77,34,0.0,23.055988,72.506014,132.502
1618,397,846,77,33,0.0,23.055988,72.506014,132.502
1619,406,845,81,33,0.0,23.055988,72.506014,132.502
1620,416,844,80,33,0.0,23.055988,72.506014,132.502
1621,424,844,80,32,0.0,23.055988,72.506014,132.502
1622,432,845,80,33,0.0,23.055988,72.506014,132.492
1623,435,847,81,33,0.0,23.055988,72.506014,132.492
1624,447,845,80,34,0.0,23.055988,72.506014,132.492
1625,458,844,79,34,0.0,23.055988,72.506014,132.492
1626,469,842,77,35,0.0,23.055988,72.506014,132.492
1627,480,841,73,34,0.0,23.055988,72.506014,132.492
1628,486,841,72,33,0.0,23.055989,72.506014,132.479
1629,495,843,71,32,0.0,23.055989,72.506014,132.479
1630,501,842,71,33,0.0,23.055989,72.506014,132.479
1631,510,841,72,33,0.0,23.055989,72.506014,132.479
1632,518,838,74,33,0.0,23.055989,72.506014,132.479
1633,522,838,78,34,0.0,23.055989,72.506014,132.479
1634,526,837,83,35,0.0,23.055988,72.506013,132.472
1635,532,835,84,35,0.0,23.055988,72.506013,132.472
1636,534,835,88,35,0.0,23.055988,72.506013,132.472
1640,581,835,79,34,0.0,23.055988,72.506013,132.465
1641,592,834,79,34,0.0,23.055988,72.506013,132.465
1642,601,833,79,33,0.0,23.055988,72.506013,132.465
1643,608,832,81,33,0.0,23.055988,72.506013,132.465
1644,616,830,83,34,0.0,23.055988,72.506013,132.465
1645,624,830,85,35,0.0,23.055988,72.506013,132.465
1646,633,829,86,36,0.0,23.055988,72.506013,132.458
1647,642,830,81,34,0.0,23.055988,72.506013,132.458
1648,649,831,79,34,0.0,23.055988,72.506013,132.458
1649,659,830,79,34,0.0,23.055988,72.506013,132.458
1650,670,829,79,35,0.0,23.055988,72.506013,132.458
1651,679,828,79,35,0.0,23.055988,72.506013,132.458
1652,688,829,77,34,0.0,23.055988,72.506013,132.453
1653,698,828,75,34,0.0,23.055988,72.506013,132.453
1654,707,829,76,33,0.0,23.055988,72.506013,132.453
1655,717,827,76,32,0.0,23.055988,72.506013,132.453
1656,724,826,75,32,0.0,23.055988,72.506013,132.453
1657,729,826,74,32,0.0,23.055988,72.506013,132.453
1658,741,826,73,32,0.0,23.055988,72.506013,132.443
1659,748,826,72,31,0.0,23.055988,72.506013,132.443
1660,759,825,73,31,0.0,23.055988,72.506013,132.443
1661,768,825,72,31,0.0,23.055988,72.506013,132.443
1662,776,823,74,32,0.0,23.055988,72.506013,132.443
1663,785,824,74,32,0.0,23.055988,72.506013,132.443
1664,795,823,73,31,0.0,23.055988,72.506013,132.439
1665,803,821,73,32,0.0,23.055988,72.506013,132.439
1666,809,821,73,31,0.0,23.055988,72.506013,132.439
