frameNo,left,top,w,h,conf,lat,long,alt
1,2257,513,65,34,0.0,23.055986,72.506015,133.062
2,2257,513,66,34,0.0,23.055986,72.506015,133.062
3,2256,512,66,34,0.0,23.055986,72.506015,133.064
4,2256,512,65,33,0.0,23.055986,72.506015,133.064
5,2256,511,65,33,0.0,23.055986,72.506015,133.064
6,2255,507,68,35,0.0,23.055986,72.506015,133.064
7,2256,509,67,34,0.0,23.055986,72.506015,133.064
8,2256,509,67,34,0.0,23.055986,72.506015,133.064
9,2256,507,67,33,0.0,23.055986,72.506015,133.07
10,2256,507,67,33,0.0,23.055986,72.506015,133.07
11,2256,507,66,33,0.0,23.055986,72.506015,133.07
12,2256,505,66,33,0.0,23.055986,72.506015,133.07
13,2256,507,66,33,0.0,23.055986,72.506015,133.07
14,2257,508,65,32,0.0,23.055986,72.506015,133.07
15,2256,508,66,33,0.0,23.055986,72.506015,133.068
143,2248,497,70,34,0.0,23.055987,72.506015,133.088
144,2249,499,70,35,0.0,23.055987,72.506015,133.088
145,2249,498,70,34,0.0,23.055987,72.506015,133.088
146,2250,499,69,34,0.0,23.055987,72.506015,133.088
147,2250,500,69,35,0.0,23.055987,72.506015,133.087
153,2249,498,70,35,0.0,23.055987,72.506015,133.075
154,2250,497,69,36,0.0,23.055987,72.506015,133.075
155,2249,495,70,36,0.0,23.055987,72.506015,133.075
156,2249,494,70,36,0.0,23.055987,72.506015,133.075
157,2247,490,71,36,0.0,23.055987,72.506015,133.075
158,2248,489,71,36,0.0,23.055987,72.506015,133.075
159,2248,490,71,36,0.0,23.055987,72.506015,133.062
160,2249,492,71,37,0.0,23.055987,72.506015,133.062
161,2250,495,70,36,0.0,23.055987,72.506015,133.062
162,2250,497,71,36,0.0,23.055987,72.506015,133.062
163,2250,499,71,37,0.0,23.055987,72.506015,133.062
164,2250,498,71,36,0.0,23.055987,72.506015,133.062
165,2250,499,71,36,0.0,23.055987,72.506015,133.046
166,2250,498,71,37,0.0,23.055987,72.506015,133.046
167,2250,495,71,37,0.0,23.055987,72.506015,133.046
168,2251,497,70,36,0.0,23.055987,72.506015,133.046
169,2250,493,70,37,0.0,23.055987,72.506015,133.046
170,2250,491,69,37,0.0,23.055987,72.506015,133.046
171,2249,490,70,37,0.0,23.055987,72.506015,133.031
172,2249,488,70,37,0.0,23.055987,72.506015,133.031
173,2249,486,69,37,0.0,23.055987,72.506015,133.031
174,2249,485,69,38,0.0,23.055987,72.506015,133.031
175,2249,486,70,38,0.0,23.055987,72.506015,133.031
176,2250,487,69,38,0.0,23.055987,72.506015,133.031
177,2250,489,68,39,0.0,23.055987,72.506015,133.016
178,2251,491,68,38,0.0,23.055987,72.506015,133.016
179,2249,488,68,38,0.0,23.055987,72.506015,133.016
180,2249,488,68,37,0.0,23.055987,72.506015,133.016
181,2250,488,67,38,0.0,23.055987,72.506015,133.016
182,2251,489,66,38,0.0,23.055987,72.506015,133.016
183,2251,490,66,38,0.0,23.055987,72.506015,133.006
184,2252,493,66,37,0.0,23.055987,72.506015,133.006
185,2252,492,66,37,0.0,23.055987,72.506015,133.006
186,2252,492,65,37,0.0,23.055987,72.506015,133.006
187,2252,491,65,37,0.0,23.055987,72.506015,133.006
188,2251,489,66,37,0.0,23.055987,72.506015,133.006
189,2251,490,66,37,0.0,23.055987,72.506015,132.996
190,2251,488,65,37,0.0,23.055987,72.506015,132.996
191,2251,488,65,38,0.0,23.055987,72.506015,132.996
192,2251,486,65,38,0.0,23.055987,72.506015,132.996
193,2252,490,65,38,0.0,23.055987,72.506015,132.996
194,2253,491,65,38,0.0,23.055987,72.506015,132.996
198,2254,496,65,39,0.0,23.055987,72.506015,132.99
199,2253,495,66,38,0.0,23.055987,72.506015,132.99
200,2253,495,66,38,0.0,23.055987,72.506015,132.99
201,2253,494,66,38,0.0,23.055987,72.506015,132.983
202,2252,494,67,38,0.0,23.055987,72.506015,132.983
203,2252,495,67,37,0.0,23.055987,72.506015,132.983
204,2252,494,67,37,0.0,23.055987,72.506015,132.983
205,2251,498,68,36,0.0,23.055987,72.506015,132.983
206,2251,497,68,37,0.0,23.055987,72.506015,132.983
207,2250,499,68,37,0.0,23.055987,72.506015,132.977
208,2250,502,68,36,0.0,23.055987,72.506015,132.977
209,2251,500,67,36,0.0,23.055987,72.506015,132.977
210,2251,501,68,35,0.0,23.055987,72.506015,132.977
211,2251,497,68,35,0.0,23.055987,72.506015,132.977
212,2251,495,68,36,0.0,23.055987,72.506015,132.977
213,2250,496,70,35,0.0,23.055987,72.506015,132.983
214,2250,495,70,36,0.0,23.055987,72.506015,132.983
215,2250,495,70,35,0.0,23.055987,72.506015,132.983
216,2250,496,70,35,0.0,23.055987,72.506015,132.983
217,2251,497,69,36,0.0,23.055987,72.506015,132.983
218,2252,500,70,35,0.0,23.055987,72.506015,132.983
219,2252,500,70,35,0.0,23.055987,72.506015,132.986
220,2253,503,70,35,0.0,23.055987,72.506015,132.986
221,2252,501,70,35,0.0,23.055987,72.506015,132.986
222,2251,499,70,35,0.0,23.055987,72.506015,132.986
223,2250,498,70,35,0.0,23.055987,72.506015,132.986
224,2250,498,69,35,0.0,23.055987,72.506015,132.986
225,2250,497,69,35,0.0,23.055987,72.506015,132.994
