frameNo,left,top,w,h,conf,lat,long,alt
1,2259,528,63,38,0.0,23.055986,72.506015,133.062
2,2260,529,63,37,0.0,23.055986,72.506015,133.062
3,2260,529,63,37,0.0,23.055986,72.506015,133.064
4,2260,529,63,37,0.0,23.055986,72.506015,133.064
5,2260,523,64,38,0.0,23.055986,72.506015,133.064
6,2260,522,65,37,0.0,23.055986,72.506015,133.064
7,2260,521,66,38,0.0,23.055986,72.506015,133.064
8,2259,521,67,38,0.0,23.055986,72.506015,133.064
9,2259,521,67,37,0.0,23.055986,72.506015,133.07
10,2259,521,68,37,0.0,23.055986,72.506015,133.07
11,2259,520,67,38,0.0,23.055986,72.506015,133.07
12,2259,520,68,38,0.0,23.055986,72.506015,133.07
13,2260,521,66,37,0.0,23.055986,72.506015,133.07
14,2259,521,67,37,0.0,23.055986,72.506015,133.07
15,2259,521,66,37,0.0,23.055986,72.506015,133.068
16,2259,522,66,36,0.0,23.055986,72.506015,133.068
17,2259,521,66,37,0.0,23.055986,72.506015,133.068
18,2258,521,66,38,0.0,23.055986,72.506015,133.068
19,2257,522,67,38,0.0,23.055986,72.506015,133.068
20,2257,522,66,38,0.0,23.055986,72.506015,133.068
21,2257,523,66,37,0.0,23.055987,72.506015,133.075
22,2256,523,66,37,0.0,23.055987,72.506015,133.075
23,2255,523,66,37,0.0,23.055987,72.506015,133.075
24,2254,522,67,37,0.0,23.055987,72.506015,133.075
25,2254,523,66,37,0.0,23.055987,72.506015,133.075
26,2254,522,66,37,0.0,23.055987,72.506015,133.075
27,2255,528,65,38,0.0,23.055986,72.506015,133.073
28,2256,530,65,38,0.0,23.055986,72.506015,133.073
32,2256,530,63,38,0.0,23.055986,72.506015,133.073
33,2257,531,62,39,0.0,23.055987,72.506015,133.075
34,2257,532,62,39,0.0,23.055987,72.506015,133.075
35,2258,531,62,39,0.0,23.055987,72.506015,133.075
36,2257,524,62,39,0.0,23.055987,72.506015,133.075
37,2256,521,63,38,0.0,23.055987,72.506015,133.075
38,2256,520,63,38,0.0,23.055987,72.506015,133.075
39,2256,525,63,37,0.0,23.055987,72.506015,133.073
40,2254,523,64,37,0.0,23.055987,72.506015,133.073
41,2256,528,63,38,0.0,23.055987,72.506015,133.073
42,2256,531,64,37,0.0,23.055987,72.506015,133.073
43,2255,524,64,38,0.0,23.055987,72.506015,133.073
44,2256,528,64,38,0.0,23.055987,72.506015,133.073
45,2255,523,64,38,0.0,23.055987,72.506015,133.074
46,2256,523,63,37,0.0,23.055987,72.506015,133.074
47,2257,529,62,38,0.0,23.055987,72.506015,133.074
48,2257,530,62,38,0.0,23.055987,72.506015,133.074
49,2255,526,63,39,0.0,23.055987,72.506015,133.074
53,2257,533,62,40,0.0,23.055987,72.506015,133.068
54,2257,531,63,41,0.0,23.055987,72.506015,133.068
55,2258,530,63,41,0.0,23.055987,72.506015,133.068
56,2258,530,63,41,0.0,23.055987,72.506015,133.068
57,2259,529,63,42,0.0,23.055987,72.506015,133.071
58,2258,529,64,42,0.0,23.055987,72.506015,133.071
59,2257,529,64,42,0.0,23.055987,72.506015,133.071
60,2258,529,64,43,0.0,23.055987,72.506015,133.071
61,2258,530,64,43,0.0,23.055987,72.506015,133.071
62,2258,531,65,42,0.0,23.055987,72.506015,133.071
63,2258,530,65,42,0.0,23.055987,72.506015,133.07
64,2258,530,66,42,0.0,23.055987,72.506015,133.07
65,2259,529,64,43,0.0,23.055987,72.506015,133.07
66,2258,529,65,43,0.0,23.055987,72.506015,133.07
67,2258,529,65,43,0.0,23.055987,72.506015,133.07
68,2258,529,65,44,0.0,23.055987,72.506015,133.07
69,2258,529,65,43,0.0,23.055987,72.506015,133.075
70,2259,529,64,43,0.0,23.055987,72.506015,133.075
71,2259,529,64,44,0.0,23.055987,72.506015,133.075
72,2259,529,64,44,0.0,23.055987,72.506015,133.075
73,2260,528,64,44,0.0,23.055987,72.506015,133.075
74,2260,528,64,44,0.0,23.055987,72.506015,133.075
75,2261,528,63,44,0.0,23.055987,72.506015,133.077
76,2261,528,63,44,0.0,23.055987,72.506015,133.077
77,2260,527,63,44,0.0,23.055987,72.506015,133.077
78,2260,527,63,45,0.0,23.055987,72.506015,133.077
79,2261,528,62,44,0.0,23.055987,72.506015,133.077
80,2260,527,63,44,0.0,23.055987,72.506015,133.077
81,2260,527,63,44,0.0,23.055987,72.506015,133.087
82,2260,527,63,44,0.0,23.055987,72.506015,133.087
83,2260,527,64,44,0.0,23.055987,72.506015,133.087
84,2260,528,65,43,0.0,23.055987,72.506015,133.087
85,2260,528,65,43,0.0,23.055987,72.506015,133.087
86,2260,529,66,43,0.0,23.055987,72.506015,133.087
87,2260,529,66,43,0.0,23.055987,72.506015,133.096
88,2260,528,67,43,0.0,23.055987,72.506015,133.096
89,2260,528,66,43,0.0,23.055987,72.506015,133.096
90,2260,528,66,43,0.0,23.055987,72.506015,133.096
91,2261,530,65,42,0.0,23.055987,72.506015,133.096
92,2261,531,65,42,0.0,23.055987,72.506015,133.096
93,2261,531,65,43,0.0,23.055987,72.506015,133.101
94,2261,532,65,41,0.0,23.055987,72.506015,133.101
95,2261,532,65,41,0.0,23.055987,72.506015,133.101
96,2261,532,64,41,0.0,23.055987,72.506015,133.101
100,2259,531,65,41,0.0,23.055987,72.506015,133.107
