frameNo,left,top,w,h,conf,lat,long,alt
917,3750,1126,86,60,0.0,23.055988,72.506015,132.627
918,3739,1124,96,63,0.0,23.055988,72.506015,132.627
919,3731,1124,105,64,0.0,23.055988,72.506015,132.627
920,3719,1124,116,65,0.0,23.055988,72.506015,132.621
921,3705,1123,127,67,0.0,23.055988,72.506015,132.621
922,3692,1123,136,69,0.0,23.055988,72.506015,132.621
923,3681,1124,139,68,0.0,23.055988,72.506015,132.621
924,3669,1125,139,67,0.0,23.055988,72.506015,132.621
925,3658,1126,140,65,0.0,23.055988,72.506015,132.621
926,3643,1127,142,64,0.0,23.055988,72.506015,132.615
927,3632,1128,142,63,0.0,23.055988,72.506015,132.615
928,3623,1129,141,62,0.0,23.055988,72.506015,132.615
929,3612,1129,140,61,0.0,23.055988,72.506015,132.615
930,3601,1129,140,60,0.0,23.055988,72.506015,132.615
931,3588,1130,142,60,0.0,23.055988,72.506015,132.615
932,3579,1131,142,60,0.0,23.055988,72.506015,132.609
933,3570,1131,140,60,0.0,23.055988,72.506015,132.609
934,3561,1131,138,60,0.0,23.055988,72.506015,132.609
935,3549,1130,137,61,0.0,23.055988,72.506015,132.609
936,3540,1131,136,60,0.0,23.055988,72.506015,132.609
937,3524,1130,139,62,0.0,23.055988,72.506015,132.609
938,3511,1129,140,62,0.0,23.055988,72.506015,132.605
939,3501,1128,141,63,0.0,23.055988,72.506015,132.605
940,3495,1130,138,62,0.0,23.055988,72.506015,132.605
941,3489,1132,135,61,0.0,23.055988,72.506015,132.605
942,3476,1131,134,60,0.0,23.055988,72.506015,132.605
943,3470,1131,129,61,0.0,23.055988,72.506015,132.605
944,3457,1132,132,61,0.0,23.055988,72.506015,132.604
945,3446,1131,133,62,0.0,23.055988,72.506015,132.604
946,3435,1133,133,61,0.0,23.055988,72.506015,132.604
947,3425,1133,131,61,0.0,23.055988,72.506015,132.604
953,3364,1137,134,58,0.0,23.055988,72.506015,132.594
957,3332,1138,122,59,0.0,23.055988,72.506015,132.593
958,3323,1138,122,59,0.0,23.055988,72.506015,132.593
964,3260,1140,126,59,0.0,23.055988,72.506015,132.583
965,3254,1140,127,60,0.0,23.055988,72.506015,132.583
972,3187,1142,122,62,0.0,23.055988,72.506015,132.58
989,3036,1153,116,58,0.0,23.055988,72.506015,132.564
997,2961,1159,117,60,0.0,23.055988,72.506015,132.56
998,2955,1159,116,59,0.0,23.055988,72.506015,132.556
999,2947,1159,116,59,0.0,23.055988,72.506015,132.556
1000,2940,1161,114,58,0.0,23.055988,72.506015,132.556
1001,2930,1161,116,58,0.0,23.055988,72.506015,132.556
1002,2925,1161,114,58,0.0,23.055988,72.506015,132.556
1003,2912,1161,117,59,0.0,23.055988,72.506015,132.556
1004,2903,1162,117,58,0.0,23.055988,72.506015,132.555
1005,2891,1162,120,59,0.0,23.055988,72.506015,132.555
1006,2883,1162,121,59,0.0,23.055988,72.506015,132.555
1007,2878,1162,119,58,0.0,23.055988,72.506015,132.555
1008,2869,1163,120,58,0.0,23.055988,72.506015,132.555
1009,2862,1164,120,58,0.0,23.055988,72.506015,132.555
1010,2855,1165,119,59,0.0,23.055988,72.506015,132.549
1011,2852,1166,117,58,0.0,23.055988,72.506015,132.549
1012,2845,1166,116,59,0.0,23.055988,72.506015,132.549
1013,2836,1168,116,59,0.0,23.055988,72.506015,132.549
1014,2828,1169,115,59,0.0,23.055988,72.506015,132.549
