frameNo,left,top,w,h,conf,lat,long,alt
1,1848,1940,213,199,0.0,23.055986,72.506015,133.062
2,1845,1934,208,198,0.0,23.055986,72.506015,133.062
3,1849,1938,199,188,0.0,23.055986,72.506015,133.064
4,1862,1940,184,179,0.0,23.055986,72.506015,133.064
5,1864,1937,177,175,0.0,23.055986,72.506015,133.064
6,1866,1933,171,173,0.0,23.055986,72.506015,133.064
7,1866,1929,166,172,0.0,23.055986,72.506015,133.064
8,1868,1926,159,168,0.0,23.055986,72.506015,133.064
9,1865,1919,154,165,0.0,23.055986,72.506015,133.07
30,1746,1791,169,175,0.0,23.055986,72.506015,133.073
31,1740,1784,164,169,0.0,23.055986,72.506015,133.073
32,1735,1779,163,167,0.0,23.055986,72.506015,133.073
33,1731,1774,160,164,0.0,23.055987,72.506015,133.075
34,1728,1769,158,165,0.0,23.055987,72.506015,133.075
35,1724,1766,157,163,0.0,23.055987,72.506015,133.075
36,1719,1761,158,163,0.0,23.055987,72.506015,133.075
37,1712,1756,159,162,0.0,23.055987,72.506015,133.075
38,1706,1750,158,163,0.0,23.055987,72.506015,133.075
39,1700,1744,159,164,0.0,23.055987,72.506015,133.073
40,1693,1740,159,164,0.0,23.055987,72.506015,133.073
41,1686,1737,159,162,0.0,23.055987,72.506015,133.073
42,1679,1731,160,160,0.0,23.055987,72.506015,133.073
43,1675,1727,160,158,0.0,23.055987,72.506015,133.073
44,1669,1721,160,158,0.0,23.055987,72.506015,133.073
45,1664,1716,161,158,0.0,23.055987,72.506015,133.074
46,1659,1711,161,157,0.0,23.055987,72.506015,133.074
47,1651,1707,162,156,0.0,23.055987,72.506015,133.074
48,1644,1703,163,156,0.0,23.055987,72.506015,133.074
49,1637,1699,162,156,0.0,23.055987,72.506015,133.074
50,1632,1697,163,156,0.0,23.055987,72.506015,133.074
51,1623,1691,165,154,0.0,23.055987,72.506015,133.068
52,1617,1687,166,155,0.0,23.055987,72.506015,133.068
53,1612,1683,166,156,0.0,23.055987,72.506015,133.068
54,1607,1678,166,155,0.0,23.055987,72.506015,133.068
55,1601,1672,166,154,0.0,23.055987,72.506015,133.068
56,1594,1668,167,153,0.0,23.055987,72.506015,133.068
57,1587,1665,168,153,0.0,23.055987,72.506015,133.071
58,1579,1661,169,153,0.0,23.055987,72.506015,133.071
59,1573,1658,169,151,0.0,23.055987,72.506015,133.071
60,1567,1653,168,149,0.0,23.055987,72.506015,133.071
61,1561,1651,169,146,0.0,23.055987,72.506015,133.071
62,1556,1647,169,147,0.0,23.055987,72.506015,133.071
63,1549,1641,171,147,0.0,23.055987,72.506015,133.07
64,1543,1636,171,148,0.0,23.055987,72.506015,133.07
65,1537,1632,171,149,0.0,23.055987,72.506015,133.07
66,1529,1628,172,150,0.0,23.055987,72.506015,133.07
67,1522,1624,173,150,0.0,23.055987,72.506015,133.07
68,1515,1622,173,148,0.0,23.055987,72.506015,133.07
69,1511,1620,172,147,0.0,23.055987,72.506015,133.075
70,1505,1617,172,147,0.0,23.055987,72.506015,133.075
71,1498,1615,171,145,0.0,23.055987,72.506015,133.075
72,1489,1613,172,143,0.0,23.055987,72.506015,133.075
73,1484,1609,173,141,0.0,23.055987,72.506015,133.075
74,1477,1608,175,140,0.0,23.055987,72.506015,133.075
75,1470,1603,176,142,0.0,23.055987,72.506015,133.077
76,1462,1599,177,141,0.0,23.055987,72.506015,133.077
77,1456,1594,177,142,0.0,23.055987,72.506015,133.077
78,1449,1593,179,142,0.0,23.055987,72.506015,133.077
79,1442,1589,178,144,0.0,23.055987,72.506015,133.077
80,1435,1587,178,142,0.0,23.055987,72.506015,133.077
81,1429,1584,177,141,0.0,23.055987,72.506015,133.087
82,1423,1582,176,140,0.0,23.055987,72.506015,133.087
83,1416,1579,177,140,0.0,23.055987,72.506015,133.087
84,1411,1576,177,139,0.0,23.055987,72.506015,133.087
85,1407,1573,176,138,0.0,23.055987,72.506015,133.087
86,1399,1571,176,137,0.0,23.055987,72.506015,133.087
87,1390,1569,178,135,0.0,23.055987,72.506015,133.096
88,1383,1567,178,134,0.0,23.055987,72.506015,133.096
92,1356,1553,179,130,0.0,23.055987,72.506015,133.096
95,1332,1547,181,126,0.0,23.055987,72.506015,133.101
96,1324,1546,181,123,0.0,23.055987,72.506015,133.101
97,1318,1544,181,123,0.0,23.055987,72.506015,133.101
98,1311,1541,182,124,0.0,23.055987,72.506015,133.101
99,1303,1539,182,123,0.0,23.055987,72.506015,133.107
100,1298,1537,181,124,0.0,23.055987,72.506015,133.107
101,1290,1534,181,124,0.0,23.055987,72.506015,133.107
102,1283,1533,181,122,0.0,23.055987,72.506015,133.107
103,1276,1532,182,122,0.0,23.055987,72.506015,133.107
104,1269,1530,183,120,0.0,23.055987,72.506015,133.107
105,1263,1528,184,119,0.0,23.055987,72.506015,133.106
106,1255,1526,183,118,0.0,23.055987,72.506015,133.106
107,1245,1523,181,117,0.0,23.055987,72.506015,133.106
108,1238,1523,181,115,0.0,23.055987,72.506015,133.106
109,1230,1521,182,114,0.0,23.055987,72.506015,133.106
110,1223,1519,182,113,0.0,23.055987,72.506015,133.106
111,1216,1518,180,112,0.0,23.055987,72.506015,133.107
112,1208,1516,181,111,0.0,23.055987,72.506015,133.107
113,1202,1515,180,111,0.0,23.055987,72.506015,133.107
114,1192,1513,182,110,0.0,23.055987,72.506015,133.107
115,1185,1513,181,109,0.0,23.055987,72.506015,133.107
116,1176,1512,181,108,0.0,23.055987,72.506015,133.107
117,1169,1511,181,106,0.0,23.055987,72.506015,133.107
118,1162,1509,181,104,0.0,23.055987,72.506015,133.107
119,1154,1506,180,104,0.0,23.055987,72.506015,133.107
120,1147,1506,181,103,0.0,23.055987,72.506015,133.107
121,1138,1505,182,103,0.0,23.055987,72.506015,133.107
122,1131,1503,182,103,0.0,23.055987,72.506015,133.107
123,1124,1503,183,101,0.0,23.055987,72.506015,133.108
124,1116,1501,183,101,0.0,23.055987,72.506015,133.108
125,1106,1500,183,100,0.0,23.055987,72.506015,133.108
126,1098,1499,182,100,0.0,23.055987,72.506015,133.108
127,1090,1497,183,100,0.0,23.055987,72.506015,133.108
128,1082,1495,182,99,0.0,23.055987,72.506015,133.108
129,1075,1494,183,98,0.0,23.055987,72.506015,133.096
130,1069,1494,183,97,0.0,23.055987,72.506015,133.096
131,1061,1492,182,96,0.0,23.055987,72.506015,133.096
132,1052,1491,182,95,0.0,23.055987,72.506015,133.096
133,1045,1490,181,94,0.0,23.055987,72.506015,133.096
134,1036,1490,181,94,0.0,23.055987,72.506015,133.096
135,1029,1490,182,93,0.0,23.055987,72.506015,133.09
136,1023,1487,182,94,0.0,23.055987,72.506015,133.09
137,1013,1486,180,93,0.0,23.055987,72.506015,133.09
138,1005,1485,181,92,0.0,23.055987,72.506015,133.09
139,996,1483,181,93,0.0,23.055987,72.506015,133.09
140,988,1482,181,93,0.0,23.055987,72.506015,133.09
141,980,1478,182,94,0.0,23.055987,72.506015,133.088
142,971,1478,181,93,0.0,23.055987,72.506015,133.088
143,962,1477,179,92,0.0,23.055987,72.506015,133.088
144,955,1477,179,91,0.0,23.055987,72.506015,133.088
145,946,1476,178,93,0.0,23.055987,72.506015,133.088
146,938,1476,178,92,0.0,23.055987,72.506015,133.088
147,931,1475,179,92,0.0,23.055987,72.506015,133.087
148,921,1472,179,92,0.0,23.055987,72.506015,133.087
149,914,1471,179,92,0.0,23.055987,72.506015,133.087
150,905,1470,181,93,0.0,23.055987,72.506015,133.087
151,896,1469,182,92,0.0,23.055987,72.506015,133.087
152,887,1468,183,91,0.0,23.055987,72.506015,133.087
153,879,1467,184,91,0.0,23.055987,72.506015,133.075
154,872,1465,184,90,0.0,23.055987,72.506015,133.075
155,864,1464,182,90,0.0,23.055987,72.506015,133.075
156,854,1463,183,91,0.0,23.055987,72.506015,133.075
157,844,1461,185,91,0.0,23.055987,72.506015,133.075
158,836,1461,185,90,0.0,23.055987,72.506015,133.075
159,829,1459,185,91,0.0,23.055987,72.506015,133.062
160,821,1458,182,90,0.0,23.055987,72.506015,133.062
161,813,1456,182,90,0.0,23.055987,72.506015,133.062
162,805,1455,182,91,0.0,23.055987,72.506015,133.062
163,795,1454,181,91,0.0,23.055987,72.506015,133.062
164,787,1452,181,90,0.0,23.055987,72.506015,133.062
165,779,1449,180,92,0.0,23.055987,72.506015,133.046
166,770,1449,180,90,0.0,23.055987,72.506015,133.046
167,760,1447,182,92,0.0,23.055987,72.506015,133.046
168,751,1446,182,91,0.0,23.055987,72.506015,133.046
169,743,1445,182,90,0.0,23.055987,72.506015,133.046
170,734,1444,181,90,0.0,23.055987,72.506015,133.046
171,726,1443,180,89,0.0,23.055987,72.506015,133.031
172,717,1442,180,88,0.0,23.055987,72.506015,133.031
173,708,1440,182,88,0.0,23.055987,72.506015,133.031
