frameNo,left,top,w,h,conf,lat,long,alt
1,1971,1784,72,124,0.0,23.055988,72.506015,133.088
2,1968,1775,81,135,0.0,23.055988,72.506015,133.088
3,1966,1773,87,140,0.0,23.055988,72.506015,133.088
7,1955,1754,94,140,0.0,23.055988,72.506015,133.079
8,1953,1749,94,139,0.0,23.055988,72.506015,133.079
9,1951,1746,93,138,0.0,23.055988,72.506015,133.079
14,1942,1729,94,138,0.0,23.055988,72.506015,133.075
15,1940,1726,94,137,0.0,23.055988,72.506015,133.075
16,1939,1725,94,136,0.0,23.055988,72.506015,133.075
17,1936,1722,93,135,0.0,23.055988,72.506015,133.067
18,1933,1717,93,136,0.0,23.055988,72.506015,133.067
19,1931,1714,93,135,0.0,23.055988,72.506015,133.067
20,1930,1711,91,134,0.0,23.055988,72.506015,133.067
21,1929,1706,91,133,0.0,23.055988,72.506015,133.067
22,1926,1703,90,132,0.0,23.055988,72.506015,133.067
23,1925,1700,89,130,0.0,23.055988,72.506015,133.06
24,1924,1696,86,129,0.0,23.055988,72.506015,133.06
25,1923,1692,87,130,0.0,23.055988,72.506015,133.06
26,1924,1687,88,131,0.0,23.055988,72.506015,133.06
27,1922,1685,88,131,0.0,23.055988,72.506015,133.06
28,1919,1680,89,132,0.0,23.055988,72.506015,133.06
29,1918,1678,91,132,0.0,23.055988,72.506015,133.058
30,1916,1674,92,132,0.0,23.055988,72.506015,133.058
31,1915,1671,92,133,0.0,23.055988,72.506015,133.058
32,1914,1669,93,132,0.0,23.055988,72.506015,133.058
33,1913,1664,94,132,0.0,23.055988,72.506015,133.058
34,1912,1663,93,130,0.0,23.055988,72.506015,133.058
35,1908,1658,94,131,0.0,23.055988,72.506015,133.051
36,1907,1656,93,128,0.0,23.055988,72.506015,133.051
37,1906,1653,95,128,0.0,23.055988,72.506015,133.051
38,1903,1649,91,127,0.0,23.055988,72.506015,133.051
39,1902,1646,91,127,0.0,23.055988,72.506015,133.051
40,1901,1641,93,128,0.0,23.055988,72.506015,133.051
41,1900,1638,93,127,0.0,23.055988,72.506015,133.047
42,1897,1636,93,128,0.0,23.055988,72.506015,133.047
43,1896,1631,93,129,0.0,23.055988,72.506015,133.047
44,1894,1627,94,130,0.0,23.055988,72.506015,133.047
45,1888,1623,95,132,0.0,23.055988,72.506015,133.047
46,1886,1619,94,133,0.0,23.055988,72.506015,133.047
47,1884,1615,94,133,0.0,23.055988,72.506015,133.035
48,1884,1611,93,132,0.0,23.055988,72.506015,133.035
49,1881,1607,92,131,0.0,23.055988,72.506015,133.035
50,1880,1602,91,131,0.0,23.055988,72.506015,133.035
51,1880,1598,88,131,0.0,23.055988,72.506015,133.035
61,1865,1562,88,133,0.0,23.055988,72.506015,133.011
62,1863,1560,88,131,0.0,23.055988,72.506015,133.011
63,1862,1556,88,129,0.0,23.055988,72.506015,133.011
64,1861,1555,87,128,0.0,23.055988,72.506015,133.011
65,1858,1550,89,129,0.0,23.055988,72.506015,132.994
66,1860,1544,89,129,0.0,23.055988,72.506015,132.994
67,1858,1542,89,129,0.0,23.055988,72.506015,132.994
71,1850,1529,89,129,0.0,23.055988,72.506015,132.973
72,1848,1526,89,130,0.0,23.055988,72.506015,132.973
73,1846,1523,89,130,0.0,23.055988,72.506015,132.973
74,1844,1519,90,130,0.0,23.055988,72.506015,132.973
75,1842,1515,89,129,0.0,23.055988,72.506015,132.973
76,1838,1508,92,130,0.0,23.055988,72.506015,132.973
84,1827,1481,87,129,0.0,23.055988,72.506015,132.934
