frameNo,left,top,w,h,conf,lat,long,alt
836,3087,536,84,38,0.0,23.055986,72.506014,133.131
837,3087,537,85,37,0.0,23.055986,72.506014,133.131
838,3087,537,85,37,0.0,23.055986,72.506014,133.127
839,3087,536,85,38,0.0,23.055986,72.506014,133.127
840,3087,536,85,38,0.0,23.055986,72.506014,133.127
841,3087,535,86,39,0.0,23.055986,72.506014,133.127
842,3087,536,86,38,0.0,23.055986,72.506014,133.127
843,3087,537,85,38,0.0,23.055986,72.506014,133.127
844,3087,537,85,38,0.0,23.055986,72.506014,133.123
900,3109,543,60,34,0.0,23.055986,72.506014,133.077
901,3106,541,69,36,0.0,23.055986,72.506014,133.077
902,3105,539,74,37,0.0,23.055986,72.506014,133.077
903,3105,540,73,37,0.0,23.055986,72.506014,133.077
904,3105,539,77,38,0.0,23.055986,72.506014,133.078
905,3105,540,74,37,0.0,23.055986,72.506014,133.078
906,3106,541,72,37,0.0,23.055986,72.506014,133.078
907,3104,540,76,37,0.0,23.055986,72.506014,133.078
908,3104,540,78,37,0.0,23.055986,72.506014,133.078
909,3103,540,80,36,0.0,23.055986,72.506014,133.078
910,3105,541,76,36,0.0,23.055986,72.506014,133.076
911,3105,541,77,36,0.0,23.055986,72.506014,133.076
912,3104,541,80,37,0.0,23.055986,72.506014,133.076
913,3105,543,76,35,0.0,23.055986,72.506014,133.076
914,3104,542,78,36,0.0,23.055986,72.506014,133.076
915,3104,541,80,36,0.0,23.055986,72.506014,133.076
916,3104,541,80,36,0.0,23.055986,72.506014,133.084
917,3104,541,82,36,0.0,23.055986,72.506014,133.084
918,3103,540,84,36,0.0,23.055986,72.506014,133.084
922,3107,543,75,35,0.0,23.055986,72.506014,133.094
923,3109,543,72,35,0.0,23.055986,72.506014,133.094
1156,3113,546,61,31,0.0,23.055986,72.506015,133.407
1157,3113,546,60,31,0.0,23.055986,72.506015,133.407
1158,3113,546,60,31,0.0,23.055986,72.506015,133.407
1159,3110,546,63,31,0.0,23.055986,72.506015,133.407
1160,3108,545,64,32,0.0,23.055986,72.506015,133.407
1161,3108,545,65,31,0.0,23.055986,72.506015,133.407
1162,3110,546,63,30,0.0,23.055986,72.506015,133.41
1182,3107,543,66,31,0.0,23.055986,72.506015,133.411
1183,3106,543,66,31,0.0,23.055986,72.506015,133.411
1184,3106,543,65,31,0.0,23.055986,72.506015,133.411
1185,3106,542,65,32,0.0,23.055986,72.506015,133.411
1189,3112,542,62,32,0.0,23.055986,72.506015,133.406
1190,3113,542,62,32,0.0,23.055986,72.506015,133.406
1191,3112,542,62,32,0.0,23.055986,72.506015,133.406
1192,3111,541,63,32,0.0,23.055987,72.506015,133.402
1193,3113,541,62,32,0.0,23.055987,72.506015,133.402
1197,3114,541,65,32,0.0,23.055987,72.506015,133.395
1198,3114,541,66,32,0.0,23.055987,72.506015,133.395
1199,3113,541,67,32,0.0,23.055987,72.506015,133.395
1200,3113,541,68,32,0.0,23.055987,72.506015,133.395
1201,3113,540,68,32,0.0,23.055987,72.506015,133.395
1202,3112,541,70,32,0.0,23.055987,72.506015,133.395
1203,3112,541,70,32,0.0,23.055987,72.506015,133.395
1204,3112,541,71,31,0.0,23.055986,72.506015,133.391
1205,3112,541,72,31,0.0,23.055986,72.506015,133.391
1206,3111,541,73,31,0.0,23.055986,72.506015,133.391
1207,3112,541,72,31,0.0,23.055986,72.506015,133.391
1208,3114,542,71,31,0.0,23.055986,72.506015,133.391
1294,3107,540,63,31,0.0,23.055987,72.506015,133.246
1295,3107,539,64,31,0.0,23.055987,72.506015,133.246
1296,3106,539,65,31,0.0,23.055987,72.506015,133.246
1297,3107,539,65,31,0.0,23.055987,72.506015,133.246
1298,3105,538,67,32,0.0,23.055987,72.506015,133.246
1321,3115,540,59,29,0.0,23.055987,72.506015,133.238
1331,3111,541,60,29,0.0,23.055987,72.506015,133.24
1332,3111,541,60,29,0.0,23.055987,72.506015,133.24
1333,3111,540,60,30,0.0,23.055987,72.506015,133.24
1334,3112,540,60,29,0.0,23.055987,72.506015,133.24
1335,3112,540,60,29,0.0,23.055987,72.506015,133.24
1339,3110,539,62,30,0.0,23.055987,72.506014,133.242
1340,3110,540,62,29,0.0,23.055987,72.506014,133.242
1446,3113,542,57,30,0.0,23.055987,72.506014,133.255
1447,3113,542,57,30,0.0,23.055987,72.506014,133.255
1448,3113,542,58,30,0.0,23.055987,72.506014,133.255
1455,3111,541,60,30,0.0,23.055987,72.506014,133.265
1456,3111,541,60,30,0.0,23.055987,72.506014,133.265
1457,3111,540,59,31,0.0,23.055987,72.506014,133.265
1458,3110,540,60,31,0.0,23.055987,72.506014,133.265
1459,3112,541,59,30,0.0,23.055987,72.506014,133.265
1460,3112,540,59,31,0.0,23.055987,72.506014,133.265
1461,3111,540,60,31,0.0,23.055987,72.506014,133.268
1462,3110,540,61,31,0.0,23.055987,72.506014,133.268
1463,3109,540,62,31,0.0,23.055987,72.506014,133.268
1464,3109,540,61,31,0.0,23.055987,72.506014,133.268
1465,3111,540,60,31,0.0,23.055987,72.506014,133.268
1466,3111,541,60,31,0.0,23.055987,72.506014,133.268
1467,3111,541,60,31,0.0,23.055987,72.506014,133.272
1468,3110,541,61,31,0.0,23.055987,72.506014,133.272
1469,3111,541,61,31,0.0,23.055987,72.506014,133.272
1470,3111,540,60,32,0.0,23.055987,72.506014,133.272
1471,3109,540,62,32,0.0,23.055987,72.506014,133.272
1472,3109,540,61,31,0.0,23.055987,72.506014,133.272
1473,3109,540,61,32,0.0,23.055987,72.506014,133.275
1474,3108,540,61,31,0.0,23.055987,72.506014,133.275
1475,3108,540,61,31,0.0,23.055987,72.506014,133.275
1476,3107,540,63,32,0.0,23.055987,72.506014,133.275
1477,3109,540,62,31,0.0,23.055987,72.506014,133.275
1478,3109,540,61,31,0.0,23.055987,72.506014,133.275
1479,3110,540,61,31,0.0,23.055987,72.506014,133.274
1480,3110,541,62,30,0.0,23.055987,72.506014,133.274
1481,3112,541,61,30,0.0,23.055987,72.506014,133.274
1482,3112,541,61,31,0.0,23.055987,72.506014,133.274
1483,3111,541,61,31,0.0,23.055987,72.506014,133.274
1484,3111,541,60,31,0.0,23.055987,72.506014,133.274
1485,3111,541,60,30,0.0,23.055987,72.506014,133.281
1486,3112,541,61,30,0.0,23.055987,72.506014,133.281
1487,3112,541,60,30,0.0,23.055987,72.506014,133.281
1488,3113,542,60,30,0.0,23.055987,72.506014,133.281
1489,3113,542,59,30,0.0,23.055987,72.506014,133.281
1490,3113,541,61,31,0.0,23.055987,72.506014,133.281
1491,3116,542,59,30,0.0,23.055987,72.506014,133.282
1492,3115,542,59,31,0.0,23.055987,72.506014,133.282
1493,3114,542,60,30,0.0,23.055987,72.506014,133.282
1494,3114,542,61,31,0.0,23.055987,72.506014,133.282
1495,3113,541,60,31,0.0,23.055987,72.506014,133.282
1496,3112,541,62,31,0.0,23.055987,72.506014,133.282
1497,3111,541,63,31,0.0,23.055987,72.506014,133.282
1498,3111,541,64,31,0.0,23.055987,72.506014,133.282
1499,3110,540,64,32,0.0,23.055987,72.506014,133.282
1500,3110,541,65,32,0.0,23.055987,72.506014,133.282
1501,3111,541,64,32,0.0,23.055987,72.506014,133.282
1502,3112,542,62,31,0.0,23.055987,72.506014,133.282
1503,3113,542,61,31,0.0,23.055987,72.506014,133.288
1504,3114,542,60,31,0.0,23.055987,72.506014,133.288
1505,3114,543,60,31,0.0,23.055987,72.506014,133.288
1506,3115,543,59,31,0.0,23.055987,72.506014,133.288
1548,3105,540,67,32,0.0,23.055987,72.506014,133.326
1549,3104,540,68,32,0.0,23.055987,72.506014,133.326
1550,3104,540,68,32,0.0,23.055987,72.506014,133.326
1551,3105,540,67,32,0.0,23.055987,72.506014,133.334
1552,3105,540,67,32,0.0,23.055987,72.506014,133.334
1553,3104,540,67,32,0.0,23.055987,72.506014,133.334
1554,3104,540,68,32,0.0,23.055987,72.506014,133.334
1555,3104,540,67,32,0.0,23.055987,72.506014,133.334
1556,3105,540,66,32,0.0,23.055987,72.506014,133.334
1560,3102,539,70,33,0.0,23.055987,72.506014,133.339
1561,3103,540,69,32,0.0,23.055987,72.506014,133.339
1562,3105,540,68,32,0.0,23.055987,72.506014,133.339
1563,3106,540,68,32,0.0,23.055988,72.506014,133.342
1564,3105,540,68,32,0.0,23.055988,72.506014,133.342
1565,3106,540,67,32,0.0,23.055988,72.506014,133.342
1566,3106,541,68,32,0.0,23.055988,72.506014,133.342
1567,3107,541,67,32,0.0,23.055988,72.506014,133.342
1568,3107,541,66,32,0.0,23.055988,72.506014,133.342
1569,3105,540,67,32,0.0,23.055988,72.506014,133.341
1570,3103,540,68,32,0.0,23.055988,72.506014,133.341
1571,3103,540,68,32,0.0,23.055988,72.506014,133.341
1572,3103,540,67,32,0.0,23.055988,72.506014,133.341
1573,3103,540,68,32,0.0,23.055988,72.506014,133.341
1574,3103,540,68,32,0.0,23.055988,72.506014,133.341
1575,3104,540,67,32,0.0,23.055988,72.506014,133.345
1576,3103,540,68,32,0.0,23.055988,72.506014,133.345
1577,3106,540,66,32,0.0,23.055988,72.506014,133.345
1578,3106,540,66,32,0.0,23.055988,72.506014,133.345
1579,3105,540,66,32,0.0,23.055988,72.506014,133.345
1580,3105,540,66,32,0.0,23.055988,72.506014,133.345
1624,3101,537,80,32,0.0,23.055988,72.506015,133.33
1625,3099,537,81,32,0.0,23.055988,72.506015,133.33
