frameNo,left,top,w,h,conf,lat,long,alt
1346,1850,4,97,45,0.0,23.055987,72.506014,133.24
1347,1849,3,97,48,0.0,23.055987,72.506014,133.24
1352,1846,2,103,65,0.0,23.055987,72.506014,133.245
1353,1846,2,103,68,0.0,23.055987,72.506014,133.249
1354,1846,3,103,70,0.0,23.055987,72.506015,133.249
1355,1846,3,104,74,0.0,23.055987,72.506015,133.249
1356,1845,3,106,78,0.0,23.055987,72.506015,133.249
1357,1845,3,108,82,0.0,23.055987,72.506014,133.249
1358,1844,2,110,85,0.0,23.055987,72.506014,133.249
1359,1843,2,111,87,0.0,23.055987,72.506014,133.249
1360,1843,2,112,90,0.0,23.055987,72.506015,133.249
1361,1842,1,113,94,0.0,23.055987,72.506015,133.249
1362,1841,2,115,97,0.0,23.055987,72.506015,133.249
1363,1841,2,117,101,0.0,23.055987,72.506015,133.249
1367,1843,1,120,112,0.0,23.055987,72.506015,133.249
1368,1842,1,121,115,0.0,23.055987,72.506015,133.249
1369,1842,2,122,117,0.0,23.055987,72.506015,133.249
1373,1843,3,126,129,0.0,23.055987,72.506014,133.249
1374,1843,2,126,132,0.0,23.055987,72.506014,133.249
1375,1843,2,126,136,0.0,23.055987,72.506014,133.249
1376,1843,2,128,139,0.0,23.055987,72.506014,133.249
1377,1844,2,128,143,0.0,23.055987,72.506014,133.249
1378,1845,3,129,146,0.0,23.055987,72.506014,133.252
1379,1846,3,131,151,0.0,23.055987,72.506014,133.252
1380,1845,3,132,155,0.0,23.055987,72.506014,133.252
1381,1844,3,133,158,0.0,23.055987,72.506014,133.252
1382,1844,2,133,162,0.0,23.055987,72.506014,133.252
1383,1845,1,133,164,0.0,23.055987,72.506014,133.248
1384,1846,2,132,167,0.0,23.055987,72.506014,133.248
1385,1846,2,132,171,0.0,23.055987,72.506014,133.248
1389,1846,2,134,183,0.0,23.055987,72.506014,133.247
1390,1847,2,133,186,0.0,23.055987,72.506014,133.247
1391,1848,2,133,189,0.0,23.055987,72.506014,133.247
1392,1848,2,133,193,0.0,23.055987,72.506014,133.247
1393,1849,3,132,196,0.0,23.055987,72.506014,133.247
1394,1848,2,134,200,0.0,23.055987,72.506014,133.247
1395,1849,2,134,203,0.0,23.055987,72.506014,133.244
1396,1849,2,136,205,0.0,23.055987,72.506015,133.244
1397,1848,2,135,208,0.0,23.055987,72.506015,133.244
1398,1848,2,136,212,0.0,23.055987,72.506015,133.244
1399,1848,2,137,215,0.0,23.055987,72.506015,133.244
1400,1849,3,137,219,0.0,23.055987,72.506015,133.244
1401,1848,2,139,222,0.0,23.055987,72.506015,133.24
1402,1848,2,141,226,0.0,23.055987,72.506014,133.24
1403,1847,1,142,228,0.0,23.055987,72.506014,133.24
1404,1847,2,142,231,0.0,23.055987,72.506014,133.24
1405,1846,2,145,235,0.0,23.055987,72.506014,133.24
1406,1846,2,145,238,0.0,23.055987,72.506014,133.24
1407,1846,3,146,241,0.0,23.055987,72.506014,133.237
1408,1845,2,147,245,0.0,23.055987,72.506014,133.237
1409,1845,2,148,248,0.0,23.055987,72.506014,133.237
1410,1844,2,148,250,0.0,23.055987,72.506014,133.237
1411,1845,3,148,253,0.0,23.055987,72.506014,133.237
1415,1846,3,151,263,0.0,23.055987,72.506014,133.24
1416,1845,3,152,267,0.0,23.055987,72.506014,133.24
1417,1845,2,152,269,0.0,23.055987,72.506014,133.24
1418,1845,2,152,273,0.0,23.055987,72.506014,133.24
1422,1845,1,154,283,0.0,23.055987,72.506014,133.24
1423,1845,1,155,285,0.0,23.055987,72.506014,133.24
1424,1845,1,156,287,0.0,23.055987,72.506014,133.24
1425,1844,2,157,292,0.0,23.055987,72.506014,133.243
1426,1844,2,158,295,0.0,23.055987,72.506014,133.243
1427,1843,3,159,299,0.0,23.055987,72.506014,133.243
1428,1843,1,160,300,0.0,23.055987,72.506014,133.243
1429,1844,2,160,303,0.0,23.055987,72.506014,133.243
1430,1844,1,161,305,0.0,23.055987,72.506014,133.243
1434,1843,0,164,313,0.0,23.055987,72.506014,133.248
1435,1844,1,164,316,0.0,23.055987,72.506014,133.248
1444,1849,1,170,340,0.0,23.055987,72.506014,133.255
1445,1850,1,170,343,0.0,23.055987,72.506014,133.255
1546,1912,252,173,351,0.0,23.055987,72.506014,133.326
1547,1912,253,173,352,0.0,23.055987,72.506014,133.326
1551,1917,261,174,357,0.0,23.055987,72.506014,133.334
1552,1918,264,175,358,0.0,23.055987,72.506014,133.334
1553,1919,268,175,358,0.0,23.055987,72.506014,133.334
1554,1920,271,177,358,0.0,23.055987,72.506014,133.334
1555,1921,276,178,358,0.0,23.055987,72.506014,133.334
1559,1925,291,178,348,0.0,23.055987,72.506014,133.339
1560,1925,294,179,349,0.0,23.055987,72.506014,133.339
1561,1925,297,179,350,0.0,23.055987,72.506014,133.339
1562,1927,300,178,347,0.0,23.055987,72.506014,133.339
1563,1927,304,179,347,0.0,23.055988,72.506014,133.342
1564,1926,310,180,346,0.0,23.055988,72.506014,133.342
1565,1928,310,179,347,0.0,23.055988,72.506014,133.342
1566,1929,313,179,348,0.0,23.055988,72.506014,133.342
1567,1929,316,180,349,0.0,23.055988,72.506014,133.342
