frameNo,left,top,w,h,conf,lat,long,alt
845,12.0,1169.0,83.0,37.0,0.0,23.055951,72.506035,133.982
846,30.0,1170.0,79.0,35.0,0.0,23.055951,72.506035,133.972
847,47.0,1173.0,75.0,32.0,0.0,23.055951,72.506035,133.972
848,56.0,1171.0,82.0,36.0,0.0,23.055951,72.506035,133.972
849,72.0,1173.0,75.0,34.0,0.0,23.055951,72.506035,133.972
850,82.0,1171.0,76.0,35.0,0.0,23.055951,72.506035,133.972
851,86.0,1173.0,80.0,36.0,0.0,23.055951,72.506035,133.972
852,91.0,1172.0,83.0,38.0,0.0,23.055951,72.506035,133.967
853,100.28571428571429,1172.142857142857,82.57142857142857,37.714285714285715,0.0,23.055951,72.506035,133.9654285714286
854,109.57142857142857,1172.2857142857142,82.14285714285714,37.42857142857143,0.0,23.055951,72.506035,133.96385714285714
855,118.85714285714286,1172.4285714285713,81.71428571428571,37.142857142857146,0.0,23.055951,72.506035,133.9622857142857
856,128.14285714285714,1172.5714285714287,81.28571428571429,36.857142857142854,0.0,23.055951,72.506035,133.9607142857143
857,137.42857142857144,1172.7142857142858,80.85714285714286,36.57142857142857,0.0,23.055951,72.506035,133.95914285714287
858,146.71428571428572,1172.857142857143,80.42857142857143,36.285714285714285,0.0,23.055951,72.506035,133.9575714285714
859,156.0,1173.0,80.0,36.0,0.0,23.055951,72.506035,133.956
860,166.0,1174.0,77.0,34.0,0.0,23.055951,72.506035,133.956
861,180.0,1174.0,74.0,33.0,0.0,23.055951,72.506035,133.956
862,184.0,1176.0,79.0,35.0,0.0,23.055951,72.506035,133.956
863,187.0,1175.0,84.0,38.0,0.0,23.055951,72.506035,133.956
864,195.0,1175.0,85.0,39.0,0.0,23.055951,72.506035,133.952
865,202.0,1175.0,85.0,40.0,0.0,23.055951,72.506035,133.952
866,211.0,1175.0,87.0,41.0,0.0,23.055951,72.506035,133.952
867,226.0,1175.0,87.0,42.0,0.0,23.055952,72.506035,133.952
868,235.0,1176.0,85.0,41.0,0.0,23.055952,72.506035,133.952
869,239.0,1178.0,85.0,40.0,0.0,23.055952,72.506035,133.952
870,244.0,1178.0,85.0,40.0,0.0,23.055951,72.506035,133.943
871,248.0,1179.0,86.0,39.0,0.0,23.055951,72.506035,133.943
872,255.0,1177.0,88.0,40.0,0.0,23.055951,72.506035,133.943
873,269.0,1178.0,85.0,40.0,0.0,23.055951,72.506035,133.943
874,276.0,1179.0,83.0,40.0,0.0,23.055951,72.506035,133.943
875,282.0,1177.0,84.0,41.0,0.0,23.055951,72.506035,133.943
876,292.0,1174.0,82.0,41.0,0.0,23.055952,72.506035,133.94
877,300.0,1174.0,80.0,41.0,0.0,23.055952,72.506035,133.94
878,308.0,1175.0,80.0,41.0,0.0,23.055952,72.506035,133.94
879,316.0,1175.0,79.0,40.0,0.0,23.055952,72.506035,133.94
880,314.0,1176.0,84.0,42.0,0.0,23.055952,72.506035,133.94
881,317.0,1174.0,88.0,43.0,0.0,23.055952,72.506035,133.94
882,317.0,1173.0,93.0,44.0,0.0,23.055952,72.506035,133.933
883,325.6111111111111,1173.2222222222222,92.11111111111111,43.333333333333336,0.0,23.055952,72.506035,133.93227777777776
