frameNo,left,top,w,h,conf,lat,long,alt
146,2272.0,430.0,68.0,39.0,0.0,23.055987,72.506015,133.088
147,2271.0,426.0,69.0,40.0,0.0,23.055987,72.506015,133.087
148,2270.777777777778,425.8888888888889,69.22222222222223,39.888888888888886,0.0,23.055987,72.506015,133.08566666666667
149,2270.5555555555557,425.77777777777777,69.44444444444444,39.77777777777778,0.0,23.055987,72.506015,133.08433333333332
150,2270.3333333333335,425.6666666666667,69.66666666666667,39.666666666666664,0.0,23.055987,72.506015,133.083
151,2270.1111111111113,425.55555555555554,69.88888888888889,39.55555555555556,0.0,23.055987,72.506015,133.08166666666665
152,2269.8888888888887,425.44444444444446,70.11111111111111,39.44444444444444,0.0,23.055987,72.506015,133.08033333333333
153,2269.6666666666665,425.3333333333333,70.33333333333333,39.333333333333336,0.0,23.055987,72.506015,133.07899999999998
154,2269.4444444444443,425.22222222222223,70.55555555555556,39.22222222222222,0.0,23.055987,72.506015,133.07766666666666
155,2269.222222222222,425.1111111111111,70.77777777777777,39.111111111111114,0.0,23.055987,72.506015,133.0763333333333
156,2269.0,425.0,71.0,39.0,0.0,23.055987,72.506015,133.075
157,2269.0,424.0,72.0,39.0,0.0,23.055987,72.506015,133.075
158,2270.0,424.0,71.0,38.0,0.0,23.055987,72.506015,133.075
159,2270.0,423.0,71.0,39.0,0.0,23.055987,72.506015,133.062
160,2270.0,423.0,71.0,39.0,0.0,23.055987,72.506015,133.062
161,2270.0,424.0,71.0,38.0,0.0,23.055987,72.506015,133.062
162,2270.0,423.0,72.0,39.0,0.0,23.055987,72.506015,133.062
163,2271.0,423.0,71.0,38.0,0.0,23.055987,72.506015,133.062
164,2271.0,423.0,71.0,39.0,0.0,23.055987,72.506015,133.062
165,2270.0,423.0,71.0,39.0,0.0,23.055987,72.506015,133.046
166,2270.0,422.0,71.0,39.0,0.0,23.055987,72.506015,133.046
167,2270.0,422.0,71.0,39.0,0.0,23.055987,72.506015,133.046
168,2271.0,422.0,70.0,39.0,0.0,23.055987,72.506015,133.046
169,2271.0,423.0,70.0,38.0,0.0,23.055987,72.506015,133.046
170,2271.0,423.0,70.0,39.0,0.0,23.055987,72.506015,133.046
171,2272.0,423.0,69.0,38.0,0.0,23.055987,72.506015,133.031
172,2272.0,423.0,69.0,39.0,0.0,23.055987,72.506015,133.031
173,2272.0,424.0,69.0,38.0,0.0,23.055987,72.506015,133.031
174,2271.0,424.0,69.0,39.0,0.0,23.055987,72.506015,133.031
175,2271.0,424.0,69.0,39.0,0.0,23.055987,72.506015,133.031
176,2270.75,424.25,68.5,39.0,0.0,23.055987,72.506015,133.02725
177,2270.5,424.5,68.0,39.0,0.0,23.055987,72.506015,133.0235
178,2270.25,424.75,67.5,39.0,0.0,23.055987,72.506015,133.01975
179,2270.0,425.0,67.0,39.0,0.0,23.055987,72.506015,133.016
180,2270.0,424.8125,67.0625,39.0625,0.0,23.055987,72.506015,133.014375
181,2270.0,424.625,67.125,39.125,0.0,23.055987,72.506015,133.01274999999998
182,2270.0,424.4375,67.1875,39.1875,0.0,23.055987,72.506015,133.011125
183,2270.0,424.25,67.25,39.25,0.0,23.055987,72.506015,133.0095
184,2270.0,424.0625,67.3125,39.3125,0.0,23.055987,72.506015,133.00787499999998
185,2270.0,423.875,67.375,39.375,0.0,23.055987,72.506015,133.00625
186,2270.0,423.6875,67.4375,39.4375,0.0,23.055987,72.506015,133.004625
187,2270.0,423.5,67.5,39.5,0.0,23.055987,72.506015,133.003
188,2270.0,423.3125,67.5625,39.5625,0.0,23.055987,72.506015,133.001375
189,2270.0,423.125,67.625,39.625,0.0,23.055987,72.506015,132.99975
190,2270.0,422.9375,67.6875,39.6875,0.0,23.055987,72.506015,132.99812500000002
191,2270.0,422.75,67.75,39.75,0.0,23.055987,72.506015,132.9965
192,2270.0,422.5625,67.8125,39.8125,0.0,23.055987,72.506015,132.994875
193,2270.0,422.375,67.875,39.875,0.0,23.055987,72.506015,132.99325000000002
194,2270.0,422.1875,67.9375,39.9375,0.0,23.055987,72.506015,132.991625
195,2270.0,422.0,68.0,40.0,0.0,23.055987,72.506015,132.99
196,2269.0,423.0,69.0,40.0,0.0,23.055987,72.506015,132.99
197,2270.0,424.0,68.0,39.0,0.0,23.055987,72.506015,132.99
198,2270.0,423.0,68.0,41.0,0.0,23.055987,72.506015,132.99
199,2270.0,424.0,68.0,39.0,0.0,23.055987,72.506015,132.99
200,2270.0,422.0,69.0,40.0,0.0,23.055987,72.506015,132.99
201,2271.0,423.0,68.0,39.0,0.0,23.055987,72.506015,132.983
202,2271.0,423.0,68.0,39.0,0.0,23.055987,72.506015,132.983
203,2271.0,423.0,69.0,39.0,0.0,23.055987,72.506015,132.983
204,2271.0,422.0,69.0,40.0,0.0,23.055987,72.506015,132.983
205,2271.0,422.0,69.0,40.0,0.0,23.055987,72.506015,132.983
206,2272.0,422.0,68.0,39.0,0.0,23.055987,72.506015,132.983
207,2272.0,422.0,69.0,39.0,0.0,23.055987,72.506015,132.977
208,2272.0,422.0,69.0,39.0,0.0,23.055987,72.506015,132.977
209,2272.0,422.0,69.0,39.0,0.0,23.055987,72.506015,132.977
210,2272.0,422.0,70.0,39.0,0.0,23.055987,72.506015,132.977
211,2272.0,423.0,69.0,38.0,0.0,23.055987,72.506015,132.977
212,2272.0,424.0,70.0,37.0,0.0,23.055987,72.506015,132.977
213,2272.0,424.0,70.0,37.0,0.0,23.055987,72.506015,132.983
214,2272.0,424.0,70.0,38.0,0.0,23.055987,72.506015,132.983
