frameNo,left,top,w,h,conf,lat,long,alt
279,3724.0,1294.0,48.0,32.0,0.0,23.055987,72.506014,133.031
280,3717.0,1295.0,46.0,30.0,0.0,23.055987,72.506014,133.031
281,3702.0,1295.0,44.0,30.0,0.0,23.055987,72.506014,133.031
282,3690.0,1295.0,42.0,29.0,0.0,23.055987,72.506014,133.031
283,3680.0,1295.0,40.0,29.0,0.0,23.055987,72.506014,133.031
284,3663.0,1294.0,42.0,30.0,0.0,23.055987,72.506014,133.031
285,3648.0,1295.0,45.0,30.0,0.0,23.055987,72.506014,133.038
286,3635.0,1295.0,46.0,31.0,0.0,23.055987,72.506014,133.038
287,3622.0,1297.0,50.0,30.0,0.0,23.055987,72.506014,133.038
288,3610.0,1296.0,51.0,32.0,0.0,23.055987,72.506014,133.038
289,3599.0,1296.0,52.0,32.0,0.0,23.055987,72.506014,133.038
290,3588.0,1295.0,48.0,32.0,0.0,23.055987,72.506014,133.038
291,3580.0,1297.0,46.0,30.0,0.0,23.055987,72.506014,133.033
292,3564.0,1296.0,44.0,31.0,0.0,23.055987,72.506014,133.033
293,3551.0,1296.0,42.0,31.0,0.0,23.055987,72.506014,133.033
294,3538.0,1296.0,44.0,31.0,0.0,23.055987,72.506014,133.033
295,3531.0,1297.0,43.0,31.0,0.0,23.055987,72.506014,133.033
296,3517.0,1299.0,42.0,31.0,0.0,23.055987,72.506014,133.033
297,3504.0,1299.0,40.0,30.0,0.0,23.055987,72.506014,133.032
298,3494.0,1298.0,40.0,30.0,0.0,23.055987,72.506014,133.032
299,3486.0,1298.0,39.0,31.0,0.0,23.055987,72.506014,133.032
300,3475.0,1299.0,38.0,32.0,0.0,23.055987,72.506014,133.032
301,3462.0,1300.0,38.0,32.0,0.0,23.055987,72.506014,133.032
302,3451.0,1302.0,38.0,31.0,0.0,23.055987,72.506014,133.032
303,3438.0,1302.0,40.0,31.0,0.0,23.055987,72.506014,133.026
304,3429.0,1303.0,37.0,31.0,0.0,23.055987,72.506014,133.026
305,3416.0,1303.0,36.0,30.0,0.0,23.055987,72.506014,133.026
306,3404.0,1302.0,35.0,29.0,0.0,23.055987,72.506014,133.026
307,3391.0,1301.0,36.0,29.0,0.0,23.055987,72.506014,133.026
308,3378.0,1301.0,35.0,30.0,0.0,23.055987,72.506014,133.026
309,3368.0,1300.0,34.0,30.0,0.0,23.055987,72.506014,133.024
310,3355.0,1301.0,36.0,30.0,0.0,23.055987,72.506014,133.024
311,3344.0,1300.0,36.0,30.0,0.0,23.055987,72.506014,133.024
312,3329.0,1302.0,37.0,31.0,0.0,23.055987,72.506014,133.024
313,3317.0,1302.0,36.0,31.0,0.0,23.055987,72.506014,133.024
314,3304.0,1303.0,37.0,31.0,0.0,23.055987,72.506014,133.024
315,3294.0,1301.0,37.0,30.0,0.0,23.055987,72.506014,133.02
316,3282.0,1303.0,37.0,30.0,0.0,23.055987,72.506014,133.02
317,3268.0,1301.0,38.0,31.0,0.0,23.055987,72.506014,133.02
318,3257.0,1302.0,38.0,30.0,0.0,23.055987,72.506014,133.02
319,3246.0,1301.0,39.0,30.0,0.0,23.055987,72.506014,133.02
320,3235.0,1302.0,39.0,30.0,0.0,23.055987,72.506014,133.02
321,3225.0,1302.0,39.0,31.0,0.0,23.055987,72.506014,133.021
322,3212.0,1303.0,40.0,30.0,0.0,23.055987,72.506014,133.021
323,3203.0,1302.0,39.0,31.0,0.0,23.055987,72.506014,133.021
324,3189.0,1304.0,39.0,31.0,0.0,23.055987,72.506014,133.021
325,3176.0,1303.0,39.0,31.0,0.0,23.055987,72.506014,133.021
326,3163.0,1302.0,40.0,31.0,0.0,23.055987,72.506014,133.021
327,3153.0,1302.0,40.0,31.0,0.0,23.055987,72.506014,133.014
328,3143.0,1303.0,40.0,31.0,0.0,23.055987,72.506014,133.014
329,3136.0,1304.0,39.0,30.0,0.0,23.055987,72.506014,133.014
330,3126.0,1304.0,38.0,31.0,0.0,23.055987,72.506014,133.014
331,3114.0,1303.0,38.0,31.0,0.0,23.055987,72.506014,133.014
332,3098.0,1304.0,39.0,31.0,0.0,23.055987,72.506014,133.014
333,3086.0,1305.0,39.0,31.0,0.0,23.055987,72.506014,133.013
334,3074.0,1305.0,39.0,31.0,0.0,23.055987,72.506014,133.013
335,3070.0,1304.0,39.0,31.0,0.0,23.055987,72.506014,133.013
336,3060.0,1305.0,41.0,30.0,0.0,23.055987,72.506014,133.013
337,3045.0,1306.0,39.0,31.0,0.0,23.055987,72.506014,133.013
338,3033.0,1307.0,39.0,31.0,0.0,23.055987,72.506014,133.013
339,3023.0,1307.0,39.0,32.0,0.0,23.055987,72.506014,133.005
340,3009.0,1307.0,45.0,30.0,0.0,23.055987,72.506014,133.005
341,2998.5,1307.25,45.25,30.0,0.0,23.055987,72.506014,133.005
342,2988.0,1307.5,45.5,30.0,0.0,23.055987,72.506014,133.005
343,2977.5,1307.75,45.75,30.0,0.0,23.055987,72.506014,133.005
344,2967.0,1308.0,46.0,30.0,0.0,23.055987,72.506014,133.005
345,2955.0,1308.0,48.0,29.0,0.0,23.055987,72.506014,133.003
346,2945.0,1308.0,45.0,30.0,0.0,23.055987,72.506014,133.003
347,2939.0,1308.0,42.0,30.0,0.0,23.055987,72.506014,133.003
348,2928.0,1308.0,44.0,30.0,0.0,23.055987,72.506014,133.003
349,2914.0,1308.0,45.0,29.0,0.0,23.055987,72.506014,133.003
350,2905.0,1308.0,46.0,29.0,0.0,23.055987,72.506014,133.003
351,2900.0,1308.0,43.0,30.0,0.0,23.055987,72.506014,132.991
352,2888.0,1309.0,41.0,30.0,0.0,23.055987,72.506014,132.991
353,2878.0,1308.0,40.0,31.0,0.0,23.055987,72.506014,132.991
354,2873.0,1308.0,39.0,31.0,0.0,23.055987,72.506014,132.991
355,2859.0,1308.0,42.0,31.0,0.0,23.055987,72.506014,132.991
356,2849.0,1308.0,40.0,32.0,0.0,23.055987,72.506014,132.991
357,2840.0,1309.0,39.0,32.0,0.0,23.055987,72.506014,132.985
358,2826.0,1309.0,42.0,30.0,0.0,23.055987,72.506014,132.985
359,2815.0,1308.0,43.0,30.0,0.0,23.055987,72.506014,132.985
360,2806.0,1308.0,44.0,30.0,0.0,23.055987,72.506014,132.985
361,2798.0,1308.0,42.0,31.0,0.0,23.055987,72.506014,132.985
362,2789.0,1309.0,40.0,30.0,0.0,23.055987,72.506014,132.985
363,2777.0,1309.0,41.0,30.0,0.0,23.055987,72.506014,132.975
364,2766.0,1308.0,42.0,30.0,0.0,23.055987,72.506014,132.975
365,2756.0,1309.0,44.0,29.0,0.0,23.055987,72.506014,132.975
366,2749.0,1309.0,42.0,30.0,0.0,23.055987,72.506014,132.975
367,2738.0,1309.0,43.0,29.0,0.0,23.055987,72.506014,132.975
368,2727.0,1308.0,43.0,29.0,0.0,23.055987,72.506014,132.975
369,2719.0,1309.0,43.0,28.0,0.0,23.055987,72.506014,132.963
370,2709.0,1309.0,45.0,27.0,0.0,23.055987,72.506014,132.963
