frameNo,left,top,w,h,conf,lat,long,alt
1981,1802.0,1.0,67.0,81.0,0.0,23.055988,72.506014,132.419
1982,1802.0,2.0,72.0,89.0,0.0,23.055988,72.506014,132.43
1983,1805.0,3.0,72.0,94.0,0.0,23.055988,72.506014,132.43
1984,1807.0,5.0,73.0,102.0,0.0,23.055988,72.506014,132.43
1985,1808.0,12.0,75.0,106.0,0.0,23.055988,72.506014,132.43
1986,1811.0,19.0,74.0,107.0,0.0,23.055988,72.506014,132.43
1987,1813.0,26.0,74.0,109.0,0.0,23.055988,72.506014,132.436
1988,1815.5,34.75,73.75,110.0,0.0,23.055988,72.506014,132.436
1989,1818.0,43.5,73.5,111.0,0.0,23.055988,72.506014,132.436
1990,1820.5,52.25,73.25,112.0,0.0,23.055988,72.506014,132.436
1991,1823.0,61.0,73.0,113.0,0.0,23.055988,72.506014,132.436
1992,1825.0,69.0,73.0,114.0,0.0,23.055988,72.506014,132.436
1993,1828.0,78.0,72.0,114.0,0.0,23.055988,72.506014,132.446
1994,1830.0,86.0,71.0,114.0,0.0,23.055988,72.506014,132.446
1995,1832.125,94.125,70.875,113.0,0.0,23.055988,72.506014,132.44675
1996,1834.25,102.25,70.75,112.0,0.0,23.055988,72.506014,132.4475
1997,1836.375,110.375,70.625,111.0,0.0,23.055988,72.506014,132.44825
1998,1838.5,118.5,70.5,110.0,0.0,23.055988,72.506014,132.449
1999,1840.625,126.625,70.375,109.0,0.0,23.055988,72.506014,132.44975
2000,1842.75,134.75,70.25,108.0,0.0,23.055988,72.506014,132.4505
2001,1844.875,142.875,70.125,107.0,0.0,23.055988,72.506014,132.45125
2002,1847.0,151.0,70.0,106.0,0.0,23.055988,72.506014,132.452
2003,1849.1,158.8,69.8,105.1,0.0,23.055988,72.506014,132.4538
2004,1851.2,166.6,69.6,104.2,0.0,23.055988,72.506014,132.4556
2005,1853.3,174.4,69.4,103.3,0.0,23.055988,72.506014,132.4574
2006,1855.4,182.2,69.2,102.4,0.0,23.055988,72.506014,132.4592
2007,1857.5,190.0,69.0,101.5,0.0,23.055988,72.506014,132.461
2008,1859.6,197.8,68.8,100.6,0.0,23.055988,72.506014,132.4628
2009,1861.7,205.6,68.6,99.7,0.0,23.055988,72.506014,132.4646
2010,1863.8,213.4,68.4,98.8,0.0,23.055988,72.506014,132.4664
2011,1865.9,221.2,68.2,97.9,0.0,23.055988,72.506014,132.4682
2012,1868.0,229.0,68.0,97.0,0.0,23.055988,72.506014,132.47
2013,1870.0,237.0,68.0,98.0,0.0,23.055988,72.506014,132.47
2014,1872.0,242.0,69.0,101.0,0.0,23.055988,72.506014,132.47
2015,1872.0,250.0,70.0,102.0,0.0,23.055988,72.506014,132.47
2016,1873.0,258.0,71.0,106.0,0.0,23.055988,72.506014,132.47
2017,1875.0,263.0,70.0,109.0,0.0,23.055988,72.506014,132.479
2018,1877.0,268.0,70.0,111.0,0.0,23.055988,72.506014,132.479
2019,1879.0,273.0,70.0,110.0,0.0,23.055988,72.506014,132.479
2020,1880.0,276.0,69.0,111.0,0.0,23.055988,72.506014,132.479
2021,1881.0,280.0,70.0,111.0,0.0,23.055988,72.506014,132.479
2022,1882.25,286.75,70.0,110.0,0.0,23.055988,72.506014,132.47875000000002
2023,1883.5,293.5,70.0,109.0,0.0,23.055988,72.506014,132.4785
2024,1884.75,300.25,70.0,108.0,0.0,23.055988,72.506014,132.47825
2025,1886.0,307.0,70.0,107.0,0.0,23.055988,72.506014,132.478
2026,1889.0,315.0,70.0,105.0,0.0,23.055988,72.506014,132.478
2027,1890.0,321.0,70.0,105.0,0.0,23.055988,72.506014,132.478
2028,1891.0,325.0,70.0,106.0,0.0,23.055988,72.506014,132.478
2029,1892.0,330.0,70.0,108.0,0.0,23.055988,72.506014,132.479
2030,1894.0,339.0,70.0,106.0,0.0,23.055988,72.506014,132.479
2031,1896.0,346.0,70.0,104.0,0.0,23.055988,72.506014,132.479
2032,1897.0,352.0,70.0,106.0,0.0,23.055988,72.506014,132.479
2033,1898.0,358.0,69.0,105.0,0.0,23.055988,72.506014,132.479
2034,1898.0,363.0,71.0,105.0,0.0,23.055988,72.506014,132.479
2035,1900.0,369.0,70.0,105.0,0.0,23.055988,72.506014,132.479
2036,1902.0,376.0,70.0,106.0,0.0,23.055988,72.506014,132.479
2037,1904.0,381.0,69.0,106.0,0.0,23.055988,72.506014,132.479
