frameNo,left,top,w,h,conf,lat,long,alt
429,5.0,906.0,61.0,81.0,0.0,23.055987,72.506014,132.859
430,4.0,908.0,68.0,82.0,0.0,23.055987,72.506014,132.859
431,4.0,906.0,76.0,86.0,0.0,23.055987,72.506014,132.859
432,4.0,906.0,83.0,86.0,0.0,23.055987,72.506014,132.859
433,7.0,906.0,91.0,84.0,0.0,23.055987,72.506014,132.859
434,7.0,907.0,99.0,83.0,0.0,23.055987,72.506014,132.859
435,6.0,907.0,108.0,83.0,0.0,23.055987,72.506014,132.844
436,6.0,908.0,116.0,82.0,0.0,23.055987,72.506014,132.844
437,6.0,909.0,124.0,82.0,0.0,23.055987,72.506014,132.844
438,6.0,909.0,134.0,82.0,0.0,23.055987,72.506014,132.844
439,6.0,909.0,141.0,82.0,0.0,23.055987,72.506014,132.844
440,7.0,909.0,149.0,82.0,0.0,23.055987,72.506014,132.844
441,7.0,909.0,156.0,82.0,0.0,23.055987,72.506014,132.841
442,7.0,909.0,163.0,82.0,0.0,23.055987,72.506014,132.841
443,9.0,909.0,172.0,82.0,0.0,23.055987,72.506014,132.841
444,12.0,910.0,179.0,80.0,0.0,23.055987,72.506014,132.841
445,17.0,910.0,184.0,79.0,0.0,23.055987,72.506014,132.841
446,25.0,910.0,186.0,79.0,0.0,23.055987,72.506014,132.841
447,32.0,911.0,187.0,77.0,0.0,23.055987,72.506014,132.832
448,41.0,911.0,186.0,78.0,0.0,23.055987,72.506014,132.832
449,52.0,911.0,186.0,78.0,0.0,23.055987,72.506014,132.832
450,62.0,912.0,184.0,78.0,0.0,23.055987,72.506014,132.832
451,69.0,912.0,184.0,78.0,0.0,23.055987,72.506014,132.832
452,77.0,911.0,184.0,78.0,0.0,23.055987,72.506014,132.832
453,84.0,911.0,184.0,78.0,0.0,23.055987,72.506014,132.834
454,91.0,912.0,183.0,78.0,0.0,23.055987,72.506014,132.834
455,100.0,911.0,182.0,79.0,0.0,23.055987,72.506014,132.834
456,109.0,911.0,182.0,78.0,0.0,23.055987,72.506014,132.834
457,116.0,911.0,182.0,78.0,0.0,23.055987,72.506014,132.834
458,123.0,911.0,183.0,78.0,0.0,23.055987,72.506014,132.834
459,130.0,911.0,184.0,76.0,0.0,23.055987,72.506014,132.824
460,137.0,911.0,185.0,75.0,0.0,23.055987,72.506014,132.824
461,145.0,912.0,186.0,75.0,0.0,23.055987,72.506014,132.824
462,153.0,912.0,185.0,76.0,0.0,23.055987,72.506014,132.824
463,161.0,912.0,183.0,75.0,0.0,23.055987,72.506014,132.824
464,168.0,911.0,183.0,76.0,0.0,23.055987,72.506014,132.824
465,175.0,911.0,184.0,76.0,0.0,23.055987,72.506014,132.821
466,182.0,911.0,183.0,76.0,0.0,23.055987,72.506014,132.821
467,188.0,912.0,183.0,75.0,0.0,23.055987,72.506014,132.821
468,195.0,912.0,182.0,75.0,0.0,23.055987,72.506014,132.821
469,203.0,913.0,181.0,75.0,0.0,23.055987,72.506014,132.821
470,211.0,912.0,180.0,75.0,0.0,23.055987,72.506014,132.821
471,218.0,912.0,179.0,74.0,0.0,23.055987,72.506014,132.819
472,224.0,912.0,180.0,75.0,0.0,23.055987,72.506014,132.819
473,230.0,912.0,181.0,75.0,0.0,23.055987,72.506014,132.819
474,236.0,913.0,182.0,74.0,0.0,23.055987,72.506014,132.819
475,242.0,914.0,183.0,74.0,0.0,23.055987,72.506014,132.819
476,250.0,914.0,183.0,75.0,0.0,23.055987,72.506014,132.819
477,256.0,914.0,184.0,74.0,0.0,23.055987,72.506014,132.811
478,261.0,914.0,184.0,74.0,0.0,23.055987,72.506014,132.811
479,267.0,913.0,184.0,75.0,0.0,23.055987,72.506014,132.811
480,271.0,914.0,185.0,75.0,0.0,23.055987,72.506014,132.811
481,278.0,913.0,185.0,75.0,0.0,23.055987,72.506014,132.811
482,284.0,914.0,183.0,75.0,0.0,23.055987,72.506014,132.811
483,293.0,913.0,181.0,76.0,0.0,23.055987,72.506014,132.812
484,300.0,913.0,180.0,76.0,0.0,23.055987,72.506014,132.812
485,307.0,913.0,179.0,76.0,0.0,23.055987,72.506014,132.812
486,313.0,913.0,179.0,76.0,0.0,23.055987,72.506014,132.812
487,318.0,913.0,181.0,76.0,0.0,23.055987,72.506014,132.812
488,323.0,913.0,182.0,75.0,0.0,23.055987,72.506014,132.812
489,328.0,914.0,182.0,75.0,0.0,23.055987,72.506014,132.811
490,336.0,914.0,182.0,75.0,0.0,23.055987,72.506014,132.811
491,344.0,915.0,183.0,75.0,0.0,23.055987,72.506014,132.811
492,351.0,915.0,183.0,75.0,0.0,23.055987,72.506014,132.811
493,357.0,915.0,183.0,75.0,0.0,23.055987,72.506014,132.811
494,361.0,915.0,184.0,75.0,0.0,23.055987,72.506014,132.811
495,367.0,915.0,183.0,75.0,0.0,23.055987,72.506014,132.82
496,373.0,915.0,182.0,75.0,0.0,23.055987,72.506014,132.82
