frameNo,left,top,w,h,conf,lat,long,alt
457,52.0,851.0,49.0,31.0,0.0,23.055987,72.506014,132.834
458,61.0,851.0,49.0,30.0,0.0,23.055987,72.506014,132.834
459,70.0,851.25,49.75,30.5,0.0,23.055987,72.506014,132.8315
460,79.0,851.5,50.5,31.0,0.0,23.055987,72.506014,132.829
461,88.0,851.75,51.25,31.5,0.0,23.055987,72.506014,132.8265
462,97.0,852.0,52.0,32.0,0.0,23.055987,72.506014,132.824
463,104.0,851.0,53.0,32.0,0.0,23.055987,72.506014,132.824
464,111.0,851.0,52.0,30.0,0.0,23.055987,72.506014,132.824
465,123.0,851.0,50.0,30.0,0.0,23.055987,72.506014,132.821
466,133.0,851.0,49.0,30.0,0.0,23.055987,72.506014,132.821
467,140.0,851.0,49.0,31.0,0.0,23.055987,72.506014,132.821
468,150.0,852.0,49.0,31.0,0.0,23.055987,72.506014,132.821
469,157.0,852.0,49.0,31.0,0.0,23.055987,72.506014,132.821
470,168.0,853.0,49.0,30.0,0.0,23.055987,72.506014,132.821
471,178.0,853.0,49.0,31.0,0.0,23.055987,72.506014,132.819
472,188.0,852.0,49.0,31.0,0.0,23.055987,72.506014,132.819
473,197.0,851.0,50.0,32.0,0.0,23.055987,72.506014,132.819
474,203.0,852.0,50.0,30.0,0.0,23.055987,72.506014,132.819
475,210.0,852.0,51.0,30.0,0.0,23.055987,72.506014,132.819
476,219.0,851.0,50.0,31.0,0.0,23.055987,72.506014,132.819
477,229.0,852.0,49.0,31.0,0.0,23.055987,72.506014,132.811
478,236.0,852.0,49.0,31.0,0.0,23.055987,72.506014,132.811
479,246.0,851.0,50.0,32.0,0.0,23.055987,72.506014,132.811
480,253.0,851.0,50.0,32.0,0.0,23.055987,72.506014,132.811
481,260.0,852.0,49.0,30.0,0.0,23.055987,72.506014,132.811
482,268.0,853.0,50.0,31.0,0.0,23.055987,72.506014,132.811
483,279.0,854.0,49.0,31.0,0.0,23.055987,72.506014,132.812
484,287.25,853.5,49.75,31.25,0.0,23.055987,72.506014,132.812
485,295.5,853.0,50.5,31.5,0.0,23.055987,72.506014,132.812
486,303.75,852.5,51.25,31.75,0.0,23.055987,72.506014,132.812
487,312.0,852.0,52.0,32.0,0.0,23.055987,72.506014,132.812
488,321.0,852.0,53.0,32.0,0.0,23.055987,72.506014,132.812
489,329.0,852.0,52.0,32.0,0.0,23.055987,72.506014,132.811
490,337.0,851.0,52.0,33.0,0.0,23.055987,72.506014,132.811
491,345.0,850.0,51.0,33.0,0.0,23.055987,72.506014,132.811
492,350.0,850.0,51.0,33.0,0.0,23.055987,72.506014,132.811
493,358.0,850.0,50.0,32.0,0.0,23.055987,72.506014,132.811
494,367.0,851.0,48.0,31.0,0.0,23.055987,72.506014,132.811
495,374.42857142857144,851.0,48.214285714285715,31.071428571428573,0.0,23.055987,72.506014,132.81264285714286
496,381.85714285714283,851.0,48.42857142857143,31.142857142857142,0.0,23.055987,72.506014,132.81428571428572
497,389.2857142857143,851.0,48.642857142857146,31.214285714285715,0.0,23.055987,72.506014,132.81592857142857
498,396.7142857142857,851.0,48.857142857142854,31.285714285714285,0.0,23.055987,72.506014,132.81757142857143
499,404.14285714285717,851.0,49.07142857142857,31.357142857142858,0.0,23.055987,72.506014,132.81921428571428
500,411.57142857142856,851.0,49.285714285714285,31.428571428571427,0.0,23.055987,72.506014,132.82085714285714
501,419.0,851.0,49.5,31.5,0.0,23.055987,72.506014,132.8225
502,426.42857142857144,851.0,49.714285714285715,31.571428571428573,0.0,23.055987,72.506014,132.82414285714287
503,433.8571428571429,851.0,49.92857142857143,31.642857142857142,0.0,23.055987,72.506014,132.82578571428573
504,441.2857142857143,851.0,50.142857142857146,31.714285714285715,0.0,23.055987,72.506014,132.82742857142858
