frameNo,left,top,w,h,conf,lat,long,alt
478,2818.0,1571.0,34.0,36.0,0.0,23.055987,72.506014,132.811
479,2818.0,1571.0,33.0,35.0,0.0,23.055987,72.506014,132.811
480,2818.1162790697676,1570.4883720930231,33.0,34.93023255813954,0.0,23.055987,72.506014,132.8118604651163
481,2818.232558139535,1569.9767441860465,33.0,34.86046511627907,0.0,23.055987,72.506014,132.81272093023256
482,2818.3488372093025,1569.4651162790697,33.0,34.7906976744186,0.0,23.055987,72.506014,132.81358139534885
483,2818.4651162790697,1568.953488372093,33.0,34.72093023255814,0.0,23.055987,72.506014,132.81444186046514
484,2818.5813953488373,1568.4418604651162,33.0,34.651162790697676,0.0,23.055987,72.506014,132.8153023255814
485,2818.6976744186045,1567.9302325581396,33.0,34.58139534883721,0.0,23.055987,72.506014,132.8161627906977
486,2818.813953488372,1567.4186046511627,33.0,34.51162790697674,0.0,23.055987,72.506014,132.81702325581395
487,2818.9302325581393,1566.906976744186,33.0,34.44186046511628,0.0,23.055987,72.506014,132.81788372093024
488,2819.046511627907,1566.3953488372092,33.0,34.372093023255815,0.0,23.055987,72.506014,132.81874418604653
489,2819.1627906976746,1565.8837209302326,33.0,34.30232558139535,0.0,23.055987,72.506014,132.8196046511628
490,2819.279069767442,1565.3720930232557,33.0,34.23255813953488,0.0,23.055987,72.506014,132.82046511627908
491,2819.3953488372094,1564.860465116279,33.0,34.16279069767442,0.0,23.055987,72.506014,132.82132558139537
492,2819.5116279069766,1564.3488372093022,33.0,34.093023255813954,0.0,23.055987,72.506014,132.82218604651163
493,2819.6279069767443,1563.8372093023256,33.0,34.02325581395349,0.0,23.055987,72.506014,132.82304651162792
494,2819.7441860465115,1563.3255813953488,33.0,33.95348837209302,0.0,23.055987,72.506014,132.82390697674418
495,2819.860465116279,1562.8139534883721,33.0,33.883720930232556,0.0,23.055987,72.506014,132.82476744186047
496,2819.9767441860463,1562.3023255813953,33.0,33.81395348837209,0.0,23.055987,72.506014,132.82562790697676
497,2820.093023255814,1561.7906976744187,33.0,33.74418604651163,0.0,23.055987,72.506014,132.82648837209302
498,2820.2093023255816,1561.2790697674418,33.0,33.674418604651166,0.0,23.055987,72.506014,132.8273488372093
499,2820.3255813953488,1560.7674418604652,33.0,33.604651162790695,0.0,23.055987,72.506014,132.8282093023256
500,2820.4418604651164,1560.2558139534883,33.0,33.53488372093023,0.0,23.055987,72.506014,132.82906976744187
501,2820.5581395348836,1559.7441860465117,33.0,33.46511627906977,0.0,23.055987,72.506014,132.82993023255816
502,2820.6744186046512,1559.2325581395348,33.0,33.395348837209305,0.0,23.055987,72.506014,132.83079069767442
503,2820.7906976744184,1558.7209302325582,33.0,33.325581395348834,0.0,23.055987,72.506014,132.8316511627907
504,2820.906976744186,1558.2093023255813,33.0,33.25581395348837,0.0,23.055987,72.506014,132.832511627907
505,2821.0232558139537,1557.6976744186047,33.0,33.18604651162791,0.0,23.055987,72.506014,132.83337209302326
506,2821.139534883721,1557.1860465116279,33.0,33.116279069767444,0.0,23.055987,72.506014,132.83423255813955
507,2821.2558139534885,1556.6744186046512,33.0,33.04651162790698,0.0,23.055987,72.506014,132.83509302325584
508,2821.3720930232557,1556.1627906976744,33.0,32.97674418604651,0.0,23.055987,72.506014,132.8359534883721
509,2821.4883720930234,1555.6511627906978,33.0,32.906976744186046,0.0,23.055987,72.506014,132.8368139534884
510,2821.6046511627906,1555.139534883721,33.0,32.83720930232558,0.0,23.055987,72.506014,132.83767441860465
511,2821.720930232558,1554.6279069767443,33.0,32.76744186046512,0.0,23.055987,72.506014,132.83853488372094
512,2821.8372093023254,1554.1162790697674,33.0,32.69767441860465,0.0,23.055987,72.506014,132.83939534883723
513,2821.953488372093,1553.6046511627908,33.0,32.627906976744185,0.0,23.055987,72.506014,132.8402558139535
514,2822.0697674418607,1553.093023255814,33.0,32.55813953488372,0.0,23.055987,72.506014,132.84111627906978
515,2822.186046511628,1552.5813953488373,33.0,32.48837209302326,0.0,23.055987,72.506014,132.84197674418607
516,2822.3023255813955,1552.0697674418604,33.0,32.41860465116279,0.0,23.055987,72.506014,132.84283720930233
517,2822.4186046511627,1551.5581395348838,33.0,32.348837209302324,0.0,23.055987,72.506014,132.84369767441862
518,2822.5348837209303,1551.046511627907,33.0,32.27906976744186,0.0,23.055987,72.506014,132.84455813953488
519,2822.6511627906975,1550.5348837209303,33.0,32.2093023255814,0.0,23.055987,72.506014,132.84541860465117
520,2822.767441860465,1550.0232558139535,33.0,32.13953488372093,0.0,23.055987,72.506014,132.84627906976746
521,2822.8837209302324,1549.5116279069766,33.0,32.06976744186046,0.0,23.055987,72.506014,132.84713953488372
522,2823.0,1549.0,33.0,32.0,0.0,23.055987,72.506014,132.848
523,2824.0,1549.0,32.0,31.0,0.0,23.055987,72.506014,132.848
524,2824.0,1548.8,32.2,31.0,0.0,23.055987,72.506014,132.8484
525,2824.0,1548.6,32.4,31.0,0.0,23.055987,72.506014,132.8488
526,2824.0,1548.4,32.6,31.0,0.0,23.055987,72.506014,132.8492
527,2824.0,1548.2,32.8,31.0,0.0,23.055987,72.506014,132.8496
528,2824.0,1548.0,33.0,31.0,0.0,23.055987,72.506014,132.85
