frameNo,left,top,w,h,conf,lat,long,alt
619,2752.0,1517.0,42.0,40.0,0.0,23.055987,72.506014,132.778
620,2752.0,1517.0,42.0,41.0,0.0,23.055987,72.506014,132.778
621,2752.8333333333335,1516.0,42.166666666666664,41.333333333333336,0.0,23.055987,72.506014,132.77499999999998
622,2753.6666666666665,1515.0,42.333333333333336,41.666666666666664,0.0,23.055987,72.506014,132.772
623,2754.5,1514.0,42.5,42.0,0.0,23.055987,72.506014,132.769
624,2755.3333333333335,1513.0,42.666666666666664,42.333333333333336,0.0,23.055987,72.506014,132.766
625,2756.1666666666665,1512.0,42.833333333333336,42.666666666666664,0.0,23.055987,72.506014,132.76299999999998
626,2757.0,1511.0,43.0,43.0,0.0,23.055987,72.506014,132.76
627,2757.0,1511.0,42.0,43.0,0.0,23.055987,72.506014,132.76
628,2759.0,1510.0,40.0,44.0,0.0,23.055987,72.506014,132.76
629,2759.0,1509.0,40.5,44.0,0.0,23.055987,72.506014,132.7575
630,2759.0,1508.0,41.0,44.0,0.0,23.055987,72.506014,132.755
631,2759.0,1507.0,41.5,44.0,0.0,23.055987,72.506014,132.7525
632,2759.0,1506.0,42.0,44.0,0.0,23.055987,72.506014,132.75
633,2759.0,1505.0,40.0,45.0,0.0,23.055987,72.506014,132.75
634,2758.5882352941176,1503.9411764705883,40.411764705882355,45.05882352941177,0.0,23.055987,72.506014,132.74917647058822
635,2758.176470588235,1502.8823529411766,40.8235294117647,45.11764705882353,0.0,23.055987,72.506014,132.74835294117648
636,2757.764705882353,1501.8235294117646,41.23529411764706,45.1764705882353,0.0,23.055987,72.506014,132.7475294117647
637,2757.3529411764707,1500.764705882353,41.64705882352941,45.23529411764706,0.0,23.055987,72.506014,132.74670588235293
638,2756.9411764705883,1499.7058823529412,42.05882352941177,45.294117647058826,0.0,23.055987,72.506014,132.74588235294118
639,2756.529411764706,1498.6470588235295,42.470588235294116,45.35294117647059,0.0,23.055987,72.506014,132.7450588235294
640,2756.1176470588234,1497.5882352941176,42.88235294117647,45.411764705882355,0.0,23.055987,72.506014,132.74423529411763
641,2755.705882352941,1496.5294117647059,43.294117647058826,45.470588235294116,0.0,23.055987,72.506014,132.74341176470588
642,2755.294117647059,1495.4705882352941,43.705882352941174,45.529411764705884,0.0,23.055987,72.506014,132.7425882352941
643,2754.8823529411766,1494.4117647058824,44.11764705882353,45.588235294117645,0.0,23.055987,72.506014,132.74176470588236
644,2754.470588235294,1493.3529411764705,44.529411764705884,45.64705882352941,0.0,23.055987,72.506014,132.74094117647059
645,2754.0588235294117,1492.2941176470588,44.94117647058823,45.705882352941174,0.0,23.055987,72.506014,132.7401176470588
646,2753.6470588235293,1491.235294117647,45.35294117647059,45.76470588235294,0.0,23.055987,72.506014,132.73929411764706
647,2753.235294117647,1490.1764705882354,45.76470588235294,45.8235294117647,0.0,23.055987,72.506014,132.7384705882353
648,2752.823529411765,1489.1176470588234,46.17647058823529,45.88235294117647,0.0,23.055987,72.506014,132.7376470588235
649,2752.4117647058824,1488.0588235294117,46.588235294117645,45.94117647058823,0.0,23.055987,72.506014,132.73682352941177
650,2752.0,1487.0,47.0,46.0,0.0,23.055987,72.506014,132.736
651,2753.0,1488.0,46.0,45.0,0.0,23.055987,72.506014,132.73
652,2753.086956521739,1487.2608695652175,45.56521739130435,44.82608695652174,0.0,23.055987,72.506014,132.72878260869564
653,2753.1739130434785,1486.5217391304348,45.130434782608695,44.65217391304348,0.0,23.055987,72.506014,132.7275652173913
654,2753.2608695652175,1485.7826086956522,44.69565217391305,44.47826086956522,0.0,23.055987,72.506014,132.72634782608694
655,2753.3478260869565,1485.0434782608695,44.26086956521739,44.30434782608695,0.0,23.055987,72.506014,132.7251304347826
656,2753.4347826086955,1484.304347826087,43.82608695652174,44.130434782608695,0.0,23.055987,72.506014,132.72391304347826
657,2753.521739130435,1483.5652173913043,43.391304347826086,43.95652173913044,0.0,23.055987,72.506014,132.7226956521739
658,2753.608695652174,1482.8260869565217,42.95652173913044,43.78260869565217,0.0,23.055987,72.506014,132.72147826086956
659,2753.695652173913,1482.0869565217392,42.52173913043478,43.608695652173914,0.0,23.055987,72.506014,132.7202608695652
660,2753.782608695652,1481.3478260869565,42.08695652173913,43.434782608695656,0.0,23.055987,72.506014,132.71904347826086
661,2753.8695652173915,1480.608695652174,41.65217391304348,43.26086956521739,0.0,23.055987,72.506014,132.7178260869565
662,2753.9565217391305,1479.8695652173913,41.21739130434783,43.08695652173913,0.0,23.055987,72.506014,132.71660869565216
663,2754.0434782608695,1479.1304347826087,40.78260869565217,42.91304347826087,0.0,23.055987,72.506014,132.71539130434783
664,2754.1304347826085,1478.391304347826,40.34782608695652,42.73913043478261,0.0,23.055987,72.506014,132.71417391304348
665,2754.217391304348,1477.6521739130435,39.91304347826087,42.565217391304344,0.0,23.055987,72.506014,132.71295652173913
666,2754.304347826087,1476.9130434782608,39.47826086956522,42.391304347826086,0.0,23.055987,72.506014,132.71173913043478
667,2754.391304347826,1476.1739130434783,39.04347826086956,42.21739130434783,0.0,23.055987,72.506014,132.71052173913043
668,2754.478260869565,1475.4347826086957,38.608695652173914,42.04347826086956,0.0,23.055987,72.506014,132.70930434782608
669,2754.5652173913045,1474.695652173913,38.17391304347826,41.869565217391305,0.0,23.055987,72.506014,132.70808695652173
670,2754.6521739130435,1473.9565217391305,37.73913043478261,41.69565217391305,0.0,23.055987,72.506014,132.70686956521737
671,2754.7391304347825,1473.2173913043478,37.30434782608695,41.52173913043478,0.0,23.055987,72.506014,132.70565217391305
672,2754.8260869565215,1472.4782608695652,36.869565217391305,41.34782608695652,0.0,23.055987,72.506014,132.7044347826087
673,2754.913043478261,1471.7391304347825,36.434782608695656,41.17391304347826,0.0,23.055987,72.506014,132.70321739130435
674,2755.0,1471.0,36.0,41.0,0.0,23.055987,72.506014,132.702
675,2754.0,1471.0,37.0,40.0,0.0,23.055987,72.506014,132.697
676,2753.0,1471.0,38.0,40.0,0.0,23.055987,72.506014,132.697
677,2752.0,1470.0,39.0,40.0,0.0,23.055987,72.506014,132.697
678,2751.625,1469.5,39.5,39.5,0.0,23.055987,72.506014,132.696125
679,2751.25,1469.0,40.0,39.0,0.0,23.055987,72.506014,132.69525
680,2750.875,1468.5,40.5,38.5,0.0,23.055987,72.506014,132.694375
681,2750.5,1468.0,41.0,38.0,0.0,23.055987,72.506014,132.6935
682,2750.125,1467.5,41.5,37.5,0.0,23.055987,72.506014,132.692625
683,2749.75,1467.0,42.0,37.0,0.0,23.055987,72.506014,132.69175
684,2749.375,1466.5,42.5,36.5,0.0,23.055987,72.506014,132.690875
685,2749.0,1466.0,43.0,36.0,0.0,23.055987,72.506014,132.69
686,2749.0,1464.0,41.0,36.0,0.0,23.055987,72.506014,132.69
687,2748.0,1461.0,40.0,37.0,0.0,23.055987,72.506014,132.69
688,2748.0,1461.0,41.0,37.0,0.0,23.055987,72.506014,132.69
689,2747.75,1460.4375,41.34375,36.90625,0.0,23.055987031249998,72.506014,132.6901875
690,2747.5,1459.875,41.6875,36.8125,0.0,23.055987062499998,72.506014,132.690375
691,2747.25,1459.3125,42.03125,36.71875,0.0,23.055987093749998,72.506014,132.6905625
692,2747.0,1458.75,42.375,36.625,0.0,23.055987124999998,72.506014,132.69075
693,2746.75,1458.1875,42.71875,36.53125,0.0,23.055987156249998,72.506014,132.6909375
694,2746.5,1457.625,43.0625,36.4375,0.0,23.055987187499998,72.506014,132.691125
695,2746.25,1457.0625,43.40625,36.34375,0.0,23.055987218749998,72.506014,132.6913125
696,2746.0,1456.5,43.75,36.25,0.0,23.055987249999998,72.506014,132.6915
697,2745.75,1455.9375,44.09375,36.15625,0.0,23.055987281249998,72.506014,132.6916875
698,2745.5,1455.375,44.4375,36.0625,0.0,23.055987312499997,72.506014,132.691875
699,2745.25,1454.8125,44.78125,35.96875,0.0,23.055987343749997,72.506014,132.6920625
700,2745.0,1454.25,45.125,35.875,0.0,23.055987374999997,72.506014,132.69225
701,2744.75,1453.6875,45.46875,35.78125,0.0,23.055987406249997,72.506014,132.6924375
702,2744.5,1453.125,45.8125,35.6875,0.0,23.055987437499997,72.506014,132.692625
703,2744.25,1452.5625,46.15625,35.59375,0.0,23.055987468749997,72.506014,132.6928125
704,2744.0,1452.0,46.5,35.5,0.0,23.0559875,72.506014,132.69299999999998
705,2743.75,1451.4375,46.84375,35.40625,0.0,23.05598753125,72.506014,132.6931875
706,2743.5,1450.875,47.1875,35.3125,0.0,23.0559875625,72.506014,132.693375
707,2743.25,1450.3125,47.53125,35.21875,0.0,23.05598759375,72.506014,132.69356249999998
708,2743.0,1449.75,47.875,35.125,0.0,23.055987625,72.506014,132.69375
709,2742.75,1449.1875,48.21875,35.03125,0.0,23.05598765625,72.506014,132.6939375
710,2742.5,1448.625,48.5625,34.9375,0.0,23.0559876875,72.506014,132.69412499999999
711,2742.25,1448.0625,48.90625,34.84375,0.0,23.05598771875,72.506014,132.6943125
712,2742.0,1447.5,49.25,34.75,0.0,23.05598775,72.506014,132.6945
713,2741.75,1446.9375,49.59375,34.65625,0.0,23.05598778125,72.506014,132.6946875
714,2741.5,1446.375,49.9375,34.5625,0.0,23.0559878125,72.506014,132.694875
715,2741.25,1445.8125,50.28125,34.46875,0.0,23.05598784375,72.506014,132.6950625
716,2741.0,1445.25,50.625,34.375,0.0,23.055987875,72.506014,132.69525
717,2740.75,1444.6875,50.96875,34.28125,0.0,23.05598790625,72.506014,132.6954375
718,2740.5,1444.125,51.3125,34.1875,0.0,23.0559879375,72.506014,132.695625
719,2740.25,1443.5625,51.65625,34.09375,0.0,23.05598796875,72.506014,132.6958125
720,2740.0,1443.0,52.0,34.0,0.0,23.055988,72.506014,132.696
721,2739.0,1441.0,55.0,36.0,0.0,23.055988,72.506014,132.696
722,2738.0,1441.0,57.0,36.0,0.0,23.055988,72.506014,132.696
723,2738.0,1441.0,58.0,36.0,0.0,23.055988,72.506014,132.698
724,2737.0,1442.0,58.0,36.0,0.0,23.055988,72.506014,132.698
725,2737.0,1442.0,57.0,36.0,0.0,23.055988,72.506014,132.698
726,2736.0,1441.0,58.0,35.0,0.0,23.055988,72.506014,132.698
727,2736.0,1440.0,59.0,35.0,0.0,23.055988,72.506014,132.698
728,2738.0,1440.0,59.0,35.0,0.0,23.055988,72.506014,132.697
729,2738.0833333333335,1439.0416666666667,59.083333333333336,34.916666666666664,0.0,23.055988,72.506014,132.697375
730,2738.1666666666665,1438.0833333333333,59.166666666666664,34.833333333333336,0.0,23.055988,72.506014,132.69775
731,2738.25,1437.125,59.25,34.75,0.0,23.055988,72.506014,132.698125
732,2738.3333333333335,1436.1666666666667,59.333333333333336,34.666666666666664,0.0,23.055988,72.506014,132.6985
733,2738.4166666666665,1435.2083333333333,59.416666666666664,34.583333333333336,0.0,23.055988,72.506014,132.698875
734,2738.5,1434.25,59.5,34.5,0.0,23.055988,72.506014,132.69925
735,2738.5833333333335,1433.2916666666667,59.583333333333336,34.416666666666664,0.0,23.055988,72.506014,132.699625
736,2738.6666666666665,1432.3333333333333,59.666666666666664,34.333333333333336,0.0,23.055988,72.506014,132.7
737,2738.75,1431.375,59.75,34.25,0.0,23.055988,72.506014,132.700375
738,2738.8333333333335,1430.4166666666667,59.833333333333336,34.166666666666664,0.0,23.055988,72.506014,132.70075
739,2738.9166666666665,1429.4583333333333,59.916666666666664,34.083333333333336,0.0,23.055988,72.506014,132.701125
740,2739.0,1428.5,60.0,34.0,0.0,23.055988,72.506014,132.7015
741,2739.0833333333335,1427.5416666666667,60.083333333333336,33.916666666666664,0.0,23.055988,72.506014,132.701875
742,2739.1666666666665,1426.5833333333333,60.166666666666664,33.833333333333336,0.0,23.055988,72.506014,132.70225
743,2739.25,1425.625,60.25,33.75,0.0,23.055988,72.506014,132.70262499999998
744,2739.3333333333335,1424.6666666666667,60.333333333333336,33.666666666666664,0.0,23.055988,72.506014,132.703
745,2739.4166666666665,1423.7083333333333,60.416666666666664,33.583333333333336,0.0,23.055988,72.506014,132.703375
746,2739.5,1422.75,60.5,33.5,0.0,23.055988,72.506014,132.70374999999999
747,2739.5833333333335,1421.7916666666667,60.583333333333336,33.416666666666664,0.0,23.055988,72.506014,132.704125
748,2739.6666666666665,1420.8333333333333,60.666666666666664,33.333333333333336,0.0,23.055988,72.506014,132.7045
749,2739.75,1419.875,60.75,33.25,0.0,23.055988,72.506014,132.704875
750,2739.8333333333335,1418.9166666666667,60.833333333333336,33.166666666666664,0.0,23.055988,72.506014,132.70524999999998
751,2739.9166666666665,1417.9583333333333,60.916666666666664,33.083333333333336,0.0,23.055988,72.506014,132.705625
752,2740.0,1417.0,61.0,33.0,0.0,23.055988,72.506014,132.706
753,2740.3125,1416.375,60.5,32.875,0.0,23.055988,72.506014,132.7065625
754,2740.625,1415.75,60.0,32.75,0.0,23.055988,72.506014,132.707125
755,2740.9375,1415.125,59.5,32.625,0.0,23.055988,72.506014,132.7076875
756,2741.25,1414.5,59.0,32.5,0.0,23.055988,72.506014,132.70825
757,2741.5625,1413.875,58.5,32.375,0.0,23.055988,72.506014,132.7088125
